DATETIME,price
2014-01-02,4830.0
2014-01-03,4819.0
2014-01-06,4848.0
2014-01-07,4856.0
2014-01-08,4867.0
2014-01-09,4850.0
2014-01-10,4889.0
2014-01-13,4961.0
2014-01-14,4920.0
2014-01-15,4916.0
2014-01-16,4945.0
2014-01-17,4966.0
2014-01-20,4974.0
2014-01-21,5030.0
2014-01-22,5000.0
2014-01-23,4995.0
2014-01-24,4985.0
2014-01-27,4987.0
2014-01-28,4980.0
2014-01-29,4959.0
2014-01-30,4950.0
2014-02-07,4969.0
2014-02-10,4981.0
2014-02-11,5035.0
2014-02-12,5049.0
2014-02-13,5053.0
2014-02-14,5101.0
2014-02-17,5077.0
2014-02-18,5063.0
2014-02-19,5054.0
2014-02-20,5015.0
2014-02-21,5035.0
2014-02-24,5040.0
2014-02-25,5062.0
2014-02-26,5054.0
2014-02-27,5043.0
2014-02-28,5008.0
2014-03-03,4981.0
2014-03-04,4984.0
2014-03-05,4981.0
2014-03-06,4993.0
2014-03-07,5003.0
2014-03-10,4967.0
2014-03-11,4832.0
2014-03-12,4893.0
2014-03-13,4892.0
2014-03-14,4878.0
2014-03-17,4879.0
2014-03-18,4881.0
2014-03-19,4889.0
2014-03-20,4879.0
2014-03-21,4850.0
2014-03-24,4849.0
2014-03-25,4859.0
2014-03-26,4858.0
2014-03-27,4856.0
2014-03-28,4861.0
2014-03-31,4818.0
2014-04-01,4830.0
2014-04-02,4868.0
2014-04-03,4841.0
2014-04-04,4839.0
2014-04-08,4869.0
2014-04-09,4900.0
2014-04-10,4890.0
2014-04-11,4874.0
2014-04-14,4882.0
2014-04-15,4951.0
2014-04-16,5015.0
2014-04-17,5019.0
2014-04-18,5007.0
2014-04-21,5021.0
2014-04-22,4957.0
2014-04-23,4976.0
2014-04-24,4999.0
2014-04-25,5013.0
2014-04-28,5068.0
2014-04-29,5033.0
2014-04-30,5060.0
2014-05-05,5013.0
2014-05-06,5035.0
2014-05-07,4982.0
2014-05-08,4968.0
2014-05-09,4975.0
2014-05-12,4968.0
2014-05-13,4936.0
2014-05-14,4996.0
2014-05-15,5063.0
2014-05-16,5135.0
2014-05-19,5159.0
2014-05-20,5223.0
2014-05-21,5248.0
2014-05-22,5299.0
2014-05-23,5270.0
2014-05-26,5246.0
2014-05-27,5242.0
2014-05-28,5220.0
2014-05-29,5326.0
2014-05-30,5304.0
2014-06-03,5218.0
2014-06-04,5210.0
2014-06-05,5238.0
2014-06-06,5163.0
2014-06-09,5143.0
2014-06-10,5178.0
2014-06-11,5151.0
2014-06-12,5130.0
2014-06-13,5144.0
2014-06-16,5161.0
2014-06-17,5189.0
2014-06-18,5139.0
2014-06-19,5168.0
2014-06-20,5176.0
2014-06-23,5177.0
2014-06-24,5189.0
2014-06-25,5174.0
2014-06-26,5159.0
2014-06-27,5168.0
2014-06-30,5135.0
2014-07-01,4983.0
2014-07-02,5048.0
2014-07-03,5007.0
2014-07-04,5017.0
2014-07-07,4996.0
2014-07-08,4993.0
2014-07-09,5024.0
2014-07-10,4993.0
2014-07-11,4995.0
2014-07-14,4972.0
2014-07-15,5017.0
2014-07-16,5014.0
2014-07-17,5016.0
2014-07-18,4998.0
2014-07-21,4987.0
2014-07-22,4991.0
2014-07-23,5018.0
2014-07-24,5035.0
2014-07-25,5022.0
2014-07-28,5034.0
2014-07-29,5088.0
2014-07-30,5079.0
2014-07-31,5083.0
2014-08-01,5112.0
2014-08-04,5142.0
2014-08-05,5201.0
2014-08-06,5217.0
2014-08-07,5213.0
2014-08-08,5187.0
2014-08-11,5221.0
2014-08-12,5248.0
2014-08-13,5238.0
2014-08-14,5303.0
2014-08-15,5258.0
2014-08-18,5277.0
2014-08-19,5273.0
2014-08-20,5233.0
2014-08-21,5196.0
2014-08-22,5163.0
2014-08-25,5187.0
2014-08-26,5186.0
2014-08-27,5281.0
2014-08-28,5283.0
2014-08-29,5265.0
2014-09-01,5256.0
2014-09-02,5269.0
2014-09-03,5299.0
2014-09-04,5276.0
2014-09-05,5237.0
2014-09-09,5240.0
2014-09-10,5195.0
2014-09-11,5219.0
2014-09-12,5198.0
2014-09-15,5278.0
2014-09-16,5290.0
2014-09-17,5289.0
2014-09-18,5316.0
2014-09-19,5278.0
2014-09-22,5235.0
2014-09-23,5208.0
2014-09-24,5200.0
2014-09-25,5227.0
2014-09-26,5234.0
2014-09-29,5271.0
2014-09-30,5286.0
2014-10-08,5272.0
2014-10-09,5220.0
2014-10-10,5191.0
2014-10-13,5082.0
2014-10-14,5097.0
2014-10-15,5098.0
2014-10-16,5093.0
2014-10-17,5127.0
2014-10-20,5119.0
2014-10-21,5121.0
2014-10-22,5166.0
2014-10-23,5139.0
2014-10-24,5183.0
2014-10-27,5148.0
2014-10-28,5203.0
2014-10-29,5141.0
2014-10-30,5194.0
2014-10-31,5173.0
2014-11-03,5273.0
2014-11-04,5241.0
2014-11-05,5233.0
2014-11-06,5261.0
2014-11-07,5221.0
2014-11-10,5265.0
2014-11-11,5228.0
2014-11-12,5261.0
2014-11-13,5162.0
2014-11-14,5174.0
2014-11-17,5183.0
2014-11-18,5205.0
2014-11-19,5188.0
2014-11-20,5180.0
2014-11-21,5204.0
2014-11-24,5205.0
2014-11-25,5207.0
2014-11-26,5200.0
2014-11-27,5182.0
2014-11-28,5228.0
2014-12-01,5216.0
2014-12-02,5247.0
2014-12-03,5211.0
2014-12-04,5234.0
2014-12-05,5253.0
2014-12-08,5337.0
2014-12-09,5319.0
2014-12-10,5289.0
