DATETIME,price
2014-01-02,5303.0
2014-01-03,5381.0
2014-01-06,5399.0
2014-01-07,5366.0
2014-01-08,5359.0
2014-01-09,5284.0
2014-01-10,5249.0
2014-01-13,5283.0
2014-01-14,5322.0
2014-01-15,5351.0
2014-01-16,5302.0
2014-01-17,5310.0
2014-01-20,5336.0
2014-01-21,5369.0
2014-01-22,5288.0
2014-01-23,5284.0
2014-01-24,5310.0
2014-01-27,5345.0
2014-01-28,5285.0
2014-01-29,5286.0
2014-01-30,5283.0
2014-02-07,5310.0
2014-02-10,5286.0
2014-02-11,5350.0
2014-02-12,5335.0
2014-02-13,5337.0
2014-02-14,5328.0
2014-02-17,5490.0
2014-02-18,5628.0
2014-02-19,5580.0
2014-02-20,5624.0
2014-02-21,5565.0
2014-02-24,5594.0
2014-02-25,5638.0
2014-02-26,5586.0
2014-02-27,5569.0
2014-02-28,5490.0
2014-03-03,5480.0
2014-03-04,5510.0
2014-03-05,5455.0
2014-03-06,5470.0
2014-03-07,5463.0
2014-03-10,5490.0
2014-03-11,5376.0
2014-03-12,5419.0
2014-03-13,5427.0
2014-03-14,5431.0
2014-03-17,5550.0
2014-03-18,5482.0
2014-03-19,5346.0
2014-03-20,5369.0
2014-03-21,5323.0
2014-03-24,5369.0
2014-03-25,5330.0
2014-03-26,5323.0
2014-03-27,5335.0
2014-03-28,5305.0
2014-03-31,5318.0
2014-04-01,5317.0
2014-04-02,5305.0
2014-04-03,5330.0
2014-04-04,5301.0
2014-04-08,5312.0
2014-04-09,5354.0
2014-04-10,5286.0
2014-04-11,5356.0
2014-04-14,5332.0
2014-04-15,5337.0
2014-04-16,5238.0
2014-04-17,5267.0
2014-04-18,5249.0
2014-04-21,5237.0
2014-04-22,5183.0
2014-04-23,5194.0
2014-04-24,5201.0
2014-04-25,5182.0
2014-04-28,5270.0
2014-04-29,5299.0
2014-04-30,5265.0
2014-05-05,5268.0
2014-05-06,5293.0
2014-05-07,5286.0
2014-05-08,5273.0
2014-05-09,5229.0
2014-05-12,5227.0
2014-05-13,5289.0
2014-05-14,5279.0
2014-05-15,5337.0
2014-05-16,5287.0
2014-05-19,5253.0
2014-05-20,5297.0
2014-05-21,5254.0
2014-05-22,5270.0
2014-05-23,5314.0
2014-05-26,5292.0
2014-05-27,5294.0
2014-05-28,5239.0
2014-05-29,5242.0
2014-05-30,5195.0
2014-06-03,5196.0
2014-06-04,5199.0
2014-06-05,5209.0
2014-06-06,5241.0
2014-06-09,5238.0
2014-06-10,5234.0
2014-06-11,5228.0
2014-06-12,5247.0
2014-06-13,5232.0
2014-06-16,5286.0
2014-06-17,5320.0
2014-06-18,5284.0
2014-06-19,5296.0
2014-06-20,5364.0
2014-06-23,5509.0
2014-06-24,5544.0
2014-06-25,5549.0
2014-06-26,5516.0
2014-06-27,5513.0
2014-06-30,5520.0
2014-07-01,5484.0
2014-07-02,5509.0
2014-07-03,5513.0
2014-07-04,5504.0
2014-07-07,5519.0
2014-07-08,5466.0
2014-07-09,5487.0
2014-07-10,5501.0
2014-07-11,5544.0
2014-07-14,5585.0
2014-07-15,5506.0
2014-07-16,5499.0
2014-07-17,5474.0
2014-07-18,5481.0
2014-07-21,5486.0
2014-07-22,5513.0
2014-07-23,5509.0
2014-07-24,5515.0
2014-07-25,5497.0
2014-07-28,5447.0
2014-07-29,5468.0
2014-07-30,5482.0
2014-07-31,5462.0
2014-08-01,5466.0
2014-08-04,5459.0
2014-08-05,5459.0
2014-08-06,5425.0
2014-08-07,5401.0
2014-08-08,5399.0
2014-08-11,5402.0
2014-08-12,5412.0
2014-08-13,5419.0
2014-08-14,5409.0
2014-08-15,5385.0
2014-08-18,5325.0
2014-08-19,5307.0
2014-08-20,5289.0
2014-08-21,5280.0
2014-08-22,5265.0
2014-08-25,5282.0
2014-08-26,5284.0
2014-08-27,5326.0
2014-08-28,5305.0
2014-08-29,5349.0
2014-09-01,5330.0
2014-09-02,5313.0
2014-09-03,5272.0
2014-09-04,5275.0
2014-09-05,5281.0
2014-09-09,5270.0
2014-09-10,5262.0
2014-09-11,5274.0
2014-09-12,5250.0
2014-09-15,5218.0
2014-09-16,5223.0
2014-09-17,5238.0
2014-09-18,5245.0
2014-09-19,5199.0
2014-09-22,5228.0
2014-09-23,4988.0
2014-09-24,4972.0
2014-09-25,4956.0
2014-09-26,4920.0
2014-09-29,4963.0
2014-09-30,4993.0
2014-10-08,4979.0
2014-10-09,4974.0
2014-10-10,5002.0
2014-10-13,4996.0
2014-10-14,5009.0
2014-10-15,5023.0
2014-10-16,4999.0
2014-10-17,4991.0
2014-10-20,4989.0
2014-10-21,5006.0
2014-10-22,5030.0
2014-10-23,4977.0
2014-10-24,4973.0
2014-10-27,4977.0
2014-10-28,4964.0
2014-10-29,4984.0
2014-10-30,4962.0
2014-10-31,4847.0
2014-11-03,4679.0
2014-11-04,4654.0
2014-11-05,4629.0
2014-11-06,4580.0
2014-11-07,4587.0
2014-11-10,4606.0
2014-11-11,4662.0
2014-11-12,4668.0
2014-11-13,4688.0
2014-11-14,4697.0
2014-11-17,4606.0
2014-11-18,4784.0
2014-11-19,4796.0
2014-11-20,4789.0
2014-11-21,4778.0
2014-11-24,4815.0
2014-11-25,4806.0
2014-11-26,4840.0
2014-11-27,4815.0
2014-11-28,4791.0
2014-12-01,4733.0
2014-12-02,4647.0
2014-12-03,4774.0
2014-12-04,4825.0
2014-12-05,4839.0
2014-12-08,4860.0
2014-12-09,4828.0
2014-12-10,4898.0
2014-12-11,5008.0
2014-12-12,5007.0
2014-12-15,5042.0
2014-12-16,4980.0
2014-12-17,4930.0
2014-12-18,4796.0
2014-12-19,4835.0
2014-12-22,4829.0
2014-12-23,4852.0
2014-12-24,4761.0
2014-12-25,4784.0
2014-12-26,4778.0
2014-12-29,4854.0
2014-12-30,4824.0
2014-12-31,4813.0
2015-01-05,4860.0
2015-01-06,4852.0
2015-01-07,4905.0
2015-01-08,4902.0
2015-01-09,4928.0
2015-01-12,4907.0
2015-01-13,4939.0
2015-01-14,4998.0
2015-01-15,4953.0
2015-01-16,4995.0
2015-01-19,4999.0
2015-01-20,5132.0
2015-01-21,5182.0
2015-01-22,5250.0
2015-01-23,5206.0
2015-01-26,5227.0
2015-01-27,5193.0
2015-01-28,5177.0
2015-01-29,5179.0
2015-01-30,5076.0
2015-02-02,4957.0
2015-02-03,4980.0
2015-02-04,5029.0
2015-02-05,5018.0
2015-02-06,5014.0
2015-02-09,5037.0
2015-02-10,4968.0
2015-02-11,4967.0
2015-02-12,4977.0
2015-02-13,4960.0
2015-02-16,4985.0
2015-02-17,5038.0
2015-02-25,4925.0
2015-02-26,4951.0
2015-02-27,4978.0
2015-03-02,4955.0
2015-03-03,4985.0
2015-03-04,4954.0
2015-03-05,4921.0
2015-03-06,4899.0
2015-03-09,4885.0
2015-03-10,4822.0
2015-03-11,4804.0
2015-03-12,4795.0
2015-03-13,4800.0
2015-03-16,4810.0
2015-03-17,4816.0
2015-03-18,4789.0
2015-03-19,4780.0
2015-03-20,4856.0
2015-03-23,4887.0
2015-03-24,5012.0
2015-03-25,5045.0
2015-03-26,5052.0
2015-03-27,5043.0
2015-03-30,5030.0
2015-03-31,4963.0
2015-04-01,4946.0
2015-04-02,4943.0
2015-04-03,4955.0
2015-04-07,4958.0
2015-04-08,4974.0
2015-04-09,4968.0
2015-04-10,4855.0
2015-04-13,4888.0
2015-04-14,4895.0
2015-04-15,4847.0
2015-04-16,4870.0
2015-04-17,4923.0
2015-04-20,4882.0
2015-04-21,4871.0
2015-04-22,4858.0
2015-04-23,4859.0
2015-04-24,4819.0
2015-04-27,4827.0
2015-04-28,4845.0
2015-04-29,4989.0
2015-04-30,4977.0
2015-05-04,4900.0
2015-05-05,4946.0
2015-05-06,4981.0
2015-05-07,5000.0
2015-05-08,4920.0
2015-05-11,4963.0
2015-05-12,4964.0
2015-05-13,4965.0
2015-05-14,5117.0
2015-05-15,5111.0
2015-05-18,5112.0
2015-05-19,5185.0
2015-05-20,5100.0
2015-05-21,5030.0
2015-05-22,5022.0
2015-05-25,5032.0
2015-05-26,5027.0
2015-05-27,4968.0
2015-05-28,4973.0
2015-05-29,4991.0
2015-06-01,4990.0
2015-06-02,4982.0
2015-06-03,4987.0
2015-06-04,4978.0
2015-06-05,4934.0
2015-06-08,4881.0
2015-06-09,4893.0
2015-06-10,4898.0
2015-06-11,4924.0
2015-06-12,4899.0
2015-06-15,4872.0
2015-06-16,4879.0
2015-06-17,4896.0
2015-06-18,4880.0
2015-06-19,4950.0
2015-06-23,4903.0
2015-06-24,4863.0
2015-06-25,4831.0
2015-06-26,4822.0
2015-06-29,4794.0
2015-06-30,4819.0
2015-07-01,4765.0
2015-07-02,4767.0
2015-07-03,4789.0
2015-07-06,4802.0
2015-07-07,4767.0
2015-07-08,4746.0
2015-07-09,4550.0
2015-07-10,4718.0
2015-07-13,4717.0
2015-07-14,4703.0
2015-07-15,4686.0
2015-07-16,4655.0
2015-07-17,4589.0
2015-07-20,4581.0
2015-07-21,4566.0
2015-07-22,4590.0
2015-07-23,4565.0
2015-07-24,4586.0
2015-07-27,4530.0
2015-07-28,4553.0
2015-07-29,4551.0
2015-07-30,4563.0
2015-07-31,4562.0
2015-08-03,4569.0
2015-08-04,4563.0
2015-08-05,4549.0
2015-08-06,4545.0
2015-08-07,4530.0
2015-08-10,4548.0
2015-08-11,4590.0
2015-08-12,4708.0
2015-08-13,4888.0
2015-08-14,4820.0
2015-08-17,4835.0
2015-08-18,4796.0
2015-08-19,4749.0
2015-08-20,4743.0
2015-08-21,4831.0
2015-08-24,4820.0
2015-08-25,4683.0
2015-08-26,4726.0
2015-08-27,4605.0
2015-08-28,4589.0
2015-08-31,4656.0
2015-09-01,4649.0
2015-09-02,4666.0
2015-09-07,4654.0
2015-09-08,4644.0
2015-09-09,4674.0
2015-09-10,4663.0
2015-09-11,4667.0
2015-09-14,4645.0
2015-09-15,4620.0
2015-09-16,4621.0
2015-09-17,4680.0
2015-09-18,4694.0
2015-09-21,4781.0
2015-09-22,4737.0
2015-09-23,4681.0
2015-09-24,4693.0
2015-09-25,4689.0
2015-09-28,4720.0
2015-09-29,4648.0
2015-09-30,4636.0
2015-10-08,4885.0
2015-10-09,4761.0
2015-10-12,4823.0
2015-10-13,4816.0
2015-10-14,4785.0
2015-10-15,4809.0
