DATETIME,price
2017-12-22,6338.0
2017-12-25,6519.0
2017-12-26,6511.0
2017-12-27,6499.0
2017-12-28,6497.0
2017-12-29,6513.0
2018-01-02,6493.0
2018-01-03,6509.0
2018-01-04,6503.0
2018-01-05,6501.0
2018-01-08,6508.0
2018-01-09,6489.0
2018-01-10,6361.0
2018-01-11,6337.0
2018-01-12,6249.0
2018-01-15,6168.0
2018-01-16,6173.0
2018-01-17,6141.0
2018-01-18,6075.0
2018-01-19,6076.0
2018-01-22,6086.0
2018-01-23,6117.0
2018-01-24,6111.0
2018-01-25,6088.0
2018-01-26,6070.0
2018-01-29,6096.0
2018-01-30,5959.0
2018-01-31,5914.0
2018-02-01,5898.0
2018-02-02,5850.0
2018-02-05,5825.0
2018-02-06,5733.0
2018-02-07,5683.0
2018-02-08,5285.0
2018-02-09,5170.0
2018-02-12,5156.0
2018-02-13,5211.0
2018-02-14,5202.0
2018-02-22,5004.0
2018-02-23,4888.0
2018-02-26,5365.0
2018-02-27,5352.0
2018-02-28,5485.0
2018-03-01,5495.0
2018-03-02,5518.0
2018-03-05,5410.0
2018-03-06,5431.0
2018-03-07,5620.0
2018-03-08,5589.0
2018-03-09,5534.0
2018-03-12,5657.0
2018-03-13,5434.0
2018-03-14,5446.0
2018-03-15,5400.0
2018-03-16,5319.0
2018-03-19,5448.0
2018-03-20,5420.0
2018-03-21,5419.0
2018-03-22,5667.0
2018-03-23,5589.0
2018-03-26,5776.0
2018-03-27,5817.0
2018-03-28,5711.0
2018-03-29,5742.0
2018-03-30,5643.0
2018-04-02,5706.0
2018-04-03,5811.0
2018-04-04,5806.0
2018-04-09,5671.0
2018-04-10,5729.0
2018-04-11,5725.0
2018-04-12,5760.0
2018-04-13,5809.0
2018-04-16,5855.0
2018-04-17,5838.0
2018-04-18,5830.0
2018-04-19,5882.0
2018-04-20,5841.0
2018-04-23,5948.0
2018-04-24,6217.0
2018-04-25,6212.0
2018-04-26,6195.0
2018-04-27,6474.0
2018-05-02,6603.0
2018-05-03,6645.0
2018-05-04,6644.0
2018-05-07,6552.0
2018-05-08,6575.0
2018-05-09,6781.0
2018-05-10,6805.0
2018-05-11,6782.0
2018-05-14,6889.0
2018-05-15,7247.0
2018-05-16,7692.0
2018-05-17,7600.0
2018-05-18,7787.0
2018-05-21,7791.0
2018-05-22,7862.0
2018-05-23,8151.0
2018-05-24,7977.0
2018-05-25,7834.0
2018-05-28,7969.0
2018-05-29,7817.0
2018-05-30,7982.0
2018-05-31,8035.0
2018-06-01,8021.0
2018-06-04,8110.0
2018-06-05,8075.0
2018-06-06,7832.0
2018-06-07,7869.0
2018-06-08,7799.0
2018-06-11,7292.0
2018-06-12,7457.0
2018-06-13,7856.0
2018-06-14,8313.0
2018-06-15,8393.0
2018-06-19,8731.0
2018-06-20,8708.0
2018-06-21,8262.0
2018-06-22,7923.0
2018-06-25,8341.0
2018-06-26,8033.0
2018-06-27,8062.0
2018-06-28,8047.0
2018-06-29,8196.0
2018-07-02,8348.0
2018-07-03,8085.0
2018-07-04,8223.0
2018-07-05,8063.0
2018-07-06,8112.0
2018-07-09,8172.0
2018-07-10,8199.0
2018-07-11,8057.0
2018-07-12,8057.0
2018-07-13,7900.0
2018-07-16,7844.0
2018-07-17,7761.0
2018-07-18,7474.0
2018-07-19,7580.0
2018-07-20,8095.0
2018-07-23,8039.0
2018-07-24,7891.0
2018-07-25,8060.0
2018-07-26,7937.0
2018-07-27,8063.0
2018-07-30,8089.0
2018-07-31,8231.0
2018-08-01,8426.0
2018-08-02,8330.0
2018-08-03,8428.0
2018-08-06,8800.0
2018-08-07,9205.0
2018-08-08,8795.0
2018-08-09,9030.0
2018-08-10,8815.0
2018-08-13,8909.0
2018-08-14,9012.0
2018-08-15,9142.0
2018-08-16,8939.0
2018-08-17,9211.0
2018-08-20,9712.0
2018-08-21,9576.0
2018-08-22,9620.0
2018-08-23,9551.0
2018-08-24,9061.0
2018-08-27,9191.0
2018-08-28,9558.0
2018-08-29,9589.0
2018-08-30,9584.0
2018-08-31,9528.0
2018-09-03,9618.0
2018-09-04,9416.0
2018-09-05,9325.0
2018-09-06,9200.0
2018-09-07,9413.0
2018-09-10,9509.0
2018-09-11,9606.0
2018-09-12,9557.0
2018-09-13,9649.0
2018-09-14,9498.0
2018-09-17,9610.0
2018-09-18,9412.0
2018-09-19,9547.0
2018-09-20,9926.0
2018-09-21,9997.0
2018-09-25,10011.0
2018-09-26,9522.0
2018-09-27,9610.0
2018-09-28,9241.0
2018-10-08,9437.0
2018-10-09,9349.0
2018-10-10,9444.0
2018-10-11,9382.0
2018-10-12,9312.0
2018-10-15,9332.0
2018-10-16,8866.0
2018-10-17,8788.0
2018-10-18,8710.0
2018-10-19,8736.0
2018-10-22,8437.0
2018-10-23,8469.0
2018-10-24,8443.0
2018-10-25,8520.0
2018-10-26,8535.0
2018-10-29,8975.0
2018-10-30,8857.0
2018-10-31,9045.0
2018-11-01,9000.0
2018-11-02,8836.0
2018-11-05,8966.0
2018-11-06,8955.0
2018-11-07,9243.0
2018-11-08,9258.0
2018-11-09,9351.0
2018-11-12,9368.0
2018-11-13,9209.0
2018-11-14,9268.0
2018-11-15,9420.0
2018-11-16,9424.0
2018-11-19,9497.0
2018-11-20,9453.0
2018-11-21,9309.0
2018-11-22,9580.0
2018-11-23,9352.0
2018-11-26,9424.0
2018-11-27,9209.0
2018-11-28,8848.0
2018-11-29,8808.0
2018-11-30,8412.0
2018-12-03,8694.0
2018-12-04,8578.0
2018-12-05,8705.0
2018-12-06,8848.0
2018-12-07,8729.0
2018-12-10,8913.0
2018-12-11,8867.0
2018-12-12,8868.0
2018-12-13,8813.0
2018-12-14,8664.0
2018-12-17,8628.0
2018-12-18,8762.0
2018-12-19,8695.0
2018-12-20,8245.0
2018-12-21,8267.0
2018-12-24,8356.0
2018-12-25,8217.0
2018-12-26,8415.0
2018-12-27,8509.0
2018-12-28,8353.0
2019-01-02,8371.0
2019-01-03,7972.0
2019-01-04,7664.0
2019-01-07,7807.0
2019-01-08,7692.0
2019-01-09,7781.0
2019-01-10,7708.0
2019-01-11,7688.0
2019-01-14,7649.0
2019-01-15,7750.0
2019-01-16,7824.0
2019-01-17,7719.0
2019-01-18,7760.0
2019-01-21,7660.0
2019-01-22,7849.0
2019-01-23,7760.0
2019-01-24,7796.0
2019-01-25,7909.0
2019-01-28,8144.0
2019-01-29,8110.0
2019-01-30,7950.0
2019-01-31,7951.0
2019-02-01,7967.0
2019-02-11,7959.0
2019-02-12,8258.0
2019-02-13,8252.0
2019-02-14,8243.0
2019-02-15,8240.0
2019-02-18,8356.0
2019-02-19,8290.0
2019-02-20,8350.0
2019-02-21,8351.0
2019-02-22,8367.0
2019-02-25,8506.0
2019-02-26,8430.0
2019-02-27,8364.0
2019-02-28,8089.0
2019-03-01,8107.0
2019-03-04,8160.0
2019-03-05,8072.0
2019-03-06,8182.0
2019-03-07,8377.0
2019-03-08,8381.0
2019-03-11,8404.0
2019-03-12,8281.0
2019-03-13,8320.0
2019-03-14,8289.0
2019-03-15,8268.0
2019-03-18,8309.0
2019-03-19,8473.0
2019-03-20,8445.0
2019-03-21,8389.0
2019-03-22,8417.0
2019-03-25,8306.0
2019-03-26,8335.0
2019-03-27,8327.0
2019-03-28,8468.0
2019-03-29,8439.0
2019-04-01,8707.0
2019-04-02,8672.0
2019-04-03,8669.0
2019-04-04,8789.0
2019-04-08,8714.0
2019-04-09,8818.0
2019-04-10,8935.0
2019-04-11,9006.0
2019-04-12,8965.0
2019-04-15,8937.0
2019-04-16,8963.0
2019-04-17,9267.0
2019-04-18,9365.0
