DATETIME,price
2014-01-02,6007.0
2014-01-03,5987.0
2014-01-06,5975.0
2014-01-07,5977.0
2014-01-08,5951.0
2014-01-09,5971.0
2014-01-10,5985.0
2014-01-13,5985.0
2014-01-14,6015.0
2014-01-15,6025.0
2014-01-16,6085.0
2014-01-17,6079.0
2014-01-20,6063.0
2014-01-21,6065.0
2014-01-22,6075.0
2014-01-23,6065.0
2014-01-24,6061.0
2014-01-27,6055.0
2014-01-28,6077.0
2014-01-29,6073.0
2014-01-30,6075.0
2014-02-07,6097.0
2014-02-10,6133.0
2014-02-11,6107.0
2014-02-12,6125.0
2014-02-13,6017.0
2014-02-14,6017.0
2014-02-17,5975.0
2014-02-18,5983.0
2014-02-19,5989.0
2014-02-20,5965.0
2014-02-21,5949.0
2014-02-24,5943.0
2014-02-25,5937.0
2014-02-26,5935.0
2014-02-27,5849.0
2014-02-28,5855.0
2014-03-03,5867.0
2014-03-04,5845.0
2014-03-05,5837.0
2014-03-06,5847.0
2014-03-07,5849.0
2014-03-10,5813.0
2014-03-11,5769.0
2014-03-12,5789.0
2014-03-13,5769.0
2014-03-14,5765.0
2014-03-17,5771.0
2014-03-18,5767.0
2014-03-19,5777.0
2014-03-20,5807.0
2014-03-21,5797.0
2014-03-24,5799.0
2014-03-25,5809.0
2014-03-26,5817.0
2014-03-27,5801.0
2014-03-28,5793.0
2014-03-31,5871.0
2014-04-01,5747.0
2014-04-02,5755.0
2014-04-03,5719.0
2014-04-04,5695.0
2014-04-08,5709.0
2014-04-09,5733.0
2014-04-10,5735.0
2014-04-11,5723.0
2014-04-14,5741.0
2014-04-15,5811.0
2014-04-16,5791.0
2014-04-17,5775.0
2014-04-18,5759.0
2014-04-21,5763.0
2014-04-22,5735.0
2014-04-23,5743.0
2014-04-24,5737.0
2014-04-25,5765.0
2014-04-28,5751.0
2014-04-29,5769.0
2014-04-30,5767.0
2014-05-05,5787.0
2014-05-06,5771.0
2014-05-07,5761.0
2014-05-08,5715.0
2014-05-09,5731.0
2014-05-12,5731.0
2014-05-13,5739.0
2014-05-14,5741.0
2014-05-15,5743.0
2014-05-16,5733.0
2014-05-19,5733.0
2014-05-20,5733.0
2014-05-21,5733.0
2014-05-22,5731.0
2014-05-23,5731.0
2014-05-26,5723.0
2014-05-27,5711.0
2014-05-28,5675.0
2014-05-29,5659.0
2014-05-30,5661.0
2014-06-03,5667.0
2014-06-04,5645.0
2014-06-05,5657.0
2014-06-06,5655.0
2014-06-09,5655.0
2014-06-10,5657.0
2014-06-11,5659.0
2014-06-12,5661.0
2014-06-13,5657.0
2014-06-16,5695.0
2014-06-17,5691.0
2014-06-18,5687.0
2014-06-19,5683.0
2014-06-20,5671.0
2014-06-23,5671.0
2014-06-24,5689.0
2014-06-25,5679.0
2014-06-26,5679.0
2014-06-27,5673.0
2014-06-30,5685.0
2014-07-01,5687.0
2014-07-02,5675.0
2014-07-03,5703.0
2014-07-04,5717.0
2014-07-07,5725.0
2014-07-08,5703.0
2014-07-09,5699.0
2014-07-10,5691.0
2014-07-11,5701.0
2014-07-14,5697.0
2014-07-15,5697.0
2014-07-16,5703.0
2014-07-17,5703.0
2014-07-18,5705.0
2014-07-21,5705.0
2014-07-22,5695.0
2014-07-23,5685.0
2014-07-24,5677.0
2014-07-25,5681.0
2014-07-28,5687.0
2014-07-29,5707.0
2014-07-30,5701.0
2014-07-31,5685.0
2014-08-01,5665.0
2014-08-04,5691.0
2014-08-05,5701.0
2014-08-06,5721.0
2014-08-07,5697.0
2014-08-08,5689.0
2014-08-11,5691.0
2014-08-12,5685.0
2014-08-13,5653.0
2014-08-14,5635.0
2014-08-15,5631.0
2014-08-18,5627.0
2014-08-19,5625.0
2014-08-20,5641.0
2014-08-21,5659.0
2014-08-22,5679.0
2014-08-25,5679.0
2014-08-26,5689.0
2014-08-27,5707.0
2014-08-28,5709.0
2014-08-29,5721.0
2014-09-01,5703.0
2014-09-02,5707.0
2014-09-03,5715.0
2014-09-04,5729.0
2014-09-05,5725.0
2014-09-09,5771.0
2014-09-10,5733.0
2014-09-11,5757.0
2014-09-12,5833.0
2014-09-15,5853.0
2014-09-16,5859.0
2014-09-17,5835.0
2014-09-18,5829.0
2014-09-19,5811.0
2014-09-22,5757.0
2014-09-23,5703.0
2014-09-24,5697.0
2014-09-25,5683.0
2014-09-26,5685.0
2014-09-29,5723.0
2014-09-30,5797.0
2014-10-08,5755.0
2014-10-09,5857.0
2014-10-10,5731.0
2014-10-13,5721.0
2014-10-14,5743.0
2014-10-15,5745.0
2014-10-16,5719.0
2014-10-17,5715.0
2014-10-20,5729.0
2014-10-21,5713.0
2014-10-22,5733.0
2014-10-23,5727.0
2014-10-24,5719.0
2014-10-27,5735.0
2014-10-28,5725.0
2014-10-29,5691.0
2014-10-30,5713.0
2014-10-31,5719.0
2014-11-03,5713.0
2014-11-04,5723.0
2014-11-05,5707.0
2014-11-06,5705.0
2014-11-07,5679.0
2014-11-10,5667.0
2014-11-11,5657.0
2014-11-12,5649.0
2014-11-13,5677.0
2014-11-14,5651.0
2014-11-17,5599.0
2014-11-18,5487.0
2014-11-19,5357.0
2014-11-20,5355.0
2014-11-21,5341.0
2014-11-24,5343.0
2014-11-25,5393.0
2014-11-26,5355.0
2014-11-27,5301.0
2014-11-28,5303.0
2014-12-01,5165.0
2014-12-02,5305.0
2014-12-03,5301.0
2014-12-04,5399.0
2014-12-05,5263.0
2014-12-08,5133.0
2014-12-09,4915.0
2014-12-10,4913.0
2014-12-11,4913.0
2014-12-12,4889.0
2014-12-15,4931.0
2014-12-16,4933.0
