DATETIME,price
2014-01-02,2232.0
2014-01-03,2229.0
2014-01-06,2218.0
2014-01-07,2235.0
2014-01-08,2246.0
2014-01-09,2248.0
2014-01-10,2256.0
2014-01-13,2258.0
2014-01-14,2254.0
2014-01-15,2253.0
2014-01-16,2246.0
2014-01-17,2244.0
2014-01-20,2244.0
2014-01-21,2250.0
2014-01-22,2244.0
2014-01-23,2245.0
2014-01-24,2248.0
2014-01-27,2246.0
2014-01-28,2252.0
2014-01-29,2252.0
2014-01-30,2252.0
2014-02-07,2254.0
2014-02-10,2248.0
2014-02-11,2227.0
2014-02-12,2228.0
2014-02-13,2227.0
2014-02-14,2231.0
2014-02-17,2231.0
2014-02-18,2230.0
2014-02-19,2231.0
2014-02-20,2229.0
2014-02-21,2233.0
2014-02-24,2234.0
2014-02-25,2232.0
2014-02-26,2228.0
2014-02-27,2230.0
2014-02-28,2229.0
2014-03-03,2230.0
2014-03-04,2243.0
2014-03-05,2247.0
2014-03-06,2245.0
2014-03-07,2243.0
2014-03-10,2245.0
2014-03-11,2234.0
2014-03-12,2240.0
2014-03-13,2244.0
2014-03-14,2265.0
2014-03-17,2270.0
2014-03-18,2261.0
2014-03-19,2264.0
2014-03-20,2262.0
2014-03-21,2255.0
2014-03-24,2258.0
2014-03-25,2262.0
2014-03-26,2255.0
2014-03-27,2254.0
2014-03-28,2256.0
2014-03-31,2253.0
2014-04-01,2259.0
2014-04-02,2251.0
2014-04-03,2240.0
2014-04-04,2246.0
2014-04-08,2250.0
2014-04-09,2253.0
2014-04-10,2253.0
2014-04-11,2252.0
2014-04-14,2246.0
2014-04-15,2254.0
2014-04-16,2261.0
2014-04-17,2252.0
2014-04-18,2255.0
2014-04-21,2252.0
2014-04-22,2245.0
2014-04-23,2263.0
2014-04-24,2258.0
2014-04-25,2258.0
2014-04-28,2262.0
2014-04-29,2267.0
2014-04-30,2266.0
2014-05-05,2273.0
2014-05-06,2278.0
2014-05-07,2271.0
2014-05-08,2270.0
2014-05-09,2266.0
2014-05-12,2264.0
2014-05-13,2268.0
