DATETIME,price
2018-12-10,6125.0
2018-12-11,6152.0
2018-12-12,6114.0
2018-12-13,6053.0
2018-12-14,6181.0
2018-12-17,6126.0
2018-12-18,6122.0
2018-12-19,6113.0
2018-12-20,6162.0
2018-12-21,6095.0
2018-12-24,5914.0
2018-12-25,5734.0
2018-12-26,5734.0
2018-12-27,5835.0
2018-12-28,5675.0
2019-01-02,5639.0
2019-01-03,5627.0
2019-01-04,5684.0
2019-01-07,5701.0
2019-01-08,5674.0
2019-01-09,5670.0
2019-01-10,5696.0
2019-01-11,5614.0
2019-01-14,5659.0
2019-01-15,5675.0
2019-01-16,5759.0
2019-01-17,5744.0
2019-01-18,5673.0
2019-01-21,5753.0
2019-01-22,5807.0
2019-01-23,5774.0
2019-01-24,5773.0
2019-01-25,5809.0
2019-01-28,5788.0
2019-01-29,5684.0
2019-01-30,5715.0
2019-01-31,5764.0
2019-02-01,5824.0
2019-02-11,5829.0
2019-02-12,5779.0
2019-02-13,5734.0
2019-02-14,5707.0
2019-02-15,5693.0
2019-02-18,5704.0
2019-02-19,5580.0
2019-02-20,5603.0
2019-02-21,5638.0
2019-02-22,5657.0
2019-02-25,5691.0
2019-02-26,5632.0
2019-02-27,5704.0
2019-02-28,5704.0
2019-03-01,5729.0
2019-03-04,5819.0
2019-03-05,5854.0
2019-03-06,5859.0
2019-03-07,5946.0
2019-03-08,5815.0
2019-03-11,5864.0
2019-03-12,5810.0
2019-03-13,5800.0
2019-03-14,5791.0
2019-03-15,5723.0
2019-03-18,5654.0
2019-03-19,5677.0
2019-03-20,5644.0
2019-03-21,5698.0
2019-03-22,5687.0
2019-03-25,5634.0
2019-03-26,5659.0
2019-03-27,5584.0
2019-03-28,5488.0
2019-03-29,5346.0
2019-04-01,5397.0
2019-04-02,5409.0
2019-04-03,5364.0
2019-04-04,5375.0
2019-04-08,5484.0
2019-04-09,5390.0
2019-04-10,5404.0
2019-04-11,5405.0
2019-04-12,5350.0
2019-04-15,5384.0
2019-04-16,5299.0
2019-04-17,5241.0
2019-04-18,5234.0
2019-04-19,5249.0
2019-04-22,5267.0
2019-04-23,5270.0
2019-04-24,5257.0
2019-04-25,5216.0
2019-04-26,5198.0
2019-04-29,5076.0
2019-04-30,5087.0
2019-05-06,5029.0
2019-05-07,5030.0
2019-05-08,5035.0
2019-05-09,5072.0
2019-05-10,5044.0
2019-05-13,5051.0
2019-05-14,4909.0
2019-05-15,4788.0
2019-05-16,4788.0
2019-05-17,4830.0
2019-05-20,4744.0
2019-05-21,4754.0
2019-05-22,4783.0
2019-05-23,4748.0
2019-05-24,4735.0
2019-05-27,4867.0
2019-05-28,4855.0
2019-05-29,4797.0
2019-05-30,4811.0
2019-05-31,4823.0
2019-06-03,4830.0
2019-06-04,4766.0
2019-06-05,4788.0
2019-06-06,4667.0
2019-06-10,4751.0
2019-06-11,4726.0
2019-06-12,4746.0
2019-06-13,4712.0
2019-06-14,4748.0
2019-06-17,4698.0
2019-06-18,4717.0
2019-06-19,4767.0
2019-06-20,4798.0
2019-06-21,4838.0
2019-06-24,4786.0
