DATETIME,price
2014-01-02,624.0
2014-01-03,610.0
2014-01-06,617.0
2014-01-07,588.0
2014-01-08,569.0
2014-01-09,564.0
2014-01-10,578.0
2014-01-13,588.0
2014-01-14,580.0
2014-01-15,590.0
2014-01-16,598.0
2014-01-17,578.0
2014-01-20,588.0
2014-01-21,580.0
2014-01-22,549.0
2014-01-23,565.0
2014-01-24,596.0
2014-01-27,604.0
2014-01-28,613.0
2014-01-29,606.0
2014-01-30,623.0
2014-02-07,642.0
2014-02-10,614.0
2014-02-11,624.0
2014-02-12,631.0
2014-02-13,645.0
2014-02-14,636.0
2014-02-17,643.0
2014-02-18,648.0
2014-02-19,635.0
2014-02-20,627.0
2014-02-21,627.0
2014-02-24,626.0
2014-02-25,600.0
2014-02-26,591.0
2014-02-27,596.0
2014-02-28,582.0
2014-03-03,579.0
2014-03-04,573.0
2014-03-05,577.0
2014-03-06,583.0
2014-03-07,586.0
2014-03-10,558.0
2014-03-11,528.0
2014-03-12,550.0
2014-03-13,562.0
2014-03-14,558.0
2014-03-17,562.0
2014-03-18,561.0
2014-03-19,584.0
2014-03-20,592.0
2014-03-21,573.0
2014-03-24,571.0
2014-03-25,555.0
2014-03-26,570.0
2014-03-27,539.0
2014-03-28,548.0
2014-03-31,570.0
2014-04-01,569.0
2014-04-02,573.0
2014-04-03,554.0
2014-04-04,565.0
2014-04-08,563.0
2014-04-09,590.0
2014-04-10,582.0
2014-04-11,582.0
2014-04-14,556.0
2014-04-15,563.0
2014-04-16,564.0
2014-04-17,574.0
2014-04-18,570.0
2014-04-21,553.0
2014-04-22,541.0
2014-04-23,534.0
2014-04-24,534.0
2014-04-25,542.0
2014-04-28,531.0
2014-04-29,537.0
2014-04-30,550.0
2014-05-05,532.0
2014-05-06,546.0
2014-05-07,531.0
2014-05-08,519.0
2014-05-09,524.0
2014-05-12,525.0
2014-05-13,529.0
2014-05-14,520.0
2014-05-15,520.0
2014-05-16,505.0
2014-05-19,492.0
2014-05-20,491.0
2014-05-21,466.0
2014-05-22,457.0
2014-05-23,461.0
2014-05-26,456.0
2014-05-27,461.0
2014-05-28,453.0
2014-05-29,457.0
2014-05-30,436.0
2014-06-03,421.0
2014-06-04,396.0
2014-06-05,401.0
2014-06-06,406.0
2014-06-09,393.0
2014-06-10,376.0
2014-06-11,375.0
2014-06-12,366.0
2014-06-13,371.0
2014-06-16,376.0
2014-06-17,353.0
2014-06-18,363.0
2014-06-19,361.0
2014-06-20,365.0
2014-06-23,386.0
2014-06-24,388.0
2014-06-25,382.0
2014-06-26,381.0
2014-06-27,395.0
2014-06-30,372.0
2014-07-01,383.0
2014-07-02,382.0
2014-07-03,387.0
2014-07-04,387.0
2014-07-07,379.0
2014-07-08,379.0
2014-07-09,382.0
2014-07-10,377.0
2014-07-11,382.0
2014-07-14,365.0
2014-07-15,363.0
2014-07-16,368.0
2014-07-17,371.0
