DATETIME,price
2018-07-16,2618.0
2018-07-17,2541.0
2018-07-18,2462.0
2018-07-19,2479.0
2018-07-20,2498.0
2018-07-23,2576.0
2018-07-24,2620.0
2018-07-25,2662.0
2018-07-26,2717.0
2018-07-27,2732.0
2018-07-30,2721.0
2018-07-31,2739.0
2018-08-01,2762.0
2018-08-02,2707.0
2018-08-03,2674.0
2018-08-06,2725.0
2018-08-07,2746.0
2018-08-08,2827.0
2018-08-09,2751.0
2018-08-10,2773.0
2018-08-13,2750.0
2018-08-14,2772.0
2018-08-15,2789.0
2018-08-16,2730.0
2018-08-17,2630.0
2018-08-20,2638.0
2018-08-21,2618.0
2018-08-22,2668.0
2018-08-23,2701.0
2018-08-24,2710.0
2018-08-27,2762.0
2018-08-28,2728.0
2018-08-29,2738.0
2018-08-30,2710.0
2018-08-31,2778.0
2018-09-03,2780.0
2018-09-04,2763.0
2018-09-05,2785.0
2018-09-06,2697.0
2018-09-07,2698.0
2018-09-10,2687.0
2018-09-11,2723.0
2018-09-12,2698.0
2018-09-13,2789.0
2018-09-14,2752.0
2018-09-17,2709.0
2018-09-18,2728.0
2018-09-19,2730.0
2018-09-20,2746.0
2018-09-21,2771.0
2018-09-25,2801.0
2018-09-26,2872.0
2018-09-27,2895.0
2018-09-28,2948.0
2018-10-08,3001.0
2018-10-09,3035.0
2018-10-10,3238.0
2018-10-11,3221.0
2018-10-12,3078.0
2018-10-15,3099.0
2018-10-16,3090.0
2018-10-17,3010.0
2018-10-18,3064.0
2018-10-19,3020.0
2018-10-22,3073.0
2018-10-23,3134.0
2018-10-24,3079.0
2018-10-25,3083.0
2018-10-26,3050.0
2018-10-29,3082.0
2018-10-30,3054.0
2018-10-31,3068.0
2018-11-01,3058.0
2018-11-02,3002.0
2018-11-05,2978.0
2018-11-06,3032.0
2018-11-07,3060.0
2018-11-08,3125.0
2018-11-09,3055.0
2018-11-12,2956.0
2018-11-13,2979.0
2018-11-14,2915.0
2018-11-15,2789.0
2018-11-16,2801.0
2018-11-19,2810.0
2018-11-20,2780.0
2018-11-21,2775.0
2018-11-22,2671.0
2018-11-23,2653.0
2018-11-26,2525.0
2018-11-27,2515.0
2018-11-28,2515.0
2018-11-29,2523.0
2018-11-30,2470.0
2018-12-03,2421.0
2018-12-04,2478.0
2018-12-05,2539.0
2018-12-06,2542.0
2018-12-07,2440.0
2018-12-10,2460.0
2018-12-11,2485.0
2018-12-12,2460.0
2018-12-13,2481.0
2018-12-14,2370.0
2018-12-17,2400.0
2018-12-18,2400.0
2018-12-19,2307.0
2018-12-20,2227.0
2018-12-21,2190.0
2018-12-24,2215.0
2018-12-25,2224.0
2018-12-26,2090.0
2018-12-27,2090.0
2018-12-28,2152.0
2019-01-02,2140.0
2019-01-03,2115.0
2019-01-04,2175.0
2019-01-07,2242.0
2019-01-08,2268.0
2019-01-09,2283.0
2019-01-10,2308.0
2019-01-11,2385.0
2019-01-14,2384.0
2019-01-15,2331.0
