DATETIME,price
2014-03-21,283.0
2014-03-24,343.0
2014-03-25,349.0
2014-03-26,403.0
2014-03-27,389.0
2014-03-28,393.0
2014-03-31,419.0
2014-04-01,435.0
2014-04-02,443.0
2014-04-03,411.0
2014-04-04,439.0
2014-04-08,479.0
2014-04-09,515.0
2014-04-10,479.0
2014-04-11,467.0
2014-04-14,459.0
2014-04-15,471.0
2014-04-16,473.0
2014-04-17,449.0
2014-04-18,437.0
2014-04-21,371.0
2014-04-22,367.0
2014-04-23,383.0
2014-04-24,407.0
2014-04-25,425.0
2014-04-28,399.0
2014-04-29,361.0
2014-04-30,397.0
2014-05-05,361.0
2014-05-06,375.0
2014-05-07,365.0
2014-05-08,351.0
2014-05-09,339.0
2014-05-12,345.0
2014-05-13,365.0
2014-05-14,353.0
2014-05-15,351.0
2014-05-16,319.0
2014-05-19,293.0
2014-05-20,281.0
2014-05-21,289.0
2014-05-22,299.0
2014-05-23,313.0
2014-05-26,315.0
2014-05-27,365.0
2014-05-28,359.0
2014-05-29,335.0
2014-05-30,327.0
2014-06-03,279.0
2014-06-04,295.0
2014-06-05,299.0
2014-06-06,299.0
2014-06-09,305.0
2014-06-10,287.0
2014-06-11,297.0
2014-06-12,279.0
2014-06-13,265.0
2014-06-16,263.0
2014-06-17,245.0
2014-06-18,267.0
2014-06-19,293.0
2014-06-20,295.0
2014-06-23,309.0
2014-06-24,321.0
2014-06-25,309.0
2014-06-26,315.0
2014-06-27,353.0
2014-06-30,323.0
2014-07-01,315.0
2014-07-02,323.0
2014-07-03,347.0
2014-07-04,335.0
2014-07-07,339.0
2014-07-08,323.0
2014-07-09,341.0
2014-07-10,329.0
2014-07-11,357.0
2014-07-14,375.0
2014-07-15,389.0
2014-07-16,385.0
2014-07-17,327.0
2014-07-18,355.0
2014-07-21,297.0
2014-07-22,297.0
2014-07-23,309.0
2014-07-24,307.0
2014-07-25,313.0
2014-07-28,315.0
2014-07-29,329.0
2014-07-30,345.0
2014-07-31,331.0
2014-08-01,317.0
2014-08-04,307.0
2014-08-05,323.0
2014-08-06,337.0
2014-08-07,357.0
2014-08-08,361.0
2014-08-11,359.0
2014-08-12,335.0
2014-08-13,353.0
2014-08-14,337.0
2014-08-15,303.0
2014-08-18,329.0
2014-08-19,301.0
2014-08-20,303.0
2014-08-21,297.0
2014-08-22,307.0
2014-08-25,235.0
2014-08-26,223.0
2014-08-27,213.0
2014-08-28,197.0
2014-08-29,153.0
2014-09-01,135.0
2014-09-02,121.0
2014-09-03,99.0
2014-09-04,79.0
2014-09-05,57.0
2014-09-09,37.0
2014-09-10,-39.0
2014-09-11,-15.0
2014-09-12,-43.0
2014-09-15,-11.0
2014-09-16,13.0
2014-09-17,-7.0
2014-09-18,-27.0
2014-09-19,-63.0
2014-09-22,-111.0
2014-09-23,-199.0
2014-09-24,-169.0
2014-09-25,-157.0
2014-09-26,-197.0
2014-09-29,-137.0
2014-09-30,-185.0
2014-10-08,-159.0
2014-10-09,-205.0
2014-10-10,-177.0
2014-10-13,-139.0
2014-10-14,-53.0
2014-10-15,-97.0
2014-10-16,-137.0
2014-10-17,-115.0
2014-10-20,-107.0
2014-10-21,-87.0
2014-10-22,-123.0
2014-10-23,-125.0
2014-10-24,-141.0
2014-10-27,-109.0
2014-10-28,-123.0
2014-10-29,-141.0
2014-10-30,-121.0
2014-10-31,-135.0
2014-11-03,-141.0
2014-11-04,-157.0
2014-11-05,-153.0
2014-11-06,-159.0
2014-11-07,-151.0
2014-11-10,-131.0
2014-11-11,-117.0
2014-11-12,-115.0
2014-11-13,-107.0
2014-11-14,-131.0
2014-11-17,-101.0
2014-11-18,-115.0
2014-11-19,-131.0
2014-11-20,-125.0
2014-11-21,-107.0
2014-11-24,-79.0
2014-11-25,-107.0
2014-11-26,-109.0
2014-11-27,-99.0
2014-11-28,-109.0
2014-12-01,-45.0
2014-12-02,15.0
2014-12-03,-7.0
2014-12-04,1.0
2014-12-05,-1.0
2014-12-08,5.0
2014-12-09,3.0
2014-12-10,-1.0
2014-12-11,-1.0
2014-12-12,27.0
2014-12-15,43.0
2014-12-16,21.0
2014-12-17,-7.0
2014-12-18,-3.0
2014-12-19,-9.0
2014-12-22,-7.0
2014-12-23,-47.0
2014-12-24,-75.0
2014-12-25,-59.0
2014-12-26,-79.0
2014-12-29,-79.0
2014-12-30,-45.0
2014-12-31,57.0
2015-01-05,25.0
2015-01-06,-1.0
2015-01-07,37.0
2015-01-08,7.0
2015-01-09,-13.0
2015-01-12,-61.0
2015-01-13,-147.0
2015-01-14,-163.0
2015-01-15,-225.0
2015-01-16,-197.0
2015-01-19,-219.0
2015-01-20,-239.0
2015-01-21,-245.0
2015-01-22,-267.0
2015-01-23,-263.0
2015-01-26,-291.0
2015-01-27,-335.0
2015-01-28,-345.0
2015-01-29,-299.0
2015-01-30,-275.0
2015-02-02,-291.0
2015-02-03,-301.0
2015-02-04,-305.0
2015-02-05,-315.0
2015-02-06,-317.0
2015-02-09,-309.0
2015-02-10,-325.0
2015-02-11,-313.0
2015-02-12,-285.0
2015-02-13,-297.0
2015-02-16,-285.0
2015-02-17,-267.0
2015-02-25,-283.0
2015-02-26,-303.0
2015-02-27,-279.0
2015-03-02,-313.0
2015-03-03,-301.0
2015-03-04,-313.0
2015-03-05,-307.0
2015-03-06,-335.0
2015-03-09,-347.0
2015-03-10,-371.0
2015-03-11,-413.0
2015-03-12,-399.0
2015-03-13,-379.0
2015-03-16,-397.0
2015-03-17,-377.0
2015-03-18,-363.0
2015-03-19,-393.0
2015-03-20,-385.0
2015-03-23,-383.0
2015-03-24,-345.0
2015-03-25,-343.0
2015-03-26,-355.0
2015-03-27,-383.0
2015-03-30,-387.0
2015-03-31,-405.0
2015-04-01,-415.0
2015-04-02,-443.0
2015-04-03,-483.0
2015-04-07,-501.0
2015-04-08,-497.0
2015-04-09,-493.0
2015-04-10,-515.0
2015-04-13,-531.0
2015-04-14,-465.0
2015-04-15,-469.0
2015-04-16,-489.0
2015-04-17,-479.0
2015-04-20,-489.0
2015-04-21,-513.0
2015-04-22,-501.0
2015-04-23,-455.0
2015-04-24,-443.0
2015-04-27,-371.0
2015-04-28,-365.0
2015-04-29,-380.0
2015-04-30,-417.0
2015-05-04,-378.0
2015-05-05,-345.0
2015-05-06,-316.0
2015-05-07,-342.0
2015-05-08,-381.0
2015-05-11,-373.0
2015-05-12,-367.0
2015-05-13,-389.0
2015-05-14,-390.0
2015-05-15,-407.0
2015-05-18,-407.0
2015-05-19,-425.0
2015-05-20,-442.0
2015-05-21,-460.0
2015-05-22,-437.0
2015-05-25,-432.0
2015-05-26,-424.0
2015-05-27,-413.0
2015-05-28,-398.0
2015-05-29,-421.0
2015-06-01,-415.0
2015-06-02,-397.0
2015-06-03,-400.0
2015-06-04,-426.0
2015-06-05,-415.0
2015-06-08,-430.0
2015-06-09,-441.0
2015-06-10,-430.0
2015-06-11,-410.0
2015-06-12,-414.0
2015-06-15,-486.0
2015-06-16,-500.0
2015-06-17,-527.0
2015-06-18,-549.0
2015-06-19,-541.0
2015-06-23,-532.0
2015-06-24,-544.0
2015-06-25,-542.0
2015-06-26,-597.0
2015-06-29,-588.0
2015-06-30,-610.0
2015-07-01,-657.0
2015-07-02,-685.0
2015-07-03,-678.0
2015-07-06,-673.0
2015-07-07,-771.0
2015-07-08,-841.0
2015-07-09,-904.0
2015-07-10,-803.0
2015-07-13,-818.0
2015-07-14,-837.0
2015-07-15,-841.0
2015-07-16,-862.0
2015-07-17,-852.0
2015-07-20,-847.0
2015-07-21,-775.0
2015-07-22,-815.0
2015-07-23,-851.0
2015-07-24,-835.0
2015-07-27,-843.0
2015-07-28,-844.0
2015-07-29,-846.0
2015-07-30,-825.0
2015-07-31,-857.0
2015-08-03,-859.0
2015-08-04,-856.0
2015-08-05,-821.0
2015-08-06,-777.0
2015-08-07,-828.0
2015-08-10,-851.0
2015-08-11,-851.0
2015-08-12,-856.0
2015-08-13,-841.0
2015-08-14,-836.0
2015-08-17,-820.0
2015-08-18,-849.0
2015-08-19,-854.0
2015-08-20,-870.0
2015-08-21,-885.0
2015-08-24,-894.0
2015-08-25,-990.0
2015-08-26,-964.0
2015-08-27,-976.0
2015-08-28,-953.0
2015-08-31,-946.0
2015-09-01,-971.0
2015-09-02,-964.0
2015-09-07,-965.0
2015-09-08,-1003.0
2015-09-09,-970.0
2015-09-10,-968.0
2015-09-11,-963.0
2015-09-14,-968.0
2015-09-15,-986.0
2015-09-16,-1006.0
2015-09-17,-985.0
2015-09-18,-983.0
2015-09-21,-990.0
2015-09-22,-1003.0
2015-09-23,-1015.0
2015-09-24,-1003.0
2015-09-25,-1012.0
2015-09-28,-1018.0
2015-09-29,-1056.0
2015-09-30,-1061.0
2015-10-08,-1057.0
2015-10-09,-1071.0
2015-10-12,-1040.0
2015-10-13,-1042.0
2015-10-14,-1048.0
2015-10-15,-1049.0
2015-10-16,-1047.0
2015-10-19,-1059.0
2015-10-20,-1080.0
2015-10-21,-1076.0
2015-10-22,-1070.0
2015-10-23,-1077.0
2015-10-26,-1083.0
2015-10-27,-1091.0
2015-10-28,-1097.0
2015-10-29,-1098.0
2015-10-30,-1109.0
2015-11-02,-1104.0
2015-11-03,-1115.0
2015-11-04,-1143.0
2015-11-05,-1140.0
2015-11-06,-1155.0
2015-11-09,-1156.0
2015-11-10,-1136.0
2015-11-11,-1141.0
2015-11-12,-1153.0
2015-11-13,-1152.0
2015-11-16,-1160.0
2015-11-17,-1152.0
2015-11-18,-1146.0
2015-11-19,-1166.0
2015-11-20,-1194.0
2015-11-23,-1198.0
2015-11-24,-1221.0
2015-11-25,-1194.0
2015-11-26,-1184.0
2015-11-27,-1181.0
2015-11-30,-1206.0
2015-12-01,-1208.0
2015-12-02,-1190.0
2015-12-03,-1156.0
2015-12-04,-1174.0
2015-12-07,-1142.0
2015-12-08,-1145.0
2015-12-09,-1159.0
2015-12-10,-1153.0
2015-12-11,-1151.0
2015-12-14,-1128.0
2015-12-15,-1096.0
2015-12-16,-1104.0
2015-12-17,-1068.0
2015-12-18,-1053.0
2015-12-21,-1016.0
2015-12-22,-971.0
2015-12-23,-1018.0
2015-12-24,-1034.0
2015-12-25,-1018.0
2015-12-28,-1015.0
2015-12-29,-1011.0
2015-12-30,-971.0
2015-12-31,-953.0
2016-01-04,-904.0
2016-01-05,-952.0
2016-01-06,-926.0
2016-01-07,-960.0
2016-01-08,-974.0
2016-01-11,-1006.0
2016-01-12,-1010.0
2016-01-13,-1028.0
2016-01-14,-1028.0
2016-01-15,-1004.0
2016-01-18,-988.0
2016-01-19,-944.0
2016-01-20,-934.0
2016-01-21,-953.0
2016-01-22,-960.0
2016-01-25,-948.0
2016-01-26,-944.0
2016-01-27,-934.0
2016-01-28,-942.0
2016-01-29,-990.0
2016-02-01,-970.0
2016-02-02,-956.0
2016-02-03,-965.0
2016-02-04,-959.0
2016-02-05,-920.0
2016-02-15,-951.0
2016-02-16,-927.0
2016-02-17,-918.0
2016-02-18,-920.0
2016-02-19,-909.0
2016-02-22,-891.0
2016-02-23,-808.0
2016-02-24,-830.0
2016-02-25,-821.0
2016-02-26,-822.0
2016-02-29,-829.0
2016-03-01,-792.0
2016-03-02,-769.0
2016-03-03,-772.0
2016-03-04,-762.0
2016-03-07,-711.0
2016-03-08,-494.0
2016-03-09,-524.0
2016-03-10,-654.0
2016-03-11,-624.0
2016-03-14,-694.0
2016-03-15,-686.0
2016-03-16,-729.0
2016-03-17,-694.0
2016-03-18,-621.0
2016-03-21,-560.0
2016-03-22,-520.0
2016-03-23,-534.0
2016-03-24,-481.0
2016-03-25,-563.0
2016-03-28,-470.0
2016-03-29,-528.0
2016-03-30,-508.0
2016-03-31,-539.0
2016-04-01,-497.0
2016-04-05,-392.0
2016-04-06,-358.0
2016-04-07,-378.0
2016-04-08,-351.0
2016-04-11,-303.0
2016-04-12,-204.0
2016-04-13,-200.0
2016-04-14,-192.0
2016-04-15,-235.0
2016-04-18,-276.0
2016-04-19,-149.0
2016-04-20,-32.0
2016-04-21,70.0
2016-04-22,190.0
2016-04-25,48.0
2016-04-26,65.0
2016-04-27,-57.0
2016-04-28,-117.0
2016-04-29,-54.0
2016-05-03,-45.0
2016-05-04,-189.0
2016-05-05,-219.0
2016-05-06,-285.0
2016-05-09,-254.0
2016-05-10,-493.0
2016-05-11,-437.0
2016-05-12,-440.0
2016-05-13,-530.0
2016-05-16,-555.0
2016-05-17,-495.0
2016-05-18,-436.0
2016-05-19,-508.0
2016-05-20,-529.0
2016-05-23,-491.0
2016-05-24,-626.0
2016-05-25,-585.0
2016-05-26,-646.0
2016-05-27,-582.0
2016-05-30,-486.0
2016-05-31,-517.0
2016-06-01,-550.0
2016-06-02,-589.0
2016-06-03,-600.0
2016-06-06,-561.0
2016-06-07,-481.0
2016-06-08,-477.0
2016-06-13,-455.0
2016-06-14,-415.0
2016-06-15,-495.0
2016-06-16,-488.0
2016-06-17,-506.0
2016-06-20,-494.0
2016-06-21,-513.0
2016-06-22,-495.0
2016-06-23,-433.0
2016-06-24,-431.0
2016-06-27,-451.0
2016-06-28,-295.0
2016-06-29,-301.0
2016-06-30,-343.0
2016-07-01,-246.0
2016-07-04,-241.0
2016-07-05,-169.0
2016-07-06,-226.0
2016-07-07,-248.0
2016-07-08,-180.0
2016-07-11,-116.0
2016-07-12,-154.0
2016-07-13,-54.0
2016-07-14,-80.0
2016-07-15,-96.0
2016-07-18,-83.0
2016-07-19,-277.0
2016-07-20,-316.0
2016-07-21,-290.0
2016-07-22,-173.0
2016-07-25,-259.0
2016-07-26,-200.0
2016-07-27,-155.0
2016-07-28,-120.0
2016-07-29,-82.0
2016-08-01,-145.0
2016-08-02,-50.0
2016-08-03,-57.0
2016-08-04,-80.0
2016-08-05,-124.0
2016-08-08,-40.0
2016-08-09,27.0
2016-08-10,-4.0
2016-08-11,5.0
2016-08-12,6.0
2016-08-15,-18.0
2016-08-16,-19.0
2016-08-17,73.0
2016-08-18,39.0
2016-08-19,50.0
2016-08-22,40.0
2016-08-23,35.0
2016-08-24,89.0
2016-08-25,91.0
2016-08-26,66.0
2016-08-29,39.0
2016-08-30,82.0
2016-08-31,30.0
2016-09-01,27.0
2016-09-02,45.0
2016-09-05,68.0
2016-09-06,77.0
2016-09-07,49.0
2016-09-08,-28.0
2016-09-09,-2.0
2016-09-12,6.0
2016-09-13,-51.0
2016-09-14,-58.0
2016-09-19,-94.0
2016-09-20,-55.0
2016-09-21,-44.0
2016-09-22,-60.0
2016-09-23,-22.0
2016-09-26,22.0
2016-09-27,25.0
2016-09-28,-27.0
2016-09-29,-7.0
2016-09-30,-18.0
2016-10-10,-23.0
2016-10-11,-17.0
2016-10-12,78.0
2016-10-13,122.0
2016-10-14,100.0
2016-10-17,121.0
2016-10-18,145.0
2016-10-19,143.0
2016-10-20,148.0
2016-10-21,223.0
2016-10-24,199.0
2016-10-25,219.0
2016-10-26,296.0
2016-10-27,266.0
2016-10-28,262.0
2016-10-31,317.0
2016-11-01,377.0
2016-11-02,462.0
2016-11-03,481.0
2016-11-04,537.0
2016-11-07,553.0
2016-11-08,695.0
2016-11-09,652.0
2016-11-10,787.0
2016-11-11,753.0
2016-11-14,892.0
2016-11-15,759.0
2016-11-16,595.0
2016-11-17,617.0
2016-11-18,634.0
2016-11-21,592.0
2016-11-22,559.0
2016-11-23,760.0
2016-11-24,819.0
2016-11-25,797.0
2016-11-28,958.0
2016-11-29,1003.0
2016-11-30,1008.0
2016-12-01,900.0
2016-12-02,1168.0
2016-12-05,1126.0
2016-12-06,1238.0
2016-12-07,1279.0
2016-12-08,1392.0
2016-12-09,1421.0
2016-12-12,1395.0
2016-12-13,1418.0
2016-12-14,1462.0
2016-12-15,1364.0
2016-12-16,1406.0
2016-12-19,1306.0
2016-12-20,1190.0
2016-12-21,1223.0
2016-12-22,1233.0
2016-12-23,1047.0
2016-12-26,1022.0
2016-12-27,946.0
2016-12-28,1032.0
2016-12-29,1047.0
2016-12-30,991.0
2017-01-03,956.0
2017-01-04,945.0
2017-01-05,1011.0
2017-01-06,998.0
2017-01-09,914.0
2017-01-10,1086.0
2017-01-11,1206.0
2017-01-12,1190.0
2017-01-13,1237.0
2017-01-16,1206.0
2017-01-17,1361.0
2017-01-18,1273.0
2017-01-19,1252.0
2017-01-20,1184.0
2017-01-23,1076.0
2017-01-24,1095.0
2017-01-25,1246.0
2017-01-26,1237.0
2017-02-03,1290.0
2017-02-06,1009.0
2017-02-07,1025.0
2017-02-08,1102.0
2017-02-09,1167.0
2017-02-10,1124.0
2017-02-13,1276.0
2017-02-14,1376.0
2017-02-15,1368.0
2017-02-16,1302.0
2017-02-17,1302.0
2017-02-20,1396.0
2017-02-21,1412.0
2017-02-22,1420.0
2017-02-23,1306.0
2017-02-24,1268.0
2017-02-27,1237.0
2017-02-28,1370.0
2017-03-01,1198.0
2017-03-02,1239.0
2017-03-03,1223.0
2017-03-06,1215.0
2017-03-07,1090.0
2017-03-08,1118.0
2017-03-09,1060.0
2017-03-10,1007.0
2017-03-13,1065.0
2017-03-14,1210.0
2017-03-15,1165.0
2017-03-16,1230.0
2017-03-17,1215.0
2017-03-20,1189.0
2017-03-21,1168.0
2017-03-22,1087.0
2017-03-23,1001.0
2017-03-24,990.0
2017-03-27,989.0
