DATETIME,price
2014-01-02,-128.0
2014-01-03,-136.0
2014-01-06,-141.0
2014-01-07,-148.0
2014-01-08,-146.0
2014-01-09,-148.0
2014-01-10,-155.0
2014-01-13,-162.0
2014-01-14,-166.0
2014-01-15,-160.0
2014-01-16,-160.0
2014-01-17,-164.0
2014-01-20,-168.0
2014-01-21,-180.0
2014-01-22,-190.0
2014-01-23,-183.0
2014-01-24,-164.0
2014-01-27,-168.0
2014-01-28,-178.0
2014-01-29,-183.0
2014-01-30,-177.0
2014-02-07,-174.0
2014-02-10,-186.0
2014-02-11,-188.0
2014-02-12,-191.0
2014-02-13,-186.0
2014-02-14,-185.0
2014-02-17,-177.0
2014-02-18,-164.0
2014-02-19,-177.0
2014-02-20,-177.0
2014-02-21,-187.0
2014-02-24,-194.0
2014-02-25,-218.0
2014-02-26,-223.0
2014-02-27,-225.0
2014-02-28,-219.0
2014-03-03,-231.0
2014-03-04,-239.0
2014-03-05,-234.0
2014-03-06,-234.0
2014-03-07,-252.0
2014-03-10,-299.0
2014-03-11,-313.0
2014-03-12,-323.0
2014-03-13,-296.0
2014-03-14,-289.0
2014-03-17,-296.0
2014-03-18,-309.0
2014-03-19,-303.0
2014-03-20,-295.0
2014-03-21,-303.0
2014-03-24,-309.0
2014-03-25,-295.0
2014-03-26,-278.0
2014-03-27,-285.0
2014-03-28,-280.0
2014-03-31,-257.0
2014-04-01,-242.0
2014-04-02,-237.0
2014-04-03,-256.0
2014-04-04,-237.0
2014-04-08,-229.0
2014-04-09,-211.0
2014-04-10,-217.0
2014-04-11,-221.0
2014-04-14,-226.0
2014-04-15,-236.0
2014-04-16,-227.0
2014-04-17,-239.0
2014-04-18,-244.0
2014-04-21,-256.0
2014-04-22,-261.0
2014-04-23,-259.0
2014-04-24,-251.0
2014-04-25,-240.0
2014-04-28,-252.0
2014-04-29,-279.0
2014-04-30,-270.0
2014-05-05,-279.0
2014-05-06,-267.0
2014-05-07,-272.0
2014-05-08,-291.0
2014-05-09,-299.0
2014-05-12,-305.0
2014-05-13,-296.0
2014-05-14,-298.0
2014-05-15,-298.0
2014-05-16,-302.0
2014-05-19,-325.0
2014-05-20,-332.0
2014-05-21,-335.0
2014-05-22,-326.0
2014-05-23,-321.0
2014-05-26,-332.0
2014-05-27,-318.0
2014-05-28,-317.0
2014-05-29,-332.0
2014-05-30,-341.0
2014-06-03,-353.0
2014-06-04,-356.0
2014-06-05,-345.0
2014-06-06,-349.0
2014-06-09,-349.0
2014-06-10,-347.0
2014-06-11,-354.0
2014-06-12,-359.0
2014-06-13,-376.0
2014-06-16,-375.0
2014-06-17,-380.0
2014-06-18,-370.0
2014-06-19,-372.0
2014-06-20,-373.0
2014-06-23,-357.0
2014-06-24,-350.0
2014-06-25,-353.0
2014-06-26,-341.0
2014-06-27,-322.0
2014-06-30,-334.0
2014-07-01,-341.0
2014-07-02,-334.0
2014-07-03,-318.0
2014-07-04,-325.0
2014-07-07,-327.0
2014-07-08,-331.0
2014-07-09,-319.0
2014-07-10,-334.0
2014-07-11,-330.0
2014-07-14,-324.0
2014-07-15,-318.0
2014-07-16,-318.0
2014-07-17,-325.0
2014-07-18,-332.0
2014-07-21,-354.0
2014-07-22,-351.0
2014-07-23,-350.0
2014-07-24,-352.0
2014-07-25,-356.0
2014-07-28,-349.0
2014-07-29,-335.0
2014-07-30,-340.0
2014-07-31,-343.0
2014-08-01,-343.0
2014-08-04,-349.0
2014-08-05,-335.0
2014-08-06,-340.0
2014-08-07,-341.0
2014-08-08,-344.0
2014-08-11,-347.0
2014-08-12,-354.0
2014-08-13,-354.0
2014-08-14,-360.0
2014-08-15,-368.0
2014-08-18,-354.0
2014-08-19,-371.0
2014-08-20,-368.0
2014-08-21,-374.0
2014-08-22,-374.0
2014-08-25,-379.0
2014-08-26,-373.0
2014-08-27,-373.0
2014-08-28,-385.0
2014-08-29,-395.0
2014-09-01,-393.0
2014-09-02,-401.0
2014-09-03,-396.0
2014-09-04,-416.0
2014-09-05,-426.0
2014-09-09,-431.0
2014-09-10,-438.0
2014-09-11,-433.0
2014-09-12,-435.0
2014-09-15,-421.0
2014-09-16,-421.0
2014-09-17,-418.0
2014-09-18,-424.0
2014-09-19,-433.0
2014-09-22,-450.0
2014-09-23,-467.0
2014-09-24,-462.0
2014-09-25,-458.0
2014-09-26,-472.0
2014-09-29,-461.0
2014-09-30,-478.0
2014-10-08,-461.0
2014-10-09,-471.0
2014-10-10,-461.0
2014-10-13,-447.0
2014-10-14,-434.0
2014-10-15,-432.0
2014-10-16,-447.0
2014-10-17,-454.0
2014-10-20,-450.0
2014-10-21,-444.0
2014-10-22,-443.0
2014-10-23,-445.0
2014-10-24,-451.0
2014-10-27,-447.0
2014-10-28,-452.0
2014-10-29,-455.0
2014-10-30,-450.0
2014-10-31,-444.0
2014-11-03,-449.0
2014-11-04,-462.0
2014-11-05,-459.0
2014-11-06,-467.0
2014-11-07,-470.0
2014-11-10,-465.0
2014-11-11,-466.0
2014-11-12,-466.0
2014-11-13,-472.0
2014-11-14,-473.0
2014-11-17,-469.0
2014-11-18,-474.0
2014-11-19,-494.0
2014-11-20,-504.0
2014-11-21,-506.0
2014-11-24,-497.0
2014-11-25,-510.0
2014-11-26,-516.0
2014-11-27,-509.0
2014-11-28,-498.0
2014-12-01,-500.0
2014-12-02,-489.0
2014-12-03,-504.0
2014-12-04,-497.0
2014-12-05,-485.0
2014-12-08,-488.0
2014-12-09,-498.0
2014-12-10,-492.0
2014-12-11,-496.0
2014-12-12,-497.0
2014-12-15,-490.0
2014-12-16,-499.0
2014-12-17,-500.0
2014-12-18,-491.0
2014-12-19,-489.0
2014-12-22,-487.0
2014-12-23,-496.0
2014-12-24,-504.0
2014-12-25,-501.0
2014-12-26,-501.0
2014-12-29,-503.0
2014-12-30,-492.0
2014-12-31,-468.0
2015-01-05,-473.0
2015-01-06,-480.0
2015-01-07,-458.0
2015-01-08,-464.0
2015-01-09,-464.0
2015-01-12,-471.0
2015-01-13,-481.0
2015-01-14,-480.0
2015-01-15,-480.0
2015-01-16,-471.0
2015-01-19,-474.0
2015-01-20,-471.0
2015-01-21,-476.0
2015-01-22,-492.0
2015-01-23,-491.0
2015-01-26,-503.0
2015-01-27,-509.0
2015-01-28,-506.0
2015-01-29,-507.0
2015-01-30,-501.0
2015-02-02,-502.0
2015-02-03,-505.0
