DATETIME,price
2014-01-02,-392.5
2014-01-03,-396.5
2014-01-06,-425.5
2014-01-07,-430.5
2014-01-08,-440.5
2014-01-09,-441.5
2014-01-10,-477.5
2014-01-13,-463.5
2014-01-14,-480.5
2014-01-15,-458.5
2014-01-16,-455.5
2014-01-17,-467.5
2014-01-20,-476.5
2014-01-21,-499.5
2014-01-22,-512.5
2014-01-23,-510.5
2014-01-24,-497.5
2014-01-27,-484.5
2014-01-28,-494.5
2014-01-29,-513.5
2014-01-30,-502.5
2014-02-07,-497.5
2014-02-10,-517.5
2014-02-11,-514.5
2014-02-12,-526.5
2014-02-13,-525.5
2014-02-14,-527.5
2014-02-17,-535.5
2014-02-18,-495.5
2014-02-19,-507.5
2014-02-20,-503.5
2014-02-21,-511.5
2014-02-24,-525.5
2014-02-25,-569.5
2014-02-26,-570.5
2014-02-27,-567.5
2014-02-28,-566.5
2014-03-03,-577.5
2014-03-04,-591.5
2014-03-05,-604.5
2014-03-06,-615.5
2014-03-07,-627.5
2014-03-10,-686.5
2014-03-11,-715.5
2014-03-12,-717.5
2014-03-13,-670.5
2014-03-14,-668.5
2014-03-17,-677.5
2014-03-18,-686.5
2014-03-19,-680.5
2014-03-20,-673.5
2014-03-21,-704.5
2014-03-24,-726.5
2014-03-25,-705.5
2014-03-26,-664.5
2014-03-27,-691.5
2014-03-28,-688.5
2014-03-31,-665.5
2014-04-01,-667.5
2014-04-02,-660.5
2014-04-03,-673.5
2014-04-04,-652.5
2014-04-08,-625.5
2014-04-09,-609.5
2014-04-10,-626.5
2014-04-11,-639.5
2014-04-14,-638.5
2014-04-15,-637.5
2014-04-16,-623.5
2014-04-17,-630.5
2014-04-18,-643.5
2014-04-21,-691.5
2014-04-22,-704.5
2014-04-23,-683.5
2014-04-24,-691.5
2014-04-25,-679.5
2014-04-28,-688.5
2014-04-29,-704.5
2014-04-30,-701.5
2014-05-05,-729.5
2014-05-06,-707.5
2014-05-07,-716.5
2014-05-08,-714.5
2014-05-09,-711.5
2014-05-12,-702.5
2014-05-13,-675.5
2014-05-14,-686.5
2014-05-15,-688.5
2014-05-16,-707.5
2014-05-19,-746.5
2014-05-20,-740.5
2014-05-21,-749.5
2014-05-22,-747.5
2014-05-23,-738.5
2014-05-26,-738.5
2014-05-27,-701.5
2014-05-28,-704.5
2014-05-29,-727.5
2014-05-30,-733.5
2014-06-03,-724.5
2014-06-04,-739.5
2014-06-05,-727.5
2014-06-06,-711.5
2014-06-09,-715.5
2014-06-10,-715.5
2014-06-11,-725.5
2014-06-12,-743.5
2014-06-13,-759.5
2014-06-16,-748.5
2014-06-17,-758.5
2014-06-18,-742.5
2014-06-19,-749.5
2014-06-20,-755.5
2014-06-23,-745.5
2014-06-24,-753.5
2014-06-25,-748.5
2014-06-26,-746.5
2014-06-27,-736.5
2014-06-30,-752.5
2014-07-01,-761.5
2014-07-02,-760.5
2014-07-03,-753.5
2014-07-04,-766.5
2014-07-07,-770.5
2014-07-08,-782.5
2014-07-09,-778.5
2014-07-10,-778.5
2014-07-11,-782.5
2014-07-14,-795.5
2014-07-15,-802.5
2014-07-16,-795.5
2014-07-17,-801.5
2014-07-18,-803.5
2014-07-21,-805.5
2014-07-22,-809.5
2014-07-23,-805.5
2014-07-24,-823.5
2014-07-25,-830.5
2014-07-28,-833.5
2014-07-29,-835.5
2014-07-30,-821.5
2014-07-31,-825.5
2014-08-01,-832.5
2014-08-04,-842.5
2014-08-05,-839.5
2014-08-06,-823.5
2014-08-07,-825.5
2014-08-08,-820.5
2014-08-11,-822.5
2014-08-12,-827.5
2014-08-13,-839.5
2014-08-14,-843.5
2014-08-15,-873.5
2014-08-18,-852.5
2014-08-19,-862.5
2014-08-20,-853.5
2014-08-21,-864.5
2014-08-22,-862.5
