DATETIME,price
2014-01-02,6513.0
2014-01-03,6559.0
2014-01-06,6571.0
2014-01-07,6436.0
2014-01-08,6432.0
2014-01-09,6408.0
2014-01-10,6385.0
2014-01-13,6391.0
2014-01-14,6396.0
2014-01-15,6428.0
2014-01-16,6393.0
2014-01-17,6332.0
2014-01-20,6337.0
2014-01-21,6334.0
2014-01-22,6289.0
2014-01-23,6251.0
2014-01-24,6261.0
2014-01-27,6251.0
2014-01-28,6276.0
2014-01-29,6295.0
2014-01-30,6290.0
2014-02-07,6305.0
2014-02-10,6250.0
2014-02-11,6301.0
2014-02-12,6283.0
2014-02-13,6293.0
2014-02-14,6298.0
2014-02-17,6404.0
2014-02-18,6408.0
2014-02-19,6431.0
2014-02-20,6408.0
2014-02-21,6348.0
2014-02-24,6350.0
2014-02-25,6352.0
2014-02-26,6241.0
2014-02-27,6271.0
2014-02-28,6263.0
2014-03-03,6295.0
2014-03-04,6352.0
2014-03-05,6424.0
2014-03-06,6438.0
2014-03-07,6422.0
2014-03-10,6579.0
2014-03-11,6641.0
2014-03-12,6672.0
2014-03-13,6678.0
2014-03-14,6798.0
2014-03-17,6792.0
2014-03-18,6787.0
2014-03-19,6869.0
2014-03-20,6868.0
2014-03-21,6894.0
2014-03-24,6953.0
2014-03-25,6949.0
2014-03-26,6943.0
2014-03-27,6993.0
2014-03-28,7005.0
2014-03-31,6965.0
2014-04-01,6963.0
2014-04-02,6966.0
2014-04-03,6912.0
2014-04-04,6971.0
2014-04-08,6988.0
2014-04-09,7051.0
2014-04-10,7032.0
2014-04-11,7068.0
2014-04-14,7067.0
2014-04-15,7051.0
2014-04-16,7073.0
2014-04-17,7095.0
2014-04-18,7141.0
2014-04-21,7183.0
2014-04-22,7285.0
2014-04-23,7272.0
2014-04-24,7270.0
2014-04-25,7216.0
2014-04-28,7239.0
2014-04-29,7321.0
2014-04-30,7314.0
2014-05-05,7393.0
2014-05-06,7377.0
2014-05-07,7393.0
2014-05-08,7426.0
2014-05-09,7381.0
2014-05-12,7431.0
2014-05-13,7513.0
2014-05-14,7561.0
2014-05-15,7552.0
2014-05-16,7588.0
2014-05-19,7609.0
2014-05-20,7533.0
2014-05-21,7613.0
2014-05-22,7459.0
2014-05-23,7428.0
2014-05-26,7390.0
2014-05-27,7332.0
2014-05-28,7368.0
2014-05-29,7373.0
2014-05-30,7395.0
2014-06-03,7222.0
2014-06-04,7262.0
2014-06-05,7308.0
2014-06-06,7329.0
2014-06-09,7444.0
2014-06-10,7451.0
2014-06-11,7423.0
2014-06-12,7490.0
2014-06-13,7487.0
2014-06-16,7492.0
2014-06-17,7460.0
2014-06-18,7509.0
2014-06-19,7518.0
2014-06-20,7546.0
2014-06-23,7623.0
2014-06-24,7605.0
2014-06-25,7612.0
2014-06-26,7621.0
2014-06-27,7618.0
2014-06-30,7698.0
2014-07-01,7699.0
2014-07-02,7721.0
2014-07-03,7573.0
2014-07-04,7608.0
2014-07-07,7717.0
2014-07-08,7695.0
2014-07-09,7701.0
2014-07-10,7669.0
2014-07-11,7668.0
2014-07-14,7809.0
2014-07-15,7818.0
2014-07-16,7813.0
2014-07-17,7798.0
2014-07-18,7807.0
2014-07-21,7743.0
2014-07-22,7678.0
2014-07-23,7578.0
2014-07-24,7574.0
2014-07-25,7647.0
2014-07-28,7665.0
2014-07-29,7710.0
2014-07-30,7684.0
2014-07-31,7677.0
2014-08-01,7648.0
2014-08-04,7663.0
2014-08-05,7684.0
2014-08-06,7681.0
2014-08-07,7667.0
2014-08-08,7582.0
2014-08-11,7567.0
2014-08-12,7563.0
2014-08-13,7619.0
2014-08-14,7509.0
2014-08-15,7506.0
2014-08-18,7521.0
2014-08-19,7456.0
2014-08-20,7362.0
2014-08-21,7374.0
2014-08-22,7399.0
2014-08-25,7426.0
2014-08-26,7488.0
2014-08-27,7418.0
2014-08-28,7427.0
2014-08-29,7393.0
2014-09-01,7398.0
2014-09-02,7375.0
2014-09-03,7333.0
2014-09-04,7273.0
2014-09-05,7294.0
2014-09-09,7238.0
2014-09-10,7247.0
2014-09-11,7286.0
2014-09-12,7210.0
2014-09-15,7301.0
2014-09-16,7305.0
2014-09-17,7285.0
2014-09-18,7337.0
2014-09-19,7294.0
2014-09-22,7257.0
2014-09-23,7269.0
2014-09-24,7220.0
2014-09-25,7249.0
2014-09-26,7268.0
2014-09-29,7324.0
2014-09-30,7369.0
2014-10-08,7419.0
2014-10-09,7368.0
2014-10-10,7373.0
2014-10-13,7406.0
2014-10-14,7495.0
2014-10-15,7537.0
2014-10-16,7507.0
2014-10-17,7538.0
2014-10-20,7493.0
2014-10-21,7583.0
2014-10-22,7585.0
2014-10-23,7556.0
2014-10-24,7608.0
2014-10-27,7588.0
2014-10-28,7519.0
2014-10-29,7513.0
2014-10-30,7595.0
2014-10-31,7567.0
2014-11-03,7567.0
2014-11-04,7358.0
2014-11-05,7359.0
2014-11-06,7368.0
2014-11-07,7368.0
2014-11-10,7358.0
2014-11-11,7389.0
2014-11-12,7368.0
2014-11-13,7363.0
2014-11-14,7367.0
2014-11-17,7396.0
2014-11-18,7467.0
2014-11-19,7495.0
2014-11-20,7488.0
2014-11-21,7499.0
2014-11-24,7456.0
2014-11-25,7416.0
2014-11-26,7434.0
2014-11-27,7387.0
2014-11-28,7403.0
2014-12-01,7405.0
2014-12-02,7453.0
2014-12-03,7459.0
2014-12-04,7572.0
2014-12-05,7622.0
2014-12-08,7612.0
2014-12-09,7617.0
2014-12-10,7567.0
2014-12-11,7661.0
2014-12-12,7680.0
2014-12-15,7630.0
2014-12-16,7569.0
2014-12-17,7596.0
2014-12-18,7547.0
2014-12-19,7520.0
2014-12-22,7424.0
2014-12-23,7413.0
2014-12-24,7453.0
2014-12-25,7484.0
2014-12-26,7441.0
2014-12-29,7446.0
2014-12-30,7501.0
2014-12-31,7494.0
2015-01-05,7364.0
2015-01-06,7411.0
2015-01-07,7384.0
2015-01-08,7401.0
2015-01-09,7378.0
2015-01-12,7389.0
2015-01-13,7364.0
2015-01-14,7285.0
2015-01-15,7248.0
2015-01-16,7255.0
2015-01-19,7249.0
2015-01-20,7269.0
2015-01-21,7265.0
2015-01-22,7211.0
2015-01-23,7221.0
2015-01-26,7227.0
2015-01-27,7295.0
2015-01-28,7260.0
2015-01-29,7290.0
2015-01-30,7222.0
2015-02-02,7226.0
2015-02-03,7196.0
2015-02-04,7269.0
2015-02-05,7251.0
2015-02-06,7302.0
2015-02-09,7334.0
2015-02-10,7275.0
2015-02-11,7264.0
2015-02-12,7224.0
2015-02-13,7199.0
2015-02-16,7220.0
2015-02-17,7223.0
2015-02-25,7192.0
2015-02-26,7317.0
2015-02-27,7295.0
2015-03-02,7379.0
2015-03-03,7405.0
2015-03-04,7390.0
2015-03-05,7345.0
2015-03-06,7337.0
2015-03-09,7217.0
2015-03-10,7231.0
2015-03-11,7234.0
2015-03-12,7260.0
2015-03-13,7238.0
2015-03-16,7239.0
2015-03-17,7260.0
2015-03-18,7259.0
2015-03-19,7259.0
2015-03-20,7231.0
2015-03-23,7242.0
2015-03-24,7261.0
2015-03-25,7222.0
2015-03-26,7087.0
2015-03-27,7123.0
2015-03-30,7138.0
2015-03-31,7120.0
2015-04-01,7139.0
2015-04-02,7081.0
2015-04-03,6932.0
2015-04-07,6850.0
2015-04-08,6807.0
2015-04-09,6816.0
2015-04-10,6822.0
2015-04-13,6922.0
2015-04-14,6934.0
2015-04-15,6934.0
2015-04-16,6954.0
2015-04-17,6922.0
2015-04-20,7028.0
2015-04-21,6988.0
2015-04-22,7010.0
2015-04-23,7022.0
2015-04-24,7057.0
2015-04-27,7027.0
2015-04-28,7030.0
2015-04-29,7089.0
2015-04-30,7082.0
2015-05-04,7022.0
2015-05-05,7026.0
2015-05-06,7083.0
2015-05-07,7048.0
2015-05-08,7039.0
2015-05-11,6972.0
2015-05-12,6927.0
2015-05-13,6930.0
2015-05-14,6917.0
2015-05-15,7007.0
2015-05-18,7033.0
2015-05-19,7014.0
2015-05-20,6917.0
2015-05-21,6905.0
2015-05-22,6924.0
2015-05-25,6915.0
2015-05-26,6856.0
2015-05-27,6807.0
2015-05-28,6854.0
2015-05-29,6847.0
2015-06-01,6846.0
2015-06-02,6840.0
2015-06-03,6840.0
2015-06-04,6768.0
2015-06-05,6749.0
2015-06-08,6722.0
2015-06-09,6753.0
2015-06-10,6797.0
2015-06-11,6762.0
2015-06-12,6756.0
2015-06-15,6663.0
2015-06-16,6611.0
2015-06-17,6627.0
2015-06-18,6593.0
2015-06-19,6595.0
2015-06-23,6610.0
2015-06-24,6636.0
2015-06-25,6622.0
2015-06-26,6705.0
2015-06-29,6630.0
2015-06-30,6619.0
2015-07-01,6560.0
2015-07-02,6588.0
2015-07-03,6585.0
2015-07-06,6617.0
2015-07-07,6604.0
2015-07-08,6526.0
2015-07-09,6507.0
2015-07-10,6609.0
2015-07-13,6723.0
2015-07-14,6707.0
2015-07-15,6747.0
2015-07-16,6711.0
2015-07-17,6707.0
2015-07-20,6717.0
2015-07-21,6820.0
2015-07-22,6872.0
2015-07-23,6850.0
2015-07-24,6942.0
2015-07-27,6941.0
2015-07-28,6868.0
2015-07-29,7021.0
2015-07-30,6999.0
2015-07-31,6940.0
2015-08-03,6982.0
2015-08-04,6987.0
2015-08-05,7015.0
2015-08-06,6922.0
2015-08-07,6845.0
2015-08-10,6817.0
2015-08-11,6834.0
2015-08-12,6812.0
2015-08-13,6813.0
2015-08-14,6850.0
2015-08-17,6823.0
2015-08-18,6818.0
2015-08-19,6783.0
2015-08-20,6832.0
2015-08-21,6789.0
2015-08-24,6742.0
2015-08-25,6722.0
2015-08-26,6735.0
2015-08-27,6620.0
2015-08-28,6663.0
2015-08-31,6621.0
2015-09-01,6619.0
2015-09-02,6617.0
2015-09-07,6634.0
2015-09-08,6622.0
2015-09-09,6682.0
2015-09-10,6607.0
2015-09-11,6633.0
2015-09-14,6636.0
2015-09-15,6622.0
2015-09-16,6574.0
2015-09-17,6579.0
2015-09-18,6551.0
2015-09-21,6555.0
2015-09-22,6555.0
2015-09-23,6505.0
2015-09-24,6491.0
2015-09-25,6488.0
2015-09-28,6502.0
2015-09-29,6506.0
2015-09-30,6463.0
2015-10-08,6445.0
2015-10-09,6455.0
2015-10-12,6447.0
2015-10-13,6382.0
2015-10-14,6382.0
2015-10-15,6362.0
2015-10-16,6379.0
2015-10-19,6378.0
2015-10-20,6326.0
2015-10-21,6345.0
2015-10-22,6355.0
2015-10-23,6371.0
2015-10-26,6359.0
2015-10-27,6356.0
2015-10-28,6381.0
2015-10-29,6365.0
2015-10-30,6360.0
2015-11-02,6350.0
2015-11-03,6357.0
2015-11-04,6431.0
2015-11-05,6454.0
2015-11-06,6463.0
2015-11-09,6488.0
2015-11-10,6459.0
2015-11-11,6417.0
2015-11-12,6437.0
2015-11-13,6489.0
2015-11-16,6473.0
2015-11-17,6422.0
2015-11-18,6394.0
2015-11-19,6388.0
2015-11-20,6405.0
2015-11-23,6483.0
2015-11-24,6451.0
2015-11-25,6468.0
2015-11-26,6483.0
2015-11-27,6492.0
2015-11-30,6457.0
2015-12-01,6566.0
2015-12-02,6543.0
2015-12-03,6578.0
2015-12-04,6540.0
2015-12-07,6531.0
2015-12-08,6512.0
2015-12-09,6459.0
2015-12-10,6427.0
2015-12-11,6452.0
2015-12-14,6440.0
2015-12-15,6433.0
2015-12-16,6422.0
2015-12-17,6453.0
2015-12-18,6439.0
2015-12-21,6479.0
2015-12-22,6544.0
2015-12-23,6552.0
2015-12-24,6527.0
2015-12-25,6540.0
2015-12-28,6512.0
2015-12-29,6440.0
2015-12-30,6467.0
2015-12-31,6468.0
2016-01-04,6478.0
2016-01-05,6459.0
2016-01-06,6507.0
2016-01-07,6511.0
2016-01-08,6523.0
2016-01-11,6523.0
2016-01-12,6467.0
2016-01-13,6460.0
2016-01-14,6401.0
2016-01-15,6422.0
2016-01-18,6421.0
2016-01-19,6503.0
2016-01-20,6505.0
2016-01-21,6506.0
2016-01-22,6589.0
2016-01-25,6573.0
2016-01-26,6523.0
2016-01-27,6512.0
2016-01-28,6535.0
2016-01-29,6467.0
2016-02-01,6479.0
2016-02-02,6467.0
2016-02-03,6493.0
2016-02-04,6485.0
2016-02-05,6486.0
2016-02-15,6427.0
2016-02-16,6346.0
2016-02-17,6348.0
2016-02-18,6337.0
2016-02-19,6340.0
2016-02-22,6362.0
2016-02-23,6366.0
2016-02-24,6329.0
2016-02-25,6320.0
2016-02-26,6299.0
2016-02-29,6286.0
2016-03-01,6272.0
2016-03-02,6269.0
2016-03-03,6281.0
2016-03-04,6336.0
2016-03-07,6383.0
2016-03-08,6398.0
2016-03-09,6338.0
2016-03-10,6385.0
2016-03-11,6355.0
2016-03-14,6376.0
2016-03-15,6428.0
2016-03-16,6473.0
2016-03-17,6440.0
2016-03-18,6484.0
2016-03-21,6488.0
2016-03-22,6465.0
2016-03-23,6522.0
2016-03-24,6500.0
2016-03-25,6586.0
2016-03-28,6598.0
2016-03-29,6552.0
2016-03-30,6533.0
2016-03-31,6507.0
2016-04-01,6451.0
2016-04-05,6429.0
2016-04-06,6564.0
2016-04-07,6557.0
2016-04-08,6545.0
2016-04-11,6594.0
2016-04-12,6674.0
2016-04-13,6670.0
2016-04-14,6713.0
2016-04-15,6693.0
2016-04-18,6711.0
2016-04-19,6769.0
2016-04-20,6821.0
2016-04-21,6979.0
2016-04-22,7038.0
2016-04-25,6862.0
2016-04-26,6935.0
2016-04-27,6906.0
2016-04-28,6813.0
2016-04-29,6808.0
2016-05-03,6848.0
2016-05-04,6789.0
2016-05-05,6873.0
2016-05-06,6784.0
2016-05-09,6742.0
2016-05-10,6629.0
2016-05-11,6749.0
2016-05-12,6728.0
2016-05-13,6613.0
2016-05-16,6616.0
2016-05-17,6615.0
2016-05-18,6662.0
2016-05-19,6625.0
2016-05-20,6648.0
2016-05-23,6579.0
2016-05-24,6533.0
2016-05-25,6631.0
2016-05-26,6693.0
2016-05-27,6665.0
2016-05-30,6778.0
2016-05-31,6754.0
2016-06-01,6700.0
2016-06-02,6642.0
2016-06-03,6654.0
2016-06-06,6591.0
2016-06-07,6732.0
2016-06-08,6724.0
2016-06-13,6704.0
2016-06-14,6817.0
2016-06-15,6794.0
2016-06-16,6649.0
2016-06-17,6639.0
2016-06-20,6676.0
2016-06-21,6679.0
2016-06-22,6584.0
2016-06-23,6618.0
2016-06-24,6594.0
2016-06-27,6649.0
2016-06-28,6785.0
2016-06-29,6834.0
2016-06-30,6881.0
2016-07-01,6896.0
2016-07-04,6948.0
2016-07-05,6959.0
2016-07-06,6906.0
2016-07-07,7090.0
2016-07-08,6938.0
2016-07-11,6966.0
2016-07-12,7035.0
2016-07-13,6991.0
2016-07-14,6949.0
2016-07-15,6897.0
2016-07-18,6903.0
2016-07-19,6917.0
2016-07-20,6795.0
2016-07-21,6768.0
2016-07-22,6792.0
2016-07-25,6659.0
2016-07-26,6636.0
2016-07-27,6673.0
2016-07-28,6627.0
2016-07-29,6639.0
2016-08-01,6649.0
