DATETIME,price
2014-01-02,-405.5
2014-01-03,-411.5
2014-01-06,-424.5
2014-01-07,-421.5
2014-01-08,-412.5
2014-01-09,-418.5
2014-01-10,-430.5
2014-01-13,-422.5
2014-01-14,-427.5
2014-01-15,-419.5
2014-01-16,-421.5
2014-01-17,-438.5
2014-01-20,-447.5
2014-01-21,-481.5
2014-01-22,-481.5
2014-01-23,-475.5
2014-01-24,-468.5
2014-01-27,-461.5
2014-01-28,-469.5
2014-01-29,-489.5
2014-01-30,-482.5
2014-02-07,-475.5
2014-02-10,-496.5
2014-02-11,-481.5
2014-02-12,-491.5
2014-02-13,-481.5
2014-02-14,-486.5
2014-02-17,-483.5
2014-02-18,-462.5
2014-02-19,-466.5
2014-02-20,-467.5
2014-02-21,-472.5
2014-02-24,-482.5
2014-02-25,-500.5
2014-02-26,-498.5
2014-02-27,-489.5
2014-02-28,-492.5
2014-03-03,-498.5
2014-03-04,-500.5
2014-03-05,-513.5
2014-03-06,-520.5
2014-03-07,-536.5
2014-03-10,-578.5
2014-03-11,-599.5
2014-03-12,-612.5
2014-03-13,-619.5
2014-03-14,-623.5
2014-03-17,-631.5
2014-03-18,-639.5
2014-03-19,-627.5
2014-03-20,-622.5
2014-03-21,-661.5
2014-03-24,-676.5
2014-03-25,-681.5
2014-03-26,-644.5
2014-03-27,-654.5
2014-03-28,-653.5
2014-03-31,-633.5
2014-04-01,-637.5
2014-04-02,-638.5
2014-04-03,-651.5
2014-04-04,-618.5
2014-04-08,-596.5
2014-04-09,-580.5
2014-04-10,-587.5
2014-04-11,-594.5
2014-04-14,-601.5
2014-04-15,-595.5
2014-04-16,-581.5
2014-04-17,-596.5
2014-04-18,-607.5
2014-04-21,-644.5
2014-04-22,-649.5
2014-04-23,-638.5
2014-04-24,-632.5
2014-04-25,-624.5
2014-04-28,-637.5
2014-04-29,-644.5
2014-04-30,-638.5
2014-05-05,-656.5
2014-05-06,-636.5
2014-05-07,-637.5
2014-05-08,-641.5
2014-05-09,-636.5
2014-05-12,-637.5
2014-05-13,-611.5
2014-05-14,-623.5
2014-05-15,-628.5
2014-05-16,-644.5
2014-05-19,-664.5
2014-05-20,-660.5
2014-05-21,-663.5
2014-05-22,-666.5
2014-05-23,-654.5
2014-05-26,-657.5
2014-05-27,-631.5
2014-05-28,-637.5
2014-05-29,-651.5
2014-05-30,-658.5
2014-06-03,-650.5
2014-06-04,-662.5
2014-06-05,-647.5
2014-06-06,-636.5
2014-06-09,-642.5
2014-06-10,-643.5
2014-06-11,-644.5
2014-06-12,-655.5
2014-06-13,-667.5
2014-06-16,-660.5
2014-06-17,-677.5
2014-06-18,-664.5
2014-06-19,-668.5
2014-06-20,-677.5
2014-06-23,-663.5
2014-06-24,-668.5
2014-06-25,-667.5
2014-06-26,-665.5
2014-06-27,-653.5
2014-06-30,-665.5
2014-07-01,-668.5
2014-07-02,-671.5
2014-07-03,-663.5
2014-07-04,-676.5
2014-07-07,-692.5
2014-07-08,-691.5
2014-07-09,-683.5
2014-07-10,-694.5
2014-07-11,-694.5
2014-07-14,-707.5
2014-07-15,-697.5
2014-07-16,-702.5
2014-07-17,-709.5
2014-07-18,-712.5
2014-07-21,-719.5
2014-07-22,-715.5
