DATETIME,price
2014-01-02,5502.0
2014-01-03,5442.0
2014-01-06,5472.0
2014-01-07,5482.0
2014-01-08,5382.0
2014-01-09,5352.0
2014-01-10,5522.0
2014-01-13,5397.0
2014-01-14,5267.0
2014-01-15,5412.0
2014-01-16,5482.0
2014-01-17,5462.0
2014-01-20,5477.0
2014-01-21,5522.0
2014-01-22,5377.0
2014-01-23,5377.0
2014-01-24,5402.0
2014-01-27,5357.0
2014-01-28,5377.0
2014-01-29,5412.0
2014-01-30,5457.0
2014-02-07,5387.0
2014-02-10,5377.0
2014-02-11,5257.0
2014-02-12,5187.0
2014-02-13,5157.0
2014-02-14,5122.0
2014-02-17,5027.0
2014-02-18,5072.0
2014-02-19,4992.0
2014-02-20,5047.0
2014-02-21,5147.0
2014-02-24,5167.0
2014-02-25,5217.0
2014-02-26,5222.0
2014-02-27,5207.0
2014-02-28,5257.0
2014-03-03,5242.0
2014-03-04,5102.0
2014-03-05,5132.0
2014-03-06,5022.0
2014-03-07,5042.0
2014-03-10,4907.0
2014-03-11,4882.0
2014-03-12,4882.0
2014-03-13,5012.0
2014-03-14,5002.0
2014-03-17,5062.0
2014-03-18,5057.0
2014-03-19,5242.0
2014-03-20,5092.0
2014-03-21,5102.0
2014-03-24,5122.0
2014-03-25,5272.0
2014-03-26,5372.0
2014-03-27,5462.0
2014-03-28,5422.0
2014-03-31,5502.0
2014-04-01,5452.0
2014-04-02,5587.0
2014-04-03,5552.0
2014-04-04,5657.0
2014-04-08,5707.0
2014-04-09,5652.0
2014-04-10,5652.0
2014-04-11,5532.0
2014-04-14,5557.0
2014-04-15,5622.0
2014-04-16,5652.0
2014-04-17,5652.0
2014-04-18,5732.0
2014-04-21,5772.0
2014-04-22,5767.0
2014-04-23,5892.0
2014-04-24,5872.0
2014-04-25,5877.0
2014-04-28,5677.0
2014-04-29,5642.0
2014-04-30,5672.0
2014-05-05,5667.0
2014-05-06,5822.0
2014-05-07,5897.0
2014-05-08,6052.0
2014-05-09,6012.0
2014-05-12,5957.0
2014-05-13,5892.0
2014-05-14,5962.0
2014-05-15,5932.0
2014-05-16,5842.0
2014-05-19,5782.0
2014-05-20,5732.0
2014-05-21,5802.0
2014-05-22,5997.0
2014-05-23,6102.0
2014-05-26,6137.0
2014-05-27,6052.0
2014-05-28,5852.0
2014-05-29,5907.0
2014-05-30,6057.0
2014-06-03,6042.0
2014-06-04,6147.0
2014-06-05,6182.0
2014-06-06,6252.0
2014-06-09,6227.0
2014-06-10,6382.0
2014-06-11,6482.0
2014-06-12,6517.0
2014-06-13,6632.0
2014-06-16,6687.0
2014-06-17,6742.0
2014-06-18,6582.0
2014-06-19,6542.0
2014-06-20,6522.0
2014-06-23,6672.0
2014-06-24,6387.0
2014-06-25,6512.0
2014-06-26,6527.0
2014-06-27,6447.0
2014-06-30,6572.0
2014-07-01,6667.0
2014-07-02,6682.0
2014-07-03,6657.0
2014-07-04,6707.0
2014-07-07,6797.0
2014-07-08,6902.0
2014-07-09,6897.0
2014-07-10,6652.0
2014-07-11,6622.0
2014-07-14,6542.0
2014-07-15,6607.0
2014-07-16,6562.0
2014-07-17,6632.0
2014-07-18,6512.0
2014-07-21,6262.0
2014-07-22,6312.0
2014-07-23,6327.0
2014-07-24,6412.0
2014-07-25,6342.0
2014-07-28,6402.0
2014-07-29,6512.0
2014-07-30,6512.0
2014-07-31,6462.0
2014-08-01,6422.0
2014-08-04,6422.0
2014-08-05,6392.0
2014-08-06,6142.0
2014-08-07,6182.0
2014-08-08,6132.0
2014-08-11,6112.0
2014-08-12,6082.0
2014-08-13,5942.0
2014-08-14,5922.0
2014-08-15,5947.0
2014-08-18,6072.0
2014-08-19,6017.0
2014-08-20,6072.0
2014-08-21,6032.0
2014-08-22,6122.0
2014-08-25,6092.0
2014-08-26,6047.0
2014-08-27,6002.0
2014-08-28,5942.0
2014-08-29,5937.0
2014-09-01,5887.0
2014-09-02,5897.0
2014-09-03,5992.0
2014-09-04,6022.0
2014-09-05,6047.0
2014-09-09,5947.0
2014-09-10,5797.0
2014-09-11,5722.0
2014-09-12,5762.0
2014-09-15,5622.0
2014-09-16,5747.0
2014-09-17,5762.0
