DATETIME,price
2014-01-02,1868.0
2014-01-03,1845.0
2014-01-06,1864.0
2014-01-07,1878.0
2014-01-08,1814.0
2014-01-09,1804.0
2014-01-10,1846.0
2014-01-13,1841.0
2014-01-14,1838.0
2014-01-15,1877.0
2014-01-16,1908.0
2014-01-17,1905.0
2014-01-20,1906.0
2014-01-21,1912.0
2014-01-22,1839.0
2014-01-23,1829.0
2014-01-24,1825.0
2014-01-27,1840.0
2014-01-28,1847.0
2014-01-29,1827.0
2014-01-30,1815.0
2014-02-07,1908.0
2014-02-10,1927.0
2014-02-11,1915.0
2014-02-12,1931.0
2014-02-13,1935.0
2014-02-14,1974.0
2014-02-17,1959.0
2014-02-18,1941.0
2014-02-19,1969.0
2014-02-20,1953.0
2014-02-21,1950.0
2014-02-24,1935.0
2014-02-25,1942.0
2014-02-26,1946.0
2014-02-27,1942.0
2014-02-28,1899.0
2014-03-03,1921.0
2014-03-04,1899.0
2014-03-05,1913.0
2014-03-06,1915.0
2014-03-07,1923.0
2014-03-10,1949.0
2014-03-11,1892.0
2014-03-12,1919.0
2014-03-13,1898.0
2014-03-14,1892.0
2014-03-17,1866.0
2014-03-18,1853.0
2014-03-19,1881.0
2014-03-20,1934.0
2014-03-21,1983.0
2014-03-24,1959.0
2014-03-25,1978.0
2014-03-26,2022.0
2014-03-27,2034.0
2014-03-28,2008.0
2014-03-31,2026.0
2014-04-01,2073.0
2014-04-02,2159.0
2014-04-03,2138.0
2014-04-04,2131.0
2014-04-08,2127.0
2014-04-09,2148.0
2014-04-10,2134.0
2014-04-11,2119.0
2014-04-14,2112.0
2014-04-15,2130.0
2014-04-16,2145.0
2014-04-17,2173.0
2014-04-18,2187.0
2014-04-21,2214.0
2014-04-22,2178.0
2014-04-23,2184.0
2014-04-24,2194.0
2014-04-25,2196.0
2014-04-28,2259.0
2014-04-29,2285.0
2014-04-30,2304.0
2014-05-05,2256.0
2014-05-06,2231.0
2014-05-07,2226.0
2014-05-08,2225.0
2014-05-09,2251.0
2014-05-12,2262.0
2014-05-13,2238.0
2014-05-14,2276.0
2014-05-15,2313.0
2014-05-16,2315.0
2014-05-19,2320.0
2014-05-20,2371.0
2014-05-21,2372.0
2014-05-22,2434.0
2014-05-23,2470.0
2014-05-26,2479.0
2014-05-27,2494.0
2014-05-28,2414.0
2014-05-29,2445.0
2014-05-30,2481.0
2014-06-03,2494.0
2014-06-04,2452.0
2014-06-05,2442.0
2014-06-06,2382.0
2014-06-09,2377.0
2014-06-10,2374.0
2014-06-11,2379.0
2014-06-12,2357.0
2014-06-13,2372.0
2014-06-16,2383.0
2014-06-17,2411.0
2014-06-18,2373.0
2014-06-19,2392.0
2014-06-20,2408.0
2014-06-23,2433.0
2014-06-24,2431.0
2014-06-25,2424.0
2014-06-26,2426.0
2014-06-27,2443.0
2014-06-30,2413.0
2014-07-01,2254.0
2014-07-02,2220.0
2014-07-03,2228.0
2014-07-04,2219.0
2014-07-07,2219.0
2014-07-08,2181.0
2014-07-09,2166.0
2014-07-10,2122.0
2014-07-11,2105.0
2014-07-14,2067.0
2014-07-15,2107.0
2014-07-16,2114.0
2014-07-17,2156.0
2014-07-18,2126.0
2014-07-21,2093.0
2014-07-22,2070.0
2014-07-23,2057.0
2014-07-24,2082.0
2014-07-25,2092.0
2014-07-28,2111.0
2014-07-29,2143.0
2014-07-30,2129.0
2014-07-31,2115.0
2014-08-01,2117.0
2014-08-04,2087.0
2014-08-05,2115.0
2014-08-06,2112.0
2014-08-07,2141.0
2014-08-08,2140.0
2014-08-11,2174.0
2014-08-12,2147.0
2014-08-13,2111.0
2014-08-14,2092.0
2014-08-15,2087.0
2014-08-18,2085.0
2014-08-19,2096.0
2014-08-20,2104.0
2014-08-21,2062.0
2014-08-22,2082.0
2014-08-25,2085.0
2014-08-26,2052.0
2014-08-27,2041.0
2014-08-28,2041.0
2014-08-29,2047.0
2014-09-01,2039.0
2014-09-02,2034.0
2014-09-03,2050.0
2014-09-04,2023.0
2014-09-05,1977.0
2014-09-09,1941.0
2014-09-10,1917.0
2014-09-11,1895.0
2014-09-12,1871.0
2014-09-15,1906.0
2014-09-16,1916.0
2014-09-17,1910.0
2014-09-18,1933.0
2014-09-19,1894.0
2014-09-22,1828.0
2014-09-23,1745.0
2014-09-24,1781.0
2014-09-25,1773.0
2014-09-26,1734.0
2014-09-29,1706.0
2014-09-30,1712.0
2014-10-08,1762.0
2014-10-09,1755.0
2014-10-10,1779.0
2014-10-13,1725.0
2014-10-14,1804.0
2014-10-15,1846.0
2014-10-16,1818.0
2014-10-17,1858.0
2014-10-20,1824.0
2014-10-21,1832.0
2014-10-22,1871.0
2014-10-23,1846.0
2014-10-24,1914.0
2014-10-27,1878.0
2014-10-28,1975.0
2014-10-29,1948.0
2014-10-30,2042.0
2014-10-31,1982.0
2014-11-03,2014.0
2014-11-04,1944.0
2014-11-05,1896.0
2014-11-06,1902.0
2014-11-07,1931.0
2014-11-10,1952.0
2014-11-11,1934.0
2014-11-12,2005.0
2014-11-13,1961.0
2014-11-14,1970.0
2014-11-17,1894.0
2014-11-18,1913.0
2014-11-19,1884.0
2014-11-20,1823.0
2014-11-21,1858.0
2014-11-24,1875.0
2014-11-25,1853.0
2014-11-26,1870.0
2014-11-27,1857.0
2014-11-28,1865.0
2014-12-01,1833.0
2014-12-02,1846.0
2014-12-03,1820.0
2014-12-04,1826.0
2014-12-05,1821.0
2014-12-08,1856.0
2014-12-09,1870.0
2014-12-10,1886.0
2014-12-11,1917.0
2014-12-12,1934.0
2014-12-15,1926.0
2014-12-16,1926.0
2014-12-17,1871.0
2014-12-18,1864.0
2014-12-19,1872.0
2014-12-22,1869.0
2014-12-23,1858.0
2014-12-24,1841.0
2014-12-25,1815.0
2014-12-26,1832.0
2014-12-29,1855.0
2014-12-30,1888.0
2014-12-31,1889.0
2015-01-05,1795.0
2015-01-06,1805.0
2015-01-07,1851.0
2015-01-08,1852.0
2015-01-09,1854.0
2015-01-12,1827.0
2015-01-13,1818.0
2015-01-14,1775.0
2015-01-15,1703.0
2015-01-16,1731.0
2015-01-19,1703.0
2015-01-20,1670.0
2015-01-21,1660.0
2015-01-22,1680.0
2015-01-23,1700.0
2015-01-26,1662.0
2015-01-27,1662.0
2015-01-28,1687.0
2015-01-29,1674.0
2015-01-30,1672.0
2015-02-02,1685.0
2015-02-03,1665.0
2015-02-04,1688.0
2015-02-05,1712.0
2015-02-06,1712.0
2015-02-09,1721.0
2015-02-10,1722.0
2015-02-11,1722.0
2015-02-12,1728.0
2015-02-13,1736.0
2015-02-16,1777.0
2015-02-17,1785.0
2015-02-25,1838.0
2015-02-26,1827.0
2015-02-27,1836.0
2015-03-02,1888.0
2015-03-03,1877.0
2015-03-04,1843.0
2015-03-05,1824.0
2015-03-06,1799.0
2015-03-09,1787.0
2015-03-10,1804.0
2015-03-11,1803.0
2015-03-12,1839.0
2015-03-13,1856.0
2015-03-16,1821.0
2015-03-17,1810.0
2015-03-18,1794.0
2015-03-19,1779.0
2015-03-20,1787.0
2015-03-23,1797.0
2015-03-24,1825.0
2015-03-25,1835.0
2015-03-26,1823.0
2015-03-27,1793.0
2015-03-30,1796.0
2015-03-31,1779.0
2015-04-01,1768.0
2015-04-02,1814.0
2015-04-03,1809.0
2015-04-07,1785.0
2015-04-08,1782.0
2015-04-09,1782.0
2015-04-10,1730.0
2015-04-13,1707.0
2015-04-14,1709.0
2015-04-15,1727.0
2015-04-16,1724.0
2015-04-17,1719.0
2015-04-20,1728.0
2015-04-21,1739.0
2015-04-22,1744.0
2015-04-23,1726.0
2015-04-24,1741.0
2015-04-27,1753.0
2015-04-28,1760.0
2015-04-29,1793.0
2015-04-30,1771.0
2015-05-04,1754.0
2015-05-05,1748.0
2015-05-06,1751.0
2015-05-07,1763.0
2015-05-08,1773.0
2015-05-11,1749.0
2015-05-12,1751.0
2015-05-13,1709.0
2015-05-14,1703.0
2015-05-15,1691.0
2015-05-18,1694.0
2015-05-19,1696.0
2015-05-20,1674.0
2015-05-21,1609.0
2015-05-22,1603.0
2015-05-25,1609.0
2015-05-26,1557.0
2015-05-27,1540.0
2015-05-28,1559.0
2015-05-29,1578.0
2015-06-01,1569.0
2015-06-02,1543.0
2015-06-03,1580.0
2015-06-04,1587.0
2015-06-05,1588.0
2015-06-08,1586.0
2015-06-09,1578.0
2015-06-10,1579.0
2015-06-11,1580.0
2015-06-12,1568.0
2015-06-15,1517.0
2015-06-16,1470.0
2015-06-17,1493.0
2015-06-18,1536.0
2015-06-19,1525.0
2015-06-23,1610.0
2015-06-24,1605.0
2015-06-25,1592.0
2015-06-26,1613.0
2015-06-29,1664.0
2015-06-30,1625.0
2015-07-01,1578.0
2015-07-02,1699.0
2015-07-03,1712.0
2015-07-06,1753.0
2015-07-07,1709.0
2015-07-08,1728.0
2015-07-09,1600.0
2015-07-10,1708.0
2015-07-13,1779.0
2015-07-14,1737.0
2015-07-15,1815.0
2015-07-16,1806.0
2015-07-17,1814.0
2015-07-20,1727.0
2015-07-21,1698.0
2015-07-22,1715.0
2015-07-23,1693.0
2015-07-24,1698.0
2015-07-27,1668.0
2015-07-28,1606.0
2015-07-29,1622.0
2015-07-30,1614.0
2015-07-31,1642.0
2015-08-03,1628.0
2015-08-04,1596.0
2015-08-05,1646.0
2015-08-06,1676.0
2015-08-07,1657.0
2015-08-10,1639.0
2015-08-11,1711.0
2015-08-12,1739.0
2015-08-13,1763.0
2015-08-14,1670.0
2015-08-17,1650.0
2015-08-18,1662.0
2015-08-19,1635.0
2015-08-20,1634.0
2015-08-21,1609.0
2015-08-24,1614.0
2015-08-25,1543.0
2015-08-26,1643.0
2015-08-27,1630.0
2015-08-28,1662.0
2015-08-31,1640.0
2015-09-01,1605.0
2015-09-02,1609.0
2015-09-07,1613.0
2015-09-08,1587.0
2015-09-09,1612.0
2015-09-10,1620.0
2015-09-11,1609.0
2015-09-14,1618.0
2015-09-15,1658.0
2015-09-16,1663.0
2015-09-17,1675.0
2015-09-18,1649.0
2015-09-21,1632.0
2015-09-22,1612.0
2015-09-23,1597.0
2015-09-24,1610.0
2015-09-25,1596.0
2015-09-28,1625.0
2015-09-29,1606.0
2015-09-30,1589.0
2015-10-08,1616.0
2015-10-09,1589.0
2015-10-12,1576.0
2015-10-13,1598.0
2015-10-14,1599.0
2015-10-15,1641.0
2015-10-16,1624.0
2015-10-19,1617.0
2015-10-20,1595.0
2015-10-21,1581.0
2015-10-22,1544.0
2015-10-23,1568.0
2015-10-26,1524.0
2015-10-27,1514.0
2015-10-28,1522.0
2015-10-29,1515.0
2015-10-30,1505.0
2015-11-02,1495.0
2015-11-03,1487.0
2015-11-04,1446.0
2015-11-05,1448.0
2015-11-06,1433.0
2015-11-09,1409.0
2015-11-10,1408.0
2015-11-11,1397.0
2015-11-12,1407.0
2015-11-13,1403.0
2015-11-16,1381.0
2015-11-17,1361.0
2015-11-18,1345.0
2015-11-19,1366.0
2015-11-20,1326.0
2015-11-23,1322.0
2015-11-24,1257.0
2015-11-25,1317.0
2015-11-26,1313.0
2015-11-27,1363.0
2015-11-30,1360.0
2015-12-01,1344.0
2015-12-02,1382.0
2015-12-03,1376.0
2015-12-04,1331.0
2015-12-07,1335.0
2015-12-08,1369.0
2015-12-09,1312.0
2015-12-10,1307.0
2015-12-11,1296.0
2015-12-14,1339.0
2015-12-15,1337.0
2015-12-16,1348.0
2015-12-17,1353.0
2015-12-18,1316.0
2015-12-21,1372.0
2015-12-22,1416.0
2015-12-23,1408.0
2015-12-24,1396.0
2015-12-25,1385.0
2015-12-28,1366.0
2015-12-29,1344.0
2015-12-30,1367.0
2015-12-31,1357.0
2016-01-04,1370.0
2016-01-05,1327.0
2016-01-06,1344.0
2016-01-07,1343.0
2016-01-08,1374.0
2016-01-11,1407.0
2016-01-12,1384.0
2016-01-13,1379.0
2016-01-14,1385.0
2016-01-15,1406.0
2016-01-18,1396.0
2016-01-19,1459.0
2016-01-20,1463.0
2016-01-21,1448.0
2016-01-22,1427.0
2016-01-25,1454.0
2016-01-26,1432.0
2016-01-27,1440.0
2016-01-28,1447.0
2016-01-29,1441.0
2016-02-01,1420.0
2016-02-02,1440.0
2016-02-03,1450.0
2016-02-04,1452.0
2016-02-05,1446.0
2016-02-15,1425.0
2016-02-16,1421.0
2016-02-17,1411.0
2016-02-18,1385.0
2016-02-19,1383.0
2016-02-22,1389.0
2016-02-23,1404.0
2016-02-24,1388.0
2016-02-25,1353.0
2016-02-26,1348.0
2016-02-29,1329.0
2016-03-01,1303.0
2016-03-02,1316.0
2016-03-03,1317.0
2016-03-04,1330.0
2016-03-07,1366.0
2016-03-08,1385.0
2016-03-09,1354.0
2016-03-10,1351.0
2016-03-11,1336.0
2016-03-14,1340.0
2016-03-15,1337.0
2016-03-16,1330.0
2016-03-17,1322.0
2016-03-18,1345.0
2016-03-21,1356.0
2016-03-22,1357.0
2016-03-23,1386.0
2016-03-24,1376.0
2016-03-25,1388.0
2016-03-28,1431.0
2016-03-29,1400.0
2016-03-30,1383.0
2016-03-31,1396.0
2016-04-01,1363.0
2016-04-05,1358.0
2016-04-06,1377.0
2016-04-07,1367.0
2016-04-08,1374.0
2016-04-11,1360.0
2016-04-12,1395.0
2016-04-13,1439.0
2016-04-14,1476.0
2016-04-15,1490.0
2016-04-18,1493.0
2016-04-19,1544.0
2016-04-20,1555.0
2016-04-21,1608.0
2016-04-22,1697.0
2016-04-25,1618.0
2016-04-26,1600.0
2016-04-27,1657.0
2016-04-28,1662.0
2016-04-29,1667.0
2016-05-03,1689.0
2016-05-04,1744.0
2016-05-05,1699.0
2016-05-06,1732.0
2016-05-09,1642.0
2016-05-10,1685.0
2016-05-11,1702.0
2016-05-12,1829.0
2016-05-13,1868.0
2016-05-16,1820.0
2016-05-17,1836.0
2016-05-18,1861.0
2016-05-19,1880.0
2016-05-20,1860.0
2016-05-23,1931.0
2016-05-24,1870.0
2016-05-25,1745.0
2016-05-26,1833.0
2016-05-27,1937.0
2016-05-30,1891.0
2016-05-31,1975.0
2016-06-01,1966.0
2016-06-02,1927.0
2016-06-03,2014.0
2016-06-06,2104.0
2016-06-07,2134.0
2016-06-08,2149.0
2016-06-13,2347.0
2016-06-14,2365.0
2016-06-15,2284.0
2016-06-16,2326.0
2016-06-17,2236.0
2016-06-20,2265.0
2016-06-21,2272.0
2016-06-22,2236.0
2016-06-23,2258.0
2016-06-24,2241.0
2016-06-27,2188.0
2016-06-28,2322.0
2016-06-29,2437.0
2016-06-30,2381.0
2016-07-01,2411.0
2016-07-04,2471.0
2016-07-05,2494.0
2016-07-06,2384.0
2016-07-07,2229.0
2016-07-08,2208.0
2016-07-11,2131.0
2016-07-12,2187.0
2016-07-13,2204.0
2016-07-14,2360.0
2016-07-15,2367.0
2016-07-18,2212.0
2016-07-19,2142.0
2016-07-20,2190.0
2016-07-21,2107.0
2016-07-22,2090.0
2016-07-25,2015.0
2016-07-26,2037.0
2016-07-27,2008.0
2016-07-28,2059.0
2016-07-29,2039.0
2016-08-01,2003.0
2016-08-02,2006.0
2016-08-03,1965.0
2016-08-04,1979.0
