DATETIME,price
2014-01-02,3701.0
2014-01-03,3619.0
2014-01-06,3595.0
2014-01-07,3604.0
2014-01-08,3597.0
2014-01-09,3609.0
2014-01-10,3594.0
2014-01-13,3637.0
2014-01-14,3643.0
2014-01-15,3687.0
2014-01-16,3694.0
2014-01-17,3664.0
2014-01-20,3626.0
2014-01-21,3640.0
2014-01-22,3654.0
2014-01-23,3644.0
2014-01-24,3642.0
2014-01-27,3673.0
2014-01-28,3649.0
2014-01-29,3626.0
2014-01-30,3659.0
2014-02-07,3666.0
2014-02-10,3676.0
2014-02-11,3789.0
2014-02-12,3767.0
2014-02-13,3775.0
2014-02-14,3769.0
2014-02-17,3787.0
2014-02-18,3794.0
2014-02-19,3754.0
2014-02-20,3745.0
2014-02-21,3723.0
2014-02-24,3671.0
2014-02-25,3535.0
2014-02-26,3512.0
2014-02-27,3453.0
2014-02-28,3472.0
2014-03-03,3467.0
2014-03-04,3423.0
2014-03-05,3490.0
2014-03-06,3494.0
2014-03-07,3482.0
2014-03-10,3413.0
2014-03-11,3415.0
2014-03-12,3430.0
2014-03-13,3411.0
2014-03-14,3390.0
2014-03-17,3333.0
2014-03-18,3296.0
2014-03-19,3303.0
2014-03-20,3293.0
2014-03-21,3255.0
2014-03-24,3259.0
2014-03-25,3283.0
2014-03-26,3334.0
2014-03-27,3348.0
2014-03-28,3335.0
2014-03-31,3382.0
2014-04-01,3437.0
2014-04-02,3432.0
2014-04-03,3433.0
2014-04-04,3420.0
2014-04-08,3464.0
2014-04-09,3442.0
2014-04-10,3376.0
2014-04-11,3386.0
2014-04-14,3355.0
2014-04-15,3355.0
2014-04-16,3353.0
2014-04-17,3344.0
2014-04-18,3331.0
2014-04-21,3374.0
2014-04-22,3415.0
2014-04-23,3353.0
2014-04-24,3370.0
2014-04-25,3422.0
2014-04-28,3408.0
2014-04-29,3381.0
2014-04-30,3401.0
2014-05-05,3382.0
2014-05-06,3341.0
2014-05-07,3315.0
2014-05-08,3316.0
2014-05-09,3298.0
2014-05-12,3321.0
2014-05-13,3325.0
2014-05-14,3331.0
2014-05-15,3327.0
2014-05-16,3297.0
2014-05-19,3264.0
2014-05-20,3287.0
2014-05-21,3231.0
2014-05-22,3251.0
2014-05-23,3241.0
2014-05-26,3248.0
2014-05-27,3279.0
2014-05-28,3296.0
2014-05-29,3277.0
2014-05-30,3270.0
2014-06-03,3267.0
2014-06-04,3272.0
2014-06-05,3230.0
2014-06-06,3237.0
2014-06-09,3215.0
2014-06-10,3212.0
2014-06-11,3211.0
2014-06-12,3233.0
2014-06-13,3253.0
2014-06-16,3337.0
2014-06-17,3323.0
2014-06-18,3359.0
2014-06-19,3362.0
2014-06-20,3340.0
2014-06-23,3336.0
2014-06-24,3333.0
2014-06-25,3370.0
2014-06-26,3380.0
2014-06-27,3418.0
2014-06-30,3383.0
2014-07-01,3385.0
2014-07-02,3350.0
2014-07-03,3314.0
2014-07-04,3319.0
2014-07-07,3312.0
2014-07-08,3352.0
2014-07-09,3337.0
2014-07-10,3309.0
2014-07-11,3305.0
2014-07-14,3270.0
2014-07-15,3279.0
2014-07-16,3271.0
2014-07-17,3256.0
2014-07-18,3284.0
2014-07-21,3249.0
2014-07-22,3231.0
2014-07-23,3245.0
2014-07-24,3249.0
2014-07-25,3243.0
2014-07-28,3254.0
2014-07-29,3256.0
2014-07-30,3247.0
2014-07-31,3253.0
2014-08-01,3220.0
2014-08-04,3206.0
2014-08-05,3231.0
2014-08-06,3224.0
2014-08-07,3207.0
2014-08-08,3209.0
2014-08-11,3243.0
2014-08-12,3193.0
2014-08-13,3245.0
2014-08-14,3270.0
2014-08-15,3272.0
2014-08-18,3244.0
2014-08-19,3236.0
2014-08-20,3256.0
2014-08-21,3253.0
2014-08-22,3248.0
2014-08-25,3227.0
2014-08-26,3208.0
2014-08-27,3180.0
2014-08-28,3183.0
2014-08-29,3167.0
2014-09-01,3152.0
2014-09-02,3162.0
2014-09-03,3148.0
2014-09-04,3174.0
2014-09-05,3182.0
2014-09-09,3188.0
2014-09-10,3166.0
2014-09-11,3176.0
2014-09-12,3165.0
2014-09-15,3157.0
2014-09-16,3192.0
2014-09-17,3253.0
2014-09-18,3241.0
2014-09-19,3226.0
2014-09-22,3249.0
2014-09-23,3247.0
2014-09-24,3171.0
2014-09-25,3202.0
2014-09-26,3175.0
2014-09-29,3188.0
2014-09-30,3189.0
2014-10-08,3183.0
2014-10-09,3156.0
2014-10-10,3144.0
2014-10-13,3063.0
2014-10-14,3047.0
2014-10-15,3045.0
2014-10-16,3060.0
2014-10-17,3086.0
2014-10-20,3048.0
2014-10-21,3020.0
2014-10-22,3039.0
2014-10-23,3028.0
2014-10-24,3072.0
2014-10-27,3033.0
2014-10-28,3005.0
2014-10-29,3008.0
2014-10-30,3009.0
2014-10-31,2989.0
2014-11-03,2981.0
2014-11-04,2918.0
2014-11-05,2930.0
2014-11-06,2948.0
2014-11-07,2907.0
2014-11-10,2897.0
2014-11-11,2911.0
2014-11-12,2929.0
2014-11-13,2973.0
2014-11-14,2952.0
2014-11-17,2980.0
2014-11-18,2970.0
2014-11-19,2970.0
2014-11-20,3018.0
2014-11-21,3110.0
2014-11-24,3117.0
2014-11-25,3098.0
2014-11-26,3097.0
2014-11-27,3082.0
2014-11-28,3079.0
2014-12-01,3083.0
2014-12-02,3121.0
2014-12-03,3123.0
2014-12-04,3184.0
2014-12-05,3135.0
2014-12-08,3104.0
2014-12-09,3072.0
2014-12-10,3080.0
2014-12-11,3052.0
2014-12-12,3060.0
2014-12-15,3071.0
2014-12-16,3026.0
2014-12-17,2934.0
2014-12-18,2857.0
2014-12-19,2746.0
2014-12-22,2826.0
2014-12-23,2747.0
2014-12-24,2741.0
2014-12-25,2821.0
2014-12-26,2829.0
2014-12-29,2837.0
2014-12-30,2796.0
2014-12-31,2786.0
2015-01-05,2782.0
2015-01-06,2738.0
2015-01-07,2761.0
2015-01-08,2786.0
2015-01-09,2783.0
2015-01-12,2758.0
2015-01-13,2688.0
2015-01-14,2651.0
2015-01-15,2677.0
2015-01-16,2725.0
2015-01-19,2733.0
2015-01-20,2753.0
2015-01-21,2754.0
2015-01-22,2789.0
2015-01-23,2811.0
2015-01-26,2794.0
2015-01-27,2777.0
2015-01-28,2776.0
2015-01-29,2826.0
2015-01-30,2813.0
2015-02-02,2791.0
2015-02-03,2837.0
2015-02-04,2883.0
2015-02-05,2880.0
2015-02-06,2889.0
2015-02-09,2905.0
2015-02-10,2894.0
2015-02-11,2876.0
2015-02-12,2882.0
2015-02-13,2916.0
2015-02-16,2991.0
2015-02-17,3003.0
2015-02-25,2956.0
2015-02-26,3028.0
2015-02-27,3087.0
2015-03-02,3106.0
2015-03-03,3194.0
2015-03-04,3165.0
2015-03-05,3155.0
2015-03-06,3195.0
2015-03-09,3194.0
2015-03-10,3216.0
2015-03-11,3163.0
2015-03-12,3153.0
2015-03-13,3225.0
2015-03-16,3177.0
2015-03-17,3166.0
2015-03-18,3120.0
2015-03-19,3068.0
2015-03-20,3052.0
2015-03-23,3084.0
2015-03-24,3087.0
2015-03-25,3199.0
2015-03-26,3159.0
2015-03-27,3172.0
2015-03-30,3149.0
2015-03-31,3123.0
2015-04-01,3151.0
2015-04-02,3164.0
2015-04-03,3195.0
2015-04-07,3191.0
2015-04-08,3171.0
2015-04-09,3176.0
2015-04-10,3151.0
2015-04-13,3124.0
2015-04-14,3176.0
2015-04-15,3163.0
2015-04-16,3172.0
2015-04-17,3173.0
2015-04-20,3197.0
2015-04-21,3224.0
2015-04-22,3208.0
2015-04-23,3205.0
2015-04-24,3197.0
2015-04-27,3226.0
2015-04-28,3244.0
2015-04-29,3257.0
2015-04-30,3203.0
2015-05-04,3234.0
2015-05-05,3223.0
2015-05-06,3238.0
2015-05-07,3251.0
2015-05-08,3194.0
2015-05-11,3173.0
2015-05-12,3160.0
2015-05-13,3166.0
2015-05-14,3164.0
2015-05-15,3142.0
2015-05-18,3141.0
2015-05-19,3136.0
