DATETIME,price
2015-03-27,59270.0
2015-03-30,56220.0
2015-03-31,55200.0
2015-04-01,51090.0
2015-04-02,50090.0
2015-04-03,53190.0
2015-04-07,54600.0
2015-04-08,51640.0
2015-04-09,51650.0
2015-04-10,51700.0
2015-04-13,51730.0
2015-04-14,51990.0
2015-04-15,49900.0
2015-04-16,51800.0
2015-04-17,53520.0
2015-04-20,53170.0
2015-04-21,52520.0
2015-04-22,53130.0
2015-04-23,53320.0
2015-04-24,53040.0
2015-04-27,55250.0
2015-04-28,59700.0
2015-04-29,59560.0
2015-04-30,58500.0
2015-05-04,63210.0
2015-05-05,65000.0
2015-05-06,67230.0
2015-05-07,71700.0
2015-05-08,70930.0
2015-05-11,69100.0
2015-05-12,70510.0
2015-05-13,69480.0
2015-05-14,69300.0
2015-05-15,66150.0
2015-05-18,66520.0
2015-05-19,65410.0
2015-05-20,62660.0
2015-05-21,57690.0
2015-05-22,58080.0
2015-05-25,56000.0
2015-05-26,56930.0
2015-05-27,56890.0
2015-05-28,56590.0
2015-05-29,58040.0
2015-06-01,56320.0
2015-06-02,56010.0
2015-06-03,59200.0
2015-06-04,58020.0
2015-06-05,57430.0
2015-06-08,57550.0
2015-06-09,59680.0
2015-06-10,60170.0
2015-06-11,60680.0
2015-06-12,60440.0
2015-06-15,57250.0
2015-06-16,56170.0
2015-06-17,54900.0
2015-06-18,55150.0
2015-06-19,54840.0
2015-06-23,53100.0
2015-06-24,54360.0
2015-06-25,54830.0
2015-06-26,53560.0
2015-06-29,52430.0
2015-06-30,47700.0
2015-07-01,46180.0
2015-07-02,47120.0
2015-07-03,48680.0
2015-07-06,48000.0
2015-07-07,44570.0
2015-07-08,41120.0
2015-07-09,34820.0
2015-07-10,42920.0
2015-07-13,42810.0
2015-07-14,43320.0
2015-07-15,43700.0
2015-07-16,45630.0
2015-07-17,43520.0
2015-07-20,43620.0
2015-07-21,44310.0
2015-07-22,46450.0
2015-07-23,44180.0
2015-07-24,43000.0
2015-07-27,42080.0
2015-07-28,40070.0
2015-07-29,42140.0
2015-07-30,42410.0
2015-07-31,41020.0
2015-08-03,40980.0
2015-08-04,39200.0
2015-08-05,40140.0
2015-08-06,40330.0
2015-08-07,39520.0
2015-08-10,39440.0
2015-08-11,41000.0
2015-08-12,40060.0
2015-08-13,41570.0
2015-08-14,41520.0
2015-08-17,40890.0
2015-08-18,40880.0
2015-08-19,39220.0
2015-08-20,39730.0
2015-08-21,39650.0
2015-08-24,38140.0
2015-08-25,32330.0
2015-08-26,33820.0
2015-08-27,32430.0
2015-08-28,34530.0
2015-08-31,36330.0
2015-09-01,34530.0
2015-09-02,34130.0
2015-09-07,34330.0
2015-09-08,35010.0
2015-09-09,35250.0
2015-09-10,36370.0
2015-09-11,37530.0
2015-09-14,37210.0
2015-09-15,35640.0
2015-09-16,35480.0
2015-09-17,36910.0
2015-09-18,36240.0
2015-09-21,35350.0
2015-09-22,35900.0
2015-09-23,34830.0
2015-09-24,35070.0
2015-09-25,34780.0
2015-09-28,35430.0
2015-09-29,35350.0
2015-09-30,34410.0
2015-10-08,36350.0
2015-10-09,35650.0
2015-10-12,39090.0
2015-10-13,38510.0
2015-10-14,37450.0
2015-10-15,37530.0
2015-10-16,38370.0
2015-10-19,38410.0
2015-10-20,37240.0
2015-10-21,36600.0
2015-10-22,36220.0
2015-10-23,37060.0
2015-10-26,38100.0
2015-10-27,36880.0
2015-10-28,37330.0
2015-10-29,37200.0
2015-10-30,37110.0
2015-11-02,35250.0
2015-11-03,34780.0
2015-11-04,34330.0
2015-11-05,34310.0
2015-11-06,33260.0
2015-11-09,32940.0
2015-11-10,32180.0
2015-11-11,31580.0
2015-11-12,31070.0
2015-11-13,30790.0
2015-11-16,30960.0
2015-11-17,31440.0
2015-11-18,29580.0
2015-11-19,28830.0
2015-11-20,27730.0
