DATETIME,price
2014-01-02,5417.0
2014-01-03,5391.0
2014-01-06,5325.0
2014-01-07,5233.0
2014-01-08,5171.0
2014-01-09,5181.0
2014-01-10,5245.0
2014-01-13,5259.0
2014-01-14,5179.0
2014-01-15,5237.0
2014-01-16,5255.0
2014-01-17,5269.0
2014-01-20,5265.0
2014-01-21,5439.0
2014-01-22,5429.0
2014-01-23,5391.0
2014-01-24,5415.0
2014-01-27,5401.0
2014-01-28,5305.0
2014-01-29,5283.0
2014-01-30,5263.0
2014-02-07,5339.0
2014-02-10,5451.0
2014-02-11,5503.0
2014-02-12,5439.0
2014-02-13,5447.0
2014-02-14,5489.0
2014-02-17,5453.0
2014-02-18,5543.0
2014-02-19,5623.0
2014-02-20,5605.0
2014-02-21,5615.0
2014-02-24,5605.0
2014-02-25,5577.0
2014-02-26,5547.0
2014-02-27,5605.0
2014-02-28,5561.0
2014-03-03,5585.0
2014-03-04,5633.0
2014-03-05,5731.0
2014-03-06,5757.0
2014-03-07,5873.0
2014-03-10,5845.0
2014-03-11,5779.0
2014-03-12,5851.0
2014-03-13,5843.0
2014-03-14,5895.0
2014-03-17,5795.0
2014-03-18,5655.0
2014-03-19,5587.0
2014-03-20,5515.0
2014-03-21,5379.0
2014-03-24,5413.0
2014-03-25,5423.0
2014-03-26,5481.0
2014-03-27,5499.0
2014-03-28,5507.0
2014-03-31,5525.0
2014-04-01,5551.0
2014-04-02,5605.0
2014-04-03,5609.0
2014-04-04,5675.0
2014-04-08,5633.0
2014-04-09,5705.0
2014-04-10,5719.0
2014-04-11,5655.0
2014-04-14,5621.0
2014-04-15,5625.0
2014-04-16,5633.0
2014-04-17,5737.0
2014-04-18,5675.0
2014-04-21,5681.0
2014-04-22,5613.0
2014-04-23,5643.0
2014-04-24,5629.0
2014-04-25,5675.0
2014-04-28,5717.0
2014-04-29,5755.0
2014-04-30,5891.0
2014-05-05,5813.0
2014-05-06,5815.0
2014-05-07,5837.0
2014-05-08,5847.0
2014-05-09,5851.0
2014-05-12,5847.0
2014-05-13,5765.0
2014-05-14,5783.0
2014-05-15,5745.0
2014-05-16,5749.0
2014-05-19,5749.0
2014-05-20,5757.0
2014-05-21,5695.0
2014-05-22,5673.0
2014-05-23,5703.0
