DATETIME,price
2014-01-02,2920.0
2014-01-03,2950.0
2014-01-06,2894.0
2014-01-07,2832.0
2014-01-08,2760.0
2014-01-09,2640.0
2014-01-10,2672.0
2014-01-13,2702.0
2014-01-14,2646.0
2014-01-15,2670.0
2014-01-16,2658.0
2014-01-17,2670.0
2014-01-20,2646.0
2014-01-21,2750.0
2014-01-22,2720.0
2014-01-23,2694.0
2014-01-24,2700.0
2014-01-27,2680.0
2014-01-28,2584.0
2014-01-29,2534.0
2014-01-30,2502.0
2014-02-07,2620.0
2014-02-10,2630.0
2014-02-11,2726.0
2014-02-12,2708.0
2014-02-13,2746.0
2014-02-14,2816.0
2014-02-17,2816.0
2014-02-18,2868.0
2014-02-19,2960.0
2014-02-20,2932.0
2014-02-21,2980.0
2014-02-24,2960.0
2014-02-25,2960.0
2014-02-26,2952.0
2014-02-27,3052.0
2014-02-28,2992.0
2014-03-03,3020.0
2014-03-04,3028.0
2014-03-05,3074.0
2014-03-06,3092.0
2014-03-07,3162.0
2014-03-10,3158.0
2014-03-11,3096.0
2014-03-12,3200.0
2014-03-13,3144.0
2014-03-14,3120.0
2014-03-17,3000.0
2014-03-18,2946.0
2014-03-19,2982.0
2014-03-20,3000.0
2014-03-21,2874.0
2014-03-24,2892.0
2014-03-25,2874.0
2014-03-26,2878.0
2014-03-27,2924.0
2014-03-28,2936.0
2014-03-31,2914.0
2014-04-01,2932.0
2014-04-02,3018.0
2014-04-03,2982.0
2014-04-04,2998.0
2014-04-08,2952.0
2014-04-09,3012.0
2014-04-10,3002.0
2014-04-11,2898.0
2014-04-14,2840.0
2014-04-15,2860.0
2014-04-16,2876.0
2014-04-17,3002.0
2014-04-18,2944.0
2014-04-21,2944.0
2014-04-22,2890.0
2014-04-23,2908.0
2014-04-24,2890.0
2014-04-25,2912.0
2014-04-28,2938.0
2014-04-29,2902.0
2014-04-30,2918.0
2014-05-05,2822.0
2014-05-06,2738.0
2014-05-07,2724.0
2014-05-08,2760.0
2014-05-09,2748.0
2014-05-12,2748.0
2014-05-13,2704.0
2014-05-14,2782.0
2014-05-15,2778.0
2014-05-16,2774.0
2014-05-19,2726.0
2014-05-20,2674.0
2014-05-21,2626.0
2014-05-22,2670.0
2014-05-23,2680.0
2014-05-26,2668.0
2014-05-27,2652.0
2014-05-28,2622.0
2014-05-29,2680.0
2014-05-30,2648.0
2014-06-03,2580.0
2014-06-04,2552.0
2014-06-05,2628.0
2014-06-06,2578.0
2014-06-09,2596.0
2014-06-10,2610.0
2014-06-11,2582.0
2014-06-12,2502.0
2014-06-13,2540.0
2014-06-16,2590.0
2014-06-17,2542.0
2014-06-18,2524.0
2014-06-19,2576.0
2014-06-20,2556.0
2014-06-23,2584.0
2014-06-24,2678.0
2014-06-25,2710.0
2014-06-26,2698.0
2014-06-27,2686.0
2014-06-30,2614.0
2014-07-01,2442.0
2014-07-02,2456.0
2014-07-03,2446.0
2014-07-04,2438.0
2014-07-07,2440.0
2014-07-08,2444.0
2014-07-09,2466.0
2014-07-10,2430.0
2014-07-11,2482.0
2014-07-14,2474.0
2014-07-15,2362.0
2014-07-16,2332.0
2014-07-17,2354.0
2014-07-18,2362.0
2014-07-21,2342.0
2014-07-22,2334.0
2014-07-23,2278.0
2014-07-24,2242.0
2014-07-25,2274.0
2014-07-28,2298.0
2014-07-29,2252.0
2014-07-30,2288.0
2014-07-31,2276.0
2014-08-01,2286.0
2014-08-04,2292.0
2014-08-05,2276.0
2014-08-06,2278.0
2014-08-07,2258.0
2014-08-08,2272.0
2014-08-11,2274.0
2014-08-12,2216.0
2014-08-13,2224.0
2014-08-14,2212.0
2014-08-15,2094.0
2014-08-18,2018.0
2014-08-19,1942.0
2014-08-20,1932.0
2014-08-21,1882.0
2014-08-22,1896.0
2014-08-25,1858.0
2014-08-26,1854.0
2014-08-27,1824.0
2014-08-28,1832.0
2014-08-29,1840.0
2014-09-01,1794.0
2014-09-02,1806.0
2014-09-03,1834.0
2014-09-04,1848.0
2014-09-05,1896.0
2014-09-09,1876.0
2014-09-10,1838.0
2014-09-11,1788.0
2014-09-12,1828.0
2014-09-15,1856.0
2014-09-16,1862.0
2014-09-17,1874.0
2014-09-18,1904.0
2014-09-19,1898.0
2014-09-22,1818.0
2014-09-23,1730.0
2014-09-24,1772.0
2014-09-25,1816.0
2014-09-26,1916.0
2014-09-29,1816.0
2014-09-30,1834.0
2014-10-08,1880.0
2014-10-09,1888.0
2014-10-10,1906.0
2014-10-13,1868.0
2014-10-14,1846.0
2014-10-15,1904.0
2014-10-16,1866.0
2014-10-17,1816.0
2014-10-20,1846.0
2014-10-21,1788.0
2014-10-22,1770.0
2014-10-23,1804.0
2014-10-24,1816.0
