DATETIME,price
2014-02-28,3507.0
2014-03-03,3523.0
2014-03-04,3538.0
2014-03-05,3587.0
2014-03-06,3498.0
2014-03-07,3428.0
2014-03-10,3253.0
2014-03-11,3324.0
2014-03-12,3318.0
2014-03-13,3428.0
2014-03-14,3428.0
2014-03-17,3393.0
2014-03-18,3353.0
2014-03-19,3528.0
2014-03-20,3448.0
2014-03-21,3434.0
2014-03-24,3508.0
2014-03-25,3543.0
2014-03-26,3634.0
2014-03-27,3758.0
2014-03-28,3728.0
2014-03-31,3846.0
2014-04-01,3818.0
2014-04-02,3909.0
2014-04-03,3908.0
2014-04-04,3913.0
2014-04-08,4038.0
2014-04-09,4018.0
2014-04-10,3978.0
2014-04-11,3898.0
2014-04-14,3978.0
2014-04-15,3994.0
2014-04-16,4011.0
2014-04-17,3998.0
2014-04-18,4114.0
2014-04-21,4103.0
2014-04-22,4118.0
2014-04-23,4213.0
2014-04-24,4152.0
2014-04-25,4128.0
2014-04-28,3938.0
2014-04-29,3928.0
2014-04-30,3990.0
2014-05-05,3978.0
2014-05-06,4060.0
2014-05-07,4078.0
2014-05-08,4183.0
2014-05-09,4112.0
2014-05-12,4018.0
2014-05-13,4001.0
2014-05-14,4038.0
2014-05-15,3968.0
2014-05-16,3893.0
2014-05-19,3916.0
2014-05-20,3908.0
2014-05-21,3909.0
2014-05-22,3993.0
2014-05-23,4142.0
2014-05-26,4266.0
2014-05-27,4269.0
2014-05-28,4055.0
2014-05-29,4068.0
2014-05-30,4161.0
2014-06-03,4228.0
2014-06-04,4298.0
2014-06-05,4288.0
2014-06-06,4358.0
2014-06-09,4323.0
2014-06-10,4338.0
2014-06-11,4578.0
2014-06-12,4538.0
2014-06-13,4628.0
2014-06-16,4632.0
2014-06-17,4628.0
2014-06-18,4493.0
2014-06-19,4458.0
2014-06-20,4403.0
2014-06-23,4430.0
2014-06-24,4128.0
2014-06-25,4128.0
2014-06-26,4135.0
2014-06-27,4115.0
2014-06-30,4178.0
2014-07-01,4267.0
2014-07-02,4448.0
2014-07-03,4425.0
2014-07-04,4446.0
2014-07-07,4528.0
2014-07-08,4538.0
2014-07-09,4497.0
2014-07-10,4348.0
2014-07-11,4446.0
2014-07-14,4365.0
2014-07-15,4428.0
2014-07-16,4378.0
2014-07-17,4470.0
2014-07-18,4348.0
2014-07-21,4268.0
2014-07-22,4329.0
2014-07-23,4253.0
2014-07-24,4391.0
2014-07-25,4358.0
2014-07-28,4453.0
2014-07-29,4513.0
2014-07-30,4490.0
2014-07-31,4488.0
2014-08-01,4458.0
2014-08-04,4395.0
2014-08-05,4460.0
2014-08-06,4295.0
2014-08-07,4372.0
2014-08-08,4346.0
2014-08-11,4308.0
2014-08-12,4350.0
2014-08-13,4269.0
