DATETIME,price
2014-01-02,1694.0
2014-01-03,1716.0
2014-01-06,1661.0
2014-01-07,1646.0
2014-01-08,1582.0
2014-01-09,1595.0
2014-01-10,1581.0
2014-01-13,1614.0
2014-01-14,1593.0
2014-01-15,1618.0
2014-01-16,1631.0
2014-01-17,1606.0
2014-01-20,1593.0
2014-01-21,1569.0
2014-01-22,1532.0
2014-01-23,1556.0
2014-01-24,1583.0
2014-01-27,1604.0
2014-01-28,1591.0
2014-01-29,1560.0
2014-01-30,1565.0
2014-02-07,1578.0
2014-02-10,1533.0
2014-02-11,1543.0
2014-02-12,1514.0
2014-02-13,1527.0
2014-02-14,1528.0
2014-02-17,1545.0
2014-02-18,1583.0
2014-02-19,1564.0
2014-02-20,1561.0
2014-02-21,1526.0
2014-02-24,1514.0
2014-02-25,1453.0
2014-02-26,1433.0
2014-02-27,1446.0
2014-02-28,1468.0
2014-03-03,1451.0
2014-03-04,1455.0
2014-03-05,1445.0
2014-03-06,1446.0
2014-03-07,1412.0
2014-03-10,1314.0
2014-03-11,1205.0
2014-03-12,1212.0
2014-03-13,1290.0
2014-03-14,1300.0
2014-03-17,1300.0
2014-03-18,1258.0
2014-03-19,1271.0
2014-03-20,1296.0
2014-03-21,1260.0
2014-03-24,1243.0
2014-03-25,1245.0
2014-03-26,1311.0
2014-03-27,1295.0
2014-03-28,1300.0
2014-03-31,1341.0
2014-04-01,1357.0
2014-04-02,1372.0
2014-04-03,1342.0
2014-04-04,1367.0
2014-04-08,1417.0
2014-04-09,1446.0
2014-04-10,1419.0
2014-04-11,1402.0
2014-04-14,1385.0
2014-04-15,1387.0
2014-04-16,1388.0
2014-04-17,1364.0
2014-04-18,1350.0
2014-04-21,1280.0
2014-04-22,1261.0
2014-04-23,1277.0
2014-04-24,1297.0
2014-04-25,1319.0
2014-04-28,1289.0
2014-04-29,1251.0
2014-04-30,1276.0
2014-05-05,1244.0
2014-05-06,1267.0
2014-05-07,1251.0
2014-05-08,1213.0
2014-05-09,1212.0
2014-05-12,1183.0
2014-05-13,1227.0
2014-05-14,1194.0
2014-05-15,1194.0
2014-05-16,1157.0
2014-05-19,1110.0
2014-05-20,1106.0
2014-05-21,1098.0
2014-05-22,1103.0
2014-05-23,1116.0
2014-05-26,1117.0
2014-05-27,1170.0
2014-05-28,1168.0
2014-05-29,1143.0
2014-05-30,1133.0
2014-06-03,1087.0
2014-06-04,1084.0
2014-06-05,1095.0
2014-06-06,1098.0
2014-06-09,1102.0
2014-06-10,1098.0
2014-06-11,1099.0
2014-06-12,1070.0
2014-06-13,1046.0
2014-06-16,1046.0
2014-06-17,1028.0
2014-06-18,1049.0
2014-06-19,1037.0
2014-06-20,1038.0
2014-06-23,1071.0
2014-06-24,1095.0
2014-06-25,1094.0
2014-06-26,1114.0
2014-06-27,1146.0
2014-06-30,1118.0
2014-07-01,1111.0
2014-07-02,1101.0
2014-07-03,1133.0
2014-07-04,1132.0
2014-07-07,1138.0
2014-07-08,1124.0
2014-07-09,1147.0
2014-07-10,1125.0
2014-07-11,1148.0
2014-07-14,1163.0
2014-07-15,1181.0
2014-07-16,1178.0
2014-07-17,1160.0
2014-07-18,1150.0
2014-07-21,1093.0
2014-07-22,1072.0
2014-07-23,1074.0
2014-07-24,1063.0
2014-07-25,1071.0
2014-07-28,1078.0
2014-07-29,1117.0
2014-07-30,1129.0
2014-07-31,1107.0
2014-08-01,1095.0
2014-08-04,1098.0
2014-08-05,1137.0
2014-08-06,1127.0
2014-08-07,1139.0
2014-08-08,1130.0
2014-08-11,1118.0
2014-08-12,1089.0
2014-08-13,1095.0
2014-08-14,1073.0
2014-08-15,1050.0
2014-08-18,1063.0
2014-08-19,1041.0
2014-08-20,1042.0
2014-08-21,1024.0
2014-08-22,1012.0
2014-08-25,1007.0
2014-08-26,1008.0
2014-08-27,1015.0
2014-08-28,993.0
2014-08-29,965.0
2014-09-01,974.0
2014-09-02,947.0
2014-09-03,935.0
2014-09-04,886.0
2014-09-05,871.0
2014-09-09,851.0
2014-09-10,792.0
2014-09-11,807.0
2014-09-12,789.0
2014-09-15,848.0
2014-09-16,859.0
2014-09-17,839.0
2014-09-18,828.0
2014-09-19,791.0
2014-09-22,725.0
2014-09-23,639.0
2014-09-24,642.0
2014-09-25,646.0
2014-09-26,575.0
2014-09-29,618.0
2014-09-30,569.0
2014-10-08,587.0
2014-10-09,545.0
2014-10-10,574.0
2014-10-13,642.0
2014-10-14,692.0
2014-10-15,687.0
2014-10-16,668.0
2014-10-17,692.0
2014-10-20,700.0
2014-10-21,695.0
2014-10-22,680.0
2014-10-23,626.0
2014-10-24,615.0
2014-10-27,640.0
2014-10-28,626.0
2014-10-29,630.0
2014-10-30,673.0
2014-10-31,670.0
2014-11-03,643.0
2014-11-04,615.0
2014-11-05,637.0
2014-11-06,604.0
2014-11-07,609.0
2014-11-10,641.0
2014-11-11,636.0
2014-11-12,642.0
2014-11-13,631.0
2014-11-14,598.0
2014-11-17,611.0
2014-11-18,589.0
2014-11-19,523.0
2014-11-20,529.0
2014-11-21,507.0
2014-11-24,556.0
2014-11-25,515.0
2014-11-26,524.0
2014-11-27,540.0
2014-11-28,604.0
2014-12-01,609.0
2014-12-02,630.0
2014-12-03,581.0
2014-12-04,617.0
2014-12-05,652.0
2014-12-08,646.0
2014-12-09,617.0
2014-12-10,642.0
2014-12-11,640.0
2014-12-12,649.0
2014-12-15,671.0
2014-12-16,635.0
2014-12-17,616.0
2014-12-18,628.0
2014-12-19,633.0
2014-12-22,643.0
2014-12-23,577.0
2014-12-24,548.0
2014-12-25,575.0
2014-12-26,565.0
2014-12-29,557.0
2014-12-30,596.0
2014-12-31,700.0
2015-01-05,631.0
2015-01-06,637.0
2015-01-07,696.0
2015-01-08,667.0
2015-01-09,666.0
2015-01-12,638.0
2015-01-13,577.0
2015-01-14,581.0
2015-01-15,566.0
