DATETIME,price
2014-01-02,901.0
2014-01-03,914.0
2014-01-06,913.0
2014-01-07,915.0
2014-01-08,872.0
2014-01-09,863.0
2014-01-10,864.0
2014-01-13,875.0
2014-01-14,884.0
2014-01-15,917.0
2014-01-16,941.0
2014-01-17,960.0
2014-01-20,963.0
2014-01-21,974.0
2014-01-22,915.0
2014-01-23,881.0
2014-01-24,874.0
2014-01-27,885.0
2014-01-28,900.0
2014-01-29,882.0
2014-01-30,874.0
2014-02-07,939.0
2014-02-10,1002.0
2014-02-11,972.0
2014-02-12,989.0
2014-02-13,951.0
2014-02-14,997.0
2014-02-17,973.0
2014-02-18,955.0
2014-02-19,964.0
2014-02-20,949.0
2014-02-21,971.0
2014-02-24,953.0
2014-02-25,972.0
2014-02-26,962.0
2014-02-27,956.0
2014-02-28,942.0
2014-03-03,954.0
2014-03-04,941.0
2014-03-05,958.0
2014-03-06,989.0
2014-03-07,990.0
2014-03-10,1007.0
2014-03-11,983.0
2014-03-12,1001.0
2014-03-13,989.0
2014-03-14,959.0
2014-03-17,922.0
2014-03-18,902.0
2014-03-19,925.0
2014-03-20,954.0
2014-03-21,968.0
2014-03-24,933.0
2014-03-25,969.0
2014-03-26,994.0
2014-03-27,998.0
2014-03-28,998.0
2014-03-31,1002.0
2014-04-01,1014.0
2014-04-02,1064.0
2014-04-03,1051.0
2014-04-04,1075.0
2014-04-08,1090.0
2014-04-09,1121.0
2014-04-10,1140.0
2014-04-11,1125.0
2014-04-14,1120.0
2014-04-15,1142.0
2014-04-16,1160.0
2014-04-17,1163.0
2014-04-18,1172.0
2014-04-21,1205.0
2014-04-22,1182.0
2014-04-23,1198.0
2014-04-24,1181.0
2014-04-25,1186.0
2014-04-28,1227.0
2014-04-29,1279.0
2014-04-30,1315.0
2014-05-05,1289.0
2014-05-06,1279.0
2014-05-07,1287.0
2014-05-08,1285.0
2014-05-09,1328.0
2014-05-12,1311.0
2014-05-13,1291.0
2014-05-14,1336.0
2014-05-15,1386.0
2014-05-16,1384.0
2014-05-19,1412.0
2014-05-20,1429.0
2014-05-21,1429.0
2014-05-22,1464.0
2014-05-23,1504.0
2014-05-26,1513.0
2014-05-27,1521.0
2014-05-28,1448.0
2014-05-29,1457.0
2014-05-30,1491.0
2014-06-03,1497.0
2014-06-04,1486.0
2014-06-05,1478.0
2014-06-06,1405.0
2014-06-09,1392.0
2014-06-10,1464.0
2014-06-11,1459.0
2014-06-12,1445.0
2014-06-13,1478.0
2014-06-16,1498.0
2014-06-17,1515.0
2014-06-18,1448.0
2014-06-19,1459.0
2014-06-20,1456.0
2014-06-23,1461.0
2014-06-24,1479.0
2014-06-25,1446.0
2014-06-26,1448.0
2014-06-27,1474.0
2014-06-30,1460.0
2014-07-01,1429.0
2014-07-02,1423.0
2014-07-03,1442.0
2014-07-04,1431.0
2014-07-07,1379.0
2014-07-08,1342.0
2014-07-09,1328.0
2014-07-10,1260.0
2014-07-11,1259.0
2014-07-14,1242.0
2014-07-15,1294.0
2014-07-16,1269.0
2014-07-17,1288.0
2014-07-18,1223.0
2014-07-21,1214.0
2014-07-22,1218.0
2014-07-23,1231.0
2014-07-24,1255.0
2014-07-25,1262.0
2014-07-28,1275.0
2014-07-29,1297.0
2014-07-30,1315.0
2014-07-31,1310.0
2014-08-01,1297.0
2014-08-04,1262.0
2014-08-05,1281.0
2014-08-06,1283.0
2014-08-07,1290.0
2014-08-08,1292.0
2014-08-11,1279.0
2014-08-12,1271.0
2014-08-13,1252.0
2014-08-14,1223.0
2014-08-15,1220.0
2014-08-18,1197.0
2014-08-19,1192.0
2014-08-20,1175.0
2014-08-21,1166.0
2014-08-22,1195.0
2014-08-25,1210.0
2014-08-26,1167.0
2014-08-27,1189.0
2014-08-28,1201.0
2014-08-29,1199.0
2014-09-01,1169.0
2014-09-02,1152.0
2014-09-03,1170.0
2014-09-04,1124.0
2014-09-05,1066.0
2014-09-09,1065.0
2014-09-10,1043.0
2014-09-11,1010.0
2014-09-12,995.0
2014-09-15,1048.0
2014-09-16,1056.0
2014-09-17,1037.0
2014-09-18,1070.0
2014-09-19,1053.0
2014-09-22,1002.0
2014-09-23,945.0
2014-09-24,977.0
2014-09-25,975.0
2014-09-26,962.0
2014-09-29,955.0
2014-09-30,980.0
2014-10-08,1009.0
2014-10-09,980.0
2014-10-10,973.0
2014-10-13,913.0
2014-10-14,999.0
2014-10-15,1030.0
2014-10-16,1015.0
2014-10-17,1044.0
2014-10-20,1021.0
2014-10-21,1028.0
2014-10-22,1074.0
2014-10-23,1048.0
2014-10-24,1101.0
2014-10-27,1095.0
2014-10-28,1175.0
2014-10-29,1125.0
2014-10-30,1199.0
2014-10-31,1165.0
2014-11-03,1203.0
2014-11-04,1154.0
2014-11-05,1084.0
2014-11-06,1079.0
2014-11-07,1122.0
2014-11-10,1144.0
2014-11-11,1133.0
2014-11-12,1191.0
2014-11-13,1173.0
2014-11-14,1188.0
2014-11-17,1115.0
2014-11-18,1132.0
2014-11-19,1094.0
2014-11-20,1045.0
2014-11-21,1070.0
2014-11-24,1102.0
2014-11-25,1072.0
2014-11-26,1101.0
2014-11-27,1093.0
2014-11-28,1107.0
2014-12-01,1095.0
2014-12-02,1087.0
2014-12-03,1069.0
2014-12-04,1087.0
2014-12-05,1085.0
2014-12-08,1125.0
2014-12-09,1127.0
2014-12-10,1153.0
2014-12-11,1195.0
2014-12-12,1227.0
2014-12-15,1219.0
2014-12-16,1198.0
2014-12-17,1148.0
2014-12-18,1124.0
2014-12-19,1117.0
2014-12-22,1118.0
2014-12-23,1109.0
2014-12-24,1084.0
2014-12-25,1075.0
2014-12-26,1076.0
2014-12-29,1103.0
2014-12-30,1139.0
2014-12-31,1138.0
2015-01-05,1071.0
2015-01-06,1077.0
2015-01-07,1108.0
2015-01-08,1105.0
2015-01-09,1114.0
2015-01-12,1089.0
2015-01-13,1083.0
2015-01-14,1044.0
2015-01-15,985.0
2015-01-16,1010.0
2015-01-19,995.0
2015-01-20,967.0
2015-01-21,963.0
2015-01-22,993.0
2015-01-23,1021.0
2015-01-26,982.0
2015-01-27,985.0
2015-01-28,1004.0
2015-01-29,976.0
2015-01-30,974.0
2015-02-02,987.0
2015-02-03,961.0
2015-02-04,1003.0
2015-02-05,1020.0
2015-02-06,1021.0
2015-02-09,1029.0
2015-02-10,1034.0
2015-02-11,1039.0
2015-02-12,1040.0
2015-02-13,1049.0
2015-02-16,1101.0
2015-02-17,1115.0
2015-02-25,1162.0
2015-02-26,1152.0
2015-02-27,1185.0
2015-03-02,1232.0
2015-03-03,1232.0
2015-03-04,1184.0
2015-03-05,1176.0
2015-03-06,1153.0
2015-03-09,1141.0
2015-03-10,1169.0
2015-03-11,1173.0
2015-03-12,1232.0
2015-03-13,1248.0
2015-03-16,1192.0
2015-03-17,1183.0
2015-03-18,1171.0
2015-03-19,1152.0
2015-03-20,1158.0
2015-03-23,1172.0
2015-03-24,1214.0
2015-03-25,1225.0
2015-03-26,1208.0
2015-03-27,1176.0
2015-03-30,1178.0
2015-03-31,1162.0
2015-04-01,1163.0
2015-04-02,1207.0
2015-04-03,1187.0
2015-04-07,1160.0
2015-04-08,1169.0
2015-04-09,1169.0
2015-04-10,1098.0
2015-04-13,1072.0
2015-04-14,1087.0
2015-04-15,1107.0
2015-04-16,1100.0
2015-04-17,1100.0
2015-04-20,1108.0
2015-04-21,1119.0
2015-04-22,1125.0
2015-04-23,1107.0
2015-04-24,1122.0
2015-04-27,1152.0
2015-04-28,1169.0
2015-04-29,1197.0
2015-04-30,1170.0
2015-05-04,1159.0
2015-05-05,1168.0
2015-05-06,1174.0
2015-05-07,1185.0
2015-05-08,1199.0
2015-05-11,1167.0
2015-05-12,1177.0
2015-05-13,1148.0
2015-05-14,1153.0
2015-05-15,1115.0
2015-05-18,1105.0
2015-05-19,1128.0
2015-05-20,1099.0
2015-05-21,1032.0
2015-05-22,1007.0
2015-05-25,1024.0
2015-05-26,981.0
2015-05-27,974.0
2015-05-28,1004.0
2015-05-29,1020.0
2015-06-01,1005.0
2015-06-02,993.0
2015-06-03,1041.0
2015-06-04,1045.0
2015-06-05,1056.0
2015-06-08,1045.0
2015-06-09,1036.0
2015-06-10,1038.0
2015-06-11,1043.0
2015-06-12,1028.0
2015-06-15,980.0
2015-06-16,939.0
2015-06-17,958.0
2015-06-18,1000.0
2015-06-19,975.0
2015-06-23,1033.0
2015-06-24,1022.0
2015-06-25,1017.0
2015-06-26,1022.0
2015-06-29,1040.0
2015-06-30,1021.0
2015-07-01,986.0
2015-07-02,1077.0
2015-07-03,1087.0
2015-07-06,1148.0
2015-07-07,1109.0
2015-07-08,1160.0
2015-07-09,1076.0
2015-07-10,1164.0
2015-07-13,1216.0
2015-07-14,1218.0
2015-07-15,1304.0
2015-07-16,1273.0
2015-07-17,1302.0
2015-07-20,1208.0
2015-07-21,1194.0
2015-07-22,1209.0
2015-07-23,1240.0
2015-07-24,1235.0
2015-07-27,1198.0
2015-07-28,1143.0
2015-07-29,1169.0
2015-07-30,1149.0
2015-07-31,1162.0
2015-08-03,1133.0
2015-08-04,1090.0
2015-08-05,1123.0
2015-08-06,1130.0
2015-08-07,1108.0
2015-08-10,1087.0
2015-08-11,1135.0
2015-08-12,1160.0
2015-08-13,1202.0
2015-08-14,1158.0
2015-08-17,1145.0
2015-08-18,1154.0
2015-08-19,1121.0
2015-08-20,1107.0
2015-08-21,1079.0
2015-08-24,1072.0
2015-08-25,960.0
2015-08-26,1053.0
2015-08-27,1024.0
2015-08-28,1071.0
2015-08-31,1065.0
2015-09-01,1050.0
2015-09-02,1069.0
2015-09-07,1078.0
2015-09-08,1024.0
2015-09-09,1035.0
2015-09-10,1030.0
2015-09-11,1030.0
2015-09-14,1040.0
2015-09-15,1055.0
2015-09-16,1062.0
2015-09-17,1075.0
2015-09-18,1047.0
2015-09-21,1032.0
2015-09-22,1032.0
2015-09-23,1020.0
2015-09-24,1039.0
2015-09-25,1026.0
2015-09-28,1065.0
2015-09-29,1030.0
2015-09-30,1010.0
2015-10-08,1020.0
2015-10-09,985.0
2015-10-12,993.0
2015-10-13,1015.0
2015-10-14,1023.0
2015-10-15,1033.0
2015-10-16,1024.0
2015-10-19,997.0
2015-10-20,986.0
2015-10-21,975.0
2015-10-22,958.0
2015-10-23,979.0
2015-10-26,969.0
2015-10-27,977.0
2015-10-28,982.0
2015-10-29,984.0
2015-10-30,978.0
2015-11-02,968.0
2015-11-03,965.0
2015-11-04,957.0
2015-11-05,980.0
2015-11-06,985.0
2015-11-09,983.0
2015-11-10,1000.0
2015-11-11,964.0
2015-11-12,943.0
2015-11-13,930.0
2015-11-16,921.0
2015-11-17,879.0
2015-11-18,869.0
2015-11-19,845.0
2015-11-20,790.0
2015-11-23,792.0
2015-11-24,729.0
2015-11-25,786.0
2015-11-26,796.0
2015-11-27,835.0
2015-11-30,809.0
2015-12-01,812.0
2015-12-02,842.0
2015-12-03,847.0
2015-12-04,799.0
2015-12-07,816.0
2015-12-08,824.0
2015-12-09,771.0
2015-12-10,795.0
2015-12-11,791.0
2015-12-14,836.0
2015-12-15,829.0
2015-12-16,843.0
2015-12-17,846.0
2015-12-18,814.0
2015-12-21,860.0
2015-12-22,885.0
2015-12-23,882.0
2015-12-24,869.0
2015-12-25,859.0
2015-12-28,845.0
2015-12-29,819.0
2015-12-30,843.0
2015-12-31,858.0
2016-01-04,860.0
2016-01-05,817.0
2016-01-06,832.0
2016-01-07,816.0
2016-01-08,842.0
2016-01-11,859.0
2016-01-12,844.0
2016-01-13,847.0
2016-01-14,838.0
2016-01-15,858.0
2016-01-18,851.0
2016-01-19,922.0
2016-01-20,905.0
2016-01-21,904.0
2016-01-22,894.0
2016-01-25,917.0
2016-01-26,904.0
2016-01-27,911.0
2016-01-28,914.0
2016-01-29,914.0
2016-02-01,879.0
2016-02-02,897.0
2016-02-03,908.0
2016-02-04,908.0
2016-02-05,895.0
2016-02-15,850.0
2016-02-16,844.0
2016-02-17,863.0
2016-02-18,849.0
2016-02-19,853.0
2016-02-22,845.0
2016-02-23,879.0
2016-02-24,868.0
2016-02-25,834.0
2016-02-26,833.0
2016-02-29,820.0
2016-03-01,787.0
2016-03-02,803.0
2016-03-03,809.0
2016-03-04,833.0
2016-03-07,862.0
2016-03-08,914.0
2016-03-09,879.0
2016-03-10,884.0
2016-03-11,848.0
2016-03-14,849.0
2016-03-15,845.0
2016-03-16,825.0
2016-03-17,816.0
2016-03-18,849.0
2016-03-21,868.0
2016-03-22,858.0
2016-03-23,906.0
2016-03-24,901.0
2016-03-25,931.0
2016-03-28,946.0
2016-03-29,919.0
2016-03-30,913.0
2016-03-31,921.0
2016-04-01,874.0
2016-04-05,871.0
2016-04-06,898.0
2016-04-07,881.0
2016-04-08,895.0
2016-04-11,887.0
2016-04-12,917.0
2016-04-13,964.0
2016-04-14,985.0
2016-04-15,999.0
2016-04-18,987.0
2016-04-19,1029.0
2016-04-20,1049.0
2016-04-21,1102.0
2016-04-22,1173.0
2016-04-25,1071.0
2016-04-26,1074.0
2016-04-27,1121.0
2016-04-28,1129.0
2016-04-29,1092.0
2016-05-03,1113.0
2016-05-04,1155.0
2016-05-05,1116.0
2016-05-06,1171.0
2016-05-09,1111.0
2016-05-10,1126.0
2016-05-11,1119.0
2016-05-12,1217.0
2016-05-13,1231.0
2016-05-16,1166.0
2016-05-17,1195.0
2016-05-18,1260.0
2016-05-19,1295.0
2016-05-20,1303.0
2016-05-23,1361.0
