DATETIME,price
2019-12-06,2374.0
2019-12-09,2359.0
2019-12-10,2366.0
2019-12-11,2444.0
2019-12-12,2439.0
2019-12-13,2427.0
2019-12-16,2427.0
2019-12-17,2422.0
2019-12-18,2418.0
2019-12-19,2421.0
2019-12-20,2420.0
2019-12-23,2402.0
2019-12-24,2396.0
2019-12-25,2397.0
2019-12-26,2405.0
2019-12-27,2405.0
2019-12-30,2403.0
2019-12-31,2427.0
2020-01-02,2428.0
2020-01-03,2418.0
2020-01-06,2425.0
2020-01-07,2432.0
2020-01-08,2419.0
2020-01-09,2424.0
2020-01-10,2427.0
2020-01-13,2454.0
2020-01-14,2449.0
2020-01-15,2446.0
2020-01-16,2461.0
2020-01-17,2465.0
2020-01-20,2472.0
2020-01-21,2462.0
2020-01-22,2449.0
2020-01-23,2439.0
2020-02-03,2311.0
2020-02-04,2323.0
2020-02-05,2351.0
2020-02-06,2355.0
2020-02-07,2365.0
2020-02-10,2367.0
2020-02-11,2362.0
2020-02-12,2372.0
2020-02-13,2372.0
2020-02-14,2373.0
2020-02-17,2374.0
2020-02-18,2384.0
2020-02-19,2379.0
2020-02-20,2382.0
2020-02-21,2373.0
2020-02-24,2369.0
2020-02-25,2378.0
2020-02-26,2397.0
2020-02-27,2376.0
2020-02-28,2357.0
2020-03-02,2358.0
2020-03-03,2383.0
2020-03-04,2371.0
2020-03-05,2369.0
2020-03-06,2348.0
2020-03-09,2299.0
2020-03-10,2325.0
2020-03-11,2333.0
2020-03-12,2335.0
2020-03-13,2312.0
2020-03-16,2318.0
2020-03-17,2292.0
2020-03-18,2277.0
2020-03-19,2263.0
2020-03-20,2244.0
2020-03-23,2222.0
2020-03-24,2230.0
2020-03-25,2224.0
2020-03-26,2208.0
2020-03-27,2191.0
2020-03-30,2172.0
2020-03-31,2133.0
2020-04-01,2152.0
2020-04-02,2168.0
2020-04-03,2182.0
2020-04-07,2178.0
2020-04-08,2169.0
2020-04-09,2174.0
2020-04-10,2174.0
2020-04-13,2154.0
2020-04-14,2131.0
2020-04-15,2137.0
2020-04-16,2202.0
2020-04-17,2206.0
2020-04-20,2213.0
2020-04-21,2236.0
2020-04-22,2218.0
2020-04-23,2220.0
2020-04-24,2227.0
2020-04-27,2222.0
2020-04-28,2221.0
2020-04-29,2208.0
2020-04-30,2196.0
2020-05-06,2202.0
2020-05-07,2205.0
2020-05-08,2208.0
2020-05-11,2188.0
2020-05-12,2161.0
2020-05-13,2175.0
2020-05-14,2180.0
2020-05-15,2177.0
2020-05-18,2182.0
2020-05-19,2199.0
2020-05-20,2192.0
2020-05-21,2203.0
2020-05-22,2200.0
2020-05-25,2170.0
2020-05-26,2185.0
2020-05-27,2210.0
2020-05-28,2207.0
2020-05-29,2211.0
2020-06-01,2224.0
2020-06-02,2222.0
2020-06-03,2223.0
2020-06-04,2234.0
2020-06-05,2215.0
2020-06-08,2221.0
2020-06-09,2212.0
2020-06-10,2183.0
2020-06-11,2181.0
2020-06-12,2174.0
2020-06-15,2186.0
2020-06-16,2192.0
2020-06-17,2198.0
2020-06-18,2187.0
2020-06-19,2179.0
2020-06-22,2190.0
2020-06-23,2183.0
2020-06-24,2175.0
2020-06-29,2143.0
2020-06-30,2147.0
2020-07-01,2140.0
2020-07-02,2109.0
2020-07-03,2119.0
2020-07-06,2123.0
2020-07-07,2131.0
2020-07-08,2116.0
2020-07-09,2141.0
2020-07-10,2146.0
2020-07-13,2138.0
2020-07-14,2143.0
2020-07-15,2136.0
2020-07-16,2130.0
2020-07-17,2122.0
2020-07-20,2103.0
2020-07-21,2053.0
2020-07-22,2054.0
2020-07-23,2063.0
2020-07-24,2076.0
2020-07-27,2067.0
2020-07-28,2073.0
2020-07-29,2073.0
2020-07-30,2074.0
2020-07-31,2066.0
2020-08-03,2076.0
2020-08-04,2126.0
2020-08-05,2211.0
2020-08-06,2152.0
2020-08-07,2164.0
2020-08-10,2225.0
2020-08-11,2194.0
2020-08-12,2190.0
2020-08-13,2163.0
2020-08-14,2155.0
2020-08-17,2128.0
2020-08-18,2129.0
2020-08-19,2139.0
2020-08-20,2147.0
2020-08-21,2165.0
2020-08-24,2178.0
2020-08-25,2223.0
2020-08-26,2250.0
2020-08-27,2244.0
2020-08-28,2234.0
2020-08-31,2253.0
2020-09-01,2311.0
2020-09-02,2327.0
2020-09-03,2365.0
2020-09-04,2353.0
2020-09-07,2337.0
2020-09-08,2356.0
2020-09-09,2311.0
2020-09-10,2304.0
2020-09-11,2312.0
2020-09-14,2349.0
2020-09-15,2293.0
2020-09-16,2237.0
2020-09-17,2254.0
2020-09-18,2243.0
2020-09-21,2270.0
2020-09-22,2249.0
2020-09-23,2303.0
2020-09-24,2320.0
2020-09-25,2314.0
2020-09-28,2295.0
2020-09-29,2277.0
2020-09-30,2277.0
2020-10-09,2297.0
2020-10-12,2259.0
2020-10-13,2296.0
2020-10-14,2299.0
2020-10-15,2274.0
2020-10-16,2233.0
2020-10-19,2251.0
2020-10-20,2191.0
2020-10-21,2207.0
2020-10-22,2207.0
2020-10-23,2196.0
2020-10-26,2182.0
2020-10-27,2185.0
2020-10-28,2187.0
2020-10-29,2169.0
2020-10-30,2145.0
2020-11-02,2139.0
2020-11-03,2175.0
2020-11-04,2151.0
2020-11-05,2144.0
2020-11-06,2125.0
2020-11-09,2120.0
2020-11-10,2100.0
2020-11-11,2104.0
2020-11-12,2093.0
2020-11-13,2090.0
2020-11-16,2106.0
2020-11-17,2116.0
2020-11-18,2115.0
2020-11-19,2109.0
2020-11-20,2117.0
2020-11-23,2092.0
2020-11-24,2082.0
2020-11-25,2064.0
2020-11-26,2057.0
2020-11-27,2061.0
2020-11-30,2087.0
2020-12-01,2048.0
2020-12-02,2019.0
2020-12-03,2010.0
2020-12-04,2013.0
2020-12-07,2018.0
2020-12-08,1986.0
2020-12-09,1987.0
2020-12-10,1948.0
2020-12-11,1917.0
2020-12-14,1902.0
2020-12-15,1954.0
2020-12-16,1954.0
2020-12-17,1955.0
2020-12-18,1994.0
2020-12-21,1997.0
2020-12-22,2084.0
2020-12-23,2043.0
2020-12-24,2070.0
2020-12-25,2080.0
2020-12-28,2071.0
2020-12-29,2040.0
2020-12-30,2015.0
2020-12-31,2024.0
2021-01-04,2033.0
2021-01-05,2030.0
2021-01-06,2026.0
2021-01-07,2072.0
2021-01-08,2058.0
2021-01-11,2027.0
2021-01-12,1966.0
2021-01-13,1953.0
2021-01-14,1922.0
2021-01-15,1945.0
2021-01-18,1969.0
2021-01-19,1978.0
2021-01-20,1970.0
2021-01-21,2008.0
2021-01-22,1992.0
2021-01-25,1973.0
2021-01-26,1997.0
2021-01-27,1998.0
2021-01-28,1978.0
2021-01-29,2025.0
2021-02-01,2040.0
2021-02-02,2018.0
2021-02-03,2035.0
2021-02-04,2061.0
2021-02-05,2056.0
2021-02-08,2050.0
2021-02-09,2067.0
2021-02-10,2040.0
2021-02-18,2036.0
2021-02-19,2090.0
2021-02-22,2087.0
2021-02-23,2179.0
2021-02-24,2184.0
2021-02-25,2209.0
2021-02-26,2269.0
2021-03-01,2251.0
2021-03-02,2330.0
2021-03-03,2338.0
2021-03-04,2327.0
2021-03-05,2262.0
2021-03-08,2282.0
2021-03-09,2348.0
2021-03-10,2372.0
2021-03-11,2397.0
2021-03-12,2310.0
2021-03-15,2302.0
2021-03-16,2361.0
2021-03-17,2342.0
2021-03-18,2422.0
2021-03-19,2418.0
2021-03-22,2374.0
2021-03-23,2346.0
2021-03-24,2331.0
2021-03-25,2340.0
2021-03-26,2296.0
2021-03-29,2332.0
2021-03-30,2291.0
2021-03-31,2300.0
2021-04-01,2299.0
2021-04-02,2332.0
2021-04-06,2341.0
2021-04-07,2307.0
2021-04-08,2270.0
2021-04-09,2268.0
2021-04-12,2211.0
2021-04-13,2196.0
2021-04-14,2209.0
2021-04-15,2218.0
2021-04-16,2173.0
2021-04-19,2205.0
2021-04-20,2269.0
2021-04-21,2277.0
2021-04-22,2236.0
2021-04-23,2237.0
2021-04-26,2220.0
2021-04-27,2246.0
2021-04-28,2302.0
