DATETIME,price
2018-11-27,4394.0
2018-11-28,3852.0
2018-11-29,3726.0
2018-11-30,3772.0
2018-12-03,3722.0
2018-12-04,3546.0
2018-12-05,3628.0
2018-12-06,3722.0
2018-12-07,3676.0
2018-12-10,3716.0
2018-12-11,3730.0
2018-12-12,3684.0
2018-12-13,3710.0
2018-12-14,3690.0
2018-12-17,3684.0
2018-12-18,3700.0
2018-12-19,3692.0
2018-12-20,3634.0
2018-12-21,3636.0
2018-12-24,3608.0
2018-12-25,3544.0
2018-12-26,3562.0
2018-12-27,3516.0
2018-12-28,3508.0
2019-01-02,3610.0
2019-01-03,3640.0
2019-01-04,3650.0
2019-01-07,3720.0
2019-01-08,3740.0
2019-01-09,3726.0
2019-01-10,3870.0
2019-01-11,3840.0
2019-01-14,3890.0
2019-01-15,3862.0
2019-01-16,3808.0
2019-01-17,3880.0
2019-01-18,3870.0
2019-01-21,3950.0
2019-01-22,4006.0
2019-01-23,3992.0
2019-01-24,4012.0
2019-01-25,3956.0
2019-01-28,3972.0
2019-01-29,3892.0
2019-01-30,3896.0
2019-01-31,3886.0
2019-02-01,3986.0
2019-02-11,4036.0
2019-02-12,3996.0
2019-02-13,4090.0
2019-02-14,4020.0
2019-02-15,3990.0
2019-02-18,3970.0
2019-02-19,4012.0
2019-02-20,4110.0
2019-02-21,4060.0
2019-02-22,4174.0
2019-02-25,4246.0
2019-02-26,4182.0
2019-02-27,4154.0
2019-02-28,4140.0
2019-03-01,4114.0
2019-03-04,4170.0
2019-03-05,4110.0
2019-03-06,4136.0
2019-03-07,4118.0
2019-03-08,4050.0
2019-03-11,3936.0
2019-03-12,4002.0
2019-03-13,4000.0
2019-03-14,3980.0
2019-03-15,3940.0
2019-03-18,3978.0
2019-03-19,4000.0
2019-03-20,4016.0
2019-03-21,3890.0
2019-03-22,3898.0
2019-03-25,3898.0
2019-03-26,3878.0
2019-03-27,3896.0
2019-03-28,3886.0
2019-03-29,3804.0
2019-04-01,3896.0
2019-04-02,3912.0
2019-04-03,3912.0
2019-04-04,3992.0
2019-04-08,3986.0
2019-04-09,4016.0
2019-04-10,3990.0
2019-04-11,3996.0
2019-04-12,4020.0
2019-04-15,4010.0
2019-04-16,3996.0
2019-04-17,3970.0
2019-04-18,3922.0
2019-04-19,3928.0
2019-04-22,3968.0
2019-04-23,3986.0
2019-04-24,3920.0
2019-04-25,3932.0
2019-04-26,3918.0
2019-04-29,3854.0
2019-04-30,3864.0
2019-05-06,3820.0
2019-05-07,3750.0
2019-05-08,3776.0
2019-05-09,3770.0
2019-05-10,3722.0
2019-05-13,3740.0
2019-05-14,3794.0
2019-05-15,3664.0
2019-05-16,3646.0
2019-05-17,3660.0
2019-05-20,3600.0
2019-05-21,3596.0
2019-05-22,3628.0
2019-05-23,3536.0
2019-05-24,3540.0
2019-05-27,3546.0
2019-05-28,3510.0
2019-05-29,3560.0
2019-05-30,3600.0
2019-05-31,3532.0
2019-06-03,3502.0
2019-06-04,3356.0
2019-06-05,3360.0
2019-06-06,3296.0
2019-06-10,3260.0
2019-06-11,3262.0
2019-06-12,3318.0
2019-06-13,3222.0
2019-06-14,3262.0
2019-06-17,3218.0
2019-06-18,3222.0
2019-06-19,3232.0
2019-06-20,3216.0
2019-06-21,3182.0
2019-06-24,3190.0
2019-06-25,3210.0
2019-06-26,3252.0
2019-06-27,3220.0
2019-06-28,3196.0
2019-07-01,3318.0
2019-07-02,3370.0
2019-07-03,3396.0
2019-07-04,3390.0
2019-07-05,3476.0
2019-07-08,3462.0
2019-07-09,3366.0
2019-07-10,3196.0
2019-07-11,3212.0
2019-07-12,3206.0
2019-07-15,3202.0
2019-07-16,3226.0
2019-07-17,3240.0
2019-07-18,3204.0
2019-07-19,3184.0
2019-07-22,3218.0
2019-07-23,3248.0
2019-07-24,3280.0
2019-07-25,3214.0
2019-07-26,3224.0
2019-07-29,3196.0
2019-07-30,3230.0
2019-07-31,3202.0
2019-08-01,3230.0
2019-08-02,3164.0
2019-08-05,3134.0
2019-08-06,3118.0
2019-08-07,3150.0
2019-08-08,3156.0
2019-08-09,3176.0
2019-08-12,3194.0
2019-08-13,3252.0
2019-08-14,3252.0
2019-08-15,3254.0
2019-08-16,3186.0
2019-08-19,3206.0
2019-08-20,3264.0
2019-08-21,3174.0
2019-08-22,3194.0
2019-08-23,3152.0
2019-08-26,3180.0
2019-08-27,3314.0
2019-08-28,3304.0
2019-08-29,3292.0
2019-08-30,3288.0
2019-09-02,3228.0
2019-09-03,3238.0
2019-09-04,3264.0
2019-09-05,3280.0
2019-09-06,3252.0
2019-09-09,3254.0
2019-09-10,3296.0
2019-09-11,3258.0
2019-09-12,3238.0
2019-09-16,3244.0
2019-09-17,3290.0
2019-09-18,3346.0
2019-09-19,3328.0
2019-09-20,3324.0
2019-09-23,3292.0
2019-09-24,3300.0
2019-09-25,3284.0
2019-09-26,3276.0
2019-09-27,3270.0
2019-09-30,3152.0
2019-10-08,3164.0
2019-10-09,3182.0
2019-10-10,3226.0
2019-10-11,3216.0
2019-10-14,3210.0
2019-10-15,3162.0
2019-10-16,3172.0
2019-10-17,3124.0
2019-10-18,3124.0
2019-10-21,3148.0
2019-10-22,3108.0
2019-10-23,3140.0
2019-10-24,3154.0
2019-10-25,3162.0
2019-10-28,3156.0
2019-10-29,3132.0
2019-10-30,3164.0
2019-10-31,3186.0
2019-11-01,3172.0
2019-11-04,3150.0
2019-11-05,3160.0
2019-11-06,3184.0
2019-11-07,3114.0
2019-11-08,3106.0
2019-11-11,3114.0
2019-11-12,3106.0
