DATETIME,price
2014-01-02,6178.0
2014-01-03,6174.0
2014-01-06,6128.0
2014-01-07,6050.0
2014-01-08,6007.0
2014-01-09,5912.0
2014-01-10,5918.0
2014-01-13,5953.0
2014-01-14,5956.0
2014-01-15,5956.0
2014-01-16,5911.0
2014-01-17,5887.0
2014-01-20,5852.0
2014-01-21,5908.0
2014-01-22,5859.0
2014-01-23,5854.0
2014-01-24,5861.0
2014-01-27,5875.0
2014-01-28,5831.0
2014-01-29,5808.0
2014-01-30,5778.0
2014-02-07,5889.0
2014-02-10,5852.0
2014-02-11,5907.0
2014-02-12,5888.0
2014-02-13,5939.0
2014-02-14,5952.0
2014-02-17,5944.0
2014-02-18,5911.0
2014-02-19,5985.0
2014-02-20,5960.0
2014-02-21,5955.0
2014-02-24,5983.0
2014-02-25,6006.0
2014-02-26,5979.0
2014-02-27,5962.0
2014-02-28,5965.0
2014-03-03,5880.0
2014-03-04,5952.0
2014-03-05,5943.0
2014-03-06,5967.0
2014-03-07,6071.0
2014-03-10,6066.0
2014-03-11,6081.0
2014-03-12,6098.0
2014-03-13,6061.0
2014-03-14,6093.0
2014-03-17,5974.0
2014-03-18,5927.0
2014-03-19,5941.0
2014-03-20,5984.0
2014-03-21,5899.0
2014-03-24,5886.0
2014-03-25,5846.0
2014-03-26,5861.0
2014-03-27,5888.0
2014-03-28,6078.0
2014-03-31,6113.0
2014-04-01,6067.0
2014-04-02,6055.0
2014-04-03,5998.0
2014-04-04,6051.0
2014-04-08,5978.0
2014-04-09,6026.0
2014-04-10,6038.0
2014-04-11,6038.0
2014-04-14,5993.0
2014-04-15,6034.0
2014-04-16,6064.0
2014-04-17,6114.0
2014-04-18,6037.0
2014-04-21,6103.0
2014-04-22,6066.0
2014-04-23,6081.0
2014-04-24,6126.0
2014-04-25,6085.0
2014-04-28,6109.0
2014-04-29,6074.0
2014-04-30,6097.0
2014-05-05,6062.0
2014-05-06,6019.0
2014-05-07,5927.0
2014-05-08,5965.0
2014-05-09,5958.0
2014-05-12,5935.0
2014-05-13,5956.0
2014-05-14,6053.0
2014-05-15,6146.0
2014-05-16,6082.0
2014-05-19,6056.0
2014-05-20,6095.0
2014-05-21,6077.0
2014-05-22,6077.0
2014-05-23,6031.0
2014-05-26,6032.0
2014-05-27,6055.0
2014-05-28,5992.0
2014-05-29,6039.0
2014-05-30,6077.0
2014-06-03,6052.0
2014-06-04,6037.0
2014-06-05,5992.0
2014-06-06,5981.0
2014-06-09,5991.0
2014-06-10,5984.0
2014-06-11,5948.0
2014-06-12,5905.0
2014-06-13,5847.0
2014-06-16,5906.0
2014-06-17,5906.0
2014-06-18,5906.0
2014-06-19,6026.0
2014-06-20,6052.0
2014-06-23,6034.0
2014-06-24,6029.0
2014-06-25,6011.0
2014-06-26,6041.0
2014-06-27,6061.0
2014-06-30,5953.0
2014-07-01,5898.0
2014-07-02,5923.0
2014-07-03,5952.0
