DATETIME,price
2014-01-02,6026.0
2014-01-03,5898.0
2014-01-06,5872.0
2014-01-07,5822.0
2014-01-08,5750.0
2014-01-09,5742.0
2014-01-10,5762.0
2014-01-13,5752.0
2014-01-14,5688.0
2014-01-15,5662.0
2014-01-16,5666.0
2014-01-17,5688.0
2014-01-20,5662.0
2014-01-21,5662.0
2014-01-22,5560.0
2014-01-23,5562.0
2014-01-24,5576.0
2014-01-27,5588.0
2014-01-28,5548.0
2014-01-29,5560.0
2014-01-30,5578.0
2014-02-07,5538.0
2014-02-10,5502.0
2014-02-11,5592.0
2014-02-12,5544.0
2014-02-13,5542.0
2014-02-14,5484.0
2014-02-17,5452.0
2014-02-18,5476.0
2014-02-19,5440.0
2014-02-20,5388.0
2014-02-21,5352.0
2014-02-24,5332.0
2014-02-25,5178.0
2014-02-26,5120.0
2014-02-27,5130.0
2014-02-28,5080.0
2014-03-03,5100.0
2014-03-04,5124.0
2014-03-05,5136.0
2014-03-06,5198.0
2014-03-07,5254.0
2014-03-10,5190.0
2014-03-11,5180.0
2014-03-12,5194.0
2014-03-13,5236.0
2014-03-14,5148.0
2014-03-17,4926.0
2014-03-18,5014.0
2014-03-19,5052.0
2014-03-20,5094.0
2014-03-21,5072.0
2014-03-24,5124.0
2014-03-25,5210.0
2014-03-26,5274.0
2014-03-27,5282.0
2014-03-28,5328.0
2014-03-31,5442.0
2014-04-01,5370.0
2014-04-02,5262.0
2014-04-03,5254.0
2014-04-04,5214.0
2014-04-08,5240.0
2014-04-09,5310.0
2014-04-10,5178.0
2014-04-11,5166.0
2014-04-14,5214.0
2014-04-15,5218.0
2014-04-16,5178.0
2014-04-17,5202.0
2014-04-18,5176.0
2014-04-21,5114.0
2014-04-22,5024.0
2014-04-23,5054.0
2014-04-24,5046.0
2014-04-25,5094.0
2014-04-28,5078.0
2014-04-29,5006.0
2014-04-30,5036.0
2014-05-05,4962.0
2014-05-06,4892.0
2014-05-07,4842.0
2014-05-08,4862.0
2014-05-09,4796.0
2014-05-12,4874.0
2014-05-13,4926.0
2014-05-14,4944.0
2014-05-15,4994.0
2014-05-16,4958.0
2014-05-19,4986.0
2014-05-20,5104.0
2014-05-21,5106.0
2014-05-22,5208.0
2014-05-23,5202.0
2014-05-26,5304.0
2014-05-27,5334.0
2014-05-28,5254.0
2014-05-29,5312.0
2014-05-30,5364.0
2014-06-03,5356.0
2014-06-04,5350.0
2014-06-05,5458.0
2014-06-06,5564.0
2014-06-09,5594.0
2014-06-10,5586.0
2014-06-11,5572.0
2014-06-12,5544.0
2014-06-13,5646.0
2014-06-16,5852.0
2014-06-17,5954.0
2014-06-18,5852.0
2014-06-19,5804.0
2014-06-20,5854.0
2014-06-23,5936.0
2014-06-24,5886.0
2014-06-25,5930.0
2014-06-26,5938.0
2014-06-27,6124.0
2014-06-30,6164.0
2014-07-01,6182.0
2014-07-02,6084.0
2014-07-03,5934.0
2014-07-04,6034.0
2014-07-07,6094.0
2014-07-08,5976.0
2014-07-09,5890.0
2014-07-10,5812.0
2014-07-11,5840.0
2014-07-14,5886.0
2014-07-15,5894.0
2014-07-16,5902.0
2014-07-17,6058.0
2014-07-18,6114.0
2014-07-21,6140.0
2014-07-22,6114.0
2014-07-23,6266.0
2014-07-24,6248.0
2014-07-25,6084.0
2014-07-28,6138.0
2014-07-29,6152.0
2014-07-30,6204.0
2014-07-31,6152.0
2014-08-01,6104.0
2014-08-04,6174.0
2014-08-05,6132.0
2014-08-06,6108.0
2014-08-07,6162.0
2014-08-08,6224.0
2014-08-11,6258.0
2014-08-12,6328.0
2014-08-13,6238.0
2014-08-14,6148.0
2014-08-15,6126.0
2014-08-18,6078.0
2014-08-19,6060.0
2014-08-20,6100.0
2014-08-21,6102.0
2014-08-22,6136.0
2014-08-25,6018.0
2014-08-26,6048.0
2014-08-27,6018.0
2014-08-28,5938.0
2014-08-29,5908.0
2014-09-01,5970.0
2014-09-02,5924.0
2014-09-03,5958.0
2014-09-04,5884.0
2014-09-05,5884.0
2014-09-09,5864.0
2014-09-10,5798.0
2014-09-11,5708.0
2014-09-12,5662.0
2014-09-15,5650.0
2014-09-16,5622.0
2014-09-17,5620.0
2014-09-18,5636.0
2014-09-19,5534.0
2014-09-22,5490.0
2014-09-23,5386.0
2014-09-24,5378.0
2014-09-25,5430.0
2014-09-26,5482.0
2014-09-29,5520.0
2014-09-30,5388.0
2014-10-08,5218.0
2014-10-09,5026.0
2014-10-10,4888.0
2014-10-13,4778.0
2014-10-14,4790.0
2014-10-15,4762.0
2014-10-16,4836.0
2014-10-17,4846.0
2014-10-20,4778.0
2014-10-21,4782.0
2014-10-22,4866.0
2014-10-23,4794.0
2014-10-24,4878.0
2014-10-27,4936.0
2014-10-28,4910.0
2014-10-29,4836.0
2014-10-30,4858.0
2014-10-31,4818.0
2014-11-03,4788.0
2014-11-04,4608.0
2014-11-05,4562.0
2014-11-06,4596.0
2014-11-07,4606.0
2014-11-10,4716.0
2014-11-11,4850.0
2014-11-12,4800.0
2014-11-13,4866.0
2014-11-14,4918.0
2014-11-17,4968.0
2014-11-18,4874.0
2014-11-19,4870.0
2014-11-20,5058.0
2014-11-21,5124.0
2014-11-24,5118.0
2014-11-25,5112.0
2014-11-26,5054.0
2014-11-27,5054.0
2014-11-28,4814.0
2014-12-01,4686.0
2014-12-02,4746.0
2014-12-03,4612.0
2014-12-04,4720.0
2014-12-05,4754.0
2014-12-08,4664.0
2014-12-09,4474.0
2014-12-10,4484.0
2014-12-11,4454.0
2014-12-12,4424.0
2014-12-15,4484.0
2014-12-16,4518.0
2014-12-17,4356.0
2014-12-18,4240.0
2014-12-19,4332.0
2014-12-22,4288.0
2014-12-23,4318.0
2014-12-24,4276.0
2014-12-25,4190.0
2014-12-26,4204.0
2014-12-29,4244.0
2014-12-30,4274.0
2014-12-31,4296.0
2015-01-05,4278.0
2015-01-06,4118.0
2015-01-07,4146.0
2015-01-08,4112.0
2015-01-09,4122.0
2015-01-12,4072.0
2015-01-13,4054.0
2015-01-14,3944.0
2015-01-15,3968.0
2015-01-16,4078.0
2015-01-19,4044.0
2015-01-20,4104.0
2015-01-21,4106.0
2015-01-22,4154.0
2015-01-23,4256.0
2015-01-26,4194.0
2015-01-27,4104.0
2015-01-28,4088.0
2015-01-29,4128.0
2015-01-30,4084.0
2015-02-02,3994.0
2015-02-03,4072.0
2015-02-04,4230.0
2015-02-05,4202.0
2015-02-06,4192.0
2015-02-09,4232.0
2015-02-10,4216.0
2015-02-11,4158.0
2015-02-12,4156.0
2015-02-13,4174.0
2015-02-16,4240.0
2015-02-17,4344.0
2015-02-25,4254.0
2015-02-26,4302.0
2015-02-27,4374.0
2015-03-02,4364.0
2015-03-03,4414.0
2015-03-04,4526.0
2015-03-05,4490.0
2015-03-06,4310.0
2015-03-09,4278.0
2015-03-10,4194.0
2015-03-11,4168.0
2015-03-12,4156.0
2015-03-13,4222.0
2015-03-16,4144.0
2015-03-17,4066.0
2015-03-18,4094.0
2015-03-19,4020.0
2015-03-20,4084.0
2015-03-23,4116.0
2015-03-24,4184.0
2015-03-25,4296.0
2015-03-26,4160.0
2015-03-27,4194.0
2015-03-30,4050.0
2015-03-31,4040.0
2015-04-01,4052.0
2015-04-02,4062.0
2015-04-03,4042.0
2015-04-07,4260.0
2015-04-08,4266.0
2015-04-09,4440.0
2015-04-10,4412.0
2015-04-13,4322.0
2015-04-14,4378.0
2015-04-15,4632.0
2015-04-16,4600.0
2015-04-17,4670.0
2015-04-20,4664.0
2015-04-21,4684.0
2015-04-22,4836.0
2015-04-23,4852.0
2015-04-24,4840.0
2015-04-27,4764.0
2015-04-28,4838.0
2015-04-29,4814.0
2015-04-30,4662.0
2015-05-04,4704.0
2015-05-05,4806.0
2015-05-06,4832.0
2015-05-07,4998.0
2015-05-08,4880.0
2015-05-11,4856.0
2015-05-12,4856.0
2015-05-13,4818.0
2015-05-14,4788.0
2015-05-15,4682.0
2015-05-18,4664.0
2015-05-19,4676.0
2015-05-20,4530.0
2015-05-21,4410.0
2015-05-22,4454.0
2015-05-25,4466.0
2015-05-26,4364.0
2015-05-27,4370.0
2015-05-28,4388.0
2015-05-29,4380.0
2015-06-01,4432.0
2015-06-02,4492.0
2015-06-03,4608.0
2015-06-04,4584.0
2015-06-05,4560.0
2015-06-08,4574.0
2015-06-09,4512.0
2015-06-10,4540.0
2015-06-11,4618.0
2015-06-12,4558.0
2015-06-15,4460.0
2015-06-16,4414.0
2015-06-17,4460.0
2015-06-18,4500.0
2015-06-19,4424.0
2015-06-23,4452.0
2015-06-24,4454.0
2015-06-25,4502.0
2015-06-26,4450.0
2015-06-29,4414.0
2015-06-30,4468.0
2015-07-01,4300.0
2015-07-02,4322.0
2015-07-03,4452.0
2015-07-06,4348.0
2015-07-07,4182.0
2015-07-08,3912.0
2015-07-09,3822.0
2015-07-10,4056.0
2015-07-13,4000.0
2015-07-14,3960.0
2015-07-15,3954.0
2015-07-16,3904.0
2015-07-17,3924.0
2015-07-20,3872.0
2015-07-21,3982.0
2015-07-22,3994.0
2015-07-23,3994.0
2015-07-24,3998.0
2015-07-27,3992.0
2015-07-28,3914.0
2015-07-29,3942.0
2015-07-30,3936.0
2015-07-31,4008.0
2015-08-03,3942.0
2015-08-04,3866.0
2015-08-05,3906.0
2015-08-06,3912.0
2015-08-07,3796.0
2015-08-10,3824.0
2015-08-11,3896.0
2015-08-12,3826.0
2015-08-13,3926.0
2015-08-14,3988.0
2015-08-17,3928.0
2015-08-18,3916.0
2015-08-19,3896.0
2015-08-20,3918.0
2015-08-21,3856.0
2015-08-24,3784.0
2015-08-25,3538.0
2015-08-26,3548.0
2015-08-27,3478.0
2015-08-28,3642.0
2015-08-31,3698.0
2015-09-01,3636.0
2015-09-02,3758.0
2015-09-07,3738.0
2015-09-08,3760.0
2015-09-09,3766.0
2015-09-10,3746.0
2015-09-11,3834.0
2015-09-14,3852.0
2015-09-15,3838.0
2015-09-16,3776.0
2015-09-17,3878.0
2015-09-18,3836.0
2015-09-21,3784.0
2015-09-22,3834.0
2015-09-23,3760.0
2015-09-24,3808.0
2015-09-25,3770.0
2015-09-28,3758.0
2015-09-29,3668.0
2015-09-30,3714.0
2015-10-08,3888.0
2015-10-09,3898.0
2015-10-12,3986.0
2015-10-13,3968.0
2015-10-14,3900.0
2015-10-15,3910.0
2015-10-16,3880.0
2015-10-19,3870.0
2015-10-20,3840.0
2015-10-21,3854.0
2015-10-22,3786.0
2015-10-23,3880.0
2015-10-26,3894.0
2015-10-27,3850.0
2015-10-28,3760.0
2015-10-29,3788.0
2015-10-30,3838.0
2015-11-02,3858.0
2015-11-03,3918.0
2015-11-04,3884.0
2015-11-05,3922.0
2015-11-06,3846.0
2015-11-09,3928.0
2015-11-10,3950.0
2015-11-11,3914.0
2015-11-12,3852.0
2015-11-13,3844.0
2015-11-16,3854.0
2015-11-17,3792.0
2015-11-18,3736.0
2015-11-19,3750.0
2015-11-20,3718.0
2015-11-23,3804.0
2015-11-24,3848.0
2015-11-25,3954.0
2015-11-26,3988.0
2015-11-27,4014.0
2015-11-30,3948.0
2015-12-01,3938.0
2015-12-02,3940.0
2015-12-03,3932.0
2015-12-04,3948.0
2015-12-07,3966.0
2015-12-08,3878.0
2015-12-09,3732.0
2015-12-10,3810.0
2015-12-11,3778.0
2015-12-14,3784.0
2015-12-15,3726.0
2015-12-16,3794.0
2015-12-17,3802.0
2015-12-18,3808.0
2015-12-21,3818.0
2015-12-22,3856.0
2015-12-23,3872.0
2015-12-24,3876.0
2015-12-25,3856.0
2015-12-28,3880.0
2015-12-29,3806.0
2015-12-30,3876.0
2015-12-31,3914.0
2016-01-04,3938.0
2016-01-05,3896.0
2016-01-06,3928.0
2016-01-07,3884.0
2016-01-08,3868.0
2016-01-11,3872.0
2016-01-12,3836.0
2016-01-13,3710.0
2016-01-14,3710.0
2016-01-15,3706.0
2016-01-18,3650.0
2016-01-19,3708.0
2016-01-20,3778.0
2016-01-21,3716.0
2016-01-22,3734.0
2016-01-25,3810.0
2016-01-26,3778.0
2016-01-27,3780.0
2016-01-28,3794.0
2016-01-29,3778.0
2016-02-01,3822.0
2016-02-02,3786.0
2016-02-03,3784.0
2016-02-04,3778.0
2016-02-05,3836.0
2016-02-15,3840.0
2016-02-16,3898.0
2016-02-17,3870.0
2016-02-18,3868.0
2016-02-19,3878.0
2016-02-22,3894.0
2016-02-23,3908.0
2016-02-24,3896.0
2016-02-25,3864.0
2016-02-26,3880.0
2016-02-29,3820.0
2016-03-01,3842.0
2016-03-02,4026.0
2016-03-03,3994.0
2016-03-04,4024.0
2016-03-07,4070.0
2016-03-08,4218.0
2016-03-09,4192.0
2016-03-10,4134.0
2016-03-11,4058.0
2016-03-14,4084.0
2016-03-15,4026.0
2016-03-16,4000.0
2016-03-17,4032.0
2016-03-18,4084.0
2016-03-21,4172.0
2016-03-22,4130.0
2016-03-23,4136.0
2016-03-24,4100.0
2016-03-25,3970.0
2016-03-28,4056.0
2016-03-29,4122.0
2016-03-30,4106.0
2016-03-31,4084.0
2016-04-01,4168.0
2016-04-05,4138.0
2016-04-06,4032.0
2016-04-07,4056.0
2016-04-08,4028.0
2016-04-11,4046.0
2016-04-12,4072.0
2016-04-13,4062.0
2016-04-14,4122.0
2016-04-15,4252.0
2016-04-18,4094.0
2016-04-19,4130.0
2016-04-20,4126.0
2016-04-21,4182.0
2016-04-22,4402.0
2016-04-25,4252.0
2016-04-26,4430.0
2016-04-27,4414.0
2016-04-28,4444.0
2016-04-29,4354.0
2016-05-03,4284.0
2016-05-04,4232.0
2016-05-05,4262.0
2016-05-06,4218.0
2016-05-09,4114.0
2016-05-10,4048.0
2016-05-11,4050.0
2016-05-12,4076.0
2016-05-13,4004.0
2016-05-16,3930.0
2016-05-17,3960.0
2016-05-18,4016.0
2016-05-19,3986.0
2016-05-20,3910.0
2016-05-23,3944.0
2016-05-24,3836.0
2016-05-25,3840.0
2016-05-26,3832.0
2016-05-27,3862.0
2016-05-30,3810.0
2016-05-31,3852.0
2016-06-01,3902.0
2016-06-02,3830.0
2016-06-03,3838.0
2016-06-06,3974.0
2016-06-07,4010.0
2016-06-08,3986.0
2016-06-13,3966.0
2016-06-14,3952.0
2016-06-15,4030.0
2016-06-16,3970.0
2016-06-17,3962.0
2016-06-20,4014.0
2016-06-21,4100.0
2016-06-22,3974.0
2016-06-23,4042.0
2016-06-24,4080.0
2016-06-27,4002.0
2016-06-28,4056.0
2016-06-29,4120.0
2016-06-30,4092.0
2016-07-01,4124.0
2016-07-04,4088.0
2016-07-05,4216.0
2016-07-06,4148.0
2016-07-07,4030.0
2016-07-08,4036.0
2016-07-11,3944.0
2016-07-12,3966.0
2016-07-13,4020.0
2016-07-14,4000.0
2016-07-15,3998.0
2016-07-18,4000.0
2016-07-19,3914.0
2016-07-20,3934.0
2016-07-21,3928.0
2016-07-22,4016.0
2016-07-25,3998.0
2016-07-26,3950.0
2016-07-27,3890.0
2016-07-28,3908.0
2016-07-29,3904.0
2016-08-01,3812.0
2016-08-02,3862.0
2016-08-03,3870.0
2016-08-04,3936.0
2016-08-05,3926.0
2016-08-08,3932.0
2016-08-09,3950.0
2016-08-10,3996.0
2016-08-11,3994.0
2016-08-12,3996.0
2016-08-15,4012.0
2016-08-16,4028.0
2016-08-17,4008.0
2016-08-18,4070.0
2016-08-19,4056.0
2016-08-22,4050.0
2016-08-23,3926.0
2016-08-24,3954.0
2016-08-25,3938.0
2016-08-26,3960.0
2016-08-29,3970.0
2016-08-30,3938.0
2016-08-31,3922.0
2016-09-01,3890.0
2016-09-02,3914.0
2016-09-05,3984.0
2016-09-06,4002.0
2016-09-07,3992.0
2016-09-08,3968.0
2016-09-09,4024.0
2016-09-12,4004.0
2016-09-13,3930.0
2016-09-14,3906.0
2016-09-19,3894.0
2016-09-20,3944.0
2016-09-21,3916.0
2016-09-22,3904.0
2016-09-23,3932.0
2016-09-26,3928.0
2016-09-27,3888.0
2016-09-28,3870.0
2016-09-29,3874.0
2016-09-30,3890.0
2016-10-10,3918.0
2016-10-11,3928.0
2016-10-12,3984.0
2016-10-13,3954.0
2016-10-14,3890.0
2016-10-17,3880.0
2016-10-18,3944.0
2016-10-19,3952.0
2016-10-20,3972.0
2016-10-21,4038.0
2016-10-24,4020.0
2016-10-25,4064.0
2016-10-26,4054.0
2016-10-27,4010.0
2016-10-28,4016.0
2016-10-31,4050.0
2016-11-01,4074.0
2016-11-02,4032.0
2016-11-03,3964.0
2016-11-04,3980.0
2016-11-07,3924.0
2016-11-08,3976.0
2016-11-09,3986.0
2016-11-10,4054.0
2016-11-11,4154.0
2016-11-14,4376.0
2016-11-15,4328.0
2016-11-16,4368.0
2016-11-17,4388.0
2016-11-18,4412.0
2016-11-21,4412.0
2016-11-22,4472.0
2016-11-23,4516.0
2016-11-24,4528.0
2016-11-25,4592.0
2016-11-28,4580.0
2016-11-29,4634.0
2016-11-30,4592.0
2016-12-01,4640.0
2016-12-02,4630.0
2016-12-05,4658.0
2016-12-06,4720.0
2016-12-07,4654.0
2016-12-08,4666.0
2016-12-09,4678.0
2016-12-12,4828.0
2016-12-13,4980.0
2016-12-14,4988.0
2016-12-15,4904.0
2016-12-16,4920.0
2016-12-19,4900.0
2016-12-20,4934.0
2016-12-21,4796.0
2016-12-22,4816.0
2016-12-23,4744.0
2016-12-26,4736.0
2016-12-27,4696.0
2016-12-28,4810.0
2016-12-29,4884.0
2016-12-30,4892.0
2017-01-03,4902.0
2017-01-04,4906.0
2017-01-05,4810.0
2017-01-06,4782.0
2017-01-09,4792.0
2017-01-10,4792.0
2017-01-11,4770.0
2017-01-12,4858.0
2017-01-13,4898.0
2017-01-16,4876.0
2017-01-17,4886.0
2017-01-18,4884.0
2017-01-19,4828.0
2017-01-20,4888.0
2017-01-23,4840.0
2017-01-24,4994.0
2017-01-25,4998.0
2017-01-26,5082.0
2017-02-03,5110.0
2017-02-06,5092.0
2017-02-07,5224.0
2017-02-08,5178.0
2017-02-09,5200.0
2017-02-10,5132.0
2017-02-13,5196.0
2017-02-14,5268.0
2017-02-15,5300.0
2017-02-16,5138.0
2017-02-17,5090.0
2017-02-20,5102.0
2017-02-21,5130.0
2017-02-22,5110.0
2017-02-23,5060.0
