DATETIME,price
2014-01-02,3916.0
2014-01-03,3886.0
2014-01-06,3881.0
2014-01-07,3891.0
2014-01-08,3826.0
2014-01-09,3831.0
2014-01-10,3886.0
2014-01-13,3886.0
2014-01-14,3881.0
2014-01-15,3926.0
2014-01-16,3911.0
2014-01-17,3856.0
2014-01-20,3846.0
2014-01-21,3881.0
2014-01-22,3866.0
2014-01-23,3836.0
2014-01-24,3851.0
2014-01-27,3856.0
2014-01-28,3841.0
2014-01-29,3831.0
2014-01-30,3856.0
2014-02-07,3736.0
2014-02-10,3746.0
2014-02-11,3771.0
2014-02-12,3731.0
2014-02-13,3761.0
2014-02-14,3746.0
2014-02-17,3721.0
2014-02-18,3761.0
2014-02-19,3751.0
2014-02-20,3741.0
2014-02-21,3726.0
2014-02-24,3721.0
2014-02-25,3681.0
2014-02-26,3691.0
2014-02-27,3671.0
2014-02-28,3681.0
2014-03-03,3646.0
2014-03-04,3631.0
2014-03-05,3591.0
2014-03-06,3551.0
2014-03-07,3521.0
2014-03-10,3406.0
2014-03-11,3401.0
2014-03-12,3381.0
2014-03-13,3431.0
2014-03-14,3426.0
2014-03-17,3396.0
2014-03-18,3391.0
2014-03-19,3396.0
2014-03-20,3336.0
2014-03-21,3331.0
2014-03-24,3361.0
2014-03-25,3461.0
2014-03-26,3496.0
2014-03-27,3581.0
2014-03-28,3596.0
2014-03-31,3556.0
2014-04-01,3541.0
2014-04-02,3576.0
2014-04-03,3531.0
2014-04-04,3551.0
2014-04-08,3546.0
2014-04-09,3596.0
2014-04-10,3651.0
2014-04-11,3626.0
2014-04-14,3691.0
2014-04-15,3691.0
2014-04-16,3696.0
2014-04-17,3681.0
2014-04-18,3681.0
2014-04-21,3576.0
2014-04-22,3551.0
2014-04-23,3556.0
2014-04-24,3556.0
2014-04-25,3591.0
2014-04-28,3566.0
2014-04-29,3506.0
2014-04-30,3501.0
2014-05-05,3511.0
2014-05-06,3546.0
2014-05-07,3516.0
2014-05-08,3521.0
2014-05-09,3476.0
2014-05-12,3491.0
2014-05-13,3486.0
2014-05-14,3521.0
2014-05-15,3561.0
2014-05-16,3526.0
2014-05-19,3506.0
2014-05-20,3486.0
2014-05-21,3456.0
2014-05-22,3506.0
2014-05-23,3536.0
2014-05-26,3551.0
2014-05-27,3496.0
2014-05-28,3546.0
2014-05-29,3576.0
2014-05-30,3561.0
2014-06-03,3541.0
2014-06-04,3501.0
2014-06-05,3496.0
2014-06-06,3526.0
2014-06-09,3466.0
2014-06-10,3431.0
2014-06-11,3451.0
2014-06-12,3426.0
2014-06-13,3441.0
2014-06-16,3526.0
2014-06-17,3526.0
2014-06-18,3496.0
2014-06-19,3481.0
2014-06-20,3491.0
2014-06-23,3536.0
2014-06-24,3526.0
2014-06-25,3526.0
2014-06-26,3546.0
2014-06-27,3556.0
2014-06-30,3521.0
2014-07-01,3516.0
2014-07-02,3511.0
2014-07-03,3496.0
2014-07-04,3486.0
