DATETIME,price
2014-01-02,6130.0
2014-01-03,6138.0
2014-01-06,6062.0
2014-01-07,5932.0
2014-01-08,5884.0
2014-01-09,5844.0
2014-01-10,5924.0
2014-01-13,5944.0
2014-01-14,5876.0
2014-01-15,5926.0
2014-01-16,5912.0
2014-01-17,5906.0
2014-01-20,5864.0
2014-01-21,5972.0
2014-01-22,5924.0
2014-01-23,5906.0
2014-01-24,5914.0
2014-01-27,5866.0
2014-01-28,5766.0
2014-01-29,5732.0
2014-01-30,5696.0
2014-02-07,5846.0
2014-02-10,5874.0
2014-02-11,5924.0
2014-02-12,5912.0
2014-02-13,5912.0
2014-02-14,5990.0
2014-02-17,5976.0
2014-02-18,6004.0
2014-02-19,6076.0
2014-02-20,6064.0
2014-02-21,6084.0
2014-02-24,6072.0
2014-02-25,6048.0
2014-02-26,6030.0
2014-02-27,6078.0
2014-02-28,6038.0
2014-03-03,6082.0
2014-03-04,6108.0
2014-03-05,6256.0
2014-03-06,6260.0
2014-03-07,6376.0
2014-03-10,6358.0
2014-03-11,6276.0
2014-03-12,6344.0
2014-03-13,6336.0
2014-03-14,6310.0
2014-03-17,6222.0
2014-03-18,6178.0
2014-03-19,6198.0
2014-03-20,6148.0
2014-03-21,6002.0
2014-03-24,6018.0
2014-03-25,6038.0
2014-03-26,6064.0
2014-03-27,6100.0
2014-03-28,6110.0
2014-03-31,6128.0
2014-04-01,6130.0
2014-04-02,6208.0
2014-04-03,6184.0
2014-04-04,6248.0
2014-04-08,6210.0
2014-04-09,6314.0
2014-04-10,6298.0
2014-04-11,6228.0
2014-04-14,6214.0
2014-04-15,6204.0
2014-04-16,6184.0
2014-04-17,6276.0
2014-04-18,6256.0
2014-04-21,6236.0
2014-04-22,6150.0
2014-04-23,6168.0
2014-04-24,6162.0
2014-04-25,6162.0
2014-04-28,6214.0
2014-04-29,6166.0
2014-04-30,6202.0
2014-05-05,6094.0
2014-05-06,6024.0
2014-05-07,6010.0
2014-05-08,6018.0
2014-05-09,5990.0
2014-05-12,6030.0
2014-05-13,6012.0
2014-05-14,6088.0
2014-05-15,6080.0
2014-05-16,6082.0
2014-05-19,6002.0
2014-05-20,5970.0
2014-05-21,5928.0
2014-05-22,5960.0
2014-05-23,6026.0
2014-05-26,6000.0
2014-05-27,5998.0
2014-05-28,5964.0
2014-05-29,5998.0
2014-05-30,5974.0
2014-06-03,5878.0
2014-06-04,5886.0
2014-06-05,5946.0
2014-06-06,5924.0
2014-06-09,5944.0
2014-06-10,5958.0
2014-06-11,5894.0
2014-06-12,5868.0
2014-06-13,5878.0
2014-06-16,5958.0
2014-06-17,5918.0
2014-06-18,5898.0
2014-06-19,5914.0
2014-06-20,5934.0
2014-06-23,5968.0
2014-06-24,6084.0
2014-06-25,6156.0
2014-06-26,6090.0
2014-06-27,6096.0
2014-06-30,6030.0
2014-07-01,5864.0
2014-07-02,5838.0
2014-07-03,5814.0
2014-07-04,5828.0
2014-07-07,5782.0
2014-07-08,5754.0
2014-07-09,5688.0
2014-07-10,5586.0
2014-07-11,5638.0
2014-07-14,5558.0
2014-07-15,5558.0
2014-07-16,5538.0
2014-07-17,5528.0
2014-07-18,5478.0
2014-07-21,5494.0
2014-07-22,5458.0
2014-07-23,5462.0
2014-07-24,5480.0
2014-07-25,5470.0
2014-07-28,5496.0
2014-07-29,5528.0
2014-07-30,5504.0
2014-07-31,5496.0
2014-08-01,5518.0
2014-08-04,5450.0
2014-08-05,5492.0
2014-08-06,5448.0
2014-08-07,5466.0
2014-08-08,5468.0
2014-08-11,5464.0
2014-08-12,5418.0
2014-08-13,5388.0
2014-08-14,5312.0
2014-08-15,5158.0
2014-08-18,5044.0
2014-08-19,5050.0
2014-08-20,5020.0
2014-08-21,5068.0
2014-08-22,5086.0
2014-08-25,4958.0
2014-08-26,5070.0
2014-08-27,5090.0
2014-08-28,5128.0
2014-08-29,5134.0
2014-09-01,5062.0
2014-09-02,5050.0
2014-09-03,5120.0
2014-09-04,5078.0
2014-09-05,5100.0
2014-09-09,5084.0
2014-09-10,4968.0
2014-09-11,4958.0
2014-09-12,4954.0
2014-09-15,5048.0
2014-09-16,5138.0
2014-09-17,5096.0
2014-09-18,5158.0
2014-09-19,5058.0
2014-09-22,4986.0
2014-09-23,4854.0
2014-09-24,4900.0
2014-09-25,4996.0
2014-09-26,4988.0
2014-09-29,4868.0
2014-09-30,4982.0
2014-10-08,4998.0
2014-10-09,4970.0
2014-10-10,5010.0
2014-10-13,4938.0
2014-10-14,5008.0
2014-10-15,5012.0
2014-10-16,4940.0
2014-10-17,4932.0
2014-10-20,4858.0
2014-10-21,4778.0
2014-10-22,4772.0
2014-10-23,4808.0
2014-10-24,4920.0
2014-10-27,4838.0
2014-10-28,4854.0
2014-10-29,4862.0
2014-10-30,5028.0
2014-10-31,5038.0
2014-11-03,5054.0
2014-11-04,4926.0
2014-11-05,4828.0
2014-11-06,4794.0
2014-11-07,4788.0
