DATETIME,price
2014-01-02,9030.0
2014-01-03,9105.0
2014-01-06,8945.0
2014-01-07,8825.0
2014-01-08,8930.0
2014-01-09,8920.0
2014-01-10,8840.0
2014-01-13,8905.0
2014-01-14,8910.0
2014-01-15,9070.0
2014-01-16,9045.0
2014-01-17,9175.0
2014-01-20,9195.0
2014-01-21,9125.0
2014-01-22,9110.0
2014-01-23,9140.0
2014-01-24,9125.0
2014-01-27,9080.0
2014-01-28,8970.0
2014-01-29,8950.0
2014-01-30,8965.0
2014-02-07,8950.0
2014-02-10,8990.0
2014-02-11,9030.0
2014-02-12,8955.0
2014-02-13,8985.0
2014-02-14,8975.0
2014-02-17,9040.0
2014-02-18,9110.0
2014-02-19,9095.0
2014-02-20,9080.0
2014-02-21,8955.0
2014-02-24,8995.0
2014-02-25,8850.0
2014-02-26,8855.0
2014-02-27,8970.0
2014-02-28,8885.0
2014-03-03,8935.0
2014-03-04,8850.0
2014-03-05,9005.0
2014-03-06,9060.0
2014-03-07,8965.0
2014-03-10,8755.0
2014-03-11,8530.0
2014-03-12,8700.0
2014-03-13,8640.0
2014-03-14,8530.0
2014-03-17,8615.0
2014-03-18,8475.0
2014-03-19,8420.0
2014-03-20,8425.0
2014-03-21,8425.0
2014-03-24,8530.0
2014-03-25,8495.0
2014-03-26,8575.0
2014-03-27,8565.0
2014-03-28,8555.0
2014-03-31,8590.0
2014-04-01,8565.0
2014-04-02,8525.0
2014-04-03,8590.0
2014-04-04,8570.0
2014-04-08,8600.0
2014-04-09,8620.0
2014-04-10,8650.0
2014-04-11,8700.0
2014-04-14,8695.0
2014-04-15,8720.0
2014-04-16,8645.0
2014-04-17,8720.0
2014-04-18,8750.0
2014-04-21,8695.0
2014-04-22,8705.0
2014-04-23,8750.0
2014-04-24,8750.0
2014-04-25,8820.0
2014-04-28,8850.0
2014-04-29,8760.0
2014-04-30,8705.0
2014-05-05,8685.0
2014-05-06,8760.0
2014-05-07,8730.0
2014-05-08,8755.0
2014-05-09,8695.0
2014-05-12,8730.0
2014-05-13,8875.0
2014-05-14,8865.0
2014-05-15,8905.0
2014-05-16,8875.0
2014-05-19,8830.0
2014-05-20,8900.0
2014-05-21,8850.0
2014-05-22,8790.0
2014-05-23,8840.0
2014-05-26,8875.0
2014-05-27,8865.0
2014-05-28,8845.0
2014-05-29,8865.0
2014-05-30,8740.0
2014-06-03,8840.0
2014-06-04,8815.0
2014-06-05,8785.0
2014-06-06,8830.0
2014-06-09,8800.0
2014-06-10,8985.0
2014-06-11,9015.0
2014-06-12,9230.0
2014-06-13,9165.0
2014-06-16,8995.0
2014-06-17,9015.0
2014-06-18,9110.0
2014-06-19,9175.0
2014-06-20,9235.0
2014-06-23,9230.0
2014-06-24,9285.0
2014-06-25,9190.0
2014-06-26,9130.0
2014-06-27,9275.0
2014-06-30,9260.0
2014-07-01,9455.0
2014-07-02,9410.0
2014-07-03,9335.0
2014-07-04,9615.0
2014-07-07,9705.0
2014-07-08,9660.0
2014-07-09,9945.0
2014-07-10,9880.0
2014-07-11,9700.0
2014-07-14,9740.0
2014-07-15,9880.0
2014-07-16,10050.0
2014-07-17,10125.0
2014-07-18,10155.0
2014-07-21,10045.0
2014-07-22,10345.0
2014-07-23,10400.0
2014-07-24,10475.0
2014-07-25,10510.0
2014-07-28,10710.0
2014-07-29,10705.0
2014-07-30,10550.0
2014-07-31,10280.0
2014-08-01,10200.0
2014-08-04,10130.0
2014-08-05,10320.0
2014-08-06,10290.0
2014-08-07,10120.0
2014-08-08,10190.0
2014-08-11,10015.0
2014-08-12,10070.0
2014-08-13,10160.0
2014-08-14,9895.0
2014-08-15,9810.0
2014-08-18,9730.0
2014-08-19,9780.0
2014-08-20,9950.0
2014-08-21,10130.0
2014-08-22,10195.0
2014-08-25,10195.0
2014-08-26,10120.0
2014-08-27,10150.0
2014-08-28,9965.0
2014-08-29,10000.0
2014-09-01,9950.0
2014-09-02,9870.0
2014-09-03,10145.0
2014-09-04,10100.0
2014-09-05,10465.0
2014-09-09,10325.0
2014-09-10,9840.0
2014-09-11,9500.0
2014-09-12,9430.0
2014-09-15,9555.0
2014-09-16,9435.0
2014-09-17,9405.0
2014-09-18,9440.0
2014-09-19,9385.0
2014-09-22,9525.0
2014-09-23,9115.0
2014-09-24,9170.0
2014-09-25,9260.0
2014-09-26,9360.0
2014-09-29,9405.0
2014-09-30,9425.0
2014-10-08,9855.0
2014-10-09,9890.0
2014-10-10,9850.0
2014-10-13,9645.0
2014-10-14,9815.0
2014-10-15,9770.0
2014-10-16,9535.0
2014-10-17,9115.0
2014-10-20,9245.0
2014-10-21,9160.0
2014-10-22,9240.0
2014-10-23,9390.0
2014-10-24,9585.0
2014-10-27,9645.0
2014-10-28,9595.0
2014-10-29,9640.0
2014-10-30,9700.0
2014-10-31,9720.0
2014-11-03,10010.0
2014-11-04,9940.0
2014-11-05,9815.0
2014-11-06,9455.0
2014-11-07,9485.0
2014-11-10,9660.0
2014-11-11,9910.0
2014-11-12,9795.0
2014-11-13,9840.0
2014-11-14,9875.0
2014-11-17,9735.0
2014-11-18,9785.0
2014-11-19,9805.0
2014-11-20,9775.0
2014-11-21,9765.0
2014-11-24,10165.0
2014-11-25,10060.0
2014-11-26,10080.0
2014-11-27,9980.0
2014-11-28,9945.0
2014-12-01,9820.0
2014-12-02,9585.0
2014-12-03,9680.0
2014-12-04,9715.0
2014-12-05,9785.0
2014-12-08,9925.0
2014-12-09,9815.0
2014-12-10,9695.0
2014-12-11,9755.0
2014-12-12,9550.0
2014-12-15,9660.0
2014-12-16,9770.0
2014-12-17,9560.0
2014-12-18,9405.0
2014-12-19,9200.0
2014-12-22,9505.0
2014-12-23,9560.0
2014-12-24,9530.0
2014-12-25,9450.0
2014-12-26,9495.0
2014-12-29,9505.0
2014-12-30,9450.0
2014-12-31,9535.0
2015-01-05,9855.0
2015-01-06,9640.0
2015-01-07,9895.0
2015-01-08,9675.0
2015-01-09,9700.0
2015-01-12,9570.0
2015-01-13,9420.0
2015-01-14,9195.0
2015-01-15,8865.0
2015-01-16,9045.0
2015-01-19,8945.0
2015-01-20,9075.0
2015-01-21,9250.0
2015-01-22,9230.0
2015-01-23,9495.0
2015-01-26,9295.0
2015-01-27,9380.0
2015-01-28,9545.0
2015-01-29,9545.0
2015-01-30,9260.0
2015-02-02,9385.0
2015-02-03,9445.0
2015-02-04,9610.0
2015-02-05,9585.0
2015-02-06,9470.0
2015-02-09,9690.0
2015-02-10,9620.0
2015-02-11,9540.0
2015-02-12,9450.0
2015-02-13,9520.0
2015-02-16,9620.0
2015-02-17,9650.0
2015-02-25,9290.0
2015-02-26,9245.0
2015-02-27,9305.0
2015-03-02,9280.0
2015-03-03,9325.0
2015-03-04,9145.0
2015-03-05,9140.0
2015-03-06,9035.0
2015-03-09,8940.0
2015-03-10,8950.0
2015-03-11,8925.0
2015-03-12,8940.0
2015-03-13,8925.0
2015-03-16,8920.0
2015-03-17,8990.0
2015-03-18,8835.0
2015-03-19,8840.0
2015-03-20,8880.0
2015-03-23,8930.0
2015-03-24,9010.0
2015-03-25,9020.0
2015-03-26,9015.0
2015-03-27,9120.0
2015-03-30,9055.0
2015-03-31,9095.0
2015-04-01,9065.0
2015-04-02,9020.0
2015-04-03,9135.0
2015-04-07,9255.0
2015-04-08,9320.0
2015-04-09,9285.0
2015-04-10,9305.0
2015-04-13,9465.0
2015-04-14,9565.0
2015-04-15,9435.0
2015-04-16,9485.0
2015-04-17,9705.0
2015-04-20,9680.0
2015-04-21,9510.0
2015-04-22,9530.0
2015-04-23,9570.0
2015-04-24,9500.0
2015-04-27,9615.0
2015-04-28,9795.0
2015-04-29,9930.0
2015-04-30,9805.0
2015-05-04,10085.0
2015-05-05,10150.0
2015-05-06,10135.0
2015-05-07,10280.0
2015-05-08,10180.0
2015-05-11,10035.0
2015-05-12,9920.0
2015-05-13,9955.0
2015-05-14,10085.0
2015-05-15,9880.0
2015-05-18,9795.0
2015-05-19,9760.0
2015-05-20,9700.0
2015-05-21,9535.0
2015-05-22,9480.0
2015-05-25,9400.0
2015-05-26,9400.0
2015-05-27,9345.0
2015-05-28,9405.0
2015-05-29,9730.0
2015-06-01,9585.0
2015-06-02,9360.0
2015-06-03,9385.0
2015-06-04,9210.0
2015-06-05,9240.0
2015-06-08,9080.0
2015-06-09,9125.0
2015-06-10,9240.0
2015-06-11,9280.0
2015-06-12,9130.0
2015-06-15,9005.0
2015-06-16,8940.0
2015-06-17,8935.0
2015-06-18,8845.0
2015-06-19,8745.0
2015-06-23,8485.0
2015-06-24,8445.0
2015-06-25,8635.0
2015-06-26,8620.0
2015-06-29,8600.0
2015-06-30,8415.0
2015-07-01,8230.0
2015-07-02,8340.0
2015-07-03,8525.0
2015-07-06,8465.0
2015-07-07,8200.0
2015-07-08,8190.0
2015-07-09,7750.0
2015-07-10,8285.0
2015-07-13,8280.0
2015-07-14,8445.0
2015-07-15,8475.0
2015-07-16,8765.0
2015-07-17,8680.0
2015-07-20,8630.0
2015-07-21,8495.0
2015-07-22,8555.0
2015-07-23,8185.0
2015-07-24,8210.0
2015-07-27,8020.0
2015-07-28,7685.0
2015-07-29,7800.0
2015-07-30,7940.0
2015-07-31,7730.0
2015-08-03,7720.0
2015-08-04,7490.0
2015-08-05,7725.0
2015-08-06,7585.0
2015-08-07,7465.0
2015-08-10,7240.0
2015-08-11,7450.0
2015-08-12,7430.0
2015-08-13,7820.0
2015-08-14,7815.0
2015-08-17,7895.0
2015-08-18,7745.0
2015-08-19,7510.0
2015-08-20,7590.0
2015-08-21,7830.0
2015-08-24,7520.0
2015-08-25,7160.0
2015-08-26,7490.0
2015-08-27,7250.0
2015-08-28,7490.0
2015-08-31,7575.0
2015-09-01,7465.0
2015-09-02,7555.0
2015-09-07,7555.0
2015-09-08,7585.0
2015-09-09,7595.0
2015-09-10,7820.0
2015-09-11,7720.0
2015-09-14,7690.0
2015-09-15,7455.0
2015-09-16,7230.0
2015-09-17,7260.0
2015-09-18,7235.0
2015-09-21,7050.0
2015-09-22,6575.0
2015-09-23,6355.0
2015-09-24,6545.0
2015-09-25,6625.0
2015-09-28,6565.0
2015-09-29,6305.0
2015-09-30,6575.0
2015-10-08,6945.0
2015-10-09,6655.0
2015-10-12,7700.0
2015-10-13,7595.0
2015-10-14,7515.0
2015-10-15,7530.0
2015-10-16,7540.0
2015-10-19,7405.0
2015-10-20,7230.0
2015-10-21,7260.0
2015-10-22,7160.0
2015-10-23,7140.0
2015-10-26,7210.0
2015-10-27,7125.0
2015-10-28,7190.0
2015-10-29,7075.0
2015-10-30,6970.0
2015-11-02,6685.0
2015-11-03,6705.0
2015-11-04,6630.0
2015-11-05,6710.0
2015-11-06,6490.0
2015-11-09,6495.0
2015-11-10,6520.0
2015-11-11,6185.0
2015-11-12,5840.0
2015-11-13,5840.0
2015-11-16,5955.0
2015-11-17,5910.0
2015-11-18,5660.0
2015-11-19,5400.0
2015-11-20,4985.0
2015-11-23,5605.0
2015-11-24,5310.0
2015-11-25,5715.0
2015-11-26,5670.0
2015-11-27,6130.0
2015-11-30,5750.0
2015-12-01,5825.0
2015-12-02,5685.0
2015-12-03,5480.0
2015-12-04,5425.0
2015-12-07,5680.0
2015-12-08,5735.0
2015-12-09,5460.0
2015-12-10,5650.0
2015-12-11,5510.0
2015-12-14,5810.0
2015-12-15,5745.0
2015-12-16,5620.0
2015-12-17,5595.0
2015-12-18,5450.0
2015-12-21,5665.0
2015-12-22,5805.0
2015-12-23,5785.0
2015-12-24,5855.0
2015-12-25,5935.0
2015-12-28,6110.0
2015-12-29,5870.0
2015-12-30,5950.0
2015-12-31,6145.0
2016-01-04,6155.0
2016-01-05,5875.0
2016-01-06,6000.0
2016-01-07,5765.0
2016-01-08,5540.0
2016-01-11,5595.0
2016-01-12,5545.0
2016-01-13,5205.0
2016-01-14,5250.0
2016-01-15,5345.0
2016-01-18,5210.0
2016-01-19,5390.0
2016-01-20,5605.0
2016-01-21,5455.0
2016-01-22,5380.0
2016-01-25,5590.0
2016-01-26,5520.0
