DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140400,13965,,,,
2014/01/03 00:00:00,20140400,14000,,,,
2014/01/06 00:00:00,20140400,13975,,,,
2014/01/07 00:00:00,20140400,13890,,,,
2014/01/08 00:00:00,20140400,13910,,,,
2014/01/09 00:00:00,20140400,13820,,,,
2014/01/10 00:00:00,20140400,13800,,,,
2014/01/13 00:00:00,20140400,13835,,,,
2014/01/14 00:00:00,20140400,13750,,,,
2014/01/15 00:00:00,20140400,13750,,,,
2014/01/16 00:00:00,20140400,13705,,,,
2014/01/17 00:00:00,20140400,13755,,,,
2014/01/20 00:00:00,20140400,13780,,,,
2014/01/21 00:00:00,20140400,13810,,,,
2014/01/22 00:00:00,20140400,13770,,,,
2014/01/23 00:00:00,20140400,13750,,,,
2014/01/24 00:00:00,20140400,13725,,,,
2014/01/27 00:00:00,20140400,13655,,,,
2014/01/28 00:00:00,20140400,13575,,,,
2014/01/29 00:00:00,20140400,13590,,,,
2014/01/30 00:00:00,20140400,13550,,,,
2014/02/07 00:00:00,20140400,13530,,,,
2014/02/10 00:00:00,20140400,13390,,,,
2014/02/11 00:00:00,20140400,13380,,,,
2014/02/12 00:00:00,20140400,13330,,,,
2014/02/13 00:00:00,20140400,13370,,,,
2014/02/14 00:00:00,20140400,13360,,,,
2014/02/17 00:00:00,20140400,13465,,,,
2014/02/18 00:00:00,20140400,13505,,,,
2014/02/19 00:00:00,20140400,13420,,,,
2014/02/20 00:00:00,20140400,13450,13480.0,,,
2014/02/21 00:00:00,20140500,13470,,,,
2014/02/24 00:00:00,20140500,13510,,,,
2014/02/25 00:00:00,20140500,13330,,,,
2014/02/26 00:00:00,20140500,13315,,,,
2014/02/27 00:00:00,20140500,13390,,,,
2014/02/28 00:00:00,20140500,13360,,,,
2014/03/03 00:00:00,20140500,13360,,,,
2014/03/04 00:00:00,20140500,13200,,,,
2014/03/05 00:00:00,20140500,13260,,,,
2014/03/06 00:00:00,20140500,13320,,,,
2014/03/07 00:00:00,20140500,13260,13270.0,,,
2014/03/10 00:00:00,20140600,13200,,,,
2014/03/11 00:00:00,20140600,13165,,,,
2014/03/12 00:00:00,20140600,13235,,,,
2014/03/13 00:00:00,20140600,13235,,,,
2014/03/14 00:00:00,20140600,13185,,,,
2014/03/17 00:00:00,20140600,13165,,,,
2014/03/18 00:00:00,20140600,13100,,,,
2014/03/19 00:00:00,20140600,12990,,,,
2014/03/20 00:00:00,20140600,12830,,,,
2014/03/21 00:00:00,20140600,12745,,,,
2014/03/24 00:00:00,20140600,12805,,,,
2014/03/25 00:00:00,20140600,12740,,,,
2014/03/26 00:00:00,20140600,12930,,,,
2014/03/27 00:00:00,20140600,12920,,,,
2014/03/28 00:00:00,20140600,12920,,,,
2014/03/31 00:00:00,20140600,13070,,,,
2014/04/01 00:00:00,20140600,13040,,,,
2014/04/02 00:00:00,20140600,13030,,,,
2014/04/03 00:00:00,20140600,13125,,,,
2014/04/04 00:00:00,20140600,13100,,,,
2014/04/08 00:00:00,20140600,13115,,,,
2014/04/09 00:00:00,20140600,13080,,,,
2014/04/10 00:00:00,20140600,13050,,,,
2014/04/11 00:00:00,20140600,13180,,,,
2014/04/14 00:00:00,20140600,13205,,,,
2014/04/15 00:00:00,20140600,13230,,,,
2014/04/16 00:00:00,20140600,13150,,,,
