DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2017/12/22 00:00:00,20180500,7933,,,,
2017/12/25 00:00:00,20180500,8114,,,,
2017/12/26 00:00:00,20180500,8106,,,,
2017/12/27 00:00:00,20180500,8094,,,,
2017/12/28 00:00:00,20180500,8092,,,,
2017/12/29 00:00:00,20180500,8108,,,,
2018/01/02 00:00:00,20180500,8088,,,,
2018/01/03 00:00:00,20180500,8104,,,,
2018/01/04 00:00:00,20180500,8098,,,,
2018/01/05 00:00:00,20180500,8096,,,,
2018/01/08 00:00:00,20180500,8103,,,,
2018/01/09 00:00:00,20180500,8084,,,,
2018/01/10 00:00:00,20180500,7956,,,,
2018/01/11 00:00:00,20180500,7932,,,,
2018/01/12 00:00:00,20180500,7844,,,,
2018/01/15 00:00:00,20180500,7763,,,,
2018/01/16 00:00:00,20180500,7768,,,,
2018/01/17 00:00:00,20180500,7736,,,,
2018/01/18 00:00:00,20180500,7670,,,,
2018/01/19 00:00:00,20180500,7671,,,,
2018/01/22 00:00:00,20180500,7681,,,,
2018/01/23 00:00:00,20180500,7712,,,,
2018/01/24 00:00:00,20180500,7706,,,,
2018/01/25 00:00:00,20180500,7683,,,,
2018/01/26 00:00:00,20180500,7665,,,,
2018/01/29 00:00:00,20180500,7691,,,,
2018/01/30 00:00:00,20180500,7554,,,,
2018/01/31 00:00:00,20180500,7509,,,,
2018/02/01 00:00:00,20180500,7493,,,,
2018/02/02 00:00:00,20180500,7445,,,,
2018/02/05 00:00:00,20180500,7420,,,,
2018/02/06 00:00:00,20180500,7328,,,,
2018/02/07 00:00:00,20180500,7278,,,,
2018/02/08 00:00:00,20180500,6880,,,,
2018/02/09 00:00:00,20180500,6765,,,,
2018/02/12 00:00:00,20180500,6751,,,,
2018/02/13 00:00:00,20180500,6806,,,,
2018/02/14 00:00:00,20180500,6797,,,,
2018/02/22 00:00:00,20180500,6599,,,,
2018/02/23 00:00:00,20180500,6483,,,,
2018/02/26 00:00:00,20180500,6960,,,,
2018/02/27 00:00:00,20180500,6947,,,,
2018/02/28 00:00:00,20180500,7080,,,,
2018/03/01 00:00:00,20180500,7090,,,,
2018/03/02 00:00:00,20180500,7113,,,,
2018/03/05 00:00:00,20180500,7005,,,,
2018/03/06 00:00:00,20180500,7026,,,,
2018/03/07 00:00:00,20180500,7215,,,,
2018/03/08 00:00:00,20180500,7184,,,,
2018/03/09 00:00:00,20180500,7129,,,,
2018/03/12 00:00:00,20180500,7252,,,,
2018/03/13 00:00:00,20180500,7029,,,,
2018/03/14 00:00:00,20180500,7041,,,,
2018/03/15 00:00:00,20180500,6995,,,,
2018/03/16 00:00:00,20180500,6914,,,,
2018/03/19 00:00:00,20180500,7043,,,,
2018/03/20 00:00:00,20180500,7015,,,,
2018/03/21 00:00:00,20180500,7014,,,,
2018/03/22 00:00:00,20180500,7262,,,,
2018/03/23 00:00:00,20180500,7184,,,,
2018/03/26 00:00:00,20180500,7371,,,,
2018/03/27 00:00:00,20180500,7412,,,,
2018/03/28 00:00:00,20180500,7306,,,,
2018/03/29 00:00:00,20180500,7337,,,,
2018/03/30 00:00:00,20180500,7238,,,,
2018/04/02 00:00:00,20180500,7301,,,,
2018/04/03 00:00:00,20180500,7406,,,,
2018/04/04 00:00:00,20180500,7401,,,,
2018/04/09 00:00:00,20180500,7266,,,,
2018/04/10 00:00:00,20180500,7324,,,,
2018/04/11 00:00:00,20180500,7320,7013.0,,,
2018/04/12 00:00:00,20181000,7048,,,,
2018/04/13 00:00:00,20181000,7097,,,,
2018/04/16 00:00:00,20181000,7143,,,,
2018/04/17 00:00:00,20181000,7126,,,,
2018/04/18 00:00:00,20181000,7118,,,,
2018/04/19 00:00:00,20181000,7170,,,,
2018/04/20 00:00:00,20181000,7129,,,,
2018/04/23 00:00:00,20181000,7236,,,,
2018/04/24 00:00:00,20181000,7505,,,,
2018/04/25 00:00:00,20181000,7500,,,,
2018/04/26 00:00:00,20181000,7483,,,,
2018/04/27 00:00:00,20181000,7762,,,,
2018/05/02 00:00:00,20181000,7891,,,,
2018/05/03 00:00:00,20181000,7933,,,,
2018/05/04 00:00:00,20181000,7932,,,,
2018/05/07 00:00:00,20181000,7840,,,,
2018/05/08 00:00:00,20181000,7863,,,,
2018/05/09 00:00:00,20181000,8069,,,,
2018/05/10 00:00:00,20181000,8093,,,,
2018/05/11 00:00:00,20181000,8070,,,,
2018/05/14 00:00:00,20181000,8177,,,,
2018/05/15 00:00:00,20181000,8535,,,,
2018/05/16 00:00:00,20181000,8980,,,,
2018/05/17 00:00:00,20181000,8888,,,,
2018/05/18 00:00:00,20181000,9075,,,,
2018/05/21 00:00:00,20181000,9079,,,,
2018/05/22 00:00:00,20181000,9150,,,,
2018/05/23 00:00:00,20181000,9439,,,,
2018/05/24 00:00:00,20181000,9265,,,,
2018/05/25 00:00:00,20181000,9122,,,,
2018/05/28 00:00:00,20181000,9257,,,,
2018/05/29 00:00:00,20181000,9105,,,,
2018/05/30 00:00:00,20181000,9270,,,,
2018/05/31 00:00:00,20181000,9323,,,,
2018/06/01 00:00:00,20181000,9309,,,,
2018/06/04 00:00:00,20181000,9398,,,,
2018/06/05 00:00:00,20181000,9363,,,,
2018/06/06 00:00:00,20181000,9120,,,,
2018/06/07 00:00:00,20181000,9157,,,,
2018/06/08 00:00:00,20181000,9087,,,,
2018/06/11 00:00:00,20181000,8580,,,,
2018/06/12 00:00:00,20181000,8745,,,,
2018/06/13 00:00:00,20181000,9144,,,,
2018/06/14 00:00:00,20181000,9601,,,,
2018/06/15 00:00:00,20181000,9681,,,,
2018/06/19 00:00:00,20181000,10019,,,,
2018/06/20 00:00:00,20181000,9996,,,,
2018/06/21 00:00:00,20181000,9550,,,,
2018/06/22 00:00:00,20181000,9211,,,,
2018/06/25 00:00:00,20181000,9629,,,,
