DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140200,4302,,,,
2014/01/03 00:00:00,20140200,4282,,,,
2014/01/06 00:00:00,20140200,4270,,,,
2014/01/07 00:00:00,20140200,4272,,,,
2014/01/08 00:00:00,20140200,4246,,,,
2014/01/09 00:00:00,20140200,4266,,,,
2014/01/10 00:00:00,20140200,4280,,,,
2014/01/13 00:00:00,20140200,4280,,,,
2014/01/14 00:00:00,20140200,4310,,,,
2014/01/15 00:00:00,20140200,4320,,,,
2014/01/16 00:00:00,20140200,4380,,,,
2014/01/17 00:00:00,20140200,4374,,,,
2014/01/20 00:00:00,20140200,4358,,,,
2014/01/21 00:00:00,20140200,4360,,,,
2014/01/22 00:00:00,20140200,4370,,,,
2014/01/23 00:00:00,20140200,4360,,,,
2014/01/24 00:00:00,20140200,4356,,,,
2014/01/27 00:00:00,20140200,4350,,,,
2014/01/28 00:00:00,20140200,4372,,,,
2014/01/29 00:00:00,20140200,4368,,,,
2014/01/30 00:00:00,20140200,4370,,,,
2014/02/07 00:00:00,20140200,4392,,,,
2014/02/10 00:00:00,20140200,4428,,,,
2014/02/11 00:00:00,20140200,4402,,,,
2014/02/12 00:00:00,20140200,4420,,,,
2014/02/13 00:00:00,20140200,4312,4436.0,,,
2014/02/14 00:00:00,20140600,4436,,,,
2014/02/17 00:00:00,20140600,4394,,,,
2014/02/18 00:00:00,20140600,4402,,,,
2014/02/19 00:00:00,20140600,4408,,,,
2014/02/20 00:00:00,20140600,4384,,,,
2014/02/21 00:00:00,20140600,4368,,,,
2014/02/24 00:00:00,20140600,4362,,,,
2014/02/25 00:00:00,20140600,4356,,,,
2014/02/26 00:00:00,20140600,4354,,,,
2014/02/27 00:00:00,20140600,4268,,,,
2014/02/28 00:00:00,20140600,4274,,,,
2014/03/03 00:00:00,20140600,4286,,,,
2014/03/04 00:00:00,20140600,4264,,,,
2014/03/05 00:00:00,20140600,4256,,,,
2014/03/06 00:00:00,20140600,4266,,,,
2014/03/07 00:00:00,20140600,4268,,,,
2014/03/10 00:00:00,20140600,4232,,,,
2014/03/11 00:00:00,20140600,4188,,,,
2014/03/12 00:00:00,20140600,4208,,,,
2014/03/13 00:00:00,20140600,4188,,,,
2014/03/14 00:00:00,20140600,4184,,,,
2014/03/17 00:00:00,20140600,4190,,,,
2014/03/18 00:00:00,20140600,4186,,,,
2014/03/19 00:00:00,20140600,4196,,,,
2014/03/20 00:00:00,20140600,4226,,,,
2014/03/21 00:00:00,20140600,4216,,,,
2014/03/24 00:00:00,20140600,4218,,,,
2014/03/25 00:00:00,20140600,4228,,,,
2014/03/26 00:00:00,20140600,4236,,,,
2014/03/27 00:00:00,20140600,4220,,,,
2014/03/28 00:00:00,20140600,4212,,,,
2014/03/31 00:00:00,20140600,4290,,,,
2014/04/01 00:00:00,20140600,4166,,,,
2014/04/02 00:00:00,20140600,4174,,,,
2014/04/03 00:00:00,20140600,4138,,,,
2014/04/04 00:00:00,20140600,4114,,,,
2014/04/08 00:00:00,20140600,4128,,,,
2014/04/09 00:00:00,20140600,4152,,,,
2014/04/10 00:00:00,20140600,4154,,,,
2014/04/11 00:00:00,20140600,4142,,,,
2014/04/14 00:00:00,20140600,4160,,,,
2014/04/15 00:00:00,20140600,4230,,,,
2014/04/16 00:00:00,20140600,4210,,,,
2014/04/17 00:00:00,20140600,4194,,,,
2014/04/18 00:00:00,20140600,4178,,,,
2014/04/21 00:00:00,20140600,4182,,,,
2014/04/22 00:00:00,20140600,4154,,,,
2014/04/23 00:00:00,20140600,4162,,,,
2014/04/24 00:00:00,20140600,4156,,,,
2014/04/25 00:00:00,20140600,4184,,,,
2014/04/28 00:00:00,20140600,4170,,,,
2014/04/29 00:00:00,20140600,4188,,,,
2014/04/30 00:00:00,20140600,4186,,,,
2014/05/05 00:00:00,20140600,4206,,,,
2014/05/06 00:00:00,20140600,4190,,,,
2014/05/07 00:00:00,20140600,4180,,,,
2014/05/08 00:00:00,20140600,4134,,,,
2014/05/09 00:00:00,20140600,4150,,,,
2014/05/12 00:00:00,20140600,4150,,,,
2014/05/13 00:00:00,20140600,4158,,,,
2014/05/14 00:00:00,20140600,4160,,,,
2014/05/15 00:00:00,20140600,4162,,,,
2014/05/16 00:00:00,20140600,4152,,,,
2014/05/19 00:00:00,20140600,4152,4300.0,,,
2014/05/20 00:00:00,20140900,4300,,,,
2014/05/21 00:00:00,20140900,4300,,,,
2014/05/22 00:00:00,20140900,4298,,,,
2014/05/23 00:00:00,20140900,4298,,,,
2014/05/26 00:00:00,20140900,4290,,,,
2014/05/27 00:00:00,20140900,4278,,,,
2014/05/28 00:00:00,20140900,4242,,,,
2014/05/29 00:00:00,20140900,4226,,,,
2014/05/30 00:00:00,20140900,4228,,,,
2014/06/03 00:00:00,20140900,4234,,,,
2014/06/04 00:00:00,20140900,4212,,,,
2014/06/05 00:00:00,20140900,4224,,,,
2014/06/06 00:00:00,20140900,4222,,,,
2014/06/09 00:00:00,20140900,4222,,,,
2014/06/10 00:00:00,20140900,4224,,,,
2014/06/11 00:00:00,20140900,4226,,,,
2014/06/12 00:00:00,20140900,4228,,,,
2014/06/13 00:00:00,20140900,4224,,,,
2014/06/16 00:00:00,20140900,4262,,,,
2014/06/17 00:00:00,20140900,4258,,,,
2014/06/18 00:00:00,20140900,4254,,,,
2014/06/19 00:00:00,20140900,4250,,,,
2014/06/20 00:00:00,20140900,4238,,,,
2014/06/23 00:00:00,20140900,4238,,,,
2014/06/24 00:00:00,20140900,4256,,,,
2014/06/25 00:00:00,20140900,4246,,,,
2014/06/26 00:00:00,20140900,4246,,,,
2014/06/27 00:00:00,20140900,4240,,,,
2014/06/30 00:00:00,20140900,4252,,,,
2014/07/01 00:00:00,20140900,4254,,,,
2014/07/02 00:00:00,20140900,4242,,,,
2014/07/03 00:00:00,20140900,4270,,,,
2014/07/04 00:00:00,20140900,4284,,,,
2014/07/07 00:00:00,20140900,4292,,,,
2014/07/08 00:00:00,20140900,4270,,,,
2014/07/09 00:00:00,20140900,4266,,,,
2014/07/10 00:00:00,20140900,4258,,,,
2014/07/11 00:00:00,20140900,4268,,,,
2014/07/14 00:00:00,20140900,4264,,,,
2014/07/15 00:00:00,20140900,4264,,,,
2014/07/16 00:00:00,20140900,4270,,,,
2014/07/17 00:00:00,20140900,4270,,,,
2014/07/18 00:00:00,20140900,4272,,,,
2014/07/21 00:00:00,20140900,4272,,,,
2014/07/22 00:00:00,20140900,4262,,,,
2014/07/23 00:00:00,20140900,4252,,,,
2014/07/24 00:00:00,20140900,4244,,,,
2014/07/25 00:00:00,20140900,4248,,,,
2014/07/28 00:00:00,20140900,4254,,,,
2014/07/29 00:00:00,20140900,4274,,,,
2014/07/30 00:00:00,20140900,4268,,,,
2014/07/31 00:00:00,20140900,4252,,,,
2014/08/01 00:00:00,20140900,4232,,,,
2014/08/04 00:00:00,20140900,4258,,,,
2014/08/05 00:00:00,20140900,4268,,,,
2014/08/06 00:00:00,20140900,4288,,,,
2014/08/07 00:00:00,20140900,4264,,,,
2014/08/08 00:00:00,20140900,4256,,,,
2014/08/11 00:00:00,20140900,4258,,,,
2014/08/12 00:00:00,20140900,4252,,,,
2014/08/13 00:00:00,20140900,4220,,,,
2014/08/14 00:00:00,20140900,4202,,,,
2014/08/15 00:00:00,20140900,4198,,,,
2014/08/18 00:00:00,20140900,4194,,,,
2014/08/19 00:00:00,20140900,4192,,,,
2014/08/20 00:00:00,20140900,4208,,,,
2014/08/21 00:00:00,20140900,4226,,,,
2014/08/22 00:00:00,20140900,4246,,,,
2014/08/25 00:00:00,20140900,4246,,,,
2014/08/26 00:00:00,20140900,4256,,,,
2014/08/27 00:00:00,20140900,4274,,,,
2014/08/28 00:00:00,20140900,4276,,,,
2014/08/29 00:00:00,20140900,4288,,,,
2014/09/01 00:00:00,20140900,4270,,,,
2014/09/02 00:00:00,20140900,4274,,,,
2014/09/03 00:00:00,20140900,4282,,,,
2014/09/04 00:00:00,20140900,4296,,,,
2014/09/05 00:00:00,20140900,4292,,,,
