DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,19360,,,,
2014/01/03 00:00:00,20140500,19340,,,,
2014/01/06 00:00:00,20140500,19300,,,,
2014/01/07 00:00:00,20140500,19275,,,,
2014/01/08 00:00:00,20140500,19500,,,,
2014/01/09 00:00:00,20140500,19680,,,,
2014/01/10 00:00:00,20140500,19680,,,,
2014/01/13 00:00:00,20140500,19610,,,,
2014/01/14 00:00:00,20140500,19810,,,,
2014/01/15 00:00:00,20140500,19865,,,,
2014/01/16 00:00:00,20140500,19905,,,,
2014/01/17 00:00:00,20140500,19830,,,,
2014/01/20 00:00:00,20140500,19850,,,,
2014/01/21 00:00:00,20140500,19815,,,,
2014/01/22 00:00:00,20140500,19890,,,,
2014/01/23 00:00:00,20140500,19790,,,,
2014/01/24 00:00:00,20140500,19745,,,,
2014/01/27 00:00:00,20140500,19850,,,,
2014/01/28 00:00:00,20140500,19725,,,,
2014/01/29 00:00:00,20140500,19690,,,,
2014/01/30 00:00:00,20140500,19780,,,,
2014/02/07 00:00:00,20140500,19835,,,,
2014/02/10 00:00:00,20140500,19900,,,,
2014/02/11 00:00:00,20140500,20010,,,,
2014/02/12 00:00:00,20140500,19995,,,,
2014/02/13 00:00:00,20140500,19990,,,,
2014/02/14 00:00:00,20140500,19905,,,,
2014/02/17 00:00:00,20140500,20100,,,,
2014/02/18 00:00:00,20140500,20020,,,,
2014/02/19 00:00:00,20140500,19960,,,,
2014/02/20 00:00:00,20140500,19990,,,,
2014/02/21 00:00:00,20140500,19960,,,,
2014/02/24 00:00:00,20140500,20010,,,,
2014/02/25 00:00:00,20140500,19840,,,,
2014/02/26 00:00:00,20140500,19690,,,,
2014/02/27 00:00:00,20140500,19455,,,,
2014/02/28 00:00:00,20140500,19385,,,,
2014/03/03 00:00:00,20140500,18745,,,,
2014/03/04 00:00:00,20140500,19240,,,,
2014/03/05 00:00:00,20140500,19350,,,,
2014/03/06 00:00:00,20140500,19265,,,,
2014/03/07 00:00:00,20140500,19390,,,,
2014/03/10 00:00:00,20140500,19240,,,,
2014/03/11 00:00:00,20140500,19000,,,,
2014/03/12 00:00:00,20140500,18900,,,,
2014/03/13 00:00:00,20140500,18840,,,,
2014/03/14 00:00:00,20140500,18900,,,,
2014/03/17 00:00:00,20140500,18945,16115.0,,,
2014/03/18 00:00:00,20150100,16150,,,,
2014/03/19 00:00:00,20150100,16155,,,,
2014/03/20 00:00:00,20150100,16190,,,,
2014/03/21 00:00:00,20150100,16170,,,,
2014/03/24 00:00:00,20150100,16205,,,,
2014/03/25 00:00:00,20150100,16120,,,,
2014/03/26 00:00:00,20150100,16035,,,,
2014/03/27 00:00:00,20150100,15925,,,,
2014/03/28 00:00:00,20150100,15800,,,,
2014/03/31 00:00:00,20150100,15810,,,,
2014/04/01 00:00:00,20150100,15940,,,,
2014/04/02 00:00:00,20150100,15930,,,,
2014/04/03 00:00:00,20150100,15850,,,,
2014/04/04 00:00:00,20150100,15745,,,,
2014/04/08 00:00:00,20150100,15940,,,,
2014/04/09 00:00:00,20150100,16225,,,,
2014/04/10 00:00:00,20150100,16055,,,,
2014/04/11 00:00:00,20150100,16100,,,,
2014/04/14 00:00:00,20150100,16190,,,,
2014/04/15 00:00:00,20150100,16180,,,,
2014/04/16 00:00:00,20150100,16175,,,,
2014/04/17 00:00:00,20150100,16260,,,,
