DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,1290,,,,
2014/01/03 00:00:00,20140500,1276,,,,
2014/01/06 00:00:00,20140500,1283,,,,
2014/01/07 00:00:00,20140500,1254,,,,
2014/01/08 00:00:00,20140500,1235,,,,
2014/01/09 00:00:00,20140500,1230,,,,
2014/01/10 00:00:00,20140500,1244,,,,
2014/01/13 00:00:00,20140500,1254,,,,
2014/01/14 00:00:00,20140500,1246,,,,
2014/01/15 00:00:00,20140500,1256,,,,
2014/01/16 00:00:00,20140500,1264,,,,
2014/01/17 00:00:00,20140500,1244,,,,
2014/01/20 00:00:00,20140500,1254,,,,
2014/01/21 00:00:00,20140500,1246,,,,
2014/01/22 00:00:00,20140500,1215,,,,
2014/01/23 00:00:00,20140500,1231,,,,
2014/01/24 00:00:00,20140500,1262,,,,
2014/01/27 00:00:00,20140500,1270,,,,
2014/01/28 00:00:00,20140500,1279,,,,
2014/01/29 00:00:00,20140500,1272,,,,
2014/01/30 00:00:00,20140500,1289,,,,
2014/02/07 00:00:00,20140500,1308,,,,
2014/02/10 00:00:00,20140500,1280,,,,
2014/02/11 00:00:00,20140500,1290,,,,
2014/02/12 00:00:00,20140500,1297,,,,
2014/02/13 00:00:00,20140500,1311,,,,
2014/02/14 00:00:00,20140500,1302,,,,
2014/02/17 00:00:00,20140500,1309,,,,
2014/02/18 00:00:00,20140500,1314,,,,
2014/02/19 00:00:00,20140500,1301,,,,
2014/02/20 00:00:00,20140500,1293,,,,
2014/02/21 00:00:00,20140500,1293,,,,
2014/02/24 00:00:00,20140500,1292,,,,
2014/02/25 00:00:00,20140500,1266,,,,
2014/02/26 00:00:00,20140500,1257,,,,
2014/02/27 00:00:00,20140500,1262,,,,
2014/02/28 00:00:00,20140500,1248,,,,
2014/03/03 00:00:00,20140500,1245,,,,
2014/03/04 00:00:00,20140500,1239,,,,
2014/03/05 00:00:00,20140500,1243,,,,
2014/03/06 00:00:00,20140500,1249,,,,
2014/03/07 00:00:00,20140500,1252,,,,
2014/03/10 00:00:00,20140500,1224,,,,
2014/03/11 00:00:00,20140500,1194,,,,
2014/03/12 00:00:00,20140500,1216,,,,
2014/03/13 00:00:00,20140500,1228,,,,
2014/03/14 00:00:00,20140500,1224,,,,
2014/03/17 00:00:00,20140500,1228,1254.0,,,
2014/03/18 00:00:00,20140900,1253,,,,
2014/03/19 00:00:00,20140900,1276,,,,
2014/03/20 00:00:00,20140900,1284,,,,
2014/03/21 00:00:00,20140900,1265,,,,
2014/03/24 00:00:00,20140900,1263,,,,
2014/03/25 00:00:00,20140900,1247,,,,
2014/03/26 00:00:00,20140900,1262,,,,
2014/03/27 00:00:00,20140900,1231,,,,
2014/03/28 00:00:00,20140900,1240,,,,
2014/03/31 00:00:00,20140900,1262,,,,
2014/04/01 00:00:00,20140900,1261,,,,
2014/04/02 00:00:00,20140900,1265,,,,
2014/04/03 00:00:00,20140900,1246,,,,
2014/04/04 00:00:00,20140900,1257,,,,
2014/04/08 00:00:00,20140900,1255,,,,
2014/04/09 00:00:00,20140900,1282,,,,
2014/04/10 00:00:00,20140900,1274,,,,
2014/04/11 00:00:00,20140900,1274,,,,
2014/04/14 00:00:00,20140900,1248,,,,
2014/04/15 00:00:00,20140900,1255,,,,
2014/04/16 00:00:00,20140900,1256,,,,
2014/04/17 00:00:00,20140900,1266,,,,
2014/04/18 00:00:00,20140900,1262,,,,
2014/04/21 00:00:00,20140900,1245,,,,
2014/04/22 00:00:00,20140900,1233,,,,
2014/04/23 00:00:00,20140900,1226,,,,
2014/04/24 00:00:00,20140900,1226,,,,
2014/04/25 00:00:00,20140900,1234,,,,
2014/04/28 00:00:00,20140900,1223,,,,
2014/04/29 00:00:00,20140900,1229,,,,
2014/04/30 00:00:00,20140900,1242,,,,
2014/05/05 00:00:00,20140900,1224,,,,
2014/05/06 00:00:00,20140900,1238,,,,
2014/05/07 00:00:00,20140900,1223,,,,
2014/05/08 00:00:00,20140900,1211,,,,
2014/05/09 00:00:00,20140900,1216,,,,
2014/05/12 00:00:00,20140900,1217,,,,
2014/05/13 00:00:00,20140900,1221,,,,
2014/05/14 00:00:00,20140900,1212,,,,
2014/05/15 00:00:00,20140900,1212,,,,
2014/05/16 00:00:00,20140900,1197,,,,
2014/05/19 00:00:00,20140900,1184,,,,
2014/05/20 00:00:00,20140900,1183,,,,
2014/05/21 00:00:00,20140900,1158,,,,
2014/05/22 00:00:00,20140900,1149,,,,
