DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2018/07/16 00:00:00,20190100,3028,,,,
2018/07/17 00:00:00,20190100,2951,,,,
2018/07/18 00:00:00,20190100,2872,,,,
2018/07/19 00:00:00,20190100,2889,,,,
2018/07/20 00:00:00,20190100,2908,,,,
2018/07/23 00:00:00,20190100,2986,,,,
2018/07/24 00:00:00,20190100,3030,,,,
2018/07/25 00:00:00,20190100,3072,,,,
2018/07/26 00:00:00,20190100,3127,,,,
2018/07/27 00:00:00,20190100,3142,,,,
2018/07/30 00:00:00,20190100,3131,,,,
2018/07/31 00:00:00,20190100,3149,,,,
2018/08/01 00:00:00,20190100,3172,,,,
2018/08/02 00:00:00,20190100,3117,,,,
2018/08/03 00:00:00,20190100,3084,,,,
2018/08/06 00:00:00,20190100,3135,,,,
2018/08/07 00:00:00,20190100,3156,,,,
2018/08/08 00:00:00,20190100,3237,,,,
2018/08/09 00:00:00,20190100,3161,,,,
2018/08/10 00:00:00,20190100,3183,,,,
2018/08/13 00:00:00,20190100,3160,,,,
2018/08/14 00:00:00,20190100,3182,,,,
2018/08/15 00:00:00,20190100,3199,,,,
2018/08/16 00:00:00,20190100,3140,,,,
2018/08/17 00:00:00,20190100,3040,,,,
2018/08/20 00:00:00,20190100,3048,,,,
2018/08/21 00:00:00,20190100,3028,,,,
2018/08/22 00:00:00,20190100,3078,,,,
2018/08/23 00:00:00,20190100,3111,,,,
2018/08/24 00:00:00,20190100,3120,,,,
2018/08/27 00:00:00,20190100,3172,,,,
2018/08/28 00:00:00,20190100,3138,,,,
2018/08/29 00:00:00,20190100,3148,,,,
2018/08/30 00:00:00,20190100,3120,,,,
2018/08/31 00:00:00,20190100,3188,,,,
2018/09/03 00:00:00,20190100,3190,,,,
2018/09/04 00:00:00,20190100,3173,,,,
2018/09/05 00:00:00,20190100,3195,,,,
2018/09/06 00:00:00,20190100,3107,,,,
2018/09/07 00:00:00,20190100,3108,,,,
2018/09/10 00:00:00,20190100,3097,,,,
2018/09/11 00:00:00,20190100,3133,,,,
2018/09/12 00:00:00,20190100,3108,,,,
2018/09/13 00:00:00,20190100,3199,,,,
2018/09/14 00:00:00,20190100,3162,,,,
2018/09/17 00:00:00,20190100,3119,,,,
2018/09/18 00:00:00,20190100,3138,,,,
2018/09/19 00:00:00,20190100,3140,,,,
2018/09/20 00:00:00,20190100,3156,,,,
2018/09/21 00:00:00,20190100,3181,,,,
2018/09/25 00:00:00,20190100,3211,,,,
2018/09/26 00:00:00,20190100,3282,,,,
2018/09/27 00:00:00,20190100,3305,,,,
2018/09/28 00:00:00,20190100,3358,,,,
2018/10/08 00:00:00,20190100,3411,,,,
2018/10/09 00:00:00,20190100,3445,,,,
2018/10/10 00:00:00,20190100,3648,,,,
2018/10/11 00:00:00,20190100,3631,,,,
2018/10/12 00:00:00,20190100,3488,,,,
2018/10/15 00:00:00,20190100,3509,,,,
2018/10/16 00:00:00,20190100,3500,,,,
2018/10/17 00:00:00,20190100,3420,,,,
2018/10/18 00:00:00,20190100,3474,,,,
2018/10/19 00:00:00,20190100,3430,,,,
2018/10/22 00:00:00,20190100,3483,,,,
2018/10/23 00:00:00,20190100,3544,,,,
2018/10/24 00:00:00,20190100,3489,,,,
2018/10/25 00:00:00,20190100,3493,,,,
2018/10/26 00:00:00,20190100,3460,,,,
2018/10/29 00:00:00,20190100,3492,,,,
2018/10/30 00:00:00,20190100,3464,,,,
2018/10/31 00:00:00,20190100,3478,,,,
2018/11/01 00:00:00,20190100,3468,,,,
2018/11/02 00:00:00,20190100,3412,,,,
2018/11/05 00:00:00,20190100,3388,,,,
2018/11/06 00:00:00,20190100,3442,,,,
2018/11/07 00:00:00,20190100,3470,,,,
2018/11/08 00:00:00,20190100,3535,,,,
2018/11/09 00:00:00,20190100,3465,,,,
2018/11/12 00:00:00,20190100,3366,,,,
2018/11/13 00:00:00,20190100,3389,,,,
2018/11/14 00:00:00,20190100,3325,,,,
2018/11/15 00:00:00,20190100,3199,,,,
2018/11/16 00:00:00,20190100,3211,3061.0,,,
2018/11/19 00:00:00,20190500,3070,,,,
2018/11/20 00:00:00,20190500,3040,,,,
2018/11/21 00:00:00,20190500,3035,,,,
2018/11/22 00:00:00,20190500,2931,,,,
2018/11/23 00:00:00,20190500,2913,,,,
2018/11/26 00:00:00,20190500,2785,,,,
2018/11/27 00:00:00,20190500,2775,,,,
2018/11/28 00:00:00,20190500,2775,,,,
2018/11/29 00:00:00,20190500,2783,,,,
2018/11/30 00:00:00,20190500,2730,,,,
2018/12/03 00:00:00,20190500,2681,,,,
2018/12/04 00:00:00,20190500,2738,,,,
2018/12/05 00:00:00,20190500,2799,,,,
2018/12/06 00:00:00,20190500,2802,,,,
2018/12/07 00:00:00,20190500,2700,,,,
2018/12/10 00:00:00,20190500,2720,,,,
2018/12/11 00:00:00,20190500,2745,,,,
2018/12/12 00:00:00,20190500,2720,,,,
2018/12/13 00:00:00,20190500,2741,,,,
2018/12/14 00:00:00,20190500,2630,,,,
2018/12/17 00:00:00,20190500,2660,,,,
2018/12/18 00:00:00,20190500,2660,,,,
2018/12/19 00:00:00,20190500,2567,,,,
2018/12/20 00:00:00,20190500,2487,,,,
2018/12/21 00:00:00,20190500,2450,,,,
2018/12/24 00:00:00,20190500,2475,,,,
2018/12/25 00:00:00,20190500,2484,,,,
2018/12/26 00:00:00,20190500,2350,,,,
2018/12/27 00:00:00,20190500,2350,,,,
2018/12/28 00:00:00,20190500,2412,,,,
2019/01/02 00:00:00,20190500,2400,,,,
2019/01/03 00:00:00,20190500,2375,,,,
2019/01/04 00:00:00,20190500,2435,,,,
2019/01/07 00:00:00,20190500,2502,,,,
2019/01/08 00:00:00,20190500,2528,,,,
2019/01/09 00:00:00,20190500,2543,,,,
2019/01/10 00:00:00,20190500,2568,,,,
2019/01/11 00:00:00,20190500,2645,,,,
2019/01/14 00:00:00,20190500,2644,,,,
2019/01/15 00:00:00,20190500,2591,,,,
2019/01/16 00:00:00,20190500,2622,,,,
2019/01/17 00:00:00,20190500,2619,,,,
2019/01/18 00:00:00,20190500,2599,,,,
2019/01/21 00:00:00,20190500,2691,,,,
2019/01/22 00:00:00,20190500,2732,,,,
2019/01/23 00:00:00,20190500,2699,,,,
2019/01/24 00:00:00,20190500,2739,,,,
2019/01/25 00:00:00,20190500,2703,,,,
2019/01/28 00:00:00,20190500,2689,,,,
2019/01/29 00:00:00,20190500,2666,,,,
2019/01/30 00:00:00,20190500,2660,,,,
2019/01/31 00:00:00,20190500,2708,,,,
2019/02/01 00:00:00,20190500,2751,,,,
2019/02/11 00:00:00,20190500,2685,,,,
2019/02/12 00:00:00,20190500,2823,,,,
2019/02/13 00:00:00,20190500,2865,,,,
2019/02/14 00:00:00,20190500,2886,,,,
2019/02/15 00:00:00,20190500,2943,,,,
2019/02/18 00:00:00,20190500,2937,,,,
2019/02/19 00:00:00,20190500,2964,,,,
2019/02/20 00:00:00,20190500,2944,,,,
2019/02/21 00:00:00,20190500,2897,,,,
2019/02/22 00:00:00,20190500,2942,,,,
2019/02/25 00:00:00,20190500,2980,,,,
2019/02/26 00:00:00,20190500,2840,,,,
2019/02/27 00:00:00,20190500,2830,,,,
2019/02/28 00:00:00,20190500,2880,,,,
2019/03/01 00:00:00,20190500,2901,,,,
2019/03/04 00:00:00,20190500,2959,,,,
2019/03/05 00:00:00,20190500,2924,,,,
2019/03/06 00:00:00,20190500,2952,,,,
2019/03/07 00:00:00,20190500,2940,,,,
2019/03/08 00:00:00,20190500,2953,,,,
2019/03/11 00:00:00,20190500,2820,,,,
2019/03/12 00:00:00,20190500,2905,,,,
2019/03/13 00:00:00,20190500,2945,,,,
2019/03/14 00:00:00,20190500,2966,,,,
2019/03/15 00:00:00,20190500,2948,,,,
2019/03/18 00:00:00,20190500,2882,,,,
2019/03/19 00:00:00,20190500,2878,,,,
2019/03/20 00:00:00,20190500,2833,,,,
2019/03/21 00:00:00,20190500,2841,,,,
2019/03/22 00:00:00,20190500,2900,,,,
2019/03/25 00:00:00,20190500,2833,,,,
2019/03/26 00:00:00,20190500,2781,,,,
