DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/03/21 00:00:00,20141000,3256,,,,
2014/03/24 00:00:00,20141000,3316,,,,
2014/03/25 00:00:00,20141000,3322,,,,
2014/03/26 00:00:00,20141000,3376,,,,
2014/03/27 00:00:00,20141000,3362,,,,
2014/03/28 00:00:00,20141000,3366,,,,
2014/03/31 00:00:00,20141000,3392,,,,
2014/04/01 00:00:00,20141000,3408,,,,
2014/04/02 00:00:00,20141000,3416,,,,
2014/04/03 00:00:00,20141000,3384,,,,
2014/04/04 00:00:00,20141000,3412,,,,
2014/04/08 00:00:00,20141000,3452,,,,
2014/04/09 00:00:00,20141000,3488,,,,
2014/04/10 00:00:00,20141000,3452,,,,
2014/04/11 00:00:00,20141000,3440,,,,
2014/04/14 00:00:00,20141000,3432,,,,
2014/04/15 00:00:00,20141000,3444,,,,
2014/04/16 00:00:00,20141000,3446,,,,
2014/04/17 00:00:00,20141000,3422,,,,
2014/04/18 00:00:00,20141000,3410,,,,
2014/04/21 00:00:00,20141000,3344,,,,
2014/04/22 00:00:00,20141000,3340,,,,
2014/04/23 00:00:00,20141000,3356,,,,
2014/04/24 00:00:00,20141000,3380,,,,
2014/04/25 00:00:00,20141000,3398,,,,
2014/04/28 00:00:00,20141000,3372,,,,
2014/04/29 00:00:00,20141000,3334,,,,
2014/04/30 00:00:00,20141000,3370,,,,
2014/05/05 00:00:00,20141000,3334,,,,
2014/05/06 00:00:00,20141000,3348,,,,
2014/05/07 00:00:00,20141000,3338,,,,
2014/05/08 00:00:00,20141000,3324,,,,
2014/05/09 00:00:00,20141000,3312,,,,
2014/05/12 00:00:00,20141000,3318,,,,
2014/05/13 00:00:00,20141000,3338,,,,
2014/05/14 00:00:00,20141000,3326,,,,
2014/05/15 00:00:00,20141000,3324,,,,
2014/05/16 00:00:00,20141000,3292,,,,
2014/05/19 00:00:00,20141000,3266,,,,
2014/05/20 00:00:00,20141000,3254,,,,
2014/05/21 00:00:00,20141000,3262,,,,
2014/05/22 00:00:00,20141000,3272,,,,
2014/05/23 00:00:00,20141000,3286,,,,
2014/05/26 00:00:00,20141000,3288,,,,
2014/05/27 00:00:00,20141000,3338,,,,
2014/05/28 00:00:00,20141000,3332,,,,
2014/05/29 00:00:00,20141000,3308,,,,
2014/05/30 00:00:00,20141000,3300,,,,
2014/06/03 00:00:00,20141000,3252,,,,
2014/06/04 00:00:00,20141000,3268,,,,
2014/06/05 00:00:00,20141000,3272,,,,
2014/06/06 00:00:00,20141000,3272,,,,
2014/06/09 00:00:00,20141000,3278,,,,
2014/06/10 00:00:00,20141000,3260,,,,
2014/06/11 00:00:00,20141000,3270,,,,
2014/06/12 00:00:00,20141000,3252,,,,
2014/06/13 00:00:00,20141000,3238,,,,
2014/06/16 00:00:00,20141000,3236,,,,
2014/06/17 00:00:00,20141000,3218,,,,
2014/06/18 00:00:00,20141000,3240,,,,
2014/06/19 00:00:00,20141000,3266,,,,
2014/06/20 00:00:00,20141000,3268,,,,
2014/06/23 00:00:00,20141000,3282,,,,
2014/06/24 00:00:00,20141000,3294,,,,
2014/06/25 00:00:00,20141000,3282,,,,
2014/06/26 00:00:00,20141000,3288,,,,
2014/06/27 00:00:00,20141000,3326,,,,
2014/06/30 00:00:00,20141000,3296,,,,
2014/07/01 00:00:00,20141000,3288,,,,
2014/07/02 00:00:00,20141000,3296,,,,
2014/07/03 00:00:00,20141000,3320,,,,
2014/07/04 00:00:00,20141000,3308,,,,
2014/07/07 00:00:00,20141000,3312,,,,
2014/07/08 00:00:00,20141000,3296,,,,
2014/07/09 00:00:00,20141000,3314,,,,
2014/07/10 00:00:00,20141000,3302,,,,
2014/07/11 00:00:00,20141000,3330,,,,
2014/07/14 00:00:00,20141000,3348,,,,
2014/07/15 00:00:00,20141000,3362,,,,
2014/07/16 00:00:00,20141000,3358,,,,
2014/07/17 00:00:00,20141000,3300,,,,
2014/07/18 00:00:00,20141000,3328,,,,
2014/07/21 00:00:00,20141000,3270,,,,
2014/07/22 00:00:00,20141000,3270,,,,
2014/07/23 00:00:00,20141000,3282,,,,
2014/07/24 00:00:00,20141000,3280,,,,
2014/07/25 00:00:00,20141000,3286,,,,
2014/07/28 00:00:00,20141000,3288,,,,
2014/07/29 00:00:00,20141000,3302,,,,
2014/07/30 00:00:00,20141000,3318,,,,
2014/07/31 00:00:00,20141000,3304,,,,
2014/08/01 00:00:00,20141000,3290,,,,
2014/08/04 00:00:00,20141000,3280,,,,
2014/08/05 00:00:00,20141000,3296,,,,
2014/08/06 00:00:00,20141000,3310,,,,
2014/08/07 00:00:00,20141000,3330,,,,
2014/08/08 00:00:00,20141000,3334,,,,
2014/08/11 00:00:00,20141000,3332,,,,
2014/08/12 00:00:00,20141000,3308,,,,
2014/08/13 00:00:00,20141000,3326,,,,
2014/08/14 00:00:00,20141000,3310,,,,
2014/08/15 00:00:00,20141000,3276,,,,
2014/08/18 00:00:00,20141000,3302,,,,
2014/08/19 00:00:00,20141000,3274,,,,
2014/08/20 00:00:00,20141000,3276,,,,
2014/08/21 00:00:00,20141000,3270,,,,
2014/08/22 00:00:00,20141000,3280,,,,
2014/08/25 00:00:00,20141000,3208,,,,
2014/08/26 00:00:00,20141000,3196,,,,
2014/08/27 00:00:00,20141000,3186,,,,
2014/08/28 00:00:00,20141000,3170,,,,
2014/08/29 00:00:00,20141000,3126,3140.0,,,
2014/09/01 00:00:00,20150100,3122,,,,
2014/09/02 00:00:00,20150100,3108,,,,
2014/09/03 00:00:00,20150100,3086,,,,
2014/09/04 00:00:00,20150100,3066,,,,
2014/09/05 00:00:00,20150100,3044,,,,
2014/09/09 00:00:00,20150100,3024,,,,
2014/09/10 00:00:00,20150100,2948,,,,
2014/09/11 00:00:00,20150100,2972,,,,
2014/09/12 00:00:00,20150100,2944,,,,
2014/09/15 00:00:00,20150100,2976,,,,
2014/09/16 00:00:00,20150100,3000,,,,
2014/09/17 00:00:00,20150100,2980,,,,
2014/09/18 00:00:00,20150100,2960,,,,
2014/09/19 00:00:00,20150100,2924,,,,
2014/09/22 00:00:00,20150100,2876,,,,
2014/09/23 00:00:00,20150100,2788,,,,
2014/09/24 00:00:00,20150100,2818,,,,
2014/09/25 00:00:00,20150100,2830,,,,
2014/09/26 00:00:00,20150100,2790,,,,
2014/09/29 00:00:00,20150100,2850,,,,
2014/09/30 00:00:00,20150100,2802,,,,
2014/10/08 00:00:00,20150100,2828,,,,
2014/10/09 00:00:00,20150100,2782,,,,
2014/10/10 00:00:00,20150100,2810,,,,
2014/10/13 00:00:00,20150100,2848,,,,
2014/10/14 00:00:00,20150100,2934,,,,
2014/10/15 00:00:00,20150100,2890,,,,
2014/10/16 00:00:00,20150100,2850,,,,
2014/10/17 00:00:00,20150100,2872,,,,
2014/10/20 00:00:00,20150100,2880,,,,
2014/10/21 00:00:00,20150100,2900,,,,
2014/10/22 00:00:00,20150100,2864,,,,
2014/10/23 00:00:00,20150100,2862,,,,
2014/10/24 00:00:00,20150100,2846,,,,
2014/10/27 00:00:00,20150100,2878,,,,
2014/10/28 00:00:00,20150100,2864,,,,
2014/10/29 00:00:00,20150100,2846,,,,
2014/10/30 00:00:00,20150100,2866,,,,
2014/10/31 00:00:00,20150100,2852,,,,
2014/11/03 00:00:00,20150100,2846,,,,
2014/11/04 00:00:00,20150100,2830,,,,
2014/11/05 00:00:00,20150100,2834,,,,
2014/11/06 00:00:00,20150100,2828,,,,
2014/11/07 00:00:00,20150100,2836,,,,
2014/11/10 00:00:00,20150100,2856,,,,
2014/11/11 00:00:00,20150100,2870,,,,
2014/11/12 00:00:00,20150100,2872,,,,
2014/11/13 00:00:00,20150100,2880,,,,
2014/11/14 00:00:00,20150100,2856,,,,
2014/11/17 00:00:00,20150100,2886,,,,
2014/11/18 00:00:00,20150100,2872,,,,
2014/11/19 00:00:00,20150100,2856,,,,
2014/11/20 00:00:00,20150100,2862,,,,
2014/11/21 00:00:00,20150100,2880,,,,
2014/11/24 00:00:00,20150100,2908,,,,
2014/11/25 00:00:00,20150100,2880,,,,
2014/11/26 00:00:00,20150100,2878,,,,
2014/11/27 00:00:00,20150100,2888,,,,
2014/11/28 00:00:00,20150100,2878,,,,
2014/12/01 00:00:00,20150100,2942,,,,
2014/12/02 00:00:00,20150100,3002,,,,
2014/12/03 00:00:00,20150100,2980,,,,
2014/12/04 00:00:00,20150100,2988,,,,
2014/12/05 00:00:00,20150100,2986,,,,
2014/12/08 00:00:00,20150100,2992,,,,
2014/12/09 00:00:00,20150100,2990,,,,
2014/12/10 00:00:00,20150100,2986,,,,
2014/12/11 00:00:00,20150100,2986,,,,
2014/12/12 00:00:00,20150100,3014,2922.0,,,
2014/12/15 00:00:00,20150500,2938,,,,
2014/12/16 00:00:00,20150500,2916,,,,
2014/12/17 00:00:00,20150500,2888,,,,
2014/12/18 00:00:00,20150500,2892,,,,
2014/12/19 00:00:00,20150500,2886,,,,
2014/12/22 00:00:00,20150500,2888,,,,
2014/12/23 00:00:00,20150500,2848,,,,
2014/12/24 00:00:00,20150500,2820,,,,
2014/12/25 00:00:00,20150500,2836,,,,
2014/12/26 00:00:00,20150500,2816,,,,
2014/12/29 00:00:00,20150500,2816,,,,
2014/12/30 00:00:00,20150500,2850,,,,
2014/12/31 00:00:00,20150500,2952,,,,
2015/01/05 00:00:00,20150500,2920,,,,
2015/01/06 00:00:00,20150500,2894,,,,
2015/01/07 00:00:00,20150500,2932,,,,
2015/01/08 00:00:00,20150500,2902,,,,
2015/01/09 00:00:00,20150500,2882,,,,
2015/01/12 00:00:00,20150500,2834,,,,
2015/01/13 00:00:00,20150500,2748,,,,
2015/01/14 00:00:00,20150500,2732,,,,
2015/01/15 00:00:00,20150500,2670,,,,
2015/01/16 00:00:00,20150500,2698,,,,
2015/01/19 00:00:00,20150500,2676,,,,
2015/01/20 00:00:00,20150500,2656,,,,
2015/01/21 00:00:00,20150500,2650,,,,
2015/01/22 00:00:00,20150500,2628,,,,
2015/01/23 00:00:00,20150500,2632,,,,
2015/01/26 00:00:00,20150500,2604,,,,
2015/01/27 00:00:00,20150500,2560,,,,
2015/01/28 00:00:00,20150500,2550,,,,
2015/01/29 00:00:00,20150500,2596,,,,
2015/01/30 00:00:00,20150500,2620,,,,
2015/02/02 00:00:00,20150500,2604,,,,
2015/02/03 00:00:00,20150500,2594,,,,
2015/02/04 00:00:00,20150500,2590,,,,
2015/02/05 00:00:00,20150500,2580,,,,
2015/02/06 00:00:00,20150500,2578,,,,
2015/02/09 00:00:00,20150500,2586,,,,
2015/02/10 00:00:00,20150500,2570,,,,
2015/02/11 00:00:00,20150500,2582,,,,
2015/02/12 00:00:00,20150500,2610,,,,
