DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,3950,,,,
2014/01/03 00:00:00,20140500,3996,,,,
2014/01/06 00:00:00,20140500,4008,,,,
2014/01/07 00:00:00,20140500,3873,,,,
2014/01/08 00:00:00,20140500,3869,,,,
2014/01/09 00:00:00,20140500,3845,,,,
2014/01/10 00:00:00,20140500,3822,,,,
2014/01/13 00:00:00,20140500,3828,,,,
2014/01/14 00:00:00,20140500,3833,,,,
2014/01/15 00:00:00,20140500,3865,,,,
2014/01/16 00:00:00,20140500,3830,,,,
2014/01/17 00:00:00,20140500,3769,,,,
2014/01/20 00:00:00,20140500,3774,,,,
2014/01/21 00:00:00,20140500,3771,,,,
2014/01/22 00:00:00,20140500,3726,,,,
2014/01/23 00:00:00,20140500,3688,,,,
2014/01/24 00:00:00,20140500,3698,,,,
2014/01/27 00:00:00,20140500,3688,,,,
2014/01/28 00:00:00,20140500,3713,,,,
2014/01/29 00:00:00,20140500,3732,,,,
2014/01/30 00:00:00,20140500,3727,,,,
2014/02/07 00:00:00,20140500,3742,,,,
2014/02/10 00:00:00,20140500,3687,,,,
2014/02/11 00:00:00,20140500,3738,,,,
2014/02/12 00:00:00,20140500,3720,,,,
2014/02/13 00:00:00,20140500,3730,,,,
2014/02/14 00:00:00,20140500,3735,,,,
2014/02/17 00:00:00,20140500,3841,,,,
2014/02/18 00:00:00,20140500,3845,,,,
2014/02/19 00:00:00,20140500,3868,,,,
2014/02/20 00:00:00,20140500,3845,,,,
2014/02/21 00:00:00,20140500,3785,,,,
2014/02/24 00:00:00,20140500,3787,,,,
2014/02/25 00:00:00,20140500,3789,,,,
2014/02/26 00:00:00,20140500,3678,,,,
2014/02/27 00:00:00,20140500,3708,,,,
2014/02/28 00:00:00,20140500,3700,,,,
2014/03/03 00:00:00,20140500,3732,,,,
2014/03/04 00:00:00,20140500,3789,,,,
2014/03/05 00:00:00,20140500,3861,,,,
2014/03/06 00:00:00,20140500,3875,,,,
2014/03/07 00:00:00,20140500,3859,,,,
2014/03/10 00:00:00,20140500,4016,,,,
2014/03/11 00:00:00,20140500,4078,,,,
2014/03/12 00:00:00,20140500,4109,,,,
2014/03/13 00:00:00,20140500,4115,,,,
2014/03/14 00:00:00,20140500,4235,,,,
2014/03/17 00:00:00,20140500,4229,4429.0,,,
2014/03/18 00:00:00,20140900,4424,,,,
2014/03/19 00:00:00,20140900,4506,,,,
2014/03/20 00:00:00,20140900,4505,,,,
2014/03/21 00:00:00,20140900,4531,,,,
2014/03/24 00:00:00,20140900,4590,,,,
2014/03/25 00:00:00,20140900,4586,,,,
2014/03/26 00:00:00,20140900,4580,,,,
2014/03/27 00:00:00,20140900,4630,,,,
2014/03/28 00:00:00,20140900,4642,,,,
2014/03/31 00:00:00,20140900,4602,,,,
2014/04/01 00:00:00,20140900,4600,,,,
2014/04/02 00:00:00,20140900,4603,,,,
2014/04/03 00:00:00,20140900,4549,,,,
2014/04/04 00:00:00,20140900,4608,,,,
2014/04/08 00:00:00,20140900,4625,,,,
2014/04/09 00:00:00,20140900,4688,,,,
2014/04/10 00:00:00,20140900,4669,,,,
2014/04/11 00:00:00,20140900,4705,,,,
2014/04/14 00:00:00,20140900,4704,,,,
2014/04/15 00:00:00,20140900,4688,,,,
2014/04/16 00:00:00,20140900,4710,,,,
2014/04/17 00:00:00,20140900,4732,,,,
2014/04/18 00:00:00,20140900,4778,,,,
2014/04/21 00:00:00,20140900,4820,,,,
2014/04/22 00:00:00,20140900,4922,,,,
2014/04/23 00:00:00,20140900,4909,,,,
2014/04/24 00:00:00,20140900,4907,,,,
2014/04/25 00:00:00,20140900,4853,,,,
2014/04/28 00:00:00,20140900,4876,,,,
2014/04/29 00:00:00,20140900,4958,,,,
2014/04/30 00:00:00,20140900,4951,,,,
2014/05/05 00:00:00,20140900,5030,,,,
2014/05/06 00:00:00,20140900,5014,,,,
2014/05/07 00:00:00,20140900,5030,,,,
2014/05/08 00:00:00,20140900,5063,,,,
2014/05/09 00:00:00,20140900,5018,,,,
2014/05/12 00:00:00,20140900,5068,,,,
2014/05/13 00:00:00,20140900,5150,,,,
2014/05/14 00:00:00,20140900,5198,,,,
2014/05/15 00:00:00,20140900,5189,,,,
2014/05/16 00:00:00,20140900,5225,,,,
2014/05/19 00:00:00,20140900,5246,,,,
2014/05/20 00:00:00,20140900,5170,,,,
2014/05/21 00:00:00,20140900,5250,,,,
2014/05/22 00:00:00,20140900,5096,,,,
2014/05/23 00:00:00,20140900,5065,,,,
2014/05/26 00:00:00,20140900,5027,,,,
2014/05/27 00:00:00,20140900,4969,,,,
2014/05/28 00:00:00,20140900,5005,,,,
2014/05/29 00:00:00,20140900,5010,,,,
2014/05/30 00:00:00,20140900,5032,,,,
2014/06/03 00:00:00,20140900,4859,,,,
2014/06/04 00:00:00,20140900,4899,,,,
2014/06/05 00:00:00,20140900,4945,,,,
2014/06/06 00:00:00,20140900,4966,,,,
2014/06/09 00:00:00,20140900,5081,,,,
2014/06/10 00:00:00,20140900,5088,,,,
2014/06/11 00:00:00,20140900,5060,,,,
2014/06/12 00:00:00,20140900,5127,,,,
2014/06/13 00:00:00,20140900,5124,,,,
2014/06/16 00:00:00,20140900,5129,,,,
2014/06/17 00:00:00,20140900,5097,,,,
2014/06/18 00:00:00,20140900,5146,,,,
2014/06/19 00:00:00,20140900,5155,,,,
2014/06/20 00:00:00,20140900,5183,,,,
2014/06/23 00:00:00,20140900,5260,,,,
2014/06/24 00:00:00,20140900,5242,,,,
2014/06/25 00:00:00,20140900,5249,,,,
2014/06/26 00:00:00,20140900,5258,,,,
2014/06/27 00:00:00,20140900,5255,,,,
2014/06/30 00:00:00,20140900,5335,,,,
2014/07/01 00:00:00,20140900,5336,,,,
2014/07/02 00:00:00,20140900,5358,,,,
2014/07/03 00:00:00,20140900,5210,,,,
2014/07/04 00:00:00,20140900,5245,,,,
2014/07/07 00:00:00,20140900,5354,,,,
2014/07/08 00:00:00,20140900,5332,,,,
2014/07/09 00:00:00,20140900,5338,,,,
2014/07/10 00:00:00,20140900,5306,,,,
2014/07/11 00:00:00,20140900,5305,,,,
2014/07/14 00:00:00,20140900,5446,,,,
2014/07/15 00:00:00,20140900,5455,,,,
2014/07/16 00:00:00,20140900,5450,,,,
2014/07/17 00:00:00,20140900,5435,,,,
2014/07/18 00:00:00,20140900,5444,,,,
2014/07/21 00:00:00,20140900,5380,,,,
2014/07/22 00:00:00,20140900,5315,,,,
2014/07/23 00:00:00,20140900,5215,,,,
2014/07/24 00:00:00,20140900,5211,,,,
2014/07/25 00:00:00,20140900,5284,4879.0,,,
2014/07/28 00:00:00,20150100,4897,,,,
2014/07/29 00:00:00,20150100,4942,,,,
2014/07/30 00:00:00,20150100,4916,,,,
2014/07/31 00:00:00,20150100,4909,,,,
2014/08/01 00:00:00,20150100,4880,,,,
2014/08/04 00:00:00,20150100,4895,,,,
2014/08/05 00:00:00,20150100,4916,,,,
2014/08/06 00:00:00,20150100,4913,,,,
2014/08/07 00:00:00,20150100,4899,,,,
2014/08/08 00:00:00,20150100,4814,,,,
2014/08/11 00:00:00,20150100,4799,,,,
2014/08/12 00:00:00,20150100,4795,,,,
2014/08/13 00:00:00,20150100,4851,,,,
2014/08/14 00:00:00,20150100,4741,,,,
2014/08/15 00:00:00,20150100,4738,,,,
2014/08/18 00:00:00,20150100,4753,,,,
2014/08/19 00:00:00,20150100,4688,,,,
2014/08/20 00:00:00,20150100,4594,,,,
2014/08/21 00:00:00,20150100,4606,,,,
2014/08/22 00:00:00,20150100,4631,,,,
2014/08/25 00:00:00,20150100,4658,,,,
2014/08/26 00:00:00,20150100,4720,,,,
2014/08/27 00:00:00,20150100,4650,,,,
2014/08/28 00:00:00,20150100,4659,,,,
2014/08/29 00:00:00,20150100,4625,,,,
2014/09/01 00:00:00,20150100,4630,,,,
2014/09/02 00:00:00,20150100,4607,,,,
2014/09/03 00:00:00,20150100,4565,,,,
2014/09/04 00:00:00,20150100,4505,,,,
2014/09/05 00:00:00,20150100,4526,,,,
2014/09/09 00:00:00,20150100,4470,,,,
2014/09/10 00:00:00,20150100,4479,,,,
2014/09/11 00:00:00,20150100,4518,,,,
2014/09/12 00:00:00,20150100,4442,,,,
2014/09/15 00:00:00,20150100,4533,,,,
2014/09/16 00:00:00,20150100,4537,,,,
2014/09/17 00:00:00,20150100,4517,,,,
2014/09/18 00:00:00,20150100,4569,,,,
2014/09/19 00:00:00,20150100,4526,,,,
2014/09/22 00:00:00,20150100,4489,,,,
2014/09/23 00:00:00,20150100,4501,,,,
2014/09/24 00:00:00,20150100,4452,,,,
2014/09/25 00:00:00,20150100,4481,,,,
2014/09/26 00:00:00,20150100,4500,,,,
2014/09/29 00:00:00,20150100,4556,,,,
2014/09/30 00:00:00,20150100,4601,,,,
2014/10/08 00:00:00,20150100,4651,,,,
2014/10/09 00:00:00,20150100,4600,,,,
2014/10/10 00:00:00,20150100,4605,,,,
2014/10/13 00:00:00,20150100,4638,,,,
2014/10/14 00:00:00,20150100,4727,,,,
2014/10/15 00:00:00,20150100,4769,,,,
2014/10/16 00:00:00,20150100,4739,,,,
2014/10/17 00:00:00,20150100,4770,,,,
2014/10/20 00:00:00,20150100,4725,,,,
2014/10/21 00:00:00,20150100,4815,,,,
2014/10/22 00:00:00,20150100,4817,,,,
2014/10/23 00:00:00,20150100,4788,,,,
2014/10/24 00:00:00,20150100,4840,,,,
2014/10/27 00:00:00,20150100,4820,,,,
2014/10/28 00:00:00,20150100,4751,,,,
2014/10/29 00:00:00,20150100,4745,,,,
2014/10/30 00:00:00,20150100,4827,,,,
2014/10/31 00:00:00,20150100,4799,,,,
2014/11/03 00:00:00,20150100,4799,,,,
2014/11/04 00:00:00,20150100,4590,,,,
2014/11/05 00:00:00,20150100,4591,,,,
2014/11/06 00:00:00,20150100,4600,,,,
2014/11/07 00:00:00,20150100,4600,,,,
2014/11/10 00:00:00,20150100,4590,,,,
2014/11/11 00:00:00,20150100,4621,,,,
2014/11/12 00:00:00,20150100,4600,,,,
2014/11/13 00:00:00,20150100,4595,,,,
2014/11/14 00:00:00,20150100,4599,,,,
2014/11/17 00:00:00,20150100,4628,,,,
2014/11/18 00:00:00,20150100,4699,,,,
2014/11/19 00:00:00,20150100,4727,,,,
2014/11/20 00:00:00,20150100,4720,,,,
2014/11/21 00:00:00,20150100,4731,,,,
2014/11/24 00:00:00,20150100,4688,,,,
2014/11/25 00:00:00,20150100,4648,,,,
2014/11/26 00:00:00,20150100,4666,,,,
2014/11/27 00:00:00,20150100,4619,,,,
2014/11/28 00:00:00,20150100,4635,4294.0,,,
2014/12/01 00:00:00,20150500,4296,,,,
2014/12/02 00:00:00,20150500,4344,,,,
2014/12/03 00:00:00,20150500,4350,,,,
2014/12/04 00:00:00,20150500,4463,,,,
2014/12/05 00:00:00,20150500,4513,,,,
2014/12/08 00:00:00,20150500,4503,,,,
2014/12/09 00:00:00,20150500,4508,,,,
2014/12/10 00:00:00,20150500,4458,,,,
2014/12/11 00:00:00,20150500,4552,,,,
2014/12/12 00:00:00,20150500,4571,,,,
2014/12/15 00:00:00,20150500,4521,,,,
2014/12/16 00:00:00,20150500,4460,,,,
2014/12/17 00:00:00,20150500,4487,,,,
2014/12/18 00:00:00,20150500,4438,,,,
2014/12/19 00:00:00,20150500,4411,,,,
2014/12/22 00:00:00,20150500,4315,,,,
2014/12/23 00:00:00,20150500,4304,,,,
2014/12/24 00:00:00,20150500,4344,,,,
2014/12/25 00:00:00,20150500,4375,,,,
2014/12/26 00:00:00,20150500,4332,,,,
2014/12/29 00:00:00,20150500,4337,,,,
2014/12/30 00:00:00,20150500,4392,,,,
2014/12/31 00:00:00,20150500,4385,,,,
2015/01/05 00:00:00,20150500,4255,,,,
2015/01/06 00:00:00,20150500,4302,,,,
2015/01/07 00:00:00,20150500,4275,,,,
2015/01/08 00:00:00,20150500,4292,,,,
2015/01/09 00:00:00,20150500,4269,,,,
2015/01/12 00:00:00,20150500,4280,,,,
2015/01/13 00:00:00,20150500,4255,,,,
2015/01/14 00:00:00,20150500,4176,,,,
2015/01/15 00:00:00,20150500,4139,,,,
2015/01/16 00:00:00,20150500,4146,,,,
2015/01/19 00:00:00,20150500,4140,,,,
2015/01/20 00:00:00,20150500,4160,,,,
2015/01/21 00:00:00,20150500,4156,,,,
2015/01/22 00:00:00,20150500,4102,,,,
2015/01/23 00:00:00,20150500,4112,,,,
2015/01/26 00:00:00,20150500,4118,,,,
2015/01/27 00:00:00,20150500,4186,,,,
2015/01/28 00:00:00,20150500,4151,,,,
2015/01/29 00:00:00,20150500,4181,,,,
2015/01/30 00:00:00,20150500,4113,,,,
2015/02/02 00:00:00,20150500,4117,,,,
2015/02/03 00:00:00,20150500,4087,,,,
2015/02/04 00:00:00,20150500,4160,,,,
2015/02/05 00:00:00,20150500,4142,,,,
2015/02/06 00:00:00,20150500,4193,,,,
2015/02/09 00:00:00,20150500,4225,,,,
2015/02/10 00:00:00,20150500,4166,,,,
2015/02/11 00:00:00,20150500,4155,,,,
2015/02/12 00:00:00,20150500,4115,,,,
2015/02/13 00:00:00,20150500,4090,,,,
2015/02/16 00:00:00,20150500,4111,,,,
2015/02/17 00:00:00,20150500,4114,,,,
2015/02/25 00:00:00,20150500,4083,,,,
2015/02/26 00:00:00,20150500,4208,,,,
2015/02/27 00:00:00,20150500,4186,,,,
2015/03/02 00:00:00,20150500,4270,,,,
2015/03/03 00:00:00,20150500,4296,,,,
2015/03/04 00:00:00,20150500,4281,,,,
2015/03/05 00:00:00,20150500,4236,,,,
2015/03/06 00:00:00,20150500,4228,,,,
2015/03/09 00:00:00,20150500,4108,,,,
2015/03/10 00:00:00,20150500,4122,,,,
2015/03/11 00:00:00,20150500,4125,,,,
2015/03/12 00:00:00,20150500,4151,,,,
2015/03/13 00:00:00,20150500,4129,,,,
2015/03/16 00:00:00,20150500,4130,,,,
2015/03/17 00:00:00,20150500,4151,,,,
2015/03/18 00:00:00,20150500,4150,,,,
2015/03/19 00:00:00,20150500,4150,,,,
2015/03/20 00:00:00,20150500,4122,,,,
2015/03/23 00:00:00,20150500,4133,4680.0,,,
2015/03/24 00:00:00,20150900,4699,,,,
2015/03/25 00:00:00,20150900,4660,,,,
2015/03/26 00:00:00,20150900,4525,,,,
2015/03/27 00:00:00,20150900,4561,,,,
2015/03/30 00:00:00,20150900,4576,,,,
2015/03/31 00:00:00,20150900,4558,,,,
2015/04/01 00:00:00,20150900,4577,,,,
2015/04/02 00:00:00,20150900,4519,,,,
2015/04/03 00:00:00,20150900,4370,,,,
2015/04/07 00:00:00,20150900,4288,,,,
2015/04/08 00:00:00,20150900,4245,,,,
2015/04/09 00:00:00,20150900,4254,,,,
2015/04/10 00:00:00,20150900,4260,,,,
2015/04/13 00:00:00,20150900,4360,,,,
2015/04/14 00:00:00,20150900,4372,,,,
2015/04/15 00:00:00,20150900,4372,,,,
2015/04/16 00:00:00,20150900,4392,,,,
2015/04/17 00:00:00,20150900,4360,,,,
2015/04/20 00:00:00,20150900,4466,,,,
2015/04/21 00:00:00,20150900,4426,,,,
2015/04/22 00:00:00,20150900,4448,,,,
2015/04/23 00:00:00,20150900,4460,,,,
2015/04/24 00:00:00,20150900,4495,,,,
2015/04/27 00:00:00,20150900,4465,,,,
2015/04/28 00:00:00,20150900,4468,,,,
2015/04/29 00:00:00,20150900,4527,,,,
2015/04/30 00:00:00,20150900,4520,,,,
2015/05/04 00:00:00,20150900,4460,,,,
2015/05/05 00:00:00,20150900,4464,,,,
2015/05/06 00:00:00,20150900,4521,,,,
2015/05/07 00:00:00,20150900,4486,,,,
2015/05/08 00:00:00,20150900,4477,,,,
2015/05/11 00:00:00,20150900,4410,,,,
2015/05/12 00:00:00,20150900,4365,,,,
2015/05/13 00:00:00,20150900,4368,,,,
2015/05/14 00:00:00,20150900,4355,,,,
2015/05/15 00:00:00,20150900,4445,,,,
2015/05/18 00:00:00,20150900,4471,,,,
2015/05/19 00:00:00,20150900,4452,,,,
2015/05/20 00:00:00,20150900,4355,,,,
