DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,11080,,,,
2014/01/03 00:00:00,20140500,11020,,,,
2014/01/06 00:00:00,20140500,11050,,,,
2014/01/07 00:00:00,20140500,11060,,,,
2014/01/08 00:00:00,20140500,10960,,,,
2014/01/09 00:00:00,20140500,10930,,,,
2014/01/10 00:00:00,20140500,11100,,,,
2014/01/13 00:00:00,20140500,10975,,,,
2014/01/14 00:00:00,20140500,10845,,,,
2014/01/15 00:00:00,20140500,10990,,,,
2014/01/16 00:00:00,20140500,11060,,,,
2014/01/17 00:00:00,20140500,11040,,,,
2014/01/20 00:00:00,20140500,11055,,,,
2014/01/21 00:00:00,20140500,11100,,,,
2014/01/22 00:00:00,20140500,10955,,,,
2014/01/23 00:00:00,20140500,10955,,,,
2014/01/24 00:00:00,20140500,10980,,,,
2014/01/27 00:00:00,20140500,10935,,,,
2014/01/28 00:00:00,20140500,10955,,,,
2014/01/29 00:00:00,20140500,10990,,,,
2014/01/30 00:00:00,20140500,11035,,,,
2014/02/07 00:00:00,20140500,10965,,,,
2014/02/10 00:00:00,20140500,10955,,,,
2014/02/11 00:00:00,20140500,10835,,,,
2014/02/12 00:00:00,20140500,10765,,,,
2014/02/13 00:00:00,20140500,10735,,,,
2014/02/14 00:00:00,20140500,10700,,,,
2014/02/17 00:00:00,20140500,10605,,,,
2014/02/18 00:00:00,20140500,10650,,,,
2014/02/19 00:00:00,20140500,10570,,,,
2014/02/20 00:00:00,20140500,10625,,,,
2014/02/21 00:00:00,20140500,10725,,,,
2014/02/24 00:00:00,20140500,10745,,,,
2014/02/25 00:00:00,20140500,10795,,,,
2014/02/26 00:00:00,20140500,10800,,,,
2014/02/27 00:00:00,20140500,10785,,,,
2014/02/28 00:00:00,20140500,10835,,,,
2014/03/03 00:00:00,20140500,10820,,,,
2014/03/04 00:00:00,20140500,10680,,,,
2014/03/05 00:00:00,20140500,10710,,,,
2014/03/06 00:00:00,20140500,10600,10270.0,,,
2014/03/07 00:00:00,20140900,10290,,,,
2014/03/10 00:00:00,20140900,10155,,,,
2014/03/11 00:00:00,20140900,10130,,,,
2014/03/12 00:00:00,20140900,10130,,,,
