DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,3343,,,,
2014/01/03 00:00:00,20140500,3320,,,,
2014/01/06 00:00:00,20140500,3339,,,,
2014/01/07 00:00:00,20140500,3353,,,,
2014/01/08 00:00:00,20140500,3289,,,,
2014/01/09 00:00:00,20140500,3279,,,,
2014/01/10 00:00:00,20140500,3321,,,,
2014/01/13 00:00:00,20140500,3316,,,,
2014/01/14 00:00:00,20140500,3313,,,,
2014/01/15 00:00:00,20140500,3352,,,,
2014/01/16 00:00:00,20140500,3383,,,,
2014/01/17 00:00:00,20140500,3380,,,,
2014/01/20 00:00:00,20140500,3381,,,,
2014/01/21 00:00:00,20140500,3387,,,,
2014/01/22 00:00:00,20140500,3314,,,,
2014/01/23 00:00:00,20140500,3304,,,,
2014/01/24 00:00:00,20140500,3300,,,,
2014/01/27 00:00:00,20140500,3315,,,,
2014/01/28 00:00:00,20140500,3322,,,,
2014/01/29 00:00:00,20140500,3302,,,,
2014/01/30 00:00:00,20140500,3290,,,,
2014/02/07 00:00:00,20140500,3383,,,,
2014/02/10 00:00:00,20140500,3402,,,,
2014/02/11 00:00:00,20140500,3390,,,,
2014/02/12 00:00:00,20140500,3406,,,,
2014/02/13 00:00:00,20140500,3410,,,,
2014/02/14 00:00:00,20140500,3449,,,,
2014/02/17 00:00:00,20140500,3434,,,,
2014/02/18 00:00:00,20140500,3416,,,,
2014/02/19 00:00:00,20140500,3444,,,,
2014/02/20 00:00:00,20140500,3428,,,,
2014/02/21 00:00:00,20140500,3425,,,,
2014/02/24 00:00:00,20140500,3410,3301.0,,,
2014/02/25 00:00:00,20140900,3308,,,,
2014/02/26 00:00:00,20140900,3312,,,,
2014/02/27 00:00:00,20140900,3308,,,,
2014/02/28 00:00:00,20140900,3265,,,,
2014/03/03 00:00:00,20140900,3287,,,,
2014/03/04 00:00:00,20140900,3265,,,,
2014/03/05 00:00:00,20140900,3279,,,,
2014/03/06 00:00:00,20140900,3281,,,,
2014/03/07 00:00:00,20140900,3289,,,,
2014/03/10 00:00:00,20140900,3315,,,,
2014/03/11 00:00:00,20140900,3258,,,,
2014/03/12 00:00:00,20140900,3285,,,,
2014/03/13 00:00:00,20140900,3264,,,,
2014/03/14 00:00:00,20140900,3258,,,,
2014/03/17 00:00:00,20140900,3232,,,,
2014/03/18 00:00:00,20140900,3219,,,,
2014/03/19 00:00:00,20140900,3247,,,,
2014/03/20 00:00:00,20140900,3300,,,,
2014/03/21 00:00:00,20140900,3349,,,,
2014/03/24 00:00:00,20140900,3325,,,,
2014/03/25 00:00:00,20140900,3344,,,,
2014/03/26 00:00:00,20140900,3388,,,,
2014/03/27 00:00:00,20140900,3400,,,,
2014/03/28 00:00:00,20140900,3374,,,,
2014/03/31 00:00:00,20140900,3392,,,,
2014/04/01 00:00:00,20140900,3439,,,,
2014/04/02 00:00:00,20140900,3525,,,,
2014/04/03 00:00:00,20140900,3504,,,,
2014/04/04 00:00:00,20140900,3497,,,,
2014/04/08 00:00:00,20140900,3493,,,,
2014/04/09 00:00:00,20140900,3514,,,,
2014/04/10 00:00:00,20140900,3500,,,,
