DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,2986,,,,
2014/01/03 00:00:00,20140500,2904,,,,
2014/01/06 00:00:00,20140500,2880,,,,
2014/01/07 00:00:00,20140500,2889,,,,
2014/01/08 00:00:00,20140500,2882,,,,
2014/01/09 00:00:00,20140500,2894,,,,
2014/01/10 00:00:00,20140500,2879,,,,
2014/01/13 00:00:00,20140500,2922,,,,
2014/01/14 00:00:00,20140500,2928,,,,
2014/01/15 00:00:00,20140500,2972,,,,
2014/01/16 00:00:00,20140500,2979,,,,
2014/01/17 00:00:00,20140500,2949,,,,
2014/01/20 00:00:00,20140500,2911,,,,
2014/01/21 00:00:00,20140500,2925,,,,
2014/01/22 00:00:00,20140500,2939,,,,
2014/01/23 00:00:00,20140500,2929,,,,
2014/01/24 00:00:00,20140500,2927,,,,
2014/01/27 00:00:00,20140500,2958,,,,
2014/01/28 00:00:00,20140500,2934,,,,
2014/01/29 00:00:00,20140500,2911,,,,
2014/01/30 00:00:00,20140500,2944,,,,
2014/02/07 00:00:00,20140500,2951,,,,
2014/02/10 00:00:00,20140500,2961,,,,
2014/02/11 00:00:00,20140500,3074,,,,
2014/02/12 00:00:00,20140500,3052,,,,
2014/02/13 00:00:00,20140500,3060,,,,
2014/02/14 00:00:00,20140500,3054,,,,
2014/02/17 00:00:00,20140500,3072,,,,
2014/02/18 00:00:00,20140500,3079,,,,
2014/02/19 00:00:00,20140500,3039,,,,
2014/02/20 00:00:00,20140500,3030,,,,
2014/02/21 00:00:00,20140500,3008,,,,
2014/02/24 00:00:00,20140500,2956,,,,
2014/02/25 00:00:00,20140500,2820,,,,
2014/02/26 00:00:00,20140500,2797,,,,
2014/02/27 00:00:00,20140500,2738,,,,
2014/02/28 00:00:00,20140500,2757,,,,
2014/03/03 00:00:00,20140500,2752,,,,
2014/03/04 00:00:00,20140500,2708,,,,
2014/03/05 00:00:00,20140500,2775,,,,
2014/03/06 00:00:00,20140500,2779,,,,
2014/03/07 00:00:00,20140500,2767,,,,
2014/03/10 00:00:00,20140500,2698,,,,
2014/03/11 00:00:00,20140500,2700,,,,
2014/03/12 00:00:00,20140500,2715,,,,
2014/03/13 00:00:00,20140500,2696,,,,
2014/03/14 00:00:00,20140500,2675,,,,
2014/03/17 00:00:00,20140500,2618,,,,
2014/03/18 00:00:00,20140500,2581,,,,
2014/03/19 00:00:00,20140500,2588,,,,
2014/03/20 00:00:00,20140500,2578,,,,
2014/03/21 00:00:00,20140500,2540,,,,
2014/03/24 00:00:00,20140500,2544,,,,
2014/03/25 00:00:00,20140500,2568,,,,
2014/03/26 00:00:00,20140500,2619,,,,
2014/03/27 00:00:00,20140500,2633,,,,
2014/03/28 00:00:00,20140500,2620,,,,
2014/03/31 00:00:00,20140500,2667,,,,
2014/04/01 00:00:00,20140500,2722,,,,
2014/04/02 00:00:00,20140500,2717,2765.0,,,
2014/04/03 00:00:00,20140900,2766,,,,
2014/04/04 00:00:00,20140900,2753,,,,
2014/04/08 00:00:00,20140900,2797,,,,
2014/04/09 00:00:00,20140900,2775,,,,
2014/04/10 00:00:00,20140900,2709,,,,
2014/04/11 00:00:00,20140900,2719,,,,
2014/04/14 00:00:00,20140900,2688,,,,
2014/04/15 00:00:00,20140900,2688,,,,
2014/04/16 00:00:00,20140900,2686,,,,
2014/04/17 00:00:00,20140900,2677,,,,
2014/04/18 00:00:00,20140900,2664,,,,
2014/04/21 00:00:00,20140900,2707,,,,
2014/04/22 00:00:00,20140900,2748,,,,
2014/04/23 00:00:00,20140900,2686,,,,
2014/04/24 00:00:00,20140900,2703,,,,
2014/04/25 00:00:00,20140900,2755,,,,
2014/04/28 00:00:00,20140900,2741,,,,
2014/04/29 00:00:00,20140900,2714,,,,
2014/04/30 00:00:00,20140900,2734,,,,
2014/05/05 00:00:00,20140900,2715,,,,
2014/05/06 00:00:00,20140900,2674,,,,
2014/05/07 00:00:00,20140900,2648,,,,
2014/05/08 00:00:00,20140900,2649,,,,
2014/05/09 00:00:00,20140900,2631,,,,
2014/05/12 00:00:00,20140900,2654,,,,
2014/05/13 00:00:00,20140900,2658,,,,
2014/05/14 00:00:00,20140900,2664,,,,
2014/05/15 00:00:00,20140900,2660,,,,
2014/05/16 00:00:00,20140900,2630,,,,
2014/05/19 00:00:00,20140900,2597,,,,
2014/05/20 00:00:00,20140900,2620,,,,
2014/05/21 00:00:00,20140900,2564,,,,
2014/05/22 00:00:00,20140900,2584,,,,
2014/05/23 00:00:00,20140900,2574,,,,
2014/05/26 00:00:00,20140900,2581,,,,
2014/05/27 00:00:00,20140900,2612,,,,
2014/05/28 00:00:00,20140900,2629,,,,
2014/05/29 00:00:00,20140900,2610,,,,
2014/05/30 00:00:00,20140900,2603,,,,
2014/06/03 00:00:00,20140900,2600,,,,
2014/06/04 00:00:00,20140900,2605,,,,
2014/06/05 00:00:00,20140900,2563,,,,
