DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2015/03/27 00:00:00,20150700,102070,,,,
2015/03/30 00:00:00,20150700,99020,,,,
2015/03/31 00:00:00,20150700,98000,,,,
2015/04/01 00:00:00,20150700,93890,,,,
2015/04/02 00:00:00,20150700,92890,,,,
2015/04/03 00:00:00,20150700,95990,,,,
2015/04/07 00:00:00,20150700,97400,,,,
2015/04/08 00:00:00,20150700,94440,,,,
2015/04/09 00:00:00,20150700,94450,,,,
2015/04/10 00:00:00,20150700,94500,,,,
2015/04/13 00:00:00,20150700,94530,,,,
2015/04/14 00:00:00,20150700,94790,,,,
2015/04/15 00:00:00,20150700,92700,,,,
2015/04/16 00:00:00,20150700,94600,,,,
2015/04/17 00:00:00,20150700,96320,,,,
2015/04/20 00:00:00,20150700,95970,,,,
2015/04/21 00:00:00,20150700,95320,,,,
2015/04/22 00:00:00,20150700,95930,,,,
2015/04/23 00:00:00,20150700,96120,,,,
2015/04/24 00:00:00,20150700,95840,,,,
2015/04/27 00:00:00,20150700,98050,,,,
2015/04/28 00:00:00,20150700,102500,,,,
2015/04/29 00:00:00,20150700,102360,,,,
2015/04/30 00:00:00,20150700,101300,,,,
2015/05/04 00:00:00,20150700,106010,,,,
2015/05/05 00:00:00,20150700,107800,,,,
2015/05/06 00:00:00,20150700,110030,,,,
2015/05/07 00:00:00,20150700,114500,,,,
2015/05/08 00:00:00,20150700,113730,,,,
2015/05/11 00:00:00,20150700,111900,,,,
2015/05/12 00:00:00,20150700,113310,,,,
2015/05/13 00:00:00,20150700,112280,,,,
2015/05/14 00:00:00,20150700,112100,,,,
2015/05/15 00:00:00,20150700,108950,,,,
2015/05/18 00:00:00,20150700,109320,,,,
2015/05/19 00:00:00,20150700,108210,,,,
2015/05/20 00:00:00,20150700,105460,,,,
2015/05/21 00:00:00,20150700,100490,,,,
2015/05/22 00:00:00,20150700,100880,,,,
2015/05/25 00:00:00,20150700,98800,,,,
2015/05/26 00:00:00,20150700,99730,,,,
2015/05/27 00:00:00,20150700,99690,98070.0,,,
2015/05/28 00:00:00,20150900,97770,,,,
2015/05/29 00:00:00,20150900,99220,,,,
2015/06/01 00:00:00,20150900,97500,,,,
2015/06/02 00:00:00,20150900,97190,,,,
2015/06/03 00:00:00,20150900,100380,,,,
2015/06/04 00:00:00,20150900,99200,,,,
2015/06/05 00:00:00,20150900,98610,,,,
2015/06/08 00:00:00,20150900,98730,,,,
2015/06/09 00:00:00,20150900,100860,,,,
2015/06/10 00:00:00,20150900,101350,,,,
2015/06/11 00:00:00,20150900,101860,,,,
2015/06/12 00:00:00,20150900,101620,,,,
2015/06/15 00:00:00,20150900,98430,,,,
2015/06/16 00:00:00,20150900,97350,,,,
2015/06/17 00:00:00,20150900,96080,,,,
2015/06/18 00:00:00,20150900,96330,,,,
2015/06/19 00:00:00,20150900,96020,,,,
2015/06/23 00:00:00,20150900,94280,,,,
2015/06/24 00:00:00,20150900,95540,,,,
2015/06/25 00:00:00,20150900,96010,,,,
2015/06/26 00:00:00,20150900,94740,,,,
2015/06/29 00:00:00,20150900,93610,,,,
2015/06/30 00:00:00,20150900,88880,,,,
2015/07/01 00:00:00,20150900,87360,,,,
2015/07/02 00:00:00,20150900,88300,,,,
2015/07/03 00:00:00,20150900,89860,,,,
2015/07/06 00:00:00,20150900,89180,,,,
2015/07/07 00:00:00,20150900,85750,,,,
2015/07/08 00:00:00,20150900,82300,,,,
2015/07/09 00:00:00,20150900,76000,,,,
2015/07/10 00:00:00,20150900,84100,,,,
2015/07/13 00:00:00,20150900,83990,,,,
2015/07/14 00:00:00,20150900,84500,,,,
2015/07/15 00:00:00,20150900,84880,,,,
2015/07/16 00:00:00,20150900,86810,,,,
2015/07/17 00:00:00,20150900,84700,,,,
2015/07/20 00:00:00,20150900,84800,,,,
2015/07/21 00:00:00,20150900,85490,,,,
2015/07/22 00:00:00,20150900,87630,,,,
2015/07/23 00:00:00,20150900,85360,,,,
2015/07/24 00:00:00,20150900,84180,,,,
2015/07/27 00:00:00,20150900,83260,,,,
2015/07/28 00:00:00,20150900,81250,,,,
2015/07/29 00:00:00,20150900,83320,,,,
2015/07/30 00:00:00,20150900,83590,,,,
2015/07/31 00:00:00,20150900,82200,,,,
2015/08/03 00:00:00,20150900,82160,,,,
2015/08/04 00:00:00,20150900,80380,,,,
2015/08/05 00:00:00,20150900,81320,,,,
2015/08/06 00:00:00,20150900,81510,,,,
2015/08/07 00:00:00,20150900,80700,,,,
2015/08/10 00:00:00,20150900,80620,,,,
2015/08/11 00:00:00,20150900,82180,,,,
2015/08/12 00:00:00,20150900,81240,,,,
2015/08/13 00:00:00,20150900,82750,83440.0,,,
2015/08/14 00:00:00,20160100,83390,,,,
2015/08/17 00:00:00,20160100,82760,,,,
2015/08/18 00:00:00,20160100,82750,,,,
2015/08/19 00:00:00,20160100,81090,,,,
2015/08/20 00:00:00,20160100,81600,,,,
2015/08/21 00:00:00,20160100,81520,,,,
2015/08/24 00:00:00,20160100,80010,,,,
2015/08/25 00:00:00,20160100,74200,,,,
2015/08/26 00:00:00,20160100,75690,,,,
2015/08/27 00:00:00,20160100,74300,,,,
2015/08/28 00:00:00,20160100,76400,,,,
2015/08/31 00:00:00,20160100,78200,,,,
2015/09/01 00:00:00,20160100,76400,,,,
2015/09/02 00:00:00,20160100,76000,,,,
2015/09/07 00:00:00,20160100,76200,,,,
2015/09/08 00:00:00,20160100,76880,,,,
2015/09/09 00:00:00,20160100,77120,,,,
2015/09/10 00:00:00,20160100,78240,,,,
2015/09/11 00:00:00,20160100,79400,,,,
2015/09/14 00:00:00,20160100,79080,,,,
2015/09/15 00:00:00,20160100,77510,,,,
2015/09/16 00:00:00,20160100,77350,,,,
2015/09/17 00:00:00,20160100,78780,,,,
2015/09/18 00:00:00,20160100,78110,,,,
2015/09/21 00:00:00,20160100,77220,,,,
2015/09/22 00:00:00,20160100,77770,,,,
2015/09/23 00:00:00,20160100,76700,,,,
2015/09/24 00:00:00,20160100,76940,,,,
2015/09/25 00:00:00,20160100,76650,,,,
2015/09/28 00:00:00,20160100,77300,,,,
