DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,7062,,,,
2014/01/03 00:00:00,20140500,7036,,,,
2014/01/06 00:00:00,20140500,6970,,,,
2014/01/07 00:00:00,20140500,6878,,,,
2014/01/08 00:00:00,20140500,6816,,,,
2014/01/09 00:00:00,20140500,6826,,,,
2014/01/10 00:00:00,20140500,6890,,,,
2014/01/13 00:00:00,20140500,6904,,,,
2014/01/14 00:00:00,20140500,6824,,,,
2014/01/15 00:00:00,20140500,6882,,,,
2014/01/16 00:00:00,20140500,6900,,,,
2014/01/17 00:00:00,20140500,6914,,,,
2014/01/20 00:00:00,20140500,6910,,,,
2014/01/21 00:00:00,20140500,7084,,,,
2014/01/22 00:00:00,20140500,7074,,,,
2014/01/23 00:00:00,20140500,7036,,,,
2014/01/24 00:00:00,20140500,7060,,,,
2014/01/27 00:00:00,20140500,7046,,,,
2014/01/28 00:00:00,20140500,6950,,,,
2014/01/29 00:00:00,20140500,6928,6788.0,,,
2014/01/30 00:00:00,20140900,6768,,,,
2014/02/07 00:00:00,20140900,6844,,,,
2014/02/10 00:00:00,20140900,6956,,,,
2014/02/11 00:00:00,20140900,7008,,,,
2014/02/12 00:00:00,20140900,6944,,,,
2014/02/13 00:00:00,20140900,6952,,,,
2014/02/14 00:00:00,20140900,6994,,,,
2014/02/17 00:00:00,20140900,6958,,,,
2014/02/18 00:00:00,20140900,7048,,,,
2014/02/19 00:00:00,20140900,7128,,,,
2014/02/20 00:00:00,20140900,7110,,,,
2014/02/21 00:00:00,20140900,7120,,,,
2014/02/24 00:00:00,20140900,7110,,,,
2014/02/25 00:00:00,20140900,7082,,,,
2014/02/26 00:00:00,20140900,7052,,,,
2014/02/27 00:00:00,20140900,7110,,,,
2014/02/28 00:00:00,20140900,7066,,,,
2014/03/03 00:00:00,20140900,7090,,,,
2014/03/04 00:00:00,20140900,7138,,,,
2014/03/05 00:00:00,20140900,7236,,,,
2014/03/06 00:00:00,20140900,7262,,,,
2014/03/07 00:00:00,20140900,7378,,,,
2014/03/10 00:00:00,20140900,7350,,,,
2014/03/11 00:00:00,20140900,7284,,,,
2014/03/12 00:00:00,20140900,7356,,,,
2014/03/13 00:00:00,20140900,7348,,,,
2014/03/14 00:00:00,20140900,7400,,,,
2014/03/17 00:00:00,20140900,7300,,,,
2014/03/18 00:00:00,20140900,7160,,,,
2014/03/19 00:00:00,20140900,7092,,,,
2014/03/20 00:00:00,20140900,7020,,,,
2014/03/21 00:00:00,20140900,6884,,,,
2014/03/24 00:00:00,20140900,6918,,,,
2014/03/25 00:00:00,20140900,6928,,,,
2014/03/26 00:00:00,20140900,6986,,,,
2014/03/27 00:00:00,20140900,7004,,,,
2014/03/28 00:00:00,20140900,7012,,,,
2014/03/31 00:00:00,20140900,7030,,,,
2014/04/01 00:00:00,20140900,7056,,,,
2014/04/02 00:00:00,20140900,7110,,,,
2014/04/03 00:00:00,20140900,7114,,,,
2014/04/04 00:00:00,20140900,7180,,,,
2014/04/08 00:00:00,20140900,7138,,,,
2014/04/09 00:00:00,20140900,7210,,,,
2014/04/10 00:00:00,20140900,7224,,,,
2014/04/11 00:00:00,20140900,7160,,,,
2014/04/14 00:00:00,20140900,7126,,,,
2014/04/15 00:00:00,20140900,7130,,,,
2014/04/16 00:00:00,20140900,7138,,,,
2014/04/17 00:00:00,20140900,7242,,,,
2014/04/18 00:00:00,20140900,7180,,,,
2014/04/21 00:00:00,20140900,7186,,,,
2014/04/22 00:00:00,20140900,7118,,,,
2014/04/23 00:00:00,20140900,7148,,,,
2014/04/24 00:00:00,20140900,7134,,,,
2014/04/25 00:00:00,20140900,7180,,,,
2014/04/28 00:00:00,20140900,7222,,,,
2014/04/29 00:00:00,20140900,7260,,,,
2014/04/30 00:00:00,20140900,7396,,,,
2014/05/05 00:00:00,20140900,7318,,,,
2014/05/06 00:00:00,20140900,7320,,,,
2014/05/07 00:00:00,20140900,7342,,,,
2014/05/08 00:00:00,20140900,7352,,,,
2014/05/09 00:00:00,20140900,7356,,,,
2014/05/12 00:00:00,20140900,7352,,,,
2014/05/13 00:00:00,20140900,7270,,,,
2014/05/14 00:00:00,20140900,7288,,,,
2014/05/15 00:00:00,20140900,7250,,,,
2014/05/16 00:00:00,20140900,7254,,,,
2014/05/19 00:00:00,20140900,7254,,,,
2014/05/20 00:00:00,20140900,7262,,,,
2014/05/21 00:00:00,20140900,7200,,,,
2014/05/22 00:00:00,20140900,7178,,,,
2014/05/23 00:00:00,20140900,7208,,,,
2014/05/26 00:00:00,20140900,7266,,,,
2014/05/27 00:00:00,20140900,7230,,,,
2014/05/28 00:00:00,20140900,7228,,,,
2014/05/29 00:00:00,20140900,7230,,,,
2014/05/30 00:00:00,20140900,7212,,,,
2014/06/03 00:00:00,20140900,7156,,,,
2014/06/04 00:00:00,20140900,7108,,,,
2014/06/05 00:00:00,20140900,7078,7008.0,,,
2014/06/06 00:00:00,20150100,6980,,,,
2014/06/09 00:00:00,20150100,6972,,,,
2014/06/10 00:00:00,20150100,6990,,,,
2014/06/11 00:00:00,20150100,6974,,,,
2014/06/12 00:00:00,20150100,6942,,,,
2014/06/13 00:00:00,20150100,6940,,,,
2014/06/16 00:00:00,20150100,6988,,,,
2014/06/17 00:00:00,20150100,6914,,,,
2014/06/18 00:00:00,20150100,6892,,,,
2014/06/19 00:00:00,20150100,6934,,,,
2014/06/20 00:00:00,20150100,6930,,,,
2014/06/23 00:00:00,20150100,6980,,,,
2014/06/24 00:00:00,20150100,7068,,,,
2014/06/25 00:00:00,20150100,7114,,,,
2014/06/26 00:00:00,20150100,7094,,,,
2014/06/27 00:00:00,20150100,7094,,,,
2014/06/30 00:00:00,20150100,7024,,,,
2014/07/01 00:00:00,20150100,6914,,,,
2014/07/02 00:00:00,20150100,6848,,,,
2014/07/03 00:00:00,20150100,6842,,,,
2014/07/04 00:00:00,20150100,6852,,,,
2014/07/07 00:00:00,20150100,6824,,,,
2014/07/08 00:00:00,20150100,6766,,,,
2014/07/09 00:00:00,20150100,6716,,,,
2014/07/10 00:00:00,20150100,6624,,,,
2014/07/11 00:00:00,20150100,6640,,,,
2014/07/14 00:00:00,20150100,6516,,,,
2014/07/15 00:00:00,20150100,6542,,,,
2014/07/16 00:00:00,20150100,6566,,,,
2014/07/17 00:00:00,20150100,6556,,,,
2014/07/18 00:00:00,20150100,6520,,,,
2014/07/21 00:00:00,20150100,6534,,,,
2014/07/22 00:00:00,20150100,6454,,,,
2014/07/23 00:00:00,20150100,6440,,,,
2014/07/24 00:00:00,20150100,6482,,,,
2014/07/25 00:00:00,20150100,6462,,,,
2014/07/28 00:00:00,20150100,6494,,,,
2014/07/29 00:00:00,20150100,6514,,,,
2014/07/30 00:00:00,20150100,6498,,,,
2014/07/31 00:00:00,20150100,6466,,,,
2014/08/01 00:00:00,20150100,6516,,,,
2014/08/04 00:00:00,20150100,6464,,,,
2014/08/05 00:00:00,20150100,6486,,,,
2014/08/06 00:00:00,20150100,6450,,,,
2014/08/07 00:00:00,20150100,6468,,,,
2014/08/08 00:00:00,20150100,6468,,,,
2014/08/11 00:00:00,20150100,6466,,,,
2014/08/12 00:00:00,20150100,6412,,,,
2014/08/13 00:00:00,20150100,6394,,,,
2014/08/14 00:00:00,20150100,6300,,,,
2014/08/15 00:00:00,20150100,6130,,,,
2014/08/18 00:00:00,20150100,6072,,,,
2014/08/19 00:00:00,20150100,6060,,,,
2014/08/20 00:00:00,20150100,6030,,,,
2014/08/21 00:00:00,20150100,6064,,,,
2014/08/22 00:00:00,20150100,6106,,,,
2014/08/25 00:00:00,20150100,6030,,,,
2014/08/26 00:00:00,20150100,6072,,,,
2014/08/27 00:00:00,20150100,6094,,,,
2014/08/28 00:00:00,20150100,6132,,,,
2014/08/29 00:00:00,20150100,6152,,,,
2014/09/01 00:00:00,20150100,6068,,,,
2014/09/02 00:00:00,20150100,6074,,,,
2014/09/03 00:00:00,20150100,6132,,,,
2014/09/04 00:00:00,20150100,6108,,,,
2014/09/05 00:00:00,20150100,6110,,,,
2014/09/09 00:00:00,20150100,6078,,,,
2014/09/10 00:00:00,20150100,5952,,,,
2014/09/11 00:00:00,20150100,5936,,,,
2014/09/12 00:00:00,20150100,5952,,,,
2014/09/15 00:00:00,20150100,6054,,,,
2014/09/16 00:00:00,20150100,6144,,,,
2014/09/17 00:00:00,20150100,6134,,,,
2014/09/18 00:00:00,20150100,6218,,,,
2014/09/19 00:00:00,20150100,6120,,,,
2014/09/22 00:00:00,20150100,6070,,,,
2014/09/23 00:00:00,20150100,5940,,,,
2014/09/24 00:00:00,20150100,5994,,,,
2014/09/25 00:00:00,20150100,6088,,,,
2014/09/26 00:00:00,20150100,6060,,,,
2014/09/29 00:00:00,20150100,5936,,,,
2014/09/30 00:00:00,20150100,5990,,,,
2014/10/08 00:00:00,20150100,5990,,,,
2014/10/09 00:00:00,20150100,5950,,,,
2014/10/10 00:00:00,20150100,5990,,,,
2014/10/13 00:00:00,20150100,5926,,,,
2014/10/14 00:00:00,20150100,6010,,,,
2014/10/15 00:00:00,20150100,5998,,,,
2014/10/16 00:00:00,20150100,5940,,,,
2014/10/17 00:00:00,20150100,5948,,,,
2014/10/20 00:00:00,20150100,5902,,,,
2014/10/21 00:00:00,20150100,5808,,,,
2014/10/22 00:00:00,20150100,5826,,,,
2014/10/23 00:00:00,20150100,5864,,,,
2014/10/24 00:00:00,20150100,5950,,,,
2014/10/27 00:00:00,20150100,5872,,,,
2014/10/28 00:00:00,20150100,5874,,,,
2014/10/29 00:00:00,20150100,5900,,,,
2014/10/30 00:00:00,20150100,6070,,,,
2014/10/31 00:00:00,20150100,6058,,,,
2014/11/03 00:00:00,20150100,6142,,,,
2014/11/04 00:00:00,20150100,6054,,,,
2014/11/05 00:00:00,20150100,5958,,,,
2014/11/06 00:00:00,20150100,5926,,,,
2014/11/07 00:00:00,20150100,5952,,,,
2014/11/10 00:00:00,20150100,6030,,,,
2014/11/11 00:00:00,20150100,6054,,,,
2014/11/12 00:00:00,20150100,6148,,,,
2014/11/13 00:00:00,20150100,6108,6162.0,,,
2014/11/14 00:00:00,20150500,6126,,,,
2014/11/17 00:00:00,20150500,6174,,,,
2014/11/18 00:00:00,20150500,6168,,,,
2014/11/19 00:00:00,20150500,6084,,,,
2014/11/20 00:00:00,20150500,6064,,,,
2014/11/21 00:00:00,20150500,6062,,,,
2014/11/24 00:00:00,20150500,6086,,,,
2014/11/25 00:00:00,20150500,6122,,,,
2014/11/26 00:00:00,20150500,6146,,,,
2014/11/27 00:00:00,20150500,6112,,,,
2014/11/28 00:00:00,20150500,6050,,,,
2014/12/01 00:00:00,20150500,5858,,,,
2014/12/02 00:00:00,20150500,5910,,,,
2014/12/03 00:00:00,20150500,5824,,,,
2014/12/04 00:00:00,20150500,5936,,,,
2014/12/05 00:00:00,20150500,5914,,,,
2014/12/08 00:00:00,20150500,5996,,,,
2014/12/09 00:00:00,20150500,5966,,,,
2014/12/10 00:00:00,20150500,5994,,,,
2014/12/11 00:00:00,20150500,5960,,,,
2014/12/12 00:00:00,20150500,5924,,,,
2014/12/15 00:00:00,20150500,5912,,,,
2014/12/16 00:00:00,20150500,5916,,,,
2014/12/17 00:00:00,20150500,5870,,,,
2014/12/18 00:00:00,20150500,5888,,,,
2014/12/19 00:00:00,20150500,5882,,,,
2014/12/22 00:00:00,20150500,5842,,,,
2014/12/23 00:00:00,20150500,5872,,,,
2014/12/24 00:00:00,20150500,5908,,,,
2014/12/25 00:00:00,20150500,5874,,,,
2014/12/26 00:00:00,20150500,5892,,,,
2014/12/29 00:00:00,20150500,5934,,,,
2014/12/30 00:00:00,20150500,6048,,,,
2014/12/31 00:00:00,20150500,6068,,,,
2015/01/05 00:00:00,20150500,6004,,,,
2015/01/06 00:00:00,20150500,6080,,,,
2015/01/07 00:00:00,20150500,6072,,,,
2015/01/08 00:00:00,20150500,6064,,,,
2015/01/09 00:00:00,20150500,6148,,,,
2015/01/12 00:00:00,20150500,6116,,,,
2015/01/13 00:00:00,20150500,6018,,,,
2015/01/14 00:00:00,20150500,6002,,,,
2015/01/15 00:00:00,20150500,6008,,,,
2015/01/16 00:00:00,20150500,5922,,,,
2015/01/19 00:00:00,20150500,5962,,,,
2015/01/20 00:00:00,20150500,5930,,,,
2015/01/21 00:00:00,20150500,5968,,,,
2015/01/22 00:00:00,20150500,5966,,,,
2015/01/23 00:00:00,20150500,5948,,,,
2015/01/26 00:00:00,20150500,5928,,,,
2015/01/27 00:00:00,20150500,5922,,,,
2015/01/28 00:00:00,20150500,5932,,,,
2015/01/29 00:00:00,20150500,5894,,,,
2015/01/30 00:00:00,20150500,5796,,,,
2015/02/02 00:00:00,20150500,5790,,,,
2015/02/03 00:00:00,20150500,5800,,,,
2015/02/04 00:00:00,20150500,5816,,,,
2015/02/05 00:00:00,20150500,5750,,,,
2015/02/06 00:00:00,20150500,5822,,,,
2015/02/09 00:00:00,20150500,5780,,,,
2015/02/10 00:00:00,20150500,5780,,,,
2015/02/11 00:00:00,20150500,5776,,,,
2015/02/12 00:00:00,20150500,5786,,,,
2015/02/13 00:00:00,20150500,5816,,,,
2015/02/16 00:00:00,20150500,5878,,,,
2015/02/17 00:00:00,20150500,5840,,,,
2015/02/25 00:00:00,20150500,5808,,,,
2015/02/26 00:00:00,20150500,5820,,,,
2015/02/27 00:00:00,20150500,5838,,,,
2015/03/02 00:00:00,20150500,6014,,,,
2015/03/03 00:00:00,20150500,6016,,,,
2015/03/04 00:00:00,20150500,5966,,,,
2015/03/05 00:00:00,20150500,5900,,,,
2015/03/06 00:00:00,20150500,5846,,,,
2015/03/09 00:00:00,20150500,5840,5896.0,,,
2015/03/10 00:00:00,20150900,5876,,,,
2015/03/11 00:00:00,20150900,5840,,,,
2015/03/12 00:00:00,20150900,5900,,,,
2015/03/13 00:00:00,20150900,5852,,,,
2015/03/16 00:00:00,20150900,5804,,,,
2015/03/17 00:00:00,20150900,5810,,,,
