DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,6080,,,,
2014/01/03 00:00:00,20140500,6110,,,,
2014/01/06 00:00:00,20140500,6054,,,,
2014/01/07 00:00:00,20140500,5992,,,,
2014/01/08 00:00:00,20140500,5920,,,,
2014/01/09 00:00:00,20140500,5800,,,,
2014/01/10 00:00:00,20140500,5832,,,,
2014/01/13 00:00:00,20140500,5862,,,,
2014/01/14 00:00:00,20140500,5806,,,,
2014/01/15 00:00:00,20140500,5830,,,,
2014/01/16 00:00:00,20140500,5818,,,,
2014/01/17 00:00:00,20140500,5830,,,,
2014/01/20 00:00:00,20140500,5806,,,,
2014/01/21 00:00:00,20140500,5910,,,,
2014/01/22 00:00:00,20140500,5880,,,,
2014/01/23 00:00:00,20140500,5854,,,,
2014/01/24 00:00:00,20140500,5860,,,,
2014/01/27 00:00:00,20140500,5840,,,,
2014/01/28 00:00:00,20140500,5744,,,,
2014/01/29 00:00:00,20140500,5694,,,,
2014/01/30 00:00:00,20140500,5662,,,,
2014/02/07 00:00:00,20140500,5780,,,,
2014/02/10 00:00:00,20140500,5790,,,,
2014/02/11 00:00:00,20140500,5886,,,,
2014/02/12 00:00:00,20140500,5868,,,,
2014/02/13 00:00:00,20140500,5906,,,,
2014/02/14 00:00:00,20140500,5976,,,,
2014/02/17 00:00:00,20140500,5976,,,,
2014/02/18 00:00:00,20140500,6028,,,,
2014/02/19 00:00:00,20140500,6120,,,,
2014/02/20 00:00:00,20140500,6092,,,,
2014/02/21 00:00:00,20140500,6140,,,,
2014/02/24 00:00:00,20140500,6120,,,,
2014/02/25 00:00:00,20140500,6120,6208.0,,,
2014/02/26 00:00:00,20140900,6200,,,,
2014/02/27 00:00:00,20140900,6300,,,,
2014/02/28 00:00:00,20140900,6240,,,,
2014/03/03 00:00:00,20140900,6268,,,,
2014/03/04 00:00:00,20140900,6276,,,,
2014/03/05 00:00:00,20140900,6322,,,,
2014/03/06 00:00:00,20140900,6340,,,,
2014/03/07 00:00:00,20140900,6410,,,,
2014/03/10 00:00:00,20140900,6406,,,,
2014/03/11 00:00:00,20140900,6344,,,,
2014/03/12 00:00:00,20140900,6448,,,,
2014/03/13 00:00:00,20140900,6392,,,,
2014/03/14 00:00:00,20140900,6368,,,,
2014/03/17 00:00:00,20140900,6248,,,,
2014/03/18 00:00:00,20140900,6194,,,,
2014/03/19 00:00:00,20140900,6230,,,,
2014/03/20 00:00:00,20140900,6248,,,,
2014/03/21 00:00:00,20140900,6122,,,,
2014/03/24 00:00:00,20140900,6140,,,,
2014/03/25 00:00:00,20140900,6122,,,,
2014/03/26 00:00:00,20140900,6126,,,,
2014/03/27 00:00:00,20140900,6172,,,,
2014/03/28 00:00:00,20140900,6184,,,,
2014/03/31 00:00:00,20140900,6162,,,,
2014/04/01 00:00:00,20140900,6180,,,,
2014/04/02 00:00:00,20140900,6266,,,,
2014/04/03 00:00:00,20140900,6230,,,,
2014/04/04 00:00:00,20140900,6246,,,,
2014/04/08 00:00:00,20140900,6200,,,,
2014/04/09 00:00:00,20140900,6260,,,,
2014/04/10 00:00:00,20140900,6250,,,,
2014/04/11 00:00:00,20140900,6146,,,,
2014/04/14 00:00:00,20140900,6088,,,,
2014/04/15 00:00:00,20140900,6108,,,,
2014/04/16 00:00:00,20140900,6124,,,,
2014/04/17 00:00:00,20140900,6250,,,,
2014/04/18 00:00:00,20140900,6192,,,,
2014/04/21 00:00:00,20140900,6192,,,,
2014/04/22 00:00:00,20140900,6138,,,,
2014/04/23 00:00:00,20140900,6156,,,,
2014/04/24 00:00:00,20140900,6138,,,,
2014/04/25 00:00:00,20140900,6160,,,,
2014/04/28 00:00:00,20140900,6186,,,,
2014/04/29 00:00:00,20140900,6150,,,,
2014/04/30 00:00:00,20140900,6166,,,,
2014/05/05 00:00:00,20140900,6070,,,,
2014/05/06 00:00:00,20140900,5986,,,,
2014/05/07 00:00:00,20140900,5972,,,,
2014/05/08 00:00:00,20140900,6008,,,,
2014/05/09 00:00:00,20140900,5996,,,,
2014/05/12 00:00:00,20140900,5996,,,,
2014/05/13 00:00:00,20140900,5952,,,,
2014/05/14 00:00:00,20140900,6030,,,,
2014/05/15 00:00:00,20140900,6026,,,,
2014/05/16 00:00:00,20140900,6022,,,,
2014/05/19 00:00:00,20140900,5974,,,,
2014/05/20 00:00:00,20140900,5922,,,,
2014/05/21 00:00:00,20140900,5874,,,,
