DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/02/28 00:00:00,20140500,10680,,,,
2014/03/03 00:00:00,20140500,10696,10295.0,,,
2014/03/04 00:00:00,20140900,10310,,,,
2014/03/05 00:00:00,20140900,10359,,,,
2014/03/06 00:00:00,20140900,10270,,,,
2014/03/07 00:00:00,20140900,10200,,,,
2014/03/10 00:00:00,20140900,10025,,,,
2014/03/11 00:00:00,20140900,10096,,,,
2014/03/12 00:00:00,20140900,10090,,,,
2014/03/13 00:00:00,20140900,10200,,,,
2014/03/14 00:00:00,20140900,10200,,,,
2014/03/17 00:00:00,20140900,10165,,,,
2014/03/18 00:00:00,20140900,10125,,,,
2014/03/19 00:00:00,20140900,10300,,,,
2014/03/20 00:00:00,20140900,10220,,,,
2014/03/21 00:00:00,20140900,10206,,,,
2014/03/24 00:00:00,20140900,10280,,,,
2014/03/25 00:00:00,20140900,10315,,,,
2014/03/26 00:00:00,20140900,10406,,,,
2014/03/27 00:00:00,20140900,10530,,,,
2014/03/28 00:00:00,20140900,10500,,,,
2014/03/31 00:00:00,20140900,10618,,,,
2014/04/01 00:00:00,20140900,10590,,,,
2014/04/02 00:00:00,20140900,10681,,,,
2014/04/03 00:00:00,20140900,10680,,,,
2014/04/04 00:00:00,20140900,10685,,,,
2014/04/08 00:00:00,20140900,10810,,,,
2014/04/09 00:00:00,20140900,10790,,,,
2014/04/10 00:00:00,20140900,10750,,,,
2014/04/11 00:00:00,20140900,10670,,,,
2014/04/14 00:00:00,20140900,10750,,,,
2014/04/15 00:00:00,20140900,10766,,,,
2014/04/16 00:00:00,20140900,10783,,,,
2014/04/17 00:00:00,20140900,10770,,,,
2014/04/18 00:00:00,20140900,10886,,,,
2014/04/21 00:00:00,20140900,10875,,,,
2014/04/22 00:00:00,20140900,10890,,,,
2014/04/23 00:00:00,20140900,10985,,,,
2014/04/24 00:00:00,20140900,10924,,,,
2014/04/25 00:00:00,20140900,10900,,,,
2014/04/28 00:00:00,20140900,10710,,,,
2014/04/29 00:00:00,20140900,10700,,,,
2014/04/30 00:00:00,20140900,10762,,,,
2014/05/05 00:00:00,20140900,10750,,,,
2014/05/06 00:00:00,20140900,10832,,,,
2014/05/07 00:00:00,20140900,10850,,,,
2014/05/08 00:00:00,20140900,10955,,,,
2014/05/09 00:00:00,20140900,10884,,,,
2014/05/12 00:00:00,20140900,10790,,,,
2014/05/13 00:00:00,20140900,10773,,,,
2014/05/14 00:00:00,20140900,10810,,,,
2014/05/15 00:00:00,20140900,10740,,,,
2014/05/16 00:00:00,20140900,10665,,,,
2014/05/19 00:00:00,20140900,10688,,,,
2014/05/20 00:00:00,20140900,10680,,,,
2014/05/21 00:00:00,20140900,10681,,,,
2014/05/22 00:00:00,20140900,10765,,,,
2014/05/23 00:00:00,20140900,10914,,,,
2014/05/26 00:00:00,20140900,11038,,,,
2014/05/27 00:00:00,20140900,11041,,,,
2014/05/28 00:00:00,20140900,10827,,,,
2014/05/29 00:00:00,20140900,10840,,,,
2014/05/30 00:00:00,20140900,10933,,,,
2014/06/03 00:00:00,20140900,11000,,,,
2014/06/04 00:00:00,20140900,11070,,,,
2014/06/05 00:00:00,20140900,11060,,,,
2014/06/06 00:00:00,20140900,11130,,,,
2014/06/09 00:00:00,20140900,11095,,,,
2014/06/10 00:00:00,20140900,11110,,,,
2014/06/11 00:00:00,20140900,11350,,,,
2014/06/12 00:00:00,20140900,11310,,,,
2014/06/13 00:00:00,20140900,11400,,,,
2014/06/16 00:00:00,20140900,11404,,,,
2014/06/17 00:00:00,20140900,11400,,,,
2014/06/18 00:00:00,20140900,11265,,,,
2014/06/19 00:00:00,20140900,11230,,,,
