DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,3565,,,,
2014/01/03 00:00:00,20140500,3587,,,,
2014/01/06 00:00:00,20140500,3532,,,,
2014/01/07 00:00:00,20140500,3517,,,,
2014/01/08 00:00:00,20140500,3453,,,,
2014/01/09 00:00:00,20140500,3466,,,,
2014/01/10 00:00:00,20140500,3452,,,,
2014/01/13 00:00:00,20140500,3485,,,,
2014/01/14 00:00:00,20140500,3464,,,,
2014/01/15 00:00:00,20140500,3489,,,,
2014/01/16 00:00:00,20140500,3502,,,,
2014/01/17 00:00:00,20140500,3477,,,,
2014/01/20 00:00:00,20140500,3464,,,,
2014/01/21 00:00:00,20140500,3440,,,,
2014/01/22 00:00:00,20140500,3403,,,,
2014/01/23 00:00:00,20140500,3427,,,,
2014/01/24 00:00:00,20140500,3454,,,,
2014/01/27 00:00:00,20140500,3475,,,,
2014/01/28 00:00:00,20140500,3462,,,,
2014/01/29 00:00:00,20140500,3431,,,,
2014/01/30 00:00:00,20140500,3436,,,,
2014/02/07 00:00:00,20140500,3449,,,,
2014/02/10 00:00:00,20140500,3404,,,,
2014/02/11 00:00:00,20140500,3414,,,,
2014/02/12 00:00:00,20140500,3385,,,,
2014/02/13 00:00:00,20140500,3398,,,,
2014/02/14 00:00:00,20140500,3399,,,,
2014/02/17 00:00:00,20140500,3416,,,,
2014/02/18 00:00:00,20140500,3454,,,,
2014/02/19 00:00:00,20140500,3435,,,,
2014/02/20 00:00:00,20140500,3432,,,,
2014/02/21 00:00:00,20140500,3397,,,,
2014/02/24 00:00:00,20140500,3385,,,,
2014/02/25 00:00:00,20140500,3324,,,,
2014/02/26 00:00:00,20140500,3304,,,,
2014/02/27 00:00:00,20140500,3317,,,,
2014/02/28 00:00:00,20140500,3339,,,,
2014/03/03 00:00:00,20140500,3322,3422.0,,,
2014/03/04 00:00:00,20141000,3426,,,,
2014/03/05 00:00:00,20141000,3416,,,,
2014/03/06 00:00:00,20141000,3417,,,,
2014/03/07 00:00:00,20141000,3383,,,,
2014/03/10 00:00:00,20141000,3285,,,,
2014/03/11 00:00:00,20141000,3176,,,,
2014/03/12 00:00:00,20141000,3183,,,,
2014/03/13 00:00:00,20141000,3261,,,,
2014/03/14 00:00:00,20141000,3271,,,,
2014/03/17 00:00:00,20141000,3271,,,,
2014/03/18 00:00:00,20141000,3229,,,,
2014/03/19 00:00:00,20141000,3242,,,,
2014/03/20 00:00:00,20141000,3267,,,,
2014/03/21 00:00:00,20141000,3231,,,,
2014/03/24 00:00:00,20141000,3214,,,,
2014/03/25 00:00:00,20141000,3216,,,,
2014/03/26 00:00:00,20141000,3282,,,,
2014/03/27 00:00:00,20141000,3266,,,,
2014/03/28 00:00:00,20141000,3271,,,,
2014/03/31 00:00:00,20141000,3312,,,,
2014/04/01 00:00:00,20141000,3328,,,,
2014/04/02 00:00:00,20141000,3343,,,,
2014/04/03 00:00:00,20141000,3313,,,,
2014/04/04 00:00:00,20141000,3338,,,,
2014/04/08 00:00:00,20141000,3388,,,,
2014/04/09 00:00:00,20141000,3417,,,,
2014/04/10 00:00:00,20141000,3390,,,,
2014/04/11 00:00:00,20141000,3373,,,,
2014/04/14 00:00:00,20141000,3356,,,,
2014/04/15 00:00:00,20141000,3358,,,,
2014/04/16 00:00:00,20141000,3359,,,,
2014/04/17 00:00:00,20141000,3335,,,,
2014/04/18 00:00:00,20141000,3321,,,,
2014/04/21 00:00:00,20141000,3251,,,,
2014/04/22 00:00:00,20141000,3232,,,,
2014/04/23 00:00:00,20141000,3248,,,,
2014/04/24 00:00:00,20141000,3268,,,,
2014/04/25 00:00:00,20141000,3290,,,,
2014/04/28 00:00:00,20141000,3260,,,,
2014/04/29 00:00:00,20141000,3222,,,,
2014/04/30 00:00:00,20141000,3247,,,,
2014/05/05 00:00:00,20141000,3215,,,,
2014/05/06 00:00:00,20141000,3238,,,,
2014/05/07 00:00:00,20141000,3222,,,,
2014/05/08 00:00:00,20141000,3184,,,,
2014/05/09 00:00:00,20141000,3183,,,,
2014/05/12 00:00:00,20141000,3154,,,,
2014/05/13 00:00:00,20141000,3198,,,,
2014/05/14 00:00:00,20141000,3165,,,,
2014/05/15 00:00:00,20141000,3165,,,,
2014/05/16 00:00:00,20141000,3128,,,,
2014/05/19 00:00:00,20141000,3081,,,,
2014/05/20 00:00:00,20141000,3077,,,,
2014/05/21 00:00:00,20141000,3069,,,,
2014/05/22 00:00:00,20141000,3074,,,,
