DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,2616,,,,
2014/01/03 00:00:00,20140500,2629,,,,
2014/01/06 00:00:00,20140500,2628,,,,
2014/01/07 00:00:00,20140500,2630,,,,
2014/01/08 00:00:00,20140500,2587,,,,
2014/01/09 00:00:00,20140500,2578,,,,
2014/01/10 00:00:00,20140500,2579,,,,
2014/01/13 00:00:00,20140500,2590,,,,
2014/01/14 00:00:00,20140500,2599,,,,
2014/01/15 00:00:00,20140500,2632,,,,
2014/01/16 00:00:00,20140500,2656,,,,
2014/01/17 00:00:00,20140500,2675,,,,
2014/01/20 00:00:00,20140500,2678,,,,
2014/01/21 00:00:00,20140500,2689,,,,
2014/01/22 00:00:00,20140500,2630,,,,
2014/01/23 00:00:00,20140500,2596,,,,
2014/01/24 00:00:00,20140500,2589,2455.0,,,
2014/01/27 00:00:00,20140900,2466,,,,
2014/01/28 00:00:00,20140900,2481,,,,
2014/01/29 00:00:00,20140900,2463,,,,
2014/01/30 00:00:00,20140900,2455,,,,
2014/02/07 00:00:00,20140900,2520,,,,
2014/02/10 00:00:00,20140900,2583,,,,
2014/02/11 00:00:00,20140900,2553,,,,
2014/02/12 00:00:00,20140900,2570,,,,
2014/02/13 00:00:00,20140900,2532,,,,
2014/02/14 00:00:00,20140900,2578,,,,
2014/02/17 00:00:00,20140900,2554,,,,
2014/02/18 00:00:00,20140900,2536,,,,
2014/02/19 00:00:00,20140900,2545,,,,
2014/02/20 00:00:00,20140900,2530,,,,
2014/02/21 00:00:00,20140900,2552,,,,
2014/02/24 00:00:00,20140900,2534,,,,
2014/02/25 00:00:00,20140900,2553,,,,
2014/02/26 00:00:00,20140900,2543,,,,
2014/02/27 00:00:00,20140900,2537,,,,
2014/02/28 00:00:00,20140900,2523,,,,
2014/03/03 00:00:00,20140900,2535,,,,
2014/03/04 00:00:00,20140900,2522,,,,
2014/03/05 00:00:00,20140900,2539,,,,
2014/03/06 00:00:00,20140900,2570,,,,
2014/03/07 00:00:00,20140900,2571,,,,
2014/03/10 00:00:00,20140900,2588,,,,
2014/03/11 00:00:00,20140900,2564,,,,
2014/03/12 00:00:00,20140900,2582,,,,
2014/03/13 00:00:00,20140900,2570,,,,
2014/03/14 00:00:00,20140900,2540,,,,
2014/03/17 00:00:00,20140900,2503,,,,
2014/03/18 00:00:00,20140900,2483,,,,
2014/03/19 00:00:00,20140900,2506,,,,
2014/03/20 00:00:00,20140900,2535,,,,
2014/03/21 00:00:00,20140900,2549,,,,
2014/03/24 00:00:00,20140900,2514,,,,
2014/03/25 00:00:00,20140900,2550,,,,
2014/03/26 00:00:00,20140900,2575,,,,
2014/03/27 00:00:00,20140900,2579,,,,
2014/03/28 00:00:00,20140900,2579,,,,
2014/03/31 00:00:00,20140900,2583,,,,
2014/04/01 00:00:00,20140900,2595,,,,
2014/04/02 00:00:00,20140900,2645,,,,
2014/04/03 00:00:00,20140900,2632,,,,
2014/04/04 00:00:00,20140900,2656,,,,
2014/04/08 00:00:00,20140900,2671,,,,
2014/04/09 00:00:00,20140900,2702,,,,
2014/04/10 00:00:00,20140900,2721,,,,
2014/04/11 00:00:00,20140900,2706,,,,
2014/04/14 00:00:00,20140900,2701,,,,
2014/04/15 00:00:00,20140900,2723,,,,
2014/04/16 00:00:00,20140900,2741,,,,
2014/04/17 00:00:00,20140900,2744,,,,
2014/04/18 00:00:00,20140900,2753,,,,
2014/04/21 00:00:00,20140900,2786,,,,
2014/04/22 00:00:00,20140900,2763,,,,
2014/04/23 00:00:00,20140900,2779,,,,
2014/04/24 00:00:00,20140900,2762,,,,
2014/04/25 00:00:00,20140900,2767,,,,
2014/04/28 00:00:00,20140900,2808,,,,
2014/04/29 00:00:00,20140900,2860,,,,
2014/04/30 00:00:00,20140900,2896,,,,
2014/05/05 00:00:00,20140900,2870,,,,
2014/05/06 00:00:00,20140900,2860,,,,
2014/05/07 00:00:00,20140900,2868,,,,
2014/05/08 00:00:00,20140900,2866,,,,
2014/05/09 00:00:00,20140900,2909,,,,
2014/05/12 00:00:00,20140900,2892,,,,
2014/05/13 00:00:00,20140900,2872,,,,
2014/05/14 00:00:00,20140900,2917,,,,
2014/05/15 00:00:00,20140900,2967,,,,
2014/05/16 00:00:00,20140900,2965,,,,
2014/05/19 00:00:00,20140900,2993,,,,
2014/05/20 00:00:00,20140900,3010,,,,
2014/05/21 00:00:00,20140900,3010,,,,
2014/05/22 00:00:00,20140900,3045,,,,
2014/05/23 00:00:00,20140900,3085,,,,
2014/05/26 00:00:00,20140900,3094,,,,
