DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,18180,,,,
2014/01/03 00:00:00,20140500,17980,,,,
2014/01/06 00:00:00,20140500,17575,,,,
2014/01/07 00:00:00,20140500,17230,,,,
2014/01/08 00:00:00,20140500,16805,,,,
2014/01/09 00:00:00,20140500,16680,,,,
2014/01/10 00:00:00,20140500,16825,,,,
2014/01/13 00:00:00,20140500,17040,,,,
2014/01/14 00:00:00,20140500,16310,,,,
2014/01/15 00:00:00,20140500,16725,,,,
2014/01/16 00:00:00,20140500,16765,,,,
2014/01/17 00:00:00,20140500,16700,,,,
2014/01/20 00:00:00,20140500,16510,,,,
2014/01/21 00:00:00,20140500,16835,,,,
2014/01/22 00:00:00,20140500,16395,,,,
2014/01/23 00:00:00,20140500,16585,,,,
2014/01/24 00:00:00,20140500,16420,,,,
2014/01/27 00:00:00,20140500,16385,,,,
2014/01/28 00:00:00,20140500,15925,,,,
2014/01/29 00:00:00,20140500,15685,,,,
2014/01/30 00:00:00,20140500,15615,,,,
2014/02/07 00:00:00,20140500,15380,,,,
2014/02/10 00:00:00,20140500,15495,,,,
2014/02/11 00:00:00,20140500,15845,,,,
2014/02/12 00:00:00,20140500,15895,,,,
2014/02/13 00:00:00,20140500,15770,,,,
2014/02/14 00:00:00,20140500,15610,,,,
2014/02/17 00:00:00,20140500,15705,,,,
2014/02/18 00:00:00,20140500,16385,,,,
2014/02/19 00:00:00,20140500,16230,,,,
2014/02/20 00:00:00,20140500,16155,,,,
2014/02/21 00:00:00,20140500,15640,,,,
2014/02/24 00:00:00,20140500,15500,,,,
2014/02/25 00:00:00,20140500,14780,,,,
2014/02/26 00:00:00,20140500,14510,,,,
2014/02/27 00:00:00,20140500,14605,14750.0,,,
2014/02/28 00:00:00,20140900,14835,,,,
2014/03/03 00:00:00,20140900,14980,,,,
2014/03/04 00:00:00,20140900,14970,,,,
2014/03/05 00:00:00,20140900,14910,,,,
2014/03/06 00:00:00,20140900,15035,,,,
2014/03/07 00:00:00,20140900,15250,,,,
2014/03/10 00:00:00,20140900,14410,,,,
2014/03/11 00:00:00,20140900,14590,,,,
2014/03/12 00:00:00,20140900,15020,,,,
2014/03/13 00:00:00,20140900,15835,,,,
2014/03/14 00:00:00,20140900,15735,,,,
2014/03/17 00:00:00,20140900,15670,,,,
2014/03/18 00:00:00,20140900,15005,,,,
2014/03/19 00:00:00,20140900,15010,,,,
2014/03/20 00:00:00,20140900,15460,,,,
2014/03/21 00:00:00,20140900,15145,,,,
2014/03/24 00:00:00,20140900,14935,,,,
2014/03/25 00:00:00,20140900,15210,,,,
2014/03/26 00:00:00,20140900,15525,,,,
2014/03/27 00:00:00,20140900,15350,,,,
2014/03/28 00:00:00,20140900,15390,,,,
2014/03/31 00:00:00,20140900,15810,,,,
2014/04/01 00:00:00,20140900,15740,,,,
2014/04/02 00:00:00,20140900,15855,,,,
2014/04/03 00:00:00,20140900,15365,,,,
2014/04/04 00:00:00,20140900,15475,,,,
