DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2019/12/06 00:00:00,20200500,1580,,,,
2019/12/09 00:00:00,20200500,1565,,,,
2019/12/10 00:00:00,20200500,1572,,,,
2019/12/11 00:00:00,20200500,1650,,,,
2019/12/12 00:00:00,20200500,1645,,,,
2019/12/13 00:00:00,20200500,1633,,,,
2019/12/16 00:00:00,20200500,1633,,,,
2019/12/17 00:00:00,20200500,1628,,,,
2019/12/18 00:00:00,20200500,1624,,,,
2019/12/19 00:00:00,20200500,1627,,,,
2019/12/20 00:00:00,20200500,1626,,,,
2019/12/23 00:00:00,20200500,1608,,,,
2019/12/24 00:00:00,20200500,1602,,,,
2019/12/25 00:00:00,20200500,1603,,,,
2019/12/26 00:00:00,20200500,1611,,,,
2019/12/27 00:00:00,20200500,1611,,,,
2019/12/30 00:00:00,20200500,1609,,,,
2019/12/31 00:00:00,20200500,1633,,,,
2020/01/02 00:00:00,20200500,1634,,,,
2020/01/03 00:00:00,20200500,1624,,,,
2020/01/06 00:00:00,20200500,1631,,,,
2020/01/07 00:00:00,20200500,1638,,,,
2020/01/08 00:00:00,20200500,1625,,,,
2020/01/09 00:00:00,20200500,1630,,,,
2020/01/10 00:00:00,20200500,1633,,,,
2020/01/13 00:00:00,20200500,1660,,,,
2020/01/14 00:00:00,20200500,1655,,,,
2020/01/15 00:00:00,20200500,1652,,,,
2020/01/16 00:00:00,20200500,1667,,,,
2020/01/17 00:00:00,20200500,1671,,,,
2020/01/20 00:00:00,20200500,1678,,,,
2020/01/21 00:00:00,20200500,1668,,,,
2020/01/22 00:00:00,20200500,1655,,,,
2020/01/23 00:00:00,20200500,1645,,,,
2020/02/03 00:00:00,20200500,1517,,,,
2020/02/04 00:00:00,20200500,1529,,,,
2020/02/05 00:00:00,20200500,1557,,,,
2020/02/06 00:00:00,20200500,1561,,,,
2020/02/07 00:00:00,20200500,1571,,,,
2020/02/10 00:00:00,20200500,1573,,,,
2020/02/11 00:00:00,20200500,1568,,,,
2020/02/12 00:00:00,20200500,1578,,,,
2020/02/13 00:00:00,20200500,1578,,,,
2020/02/14 00:00:00,20200500,1579,,,,
2020/02/17 00:00:00,20200500,1580,,,,
2020/02/18 00:00:00,20200500,1590,,,,
2020/02/19 00:00:00,20200500,1585,,,,
2020/02/20 00:00:00,20200500,1588,,,,
2020/02/21 00:00:00,20200500,1579,,,,
2020/02/24 00:00:00,20200500,1575,,,,
2020/02/25 00:00:00,20200500,1584,,,,
2020/02/26 00:00:00,20200500,1603,,,,
2020/02/27 00:00:00,20200500,1582,,,,
2020/02/28 00:00:00,20200500,1563,,,,
2020/03/02 00:00:00,20200500,1564,,,,
2020/03/03 00:00:00,20200500,1589,,,,
2020/03/04 00:00:00,20200500,1577,,,,
2020/03/05 00:00:00,20200500,1575,,,,
2020/03/06 00:00:00,20200500,1554,,,,
2020/03/09 00:00:00,20200500,1505,,,,
2020/03/10 00:00:00,20200500,1531,,,,
2020/03/11 00:00:00,20200500,1539,,,,
2020/03/12 00:00:00,20200500,1541,,,,
2020/03/13 00:00:00,20200500,1518,,,,
2020/03/16 00:00:00,20200500,1524,,,,
2020/03/17 00:00:00,20200500,1498,,,,
2020/03/18 00:00:00,20200500,1483,,,,
2020/03/19 00:00:00,20200500,1469,,,,
2020/03/20 00:00:00,20200500,1450,,,,
2020/03/23 00:00:00,20200500,1428,,,,
2020/03/24 00:00:00,20200500,1436,,,,
2020/03/25 00:00:00,20200500,1430,,,,
2020/03/26 00:00:00,20200500,1414,,,,
2020/03/27 00:00:00,20200500,1397,,,,
2020/03/30 00:00:00,20200500,1378,,,,
2020/03/31 00:00:00,20200500,1339,,,,
2020/04/01 00:00:00,20200500,1358,,,,
2020/04/02 00:00:00,20200500,1374,,,,
2020/04/03 00:00:00,20200500,1388,,,,
2020/04/07 00:00:00,20200500,1384,,,,
2020/04/08 00:00:00,20200500,1375,,,,
2020/04/09 00:00:00,20200500,1380,,,,
2020/04/10 00:00:00,20200500,1380,,,,
2020/04/13 00:00:00,20200500,1360,,,,
2020/04/14 00:00:00,20200500,1337,,,,
2020/04/15 00:00:00,20200500,1343,,,,
2020/04/16 00:00:00,20200500,1408,1454.0,,,
2020/04/17 00:00:00,20200900,1458,,,,
