DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2015/03/27 00:00:00,20150700,120010,,,,
2015/03/30 00:00:00,20150700,119230,,,,
2015/03/31 00:00:00,20150700,117650,,,,
2015/04/01 00:00:00,20150700,117810,,,,
2015/04/02 00:00:00,20150700,118250,,,,
2015/04/03 00:00:00,20150700,118810,,,,
2015/04/07 00:00:00,20150700,118890,,,,
2015/04/08 00:00:00,20150700,118710,,,,
2015/04/09 00:00:00,20150700,117870,,,,
2015/04/10 00:00:00,20150700,116500,,,,
2015/04/13 00:00:00,20150700,115990,,,,
2015/04/14 00:00:00,20150700,115550,,,,
2015/04/15 00:00:00,20150700,112320,,,,
2015/04/16 00:00:00,20150700,113120,,,,
2015/04/17 00:00:00,20150700,113000,,,,
2015/04/20 00:00:00,20150700,112020,,,,
2015/04/21 00:00:00,20150700,111840,,,,
2015/04/22 00:00:00,20150700,112190,,,,
2015/04/23 00:00:00,20150700,113400,,,,
2015/04/24 00:00:00,20150700,112920,,,,
2015/04/27 00:00:00,20150700,114400,,,,
2015/04/28 00:00:00,20150700,117960,,,,
2015/04/29 00:00:00,20150700,117060,,,,
2015/04/30 00:00:00,20150700,116000,,,,
2015/05/04 00:00:00,20150700,117720,,,,
2015/05/05 00:00:00,20150700,119000,,,,
2015/05/06 00:00:00,20150700,119650,,,,
2015/05/07 00:00:00,20150700,123300,,,,
2015/05/08 00:00:00,20150700,122600,,,,
2015/05/11 00:00:00,20150700,120890,,,,
2015/05/12 00:00:00,20150700,121270,,,,
2015/05/13 00:00:00,20150700,120800,,,,
2015/05/14 00:00:00,20150700,120480,,,,
2015/05/15 00:00:00,20150700,119030,,,,
2015/05/18 00:00:00,20150700,118050,,,,
2015/05/19 00:00:00,20150700,119650,,,,
2015/05/20 00:00:00,20150700,117700,,,,
2015/05/21 00:00:00,20150700,116350,,,,
2015/05/22 00:00:00,20150700,119500,,,,
2015/05/25 00:00:00,20150700,116800,,,,
2015/05/26 00:00:00,20150700,117600,,,,
2015/05/27 00:00:00,20150700,116760,,,,
2015/05/28 00:00:00,20150700,116010,,,,
2015/05/29 00:00:00,20150700,116900,,,,
2015/06/01 00:00:00,20150700,116090,,,,
2015/06/02 00:00:00,20150700,116120,,,,
2015/06/03 00:00:00,20150700,116740,,,,
2015/06/04 00:00:00,20150700,115330,,,,
2015/06/05 00:00:00,20150700,114640,,,,
2015/06/08 00:00:00,20150700,114260,,,,
2015/06/09 00:00:00,20150700,114710,,,,
2015/06/10 00:00:00,20150700,115340,,,,
2015/06/11 00:00:00,20150700,115490,,,,
2015/06/12 00:00:00,20150700,114420,,,,
2015/06/15 00:00:00,20150700,113410,,,,
2015/06/16 00:00:00,20150700,111700,,,,
2015/06/17 00:00:00,20150700,111990,,,,
