DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2018/11/27 00:00:00,20190600,5828,,,,
2018/11/28 00:00:00,20190600,5286,,,,
2018/11/29 00:00:00,20190600,5160,,,,
2018/11/30 00:00:00,20190600,5206,,,,
2018/12/03 00:00:00,20190600,5156,,,,
2018/12/04 00:00:00,20190600,4980,,,,
2018/12/05 00:00:00,20190600,5062,,,,
2018/12/06 00:00:00,20190600,5156,,,,
2018/12/07 00:00:00,20190600,5110,,,,
2018/12/10 00:00:00,20190600,5150,,,,
2018/12/11 00:00:00,20190600,5164,,,,
2018/12/12 00:00:00,20190600,5118,,,,
2018/12/13 00:00:00,20190600,5144,,,,
2018/12/14 00:00:00,20190600,5124,,,,
2018/12/17 00:00:00,20190600,5118,,,,
2018/12/18 00:00:00,20190600,5134,,,,
2018/12/19 00:00:00,20190600,5126,,,,
2018/12/20 00:00:00,20190600,5068,,,,
2018/12/21 00:00:00,20190600,5070,,,,
2018/12/24 00:00:00,20190600,5042,,,,
2018/12/25 00:00:00,20190600,4978,,,,
2018/12/26 00:00:00,20190600,4996,,,,
2018/12/27 00:00:00,20190600,4950,,,,
2018/12/28 00:00:00,20190600,4942,,,,
2019/01/02 00:00:00,20190600,5044,,,,
2019/01/03 00:00:00,20190600,5074,,,,
2019/01/04 00:00:00,20190600,5084,,,,
2019/01/07 00:00:00,20190600,5154,,,,
2019/01/08 00:00:00,20190600,5174,,,,
2019/01/09 00:00:00,20190600,5160,,,,
2019/01/10 00:00:00,20190600,5304,,,,
2019/01/11 00:00:00,20190600,5274,,,,
2019/01/14 00:00:00,20190600,5324,,,,
2019/01/15 00:00:00,20190600,5296,,,,
2019/01/16 00:00:00,20190600,5242,,,,
2019/01/17 00:00:00,20190600,5314,,,,
2019/01/18 00:00:00,20190600,5304,,,,
2019/01/21 00:00:00,20190600,5384,,,,
2019/01/22 00:00:00,20190600,5440,,,,
2019/01/23 00:00:00,20190600,5426,,,,
2019/01/24 00:00:00,20190600,5446,,,,
