DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,4787,,,,
2014/01/03 00:00:00,20140500,4783,,,,
2014/01/06 00:00:00,20140500,4737,,,,
2014/01/07 00:00:00,20140500,4659,,,,
2014/01/08 00:00:00,20140500,4616,,,,
2014/01/09 00:00:00,20140500,4521,,,,
2014/01/10 00:00:00,20140500,4527,,,,
2014/01/13 00:00:00,20140500,4562,,,,
2014/01/14 00:00:00,20140500,4565,,,,
2014/01/15 00:00:00,20140500,4565,,,,
2014/01/16 00:00:00,20140500,4520,,,,
2014/01/17 00:00:00,20140500,4496,,,,
2014/01/20 00:00:00,20140500,4461,,,,
2014/01/21 00:00:00,20140500,4517,,,,
2014/01/22 00:00:00,20140500,4468,,,,
2014/01/23 00:00:00,20140500,4463,,,,
2014/01/24 00:00:00,20140500,4470,,,,
2014/01/27 00:00:00,20140500,4484,,,,
2014/01/28 00:00:00,20140500,4440,,,,
2014/01/29 00:00:00,20140500,4417,,,,
2014/01/30 00:00:00,20140500,4387,,,,
2014/02/07 00:00:00,20140500,4498,,,,
2014/02/10 00:00:00,20140500,4461,,,,
2014/02/11 00:00:00,20140500,4516,,,,
2014/02/12 00:00:00,20140500,4497,,,,
2014/02/13 00:00:00,20140500,4548,,,,
2014/02/14 00:00:00,20140500,4561,,,,
2014/02/17 00:00:00,20140500,4553,,,,
2014/02/18 00:00:00,20140500,4520,,,,
2014/02/19 00:00:00,20140500,4594,,,,
2014/02/20 00:00:00,20140500,4569,,,,
2014/02/21 00:00:00,20140500,4564,4726.0,,,
2014/02/24 00:00:00,20140900,4754,,,,
2014/02/25 00:00:00,20140900,4777,,,,
2014/02/26 00:00:00,20140900,4750,,,,
2014/02/27 00:00:00,20140900,4733,,,,
2014/02/28 00:00:00,20140900,4736,,,,
2014/03/03 00:00:00,20140900,4651,,,,
2014/03/04 00:00:00,20140900,4723,,,,
2014/03/05 00:00:00,20140900,4714,,,,
2014/03/06 00:00:00,20140900,4738,,,,
2014/03/07 00:00:00,20140900,4842,,,,
2014/03/10 00:00:00,20140900,4837,,,,
2014/03/11 00:00:00,20140900,4852,,,,
2014/03/12 00:00:00,20140900,4869,,,,
2014/03/13 00:00:00,20140900,4832,,,,
2014/03/14 00:00:00,20140900,4864,,,,
2014/03/17 00:00:00,20140900,4745,,,,
2014/03/18 00:00:00,20140900,4698,,,,
2014/03/19 00:00:00,20140900,4712,,,,
2014/03/20 00:00:00,20140900,4755,,,,
2014/03/21 00:00:00,20140900,4670,,,,
2014/03/24 00:00:00,20140900,4657,,,,
2014/03/25 00:00:00,20140900,4617,,,,
2014/03/26 00:00:00,20140900,4632,,,,
2014/03/27 00:00:00,20140900,4659,,,,
2014/03/28 00:00:00,20140900,4849,,,,
