DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,7364,,,,
2014/01/03 00:00:00,20140500,7236,,,,
2014/01/06 00:00:00,20140500,7210,,,,
2014/01/07 00:00:00,20140500,7160,,,,
2014/01/08 00:00:00,20140500,7088,,,,
2014/01/09 00:00:00,20140500,7080,,,,
2014/01/10 00:00:00,20140500,7100,,,,
2014/01/13 00:00:00,20140500,7090,,,,
2014/01/14 00:00:00,20140500,7026,,,,
2014/01/15 00:00:00,20140500,7000,,,,
2014/01/16 00:00:00,20140500,7004,,,,
2014/01/17 00:00:00,20140500,7026,,,,
2014/01/20 00:00:00,20140500,7000,,,,
2014/01/21 00:00:00,20140500,7000,,,,
2014/01/22 00:00:00,20140500,6898,,,,
2014/01/23 00:00:00,20140500,6900,,,,
2014/01/24 00:00:00,20140500,6914,,,,
2014/01/27 00:00:00,20140500,6926,,,,
2014/01/28 00:00:00,20140500,6886,,,,
2014/01/29 00:00:00,20140500,6898,,,,
2014/01/30 00:00:00,20140500,6916,,,,
2014/02/07 00:00:00,20140500,6876,,,,
2014/02/10 00:00:00,20140500,6840,,,,
2014/02/11 00:00:00,20140500,6930,,,,
2014/02/12 00:00:00,20140500,6882,,,,
2014/02/13 00:00:00,20140500,6880,,,,
2014/02/14 00:00:00,20140500,6822,,,,
2014/02/17 00:00:00,20140500,6790,,,,
2014/02/18 00:00:00,20140500,6814,,,,
2014/02/19 00:00:00,20140500,6778,,,,
2014/02/20 00:00:00,20140500,6726,,,,
2014/02/21 00:00:00,20140500,6690,,,,
2014/02/24 00:00:00,20140500,6670,,,,
2014/02/25 00:00:00,20140500,6516,,,,
2014/02/26 00:00:00,20140500,6458,,,,
2014/02/27 00:00:00,20140500,6468,,,,
2014/02/28 00:00:00,20140500,6418,,,,
2014/03/03 00:00:00,20140500,6438,,,,
2014/03/04 00:00:00,20140500,6462,,,,
2014/03/05 00:00:00,20140500,6474,,,,
2014/03/06 00:00:00,20140500,6536,,,,
2014/03/07 00:00:00,20140500,6592,,,,
2014/03/10 00:00:00,20140500,6528,6396.0,,,
2014/03/11 00:00:00,20140900,6386,,,,
2014/03/12 00:00:00,20140900,6400,,,,
2014/03/13 00:00:00,20140900,6442,,,,
2014/03/14 00:00:00,20140900,6354,,,,
2014/03/17 00:00:00,20140900,6132,,,,
2014/03/18 00:00:00,20140900,6220,,,,
2014/03/19 00:00:00,20140900,6258,,,,
2014/03/20 00:00:00,20140900,6300,,,,
2014/03/21 00:00:00,20140900,6278,,,,
2014/03/24 00:00:00,20140900,6330,,,,
2014/03/25 00:00:00,20140900,6416,,,,
2014/03/26 00:00:00,20140900,6480,,,,
2014/03/27 00:00:00,20140900,6488,,,,
2014/03/28 00:00:00,20140900,6534,,,,
2014/03/31 00:00:00,20140900,6648,,,,
2014/04/01 00:00:00,20140900,6576,,,,
2014/04/02 00:00:00,20140900,6468,,,,
2014/04/03 00:00:00,20140900,6460,,,,
2014/04/04 00:00:00,20140900,6420,,,,
2014/04/08 00:00:00,20140900,6446,,,,
2014/04/09 00:00:00,20140900,6516,,,,
2014/04/10 00:00:00,20140900,6384,,,,
2014/04/11 00:00:00,20140900,6372,,,,
2014/04/14 00:00:00,20140900,6420,,,,
2014/04/15 00:00:00,20140900,6424,,,,
2014/04/16 00:00:00,20140900,6384,,,,
2014/04/17 00:00:00,20140900,6408,,,,
2014/04/18 00:00:00,20140900,6382,,,,
2014/04/21 00:00:00,20140900,6320,,,,
2014/04/22 00:00:00,20140900,6230,,,,
2014/04/23 00:00:00,20140900,6260,,,,
2014/04/24 00:00:00,20140900,6252,,,,
2014/04/25 00:00:00,20140900,6300,,,,
2014/04/28 00:00:00,20140900,6284,,,,
2014/04/29 00:00:00,20140900,6212,,,,
2014/04/30 00:00:00,20140900,6242,,,,
2014/05/05 00:00:00,20140900,6168,,,,
2014/05/06 00:00:00,20140900,6098,,,,
2014/05/07 00:00:00,20140900,6048,,,,
2014/05/08 00:00:00,20140900,6068,,,,
2014/05/09 00:00:00,20140900,6002,,,,
2014/05/12 00:00:00,20140900,6080,,,,
2014/05/13 00:00:00,20140900,6132,,,,
2014/05/14 00:00:00,20140900,6150,,,,
2014/05/15 00:00:00,20140900,6200,,,,
2014/05/16 00:00:00,20140900,6164,,,,
2014/05/19 00:00:00,20140900,6192,,,,
2014/05/20 00:00:00,20140900,6310,,,,
2014/05/21 00:00:00,20140900,6312,,,,
2014/05/22 00:00:00,20140900,6414,,,,
2014/05/23 00:00:00,20140900,6408,,,,
2014/05/26 00:00:00,20140900,6510,,,,
2014/05/27 00:00:00,20140900,6540,,,,
2014/05/28 00:00:00,20140900,6460,,,,
2014/05/29 00:00:00,20140900,6518,,,,
2014/05/30 00:00:00,20140900,6570,,,,
2014/06/03 00:00:00,20140900,6562,,,,
2014/06/04 00:00:00,20140900,6556,,,,
2014/06/05 00:00:00,20140900,6664,,,,
2014/06/06 00:00:00,20140900,6770,,,,
2014/06/09 00:00:00,20140900,6800,,,,
2014/06/10 00:00:00,20140900,6792,,,,
2014/06/11 00:00:00,20140900,6778,,,,
2014/06/12 00:00:00,20140900,6750,,,,
2014/06/13 00:00:00,20140900,6852,,,,
2014/06/16 00:00:00,20140900,7058,,,,
2014/06/17 00:00:00,20140900,7160,,,,
2014/06/18 00:00:00,20140900,7058,,,,
2014/06/19 00:00:00,20140900,7010,,,,
2014/06/20 00:00:00,20140900,7060,,,,
2014/06/23 00:00:00,20140900,7142,,,,
2014/06/24 00:00:00,20140900,7092,,,,
2014/06/25 00:00:00,20140900,7136,,,,
2014/06/26 00:00:00,20140900,7144,,,,
2014/06/27 00:00:00,20140900,7330,,,,
2014/06/30 00:00:00,20140900,7370,,,,
2014/07/01 00:00:00,20140900,7388,,,,
2014/07/02 00:00:00,20140900,7290,,,,
2014/07/03 00:00:00,20140900,7140,,,,
2014/07/04 00:00:00,20140900,7240,,,,
2014/07/07 00:00:00,20140900,7300,,,,
2014/07/08 00:00:00,20140900,7182,,,,
2014/07/09 00:00:00,20140900,7096,,,,
2014/07/10 00:00:00,20140900,7018,,,,
2014/07/11 00:00:00,20140900,7046,,,,
2014/07/14 00:00:00,20140900,7092,,,,
2014/07/15 00:00:00,20140900,7100,,,,
2014/07/16 00:00:00,20140900,7108,,,,
2014/07/17 00:00:00,20140900,7264,,,,
2014/07/18 00:00:00,20140900,7320,,,,
2014/07/21 00:00:00,20140900,7346,,,,
2014/07/22 00:00:00,20140900,7320,,,,
2014/07/23 00:00:00,20140900,7472,,,,
2014/07/24 00:00:00,20140900,7454,,,,
2014/07/25 00:00:00,20140900,7290,,,,
2014/07/28 00:00:00,20140900,7344,,,,
2014/07/29 00:00:00,20140900,7358,,,,
2014/07/30 00:00:00,20140900,7410,,,,
2014/07/31 00:00:00,20140900,7358,,,,
2014/08/01 00:00:00,20140900,7310,,,,
2014/08/04 00:00:00,20140900,7380,,,,
2014/08/05 00:00:00,20140900,7338,6914.0,,,
2014/08/06 00:00:00,20150100,6890,,,,
2014/08/07 00:00:00,20150100,6944,,,,
2014/08/08 00:00:00,20150100,7006,,,,
2014/08/11 00:00:00,20150100,7040,,,,
2014/08/12 00:00:00,20150100,7110,,,,
2014/08/13 00:00:00,20150100,7020,,,,
2014/08/14 00:00:00,20150100,6930,,,,
2014/08/15 00:00:00,20150100,6908,,,,
2014/08/18 00:00:00,20150100,6860,,,,
2014/08/19 00:00:00,20150100,6842,,,,
2014/08/20 00:00:00,20150100,6882,,,,
2014/08/21 00:00:00,20150100,6884,,,,
2014/08/22 00:00:00,20150100,6918,,,,
2014/08/25 00:00:00,20150100,6800,,,,
2014/08/26 00:00:00,20150100,6830,,,,
2014/08/27 00:00:00,20150100,6800,,,,
2014/08/28 00:00:00,20150100,6720,,,,
2014/08/29 00:00:00,20150100,6690,,,,
2014/09/01 00:00:00,20150100,6752,,,,
2014/09/02 00:00:00,20150100,6706,,,,
2014/09/03 00:00:00,20150100,6740,,,,
2014/09/04 00:00:00,20150100,6666,,,,
2014/09/05 00:00:00,20150100,6666,,,,
2014/09/09 00:00:00,20150100,6646,,,,
2014/09/10 00:00:00,20150100,6580,,,,
2014/09/11 00:00:00,20150100,6490,,,,
2014/09/12 00:00:00,20150100,6444,,,,
2014/09/15 00:00:00,20150100,6432,,,,
2014/09/16 00:00:00,20150100,6404,,,,
2014/09/17 00:00:00,20150100,6402,,,,
2014/09/18 00:00:00,20150100,6418,,,,
2014/09/19 00:00:00,20150100,6316,,,,
2014/09/22 00:00:00,20150100,6272,,,,
2014/09/23 00:00:00,20150100,6168,,,,
2014/09/24 00:00:00,20150100,6160,,,,
2014/09/25 00:00:00,20150100,6212,,,,
2014/09/26 00:00:00,20150100,6264,,,,
2014/09/29 00:00:00,20150100,6302,,,,
2014/09/30 00:00:00,20150100,6170,,,,
2014/10/08 00:00:00,20150100,6000,,,,
2014/10/09 00:00:00,20150100,5808,,,,
2014/10/10 00:00:00,20150100,5670,,,,
2014/10/13 00:00:00,20150100,5560,,,,
2014/10/14 00:00:00,20150100,5572,,,,
2014/10/15 00:00:00,20150100,5544,,,,
2014/10/16 00:00:00,20150100,5618,,,,
2014/10/17 00:00:00,20150100,5628,,,,
2014/10/20 00:00:00,20150100,5560,,,,
2014/10/21 00:00:00,20150100,5564,,,,
2014/10/22 00:00:00,20150100,5648,,,,
2014/10/23 00:00:00,20150100,5576,,,,
2014/10/24 00:00:00,20150100,5660,,,,
2014/10/27 00:00:00,20150100,5718,,,,
2014/10/28 00:00:00,20150100,5692,,,,
2014/10/29 00:00:00,20150100,5618,,,,
2014/10/30 00:00:00,20150100,5640,,,,
2014/10/31 00:00:00,20150100,5600,,,,
2014/11/03 00:00:00,20150100,5570,,,,
2014/11/04 00:00:00,20150100,5390,,,,
2014/11/05 00:00:00,20150100,5344,,,,
2014/11/06 00:00:00,20150100,5378,,,,
2014/11/07 00:00:00,20150100,5388,,,,
2014/11/10 00:00:00,20150100,5498,,,,
2014/11/11 00:00:00,20150100,5632,,,,
2014/11/12 00:00:00,20150100,5582,,,,
2014/11/13 00:00:00,20150100,5648,,,,
2014/11/14 00:00:00,20150100,5700,,,,
2014/11/17 00:00:00,20150100,5750,,,,
2014/11/18 00:00:00,20150100,5656,,,,
2014/11/19 00:00:00,20150100,5652,,,,
2014/11/20 00:00:00,20150100,5840,,,,
2014/11/21 00:00:00,20150100,5906,,,,
2014/11/24 00:00:00,20150100,5900,5664.0,,,
2014/11/25 00:00:00,20150500,5658,,,,
2014/11/26 00:00:00,20150500,5600,,,,
2014/11/27 00:00:00,20150500,5600,,,,
2014/11/28 00:00:00,20150500,5360,,,,
2014/12/01 00:00:00,20150500,5232,,,,
2014/12/02 00:00:00,20150500,5292,,,,
2014/12/03 00:00:00,20150500,5158,,,,
2014/12/04 00:00:00,20150500,5266,,,,
2014/12/05 00:00:00,20150500,5300,,,,
2014/12/08 00:00:00,20150500,5210,,,,
2014/12/09 00:00:00,20150500,5020,,,,
2014/12/10 00:00:00,20150500,5030,,,,
2014/12/11 00:00:00,20150500,5000,,,,
2014/12/12 00:00:00,20150500,4970,,,,
2014/12/15 00:00:00,20150500,5030,,,,
2014/12/16 00:00:00,20150500,5064,,,,
2014/12/17 00:00:00,20150500,4902,,,,
2014/12/18 00:00:00,20150500,4786,,,,
2014/12/19 00:00:00,20150500,4878,,,,
2014/12/22 00:00:00,20150500,4834,,,,
2014/12/23 00:00:00,20150500,4864,,,,
2014/12/24 00:00:00,20150500,4822,,,,
2014/12/25 00:00:00,20150500,4736,,,,
2014/12/26 00:00:00,20150500,4750,,,,
2014/12/29 00:00:00,20150500,4790,,,,
2014/12/30 00:00:00,20150500,4820,,,,
2014/12/31 00:00:00,20150500,4842,,,,
2015/01/05 00:00:00,20150500,4824,,,,
2015/01/06 00:00:00,20150500,4664,,,,
2015/01/07 00:00:00,20150500,4692,,,,
2015/01/08 00:00:00,20150500,4658,,,,
2015/01/09 00:00:00,20150500,4668,,,,
2015/01/12 00:00:00,20150500,4618,,,,
2015/01/13 00:00:00,20150500,4600,,,,
2015/01/14 00:00:00,20150500,4490,,,,
2015/01/15 00:00:00,20150500,4514,,,,
2015/01/16 00:00:00,20150500,4624,,,,
2015/01/19 00:00:00,20150500,4590,,,,
2015/01/20 00:00:00,20150500,4650,,,,
2015/01/21 00:00:00,20150500,4652,,,,
2015/01/22 00:00:00,20150500,4700,,,,
2015/01/23 00:00:00,20150500,4802,,,,
2015/01/26 00:00:00,20150500,4740,,,,
2015/01/27 00:00:00,20150500,4650,,,,
2015/01/28 00:00:00,20150500,4634,,,,
2015/01/29 00:00:00,20150500,4674,,,,
2015/01/30 00:00:00,20150500,4630,,,,
2015/02/02 00:00:00,20150500,4540,,,,
2015/02/03 00:00:00,20150500,4618,,,,
2015/02/04 00:00:00,20150500,4776,,,,
2015/02/05 00:00:00,20150500,4748,,,,
2015/02/06 00:00:00,20150500,4738,,,,
2015/02/09 00:00:00,20150500,4778,,,,
2015/02/10 00:00:00,20150500,4762,,,,
2015/02/11 00:00:00,20150500,4704,,,,
2015/02/12 00:00:00,20150500,4702,,,,
2015/02/13 00:00:00,20150500,4720,,,,
2015/02/16 00:00:00,20150500,4786,,,,
2015/02/17 00:00:00,20150500,4890,,,,
2015/02/25 00:00:00,20150500,4800,,,,
2015/02/26 00:00:00,20150500,4848,,,,
2015/02/27 00:00:00,20150500,4920,,,,
2015/03/02 00:00:00,20150500,4910,,,,
2015/03/03 00:00:00,20150500,4960,,,,
2015/03/04 00:00:00,20150500,5072,,,,
2015/03/05 00:00:00,20150500,5036,,,,
2015/03/06 00:00:00,20150500,4856,,,,
2015/03/09 00:00:00,20150500,4824,,,,
2015/03/10 00:00:00,20150500,4740,,,,
2015/03/11 00:00:00,20150500,4714,,,,
2015/03/12 00:00:00,20150500,4702,,,,
2015/03/13 00:00:00,20150500,4768,,,,
2015/03/16 00:00:00,20150500,4690,,,,
2015/03/17 00:00:00,20150500,4612,,,,
2015/03/18 00:00:00,20150500,4640,,,,
2015/03/19 00:00:00,20150500,4566,,,,
2015/03/20 00:00:00,20150500,4630,,,,
2015/03/23 00:00:00,20150500,4662,,,,
2015/03/24 00:00:00,20150500,4730,,,,
2015/03/25 00:00:00,20150500,4842,,,,
2015/03/26 00:00:00,20150500,4706,,,,
2015/03/27 00:00:00,20150500,4740,,,,
2015/03/30 00:00:00,20150500,4596,4668.0,,,
2015/03/31 00:00:00,20150900,4658,,,,
2015/04/01 00:00:00,20150900,4670,,,,
2015/04/02 00:00:00,20150900,4680,,,,
2015/04/03 00:00:00,20150900,4660,,,,
2015/04/07 00:00:00,20150900,4878,,,,
2015/04/08 00:00:00,20150900,4884,,,,
2015/04/09 00:00:00,20150900,5058,,,,
2015/04/10 00:00:00,20150900,5030,,,,
2015/04/13 00:00:00,20150900,4940,,,,
2015/04/14 00:00:00,20150900,4996,,,,
2015/04/15 00:00:00,20150900,5250,,,,
2015/04/16 00:00:00,20150900,5218,,,,
2015/04/17 00:00:00,20150900,5288,,,,
2015/04/20 00:00:00,20150900,5282,,,,
2015/04/21 00:00:00,20150900,5302,,,,
