DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,6410,,,,
2014/01/03 00:00:00,20140500,6380,,,,
2014/01/06 00:00:00,20140500,6375,,,,
2014/01/07 00:00:00,20140500,6385,,,,
2014/01/08 00:00:00,20140500,6320,,,,
2014/01/09 00:00:00,20140500,6325,,,,
2014/01/10 00:00:00,20140500,6380,,,,
2014/01/13 00:00:00,20140500,6380,,,,
2014/01/14 00:00:00,20140500,6375,,,,
2014/01/15 00:00:00,20140500,6420,,,,
2014/01/16 00:00:00,20140500,6405,,,,
2014/01/17 00:00:00,20140500,6350,,,,
2014/01/20 00:00:00,20140500,6340,,,,
2014/01/21 00:00:00,20140500,6375,,,,
2014/01/22 00:00:00,20140500,6360,,,,
2014/01/23 00:00:00,20140500,6330,,,,
2014/01/24 00:00:00,20140500,6345,,,,
2014/01/27 00:00:00,20140500,6350,,,,
2014/01/28 00:00:00,20140500,6335,,,,
2014/01/29 00:00:00,20140500,6325,,,,
2014/01/30 00:00:00,20140500,6350,,,,
2014/02/07 00:00:00,20140500,6230,,,,
2014/02/10 00:00:00,20140500,6240,,,,
2014/02/11 00:00:00,20140500,6265,,,,
2014/02/12 00:00:00,20140500,6225,,,,
2014/02/13 00:00:00,20140500,6255,,,,
2014/02/14 00:00:00,20140500,6240,,,,
2014/02/17 00:00:00,20140500,6215,,,,
2014/02/18 00:00:00,20140500,6255,,,,
2014/02/19 00:00:00,20140500,6245,,,,
2014/02/20 00:00:00,20140500,6235,,,,
2014/02/21 00:00:00,20140500,6220,,,,
2014/02/24 00:00:00,20140500,6215,,,,
2014/02/25 00:00:00,20140500,6175,,,,
2014/02/26 00:00:00,20140500,6185,,,,
2014/02/27 00:00:00,20140500,6165,,,,
2014/02/28 00:00:00,20140500,6175,,,,
2014/03/03 00:00:00,20140500,6140,,,,
2014/03/04 00:00:00,20140500,6125,,,,
2014/03/05 00:00:00,20140500,6085,,,,
2014/03/06 00:00:00,20140500,6045,,,,
2014/03/07 00:00:00,20140500,6015,,,,
2014/03/10 00:00:00,20140500,5900,,,,
2014/03/11 00:00:00,20140500,5895,,,,
2014/03/12 00:00:00,20140500,5875,,,,
2014/03/13 00:00:00,20140500,5925,,,,
2014/03/14 00:00:00,20140500,5920,,,,
2014/03/17 00:00:00,20140500,5890,,,,
2014/03/18 00:00:00,20140500,5885,,,,
2014/03/19 00:00:00,20140500,5890,,,,
2014/03/20 00:00:00,20140500,5830,,,,
2014/03/21 00:00:00,20140500,5825,,,,
2014/03/24 00:00:00,20140500,5855,,,,
2014/03/25 00:00:00,20140500,5955,,,,
2014/03/26 00:00:00,20140500,5990,,,,
2014/03/27 00:00:00,20140500,6075,6155.0,,,
2014/03/28 00:00:00,20140900,6170,,,,
2014/03/31 00:00:00,20140900,6130,,,,
2014/04/01 00:00:00,20140900,6115,,,,
2014/04/02 00:00:00,20140900,6150,,,,
2014/04/03 00:00:00,20140900,6105,,,,
2014/04/04 00:00:00,20140900,6125,,,,
2014/04/08 00:00:00,20140900,6120,,,,
2014/04/09 00:00:00,20140900,6170,,,,
2014/04/10 00:00:00,20140900,6225,,,,
2014/04/11 00:00:00,20140900,6200,,,,
2014/04/14 00:00:00,20140900,6265,,,,
2014/04/15 00:00:00,20140900,6265,,,,
2014/04/16 00:00:00,20140900,6270,,,,
2014/04/17 00:00:00,20140900,6255,,,,
2014/04/18 00:00:00,20140900,6255,,,,
2014/04/21 00:00:00,20140900,6150,,,,
2014/04/22 00:00:00,20140900,6125,,,,
2014/04/23 00:00:00,20140900,6130,,,,
2014/04/24 00:00:00,20140900,6130,,,,
2014/04/25 00:00:00,20140900,6165,,,,
2014/04/28 00:00:00,20140900,6140,,,,
2014/04/29 00:00:00,20140900,6080,,,,
2014/04/30 00:00:00,20140900,6075,,,,
2014/05/05 00:00:00,20140900,6085,,,,
2014/05/06 00:00:00,20140900,6120,,,,
2014/05/07 00:00:00,20140900,6090,,,,
2014/05/08 00:00:00,20140900,6095,,,,
2014/05/09 00:00:00,20140900,6050,,,,
2014/05/12 00:00:00,20140900,6065,,,,
2014/05/13 00:00:00,20140900,6060,,,,
2014/05/14 00:00:00,20140900,6095,,,,
2014/05/15 00:00:00,20140900,6135,,,,
2014/05/16 00:00:00,20140900,6100,,,,
2014/05/19 00:00:00,20140900,6080,,,,
2014/05/20 00:00:00,20140900,6060,,,,
2014/05/21 00:00:00,20140900,6030,,,,
2014/05/22 00:00:00,20140900,6080,,,,
2014/05/23 00:00:00,20140900,6110,,,,
2014/05/26 00:00:00,20140900,6125,,,,
2014/05/27 00:00:00,20140900,6070,,,,
2014/05/28 00:00:00,20140900,6120,,,,
2014/05/29 00:00:00,20140900,6150,,,,
2014/05/30 00:00:00,20140900,6135,,,,
2014/06/03 00:00:00,20140900,6115,,,,
2014/06/04 00:00:00,20140900,6075,,,,
2014/06/05 00:00:00,20140900,6070,,,,
2014/06/06 00:00:00,20140900,6100,,,,
2014/06/09 00:00:00,20140900,6040,,,,
2014/06/10 00:00:00,20140900,6005,,,,
2014/06/11 00:00:00,20140900,6025,,,,
2014/06/12 00:00:00,20140900,6000,,,,
2014/06/13 00:00:00,20140900,6015,,,,
2014/06/16 00:00:00,20140900,6100,,,,
2014/06/17 00:00:00,20140900,6100,,,,
2014/06/18 00:00:00,20140900,6070,,,,
2014/06/19 00:00:00,20140900,6055,,,,
2014/06/20 00:00:00,20140900,6065,,,,
2014/06/23 00:00:00,20140900,6110,,,,
2014/06/24 00:00:00,20140900,6100,,,,
2014/06/25 00:00:00,20140900,6100,,,,
2014/06/26 00:00:00,20140900,6120,,,,
2014/06/27 00:00:00,20140900,6130,,,,
2014/06/30 00:00:00,20140900,6095,,,,
2014/07/01 00:00:00,20140900,6090,,,,
2014/07/02 00:00:00,20140900,6085,,,,
2014/07/03 00:00:00,20140900,6070,,,,
2014/07/04 00:00:00,20140900,6060,,,,
2014/07/07 00:00:00,20140900,6055,,,,
2014/07/08 00:00:00,20140900,6065,,,,
2014/07/09 00:00:00,20140900,6065,,,,
2014/07/10 00:00:00,20140900,6045,,,,
2014/07/11 00:00:00,20140900,6050,,,,
2014/07/14 00:00:00,20140900,6070,,,,
2014/07/15 00:00:00,20140900,6100,,,,
2014/07/16 00:00:00,20140900,6050,,,,
2014/07/17 00:00:00,20140900,6045,,,,
2014/07/18 00:00:00,20140900,6015,,,,
2014/07/21 00:00:00,20140900,5985,,,,
2014/07/22 00:00:00,20140900,6025,,,,
2014/07/23 00:00:00,20140900,6050,,,,
2014/07/24 00:00:00,20140900,6015,,,,
2014/07/25 00:00:00,20140900,6020,,,,
2014/07/28 00:00:00,20140900,6025,,,,
2014/07/29 00:00:00,20140900,6040,,,,
2014/07/30 00:00:00,20140900,6060,,,,
2014/07/31 00:00:00,20140900,6065,,,,
2014/08/01 00:00:00,20140900,6060,,,,
2014/08/04 00:00:00,20140900,6070,5990.0,,,
2014/08/05 00:00:00,20150100,5980,,,,
2014/08/06 00:00:00,20150100,6035,,,,
2014/08/07 00:00:00,20150100,6000,,,,
2014/08/08 00:00:00,20150100,5990,,,,
2014/08/11 00:00:00,20150100,5970,,,,
2014/08/12 00:00:00,20150100,5970,,,,
2014/08/13 00:00:00,20150100,5930,,,,
