DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140500,6866,,,,
2014/01/03 00:00:00,20140500,6874,,,,
2014/01/06 00:00:00,20140500,6798,,,,
2014/01/07 00:00:00,20140500,6668,,,,
2014/01/08 00:00:00,20140500,6620,,,,
2014/01/09 00:00:00,20140500,6580,,,,
2014/01/10 00:00:00,20140500,6660,,,,
2014/01/13 00:00:00,20140500,6680,,,,
2014/01/14 00:00:00,20140500,6612,,,,
2014/01/15 00:00:00,20140500,6662,,,,
2014/01/16 00:00:00,20140500,6648,,,,
2014/01/17 00:00:00,20140500,6642,,,,
2014/01/20 00:00:00,20140500,6600,,,,
2014/01/21 00:00:00,20140500,6708,,,,
2014/01/22 00:00:00,20140500,6660,,,,
2014/01/23 00:00:00,20140500,6642,,,,
2014/01/24 00:00:00,20140500,6650,,,,
2014/01/27 00:00:00,20140500,6602,,,,
2014/01/28 00:00:00,20140500,6502,,,,
2014/01/29 00:00:00,20140500,6468,,,,
2014/01/30 00:00:00,20140500,6432,,,,
2014/02/07 00:00:00,20140500,6582,,,,
2014/02/10 00:00:00,20140500,6610,,,,
2014/02/11 00:00:00,20140500,6660,,,,
2014/02/12 00:00:00,20140500,6648,,,,
2014/02/13 00:00:00,20140500,6648,,,,
2014/02/14 00:00:00,20140500,6726,,,,
2014/02/17 00:00:00,20140500,6712,,,,
2014/02/18 00:00:00,20140500,6740,,,,
2014/02/19 00:00:00,20140500,6812,,,,
2014/02/20 00:00:00,20140500,6800,,,,
2014/02/21 00:00:00,20140500,6820,,,,
2014/02/24 00:00:00,20140500,6808,6874.0,,,
2014/02/25 00:00:00,20140900,6850,,,,
2014/02/26 00:00:00,20140900,6832,,,,
2014/02/27 00:00:00,20140900,6880,,,,
2014/02/28 00:00:00,20140900,6840,,,,
2014/03/03 00:00:00,20140900,6884,,,,
2014/03/04 00:00:00,20140900,6910,,,,
2014/03/05 00:00:00,20140900,7058,,,,
2014/03/06 00:00:00,20140900,7062,,,,
2014/03/07 00:00:00,20140900,7178,,,,
2014/03/10 00:00:00,20140900,7160,,,,
2014/03/11 00:00:00,20140900,7078,,,,
2014/03/12 00:00:00,20140900,7146,,,,
2014/03/13 00:00:00,20140900,7138,,,,
2014/03/14 00:00:00,20140900,7112,,,,
2014/03/17 00:00:00,20140900,7024,,,,
2014/03/18 00:00:00,20140900,6980,,,,
2014/03/19 00:00:00,20140900,7000,,,,
2014/03/20 00:00:00,20140900,6950,,,,
2014/03/21 00:00:00,20140900,6804,,,,
2014/03/24 00:00:00,20140900,6820,,,,
2014/03/25 00:00:00,20140900,6840,,,,
2014/03/26 00:00:00,20140900,6866,,,,
2014/03/27 00:00:00,20140900,6902,,,,
2014/03/28 00:00:00,20140900,6912,,,,
2014/03/31 00:00:00,20140900,6930,,,,
2014/04/01 00:00:00,20140900,6932,,,,
2014/04/02 00:00:00,20140900,7010,,,,
2014/04/03 00:00:00,20140900,6986,,,,
2014/04/04 00:00:00,20140900,7050,,,,
2014/04/08 00:00:00,20140900,7012,,,,
2014/04/09 00:00:00,20140900,7116,,,,
2014/04/10 00:00:00,20140900,7100,,,,
2014/04/11 00:00:00,20140900,7030,,,,
2014/04/14 00:00:00,20140900,7016,,,,
2014/04/15 00:00:00,20140900,7006,,,,
2014/04/16 00:00:00,20140900,6986,,,,
2014/04/17 00:00:00,20140900,7078,,,,
2014/04/18 00:00:00,20140900,7058,,,,
2014/04/21 00:00:00,20140900,7038,,,,
2014/04/22 00:00:00,20140900,6952,,,,
2014/04/23 00:00:00,20140900,6970,,,,
2014/04/24 00:00:00,20140900,6964,,,,
2014/04/25 00:00:00,20140900,6964,,,,
2014/04/28 00:00:00,20140900,7016,,,,
2014/04/29 00:00:00,20140900,6968,,,,
2014/04/30 00:00:00,20140900,7004,,,,
2014/05/05 00:00:00,20140900,6896,,,,
2014/05/06 00:00:00,20140900,6826,,,,
2014/05/07 00:00:00,20140900,6812,,,,
2014/05/08 00:00:00,20140900,6820,,,,
2014/05/09 00:00:00,20140900,6792,,,,
2014/05/12 00:00:00,20140900,6832,,,,
2014/05/13 00:00:00,20140900,6814,,,,
2014/05/14 00:00:00,20140900,6890,,,,
2014/05/15 00:00:00,20140900,6882,,,,
2014/05/16 00:00:00,20140900,6884,,,,
2014/05/19 00:00:00,20140900,6804,,,,
2014/05/20 00:00:00,20140900,6772,,,,
2014/05/21 00:00:00,20140900,6730,,,,
2014/05/22 00:00:00,20140900,6762,,,,
2014/05/23 00:00:00,20140900,6828,,,,
2014/05/26 00:00:00,20140900,6802,,,,
2014/05/27 00:00:00,20140900,6800,,,,
2014/05/28 00:00:00,20140900,6766,,,,
2014/05/29 00:00:00,20140900,6800,,,,
2014/05/30 00:00:00,20140900,6776,,,,
2014/06/03 00:00:00,20140900,6680,6820.0,,,
2014/06/04 00:00:00,20150100,6828,,,,
2014/06/05 00:00:00,20150100,6888,,,,
2014/06/06 00:00:00,20150100,6866,,,,
2014/06/09 00:00:00,20150100,6886,,,,
2014/06/10 00:00:00,20150100,6900,,,,
2014/06/11 00:00:00,20150100,6836,,,,
2014/06/12 00:00:00,20150100,6810,,,,
2014/06/13 00:00:00,20150100,6820,,,,
2014/06/16 00:00:00,20150100,6900,,,,
2014/06/17 00:00:00,20150100,6860,,,,
2014/06/18 00:00:00,20150100,6840,,,,
2014/06/19 00:00:00,20150100,6856,,,,
2014/06/20 00:00:00,20150100,6876,,,,
2014/06/23 00:00:00,20150100,6910,,,,
2014/06/24 00:00:00,20150100,7026,,,,
2014/06/25 00:00:00,20150100,7098,,,,
2014/06/26 00:00:00,20150100,7032,,,,
2014/06/27 00:00:00,20150100,7038,,,,
2014/06/30 00:00:00,20150100,6972,,,,
2014/07/01 00:00:00,20150100,6806,,,,
2014/07/02 00:00:00,20150100,6780,,,,
2014/07/03 00:00:00,20150100,6756,,,,
2014/07/04 00:00:00,20150100,6770,,,,
2014/07/07 00:00:00,20150100,6724,,,,
