DATETIME,PRICE_CONTRACT,PRICE,FORWARD,CARRY,CARRY_CONTRACT,FORWARD_CONTRACT
2014/01/02 00:00:00,20140300,15185,,,,
2014/01/03 00:00:00,20140300,15260,,,,
2014/01/06 00:00:00,20140300,15100,,,,
2014/01/07 00:00:00,20140300,14980,,,,
2014/01/08 00:00:00,20140300,15085,,,,
2014/01/09 00:00:00,20140300,15075,,,,
2014/01/10 00:00:00,20140300,14995,,,,
2014/01/13 00:00:00,20140300,15060,,,,
2014/01/14 00:00:00,20140300,15065,,,,
2014/01/15 00:00:00,20140300,15225,15175.0,,,
2014/01/16 00:00:00,20140400,15150,,,,
2014/01/17 00:00:00,20140400,15280,,,,
2014/01/20 00:00:00,20140400,15300,,,,
2014/01/21 00:00:00,20140400,15230,,,,
2014/01/22 00:00:00,20140400,15215,,,,
2014/01/23 00:00:00,20140400,15245,,,,
2014/01/24 00:00:00,20140400,15230,,,,
2014/01/27 00:00:00,20140400,15185,,,,
2014/01/28 00:00:00,20140400,15075,,,,
2014/01/29 00:00:00,20140400,15055,,,,
2014/01/30 00:00:00,20140400,15070,,,,
2014/02/07 00:00:00,20140400,15055,,,,
2014/02/10 00:00:00,20140400,15095,,,,
2014/02/11 00:00:00,20140400,15135,,,,
2014/02/12 00:00:00,20140400,15060,,,,
2014/02/13 00:00:00,20140400,15090,,,,
2014/02/14 00:00:00,20140400,15080,,,,
2014/02/17 00:00:00,20140400,15145,,,,
2014/02/18 00:00:00,20140400,15215,,,,
2014/02/19 00:00:00,20140400,15200,15315.0,,,
2014/02/20 00:00:00,20140500,15300,,,,
2014/02/21 00:00:00,20140500,15175,,,,
2014/02/24 00:00:00,20140500,15215,,,,
2014/02/25 00:00:00,20140500,15070,,,,
2014/02/26 00:00:00,20140500,15075,,,,
2014/02/27 00:00:00,20140500,15190,,,,
2014/02/28 00:00:00,20140500,15105,,,,
2014/03/03 00:00:00,20140500,15155,,,,
2014/03/04 00:00:00,20140500,15070,,,,
2014/03/05 00:00:00,20140500,15225,,,,
