,tr_date,tr_datetime,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price
0,20140102,2014/01/02 00:00:00,3950.0,3975.0,3978.0,3941.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.0,0.632911,1.006329,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
1,20140103,2014/01/03 00:00:00,3996.0,4015.0,4036.0,3980.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.0,0.475475,1.004755,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
2,20140106,2014/01/06 00:00:00,4008.0,3943.0,4024.0,3941.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-65.0,-1.621756,0.983782,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
3,20140107,2014/01/07 00:00:00,3873.0,3865.0,3919.0,3833.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-8.0,-0.206558,0.997934,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
4,20140108,2014/01/08 00:00:00,3869.0,3857.0,3883.0,3843.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-12.0,-0.310158,0.996898,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
5,20140109,2014/01/09 00:00:00,3845.0,3826.0,3880.0,3808.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-19.0,-0.494148,0.995059,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
6,20140110,2014/01/10 00:00:00,3822.0,3832.0,3847.0,3815.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.0,0.261643,1.002616,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
7,20140113,2014/01/13 00:00:00,3828.0,3826.0,3860.0,3816.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.052247,0.999478,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
8,20140114,2014/01/14 00:00:00,3833.0,3865.0,3875.0,3827.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.0,0.834855,1.008349,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
9,20140115,2014/01/15 00:00:00,3865.0,3828.0,3865.0,3820.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-37.0,-0.957309,0.990427,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
10,20140116,2014/01/16 00:00:00,3830.0,3770.0,3835.0,3767.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-60.0,-1.56658,0.984334,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
11,20140117,2014/01/17 00:00:00,3769.0,3778.0,3785.0,3751.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.0,0.23879,1.002388,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
12,20140120,2014/01/20 00:00:00,3774.0,3781.0,3808.0,3772.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.0,0.18548,1.001855,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
13,20140121,2014/01/21 00:00:00,3771.0,3734.0,3771.0,3726.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-37.0,-0.981172,0.990188,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
14,20140122,2014/01/22 00:00:00,3726.0,3696.0,3730.0,3666.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-30.0,-0.805153,0.991948,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
15,20140123,2014/01/23 00:00:00,3688.0,3706.0,3721.0,3686.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0,0.488069,1.004881,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
16,20140124,2014/01/24 00:00:00,3698.0,3703.0,3718.0,3676.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.0,0.135208,1.001352,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
17,20140127,2014/01/27 00:00:00,3688.0,3726.0,3735.0,3685.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38.0,1.030369,1.010304,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
18,20140128,2014/01/28 00:00:00,3713.0,3729.0,3762.0,3710.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.0,0.430918,1.004309,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
19,20140129,2014/01/29 00:00:00,3732.0,3728.0,3759.0,3714.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.107181,0.998928,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
20,20140130,2014/01/30 00:00:00,3727.0,3741.0,3752.0,3724.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.0,0.375637,1.003756,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
21,20140207,2014/02/07 00:00:00,3742.0,3697.0,3780.0,3694.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-45.0,-1.202565,0.987974,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
22,20140210,2014/02/10 00:00:00,3687.0,3739.0,3749.0,3676.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52.0,1.410361,1.014104,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
23,20140211,2014/02/11 00:00:00,3738.0,3720.0,3767.0,3718.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-18.0,-0.481541,0.995185,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
24,20140212,2014/02/12 00:00:00,3720.0,3719.0,3732.0,3702.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.0,-0.026882,0.999731,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
25,20140213,2014/02/13 00:00:00,3730.0,3730.0,3749.0,3720.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0,0.0,1.0,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
26,20140214,2014/02/14 00:00:00,3735.0,3831.0,3834.0,3710.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,96.0,2.570281,1.025703,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
27,20140217,2014/02/17 00:00:00,3841.0,3840.0,3859.0,3816.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.0,-0.026035,0.99974,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
28,20140218,2014/02/18 00:00:00,3845.0,3851.0,3866.0,3822.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.0,0.156047,1.00156,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
29,20140219,2014/02/19 00:00:00,3868.0,3850.0,3876.0,3841.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-18.0,-0.465357,0.995346,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
30,20140220,2014/02/20 00:00:00,3845.0,3785.0,3850.0,3777.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-60.0,-1.560468,0.984395,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
31,20140221,2014/02/21 00:00:00,3785.0,3781.0,3796.0,3755.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.10568,0.998943,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
32,20140224,2014/02/24 00:00:00,3787.0,3795.0,3817.0,3756.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.0,0.211249,1.002112,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
33,20140225,2014/02/25 00:00:00,3789.0,3687.0,3802.0,3680.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-102.0,-2.692003,0.97308,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
34,20140226,2014/02/26 00:00:00,3678.0,3697.0,3710.0,3630.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19.0,0.516585,1.005166,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
35,20140227,2014/02/27 00:00:00,3708.0,3693.0,3726.0,3682.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-15.0,-0.404531,0.995955,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
36,20140228,2014/02/28 00:00:00,3700.0,3720.0,3720.0,3680.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.0,0.540541,1.005405,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
37,20140303,2014/03/03 00:00:00,3732.0,3789.0,3793.0,3732.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57.0,1.527331,1.015273,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
38,20140304,2014/03/04 00:00:00,3789.0,3847.0,3849.0,3781.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58.0,1.530747,1.015307,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
