,tr_date,tr_datetime,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price
0,20140228,2014/02/28 00:00:00,10680.0,10657.0,10720.0,10604.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-23.0,-0.215356,0.997846,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
1,20140303,2014/03/03 00:00:00,10696.0,10632.0,10790.0,10602.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-64.0,-0.598355,0.994016,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
2,20140304,2014/03/04 00:00:00,10644.38920178675,10640.25946785784,10665.03787143135,10589.67022722859,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.129734,-0.038797,0.999612,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
3,20140305,2014/03/05 00:00:00,10694.978442416,10633.03243348223,10694.978442416,10594.83239463974,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-61.946009,-0.579206,0.994208,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
4,20140306,2014/03/06 00:00:00,10603.09186249757,10495.7187803457,10623.74053214216,10397.63759953389,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-107.373082,-1.012658,0.989873,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
5,20140307,2014/03/07 00:00:00,10530.8215187415,10505.01068168576,10530.8215187415,10458.55117498543,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-25.810837,-0.245098,0.997549,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
6,20140310,2014/03/10 00:00:00,10350.14565935133,10403.83220042727,10479.19984463002,10324.33482229559,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53.686541,0.518703,1.005187,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
7,20140311,2014/03/11 00:00:00,10423.44843658963,10510.17284909691,10685.68654107593,10375.95649640707,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,86.724413,0.832013,1.00832,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
8,20140312,2014/03/12 00:00:00,10417.25383569625,10521.52961740144,10523.59448436589,10387.31326471159,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,104.275782,1.000991,1.01001,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
9,20140313,2014/03/13 00:00:00,10530.8215187415,10540.11342008157,10567.98912410176,10494.68634686347,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.291901,0.088235,1.000882,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0
