index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,13965.0,14040.0,14045.0,13950.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,75.0,0.537057,1.005371,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,14000.0,13995.0,14000.0,13960.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-5.0,-0.035714,0.999643,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-06,2,20140106,13975.0,13905.0,14010.0,13900.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-70.0,-0.500894,0.994991,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-07,3,20140107,13890.0,13910.0,13930.0,13890.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.0,0.143988,1.00144,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-08,4,20140108,13910.0,13850.0,13930.0,13835.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-60.0,-0.431344,0.995687,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-09,5,20140109,13820.0,13805.0,13895.0,13800.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-15.0,-0.108538,0.998915,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-10,6,20140110,13800.0,13795.0,13815.0,13760.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-5.0,-0.036232,0.999638,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-13,7,20140113,13835.0,13750.0,13840.0,13740.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-85.0,-0.614384,0.993856,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-14,8,20140114,13750.0,13760.0,13770.0,13700.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.0,0.072727,1.000727,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-15,9,20140115,13750.0,13700.0,13760.0,13660.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-50.0,-0.363636,0.996364,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
