index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,4311.0,4322.0,4328.0,4286.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.0,0.255161,1.002552,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,4300.0,4326.0,4330.0,4295.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.0,0.604651,1.006047,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-06,2,20140106,4329.0,4334.0,4341.0,4313.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.0,0.1155,1.001155,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-07,3,20140107,4337.0,4338.0,4359.0,4324.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,0.023057,1.000231,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-08,4,20140108,4348.0,4341.0,4353.0,4302.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-7.0,-0.160994,0.99839,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-09,5,20140109,4331.0,4369.0,4396.0,4330.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38.0,0.877396,1.008774,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-10,6,20140110,4370.0,4442.0,4463.0,4364.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72.0,1.647597,1.016476,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-13,7,20140113,4442.0,4388.0,4442.0,4383.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-54.0,-1.215669,0.987843,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-14,8,20140114,4401.0,4397.0,4409.0,4383.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.090888,0.999091,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
2014-01-15,9,20140115,4397.0,4420.0,4428.0,4397.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23.0,0.523084,1.005231,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,7.0,0.0,1.0
