index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,19360.0,19385.0,19445.0,19305.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.0,0.129132,1.001291,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,19340.0,19325.0,19380.0,19305.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-15.0,-0.077559,0.999224,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-06,2,20140106,19300.0,19280.0,19375.0,19255.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-20.0,-0.103627,0.998964,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-07,3,20140107,19275.0,19495.0,19510.0,19260.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,220.0,1.141375,1.011414,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-08,4,20140108,19500.0,19760.0,19805.0,19425.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,260.0,1.333333,1.013333,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-09,5,20140109,19680.0,19695.0,19770.0,19660.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.0,0.07622,1.000762,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-10,6,20140110,19680.0,19625.0,19945.0,19590.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-55.0,-0.279472,0.997205,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-13,7,20140113,19610.0,19760.0,19845.0,19600.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,150.0,0.764916,1.007649,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-14,8,20140114,19810.0,19885.0,19900.0,19725.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,75.0,0.378597,1.003786,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
2014-01-15,9,20140115,19865.0,19845.0,19890.0,19755.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-20.0,-0.10068,0.998993,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.0,0.0,1.0
