index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,52290.0,52670.0,52760.0,52220.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,380.0,0.726716,1.007267,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,52500.0,51920.0,52500.0,51840.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-580.0,-1.104762,0.988952,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-06,2,20140106,51900.0,51770.0,52080.0,51680.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-130.0,-0.250482,0.997495,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-07,3,20140107,51630.0,51860.0,52040.0,51590.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,230.0,0.445477,1.004455,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-08,4,20140108,51940.0,52060.0,52170.0,51680.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,120.0,0.231036,1.00231,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-09,5,20140109,52000.0,51220.0,52160.0,51210.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-780.0,-1.5,0.985,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-10,6,20140110,51220.0,51360.0,51480.0,50930.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,140.0,0.273331,1.002733,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-13,7,20140113,51360.0,51690.0,52080.0,51330.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,330.0,0.642523,1.006425,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-14,8,20140114,51500.0,51790.0,51900.0,51310.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,290.0,0.563107,1.005631,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
2014-01-15,9,20140115,51800.009664,51399.623116,51840.048319,51279.507151,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-400.386548,-0.772947,0.992271,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,2.0,0.0,1.0
