index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,2344.0,2342.0,2348.0,2342.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.085324,0.999147,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,2341.0,2333.0,2344.0,2332.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-8.0,-0.341734,0.996583,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-06,2,20140106,2330.0,2344.0,2347.0,2329.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.0,0.600858,1.006009,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-07,3,20140107,2347.0,2359.0,2360.0,2342.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.0,0.511291,1.005113,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-08,4,20140108,2358.0,2364.0,2367.0,2357.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.0,0.254453,1.002545,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-09,5,20140109,2360.0,2368.0,2369.0,2358.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.0,0.338983,1.00339,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-10,6,20140110,2368.0,2365.0,2370.0,2362.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3.0,-0.126689,0.998733,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-13,7,20140113,2370.0,2366.0,2379.0,2363.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.168776,0.998312,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-14,8,20140114,2366.0,2363.0,2368.0,2361.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3.0,-0.126796,0.998732,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-15,9,20140115,2365.0,2360.0,2366.0,2356.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-5.0,-0.211416,0.997886,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-16,10,20140116,2358.0,2357.0,2365.0,2355.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.0,-0.042409,0.999576,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-17,11,20140117,2356.0,2358.0,2361.0,2355.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0,0.08489,1.000849,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.026782985086747,0.0,1.0
2014-01-20,12,20140120,2356.0,2363.0,2364.0,2356.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.0,0.297114,1.002971,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.279600313076547,0.0,1.0
2014-01-21,13,20140121,2362.0,2358.0,2364.0,2356.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.169348,0.998307,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.565071485310783,0.0,1.0
2014-01-22,14,20140122,2356.0,2358.0,2361.0,2356.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0,0.08489,1.000849,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.729855032173904,0.0,1.0
2014-01-23,15,20140123,2357.0,2360.0,2365.0,2357.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.0,0.12728,1.001273,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.747910090164667,0.0,1.0
2014-01-24,16,20140124,2360.0,2358.0,2361.0,2357.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.084746,0.999153,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.99534491369305,0.0,1.0
2014-01-27,17,20140127,2358.0,2365.0,2368.0,2357.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.0,0.296862,1.002969,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.221339075094155,0.0,1.0
2014-01-28,18,20140128,2364.0,2365.0,2367.0,2363.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,0.042301,1.000423,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.42351309828268,0.0,1.0
2014-01-29,19,20140129,2364.0,2365.0,2366.0,2363.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,0.042301,1.000423,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,6.522555205289873,0.0,1.0
