index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2018-12-10,0,20181210,5591.0,5674.0,5781.0,5550.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,83.0,1.484529,1.014845,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2018-12-11,1,20181211,5618.0,5541.0,5677.0,5497.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-77.0,-1.370595,0.986294,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-12,2,20181212,5580.0,5544.0,5597.0,5513.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-36.0,-0.645161,0.993548,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-13,3,20181213,5519.0,5591.0,5642.0,5475.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72.0,1.304584,1.013046,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-14,4,20181214,5647.0,5606.0,5666.0,5584.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-41.0,-0.726049,0.99274,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-17,5,20181217,5592.0,5618.0,5637.0,5578.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.0,0.46495,1.004649,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-18,6,20181218,5588.0,5627.0,5628.0,5571.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39.0,0.697924,1.006979,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-19,7,20181219,5579.0,5620.0,5635.0,5551.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41.0,0.734899,1.007349,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-20,8,20181220,5628.0,5576.0,5633.0,5564.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-52.0,-0.923952,0.99076,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-21,9,20181221,5561.0,5418.0,5576.0,5320.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-143.0,-2.57148,0.974285,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-24,10,20181224,5380.0,5332.0,5383.0,5306.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-48.0,-0.892193,0.991078,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-25,11,20181225,5200.0,5174.0,5231.0,5128.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-26.0,-0.5,0.995,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-26,12,20181226,5200.0,5152.0,5229.0,5129.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-48.0,-0.923077,0.990769,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-27,13,20181227,5301.0,5135.0,5365.0,5135.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-166.0,-3.131485,0.968685,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2018-12-28,14,20181228,5141.0,5134.0,5166.0,5088.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-7.0,-0.13616,0.998638,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2019-01-02,15,20190102,5105.0,5051.0,5132.0,5047.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-54.0,-1.057786,0.989422,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2019-01-03,16,20190103,5093.0,5127.0,5152.0,5069.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34.0,0.667583,1.006676,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2019-01-04,17,20190104,5150.0,5152.0,5181.0,5094.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.0,0.038835,1.000388,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2019-01-07,18,20190107,5167.0,5133.0,5199.0,5128.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-34.0,-0.658022,0.99342,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2019-01-08,19,20190108,5140.0,5080.0,5162.0,5066.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-60.0,-1.167315,0.988327,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
2019-01-09,20,20190109,5136.0,5122.0,5187.0,5112.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-14.0,-0.272586,0.997274,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,5.0,0.0,1.0
