index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2015-03-27,0,20150327,102070.0,101080.0,102700.0,100660.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-990.0,-0.969923,0.990301,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-03-30,1,20150330,99020.0,98430.0,100000.0,96820.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-590.0,-0.595839,0.994042,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-03-31,2,20150331,98000.0,95040.0,98160.0,93840.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2960.0,-3.020408,0.969796,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-01,3,20150401,93890.0,92500.0,94130.0,91290.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1390.0,-1.480456,0.985195,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-02,4,20150402,92890.0,96160.0,96590.0,92550.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3270.0,3.520293,1.035203,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-03,5,20150403,95990.0,97300.0,97800.0,95660.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1310.0,1.364725,1.013647,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-07,6,20150407,97400.0,96420.0,97980.0,95950.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-980.0,-1.00616,0.989938,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-08,7,20150408,94440.0,93950.0,95610.0,93300.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-490.0,-0.518848,0.994812,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-09,8,20150409,94450.0,94300.0,95260.0,93880.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-150.0,-0.158814,0.998412,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-10,9,20150410,94500.0,94540.0,94970.0,93180.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.0,0.042328,1.000423,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-13,10,20150413,94530.0,95230.0,95670.0,93700.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,700.0,0.740506,1.007405,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-14,11,20150414,94790.0,93100.0,95060.0,92830.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1690.0,-1.782888,0.982171,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2015-04-15,12,20150415,92700.0,94730.0,95000.0,92640.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2030.0,2.18986,1.021899,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.3599466082490618,0.0,1.0
2015-04-16,13,20150416,94600.0,95400.0,95900.0,94260.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,800.0,0.845666,1.008457,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.3635344830290055,0.0,1.0
2015-04-17,14,20150417,96320.0,95850.0,96660.0,95010.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-470.0,-0.487957,0.99512,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.3557173287386525,0.0,1.0
2015-04-20,15,20150420,95970.0,95410.0,96540.0,95200.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-560.0,-0.583516,0.994165,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.35875218403882897,0.0,1.0
2015-04-21,16,20150421,95320.0,95880.0,96800.0,94910.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,560.0,0.587495,1.005875,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.3729052561250705,0.0,1.0
2015-04-22,17,20150422,95930.0,96330.0,96720.0,95750.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,400.0,0.416971,1.00417,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.38568903646288766,0.0,1.0
2015-04-23,18,20150423,96120.0,95860.0,96500.0,95600.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-260.0,-0.270495,0.997295,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.4002366566193298,0.0,1.0
2015-04-24,19,20150424,95840.0,97830.0,97890.0,95710.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1990.0,2.076377,1.020764,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,0.41607618879375535,0.0,1.0
